book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Deuteronomy	1	1	 ⲛⲁⲓ ⲛⲉ ⲛⲓⲥⲁϫⲓ ⲉⲧⲁϥⲥⲁϫⲓ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲙⲱⲩ̀ⲥⲏⲥ ⲛⲉⲙ ⲡⲓⲥ̅ⲗ̅ ⲧⲏⲣϥ ϩⲓⲙⲏⲣ ⲙ̀ⲡⲓⲓⲟⲣⲇⲁⲛⲏⲥ ⲛ̀ϩⲣⲏⲓ ϩⲓ ⲡϣⲁϥⲉ ⲥⲁⲛⲓⲙⲁⲛ̀ϩⲱⲧⲡ ϧⲁⲑⲟⲩⲟϥ ⲙ̀ⲫⲓⲟⲙ ⲛ̀ϩⲁϩ ⲟⲩⲧⲱϥ ⲙ̀ⲫⲁⲣⲣⲁⲛ ⲧⲟⲫⲉⲗ ⲛⲉⲙ ⲗⲟⲃⲟⲛⲁ ⲛⲉⲙ ⲁⲩⲗⲱⲛ ⲛⲉⲙ ⲕⲁⲧⲁⲕⲣⲩⲥⲉⲁ							 Οὗτοι οἱ λόγοι, οὓς ἐλάλησεν Μωυσῆς παντὶ Ισραηλ πέραν τοῦ Ιορδάνου ἐν τῇ ἐρήµῳ πρὸς δυσµαῖς πλησίον τῆς ἐρυθρᾶς ἀνὰ µέσον Φαραν, Τοφολ καὶ Λοβον καὶ Αυλων καὶ Καταχρύσεα·	 These are the words which Moses spoke to all Israel on this side Jordan in the desert towards the west near the Red Sea, between Pharan Tophol, and Lobon, and Aulon, and the gold works.	
Deuteronomy	1	2	 ⲓ̅ⲁ̅ ⲛ̀ⲉϩⲟⲟⲩ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲭⲱⲣⲏⲃ ⲡⲓⲙⲱⲓⲧ ⲉ̀ⲡⲧⲱⲟⲩ ⲛ̀ⲥⲏⲓⲣ ϣⲁ ⲕⲁⲇⲏⲥ ⲃⲁⲣⲛⲏ							 ἕνδεκα ἡµερῶν ἐν Χωρηβ ὁδὸς ἐπ’ ὄρος Σηιρ ἕως Καδης Βαρνη.	 It is a journey of eleven days from Choreb to mount Seir as far as Cades Barne.	
Deuteronomy	1	3	 ⲟⲩⲟϩ ⲁⲥϣⲱⲡⲓ ϧⲉⲛ ϯⲙⲁϩⲙ̅ ⲛ̀ⲣⲟⲙⲡⲓ ϧⲉⲛ ⲡⲓⲙⲁϩⲓ̅ⲁ̅ ⲛ̀ⲁⲃⲟⲧ ⲛ̀ⲥⲟⲩⲁⲓ ⲙ̀ⲡⲓⲁⲃⲟⲧ ⲁϥⲥⲁϫⲓ ⲛ̀ϫⲉ ⲙⲱⲩ̀ⲥⲏⲥ ⲛⲉⲙ ⲛⲉⲛϣⲏⲣⲓ ⲧⲏⲣⲟⲩ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ⲕⲁⲧⲁ ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲉⲧⲁϥϩⲉⲛϩⲱⲛϥ ⲉ̀ⲣⲱⲟⲩ ⲉ̀ϫⲟⲧⲟⲩ ⲛⲱⲟⲩ ⲡϭ̅ⲥ̅ ⲫϯ							 καὶ ἐγενήθη ἐν τῷ τεσσαρακοστῷ ἔτει ἐν τῷ ἑνδεκάτῳ µηνὶ µιᾷ τοῦ µηνὸς ἐλάλησεν Μωυσῆς πρὸς πάντας υἱοὺς Ισραηλ κατὰ πάντα, ὅσα ἐνετείλατο κύριος αὐτῷ πρὸς αὐτούς.	 And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, Moses spoke to all the children of Israel, according to all things which the Lord commanded him for them:	
Deuteronomy	1	4	 ⲙⲉⲛⲉⲛⲥⲁ ⲑⲣⲉϥϣⲁⲣⲓ ⲉ̀ⲥⲏⲱⲛ ⲡⲟⲩⲣⲟ ⲛ̀ⲧⲉ ⲛⲓⲁⲙⲟⲣⲣⲉⲟⲥ ⲫⲏ ⲉⲧⲁϥϣⲱⲡⲓ ϧⲉⲛ ⲉⲥⲉⲃⲱⲛ ⲛⲉⲙ ⲱⲅ ⲡⲟⲩⲣⲟ ⲛ̀ⲑⲃⲁⲥⲁⲛ ⲫⲏ ⲉⲧⲁϥϣⲱⲡⲓ ϧⲉⲛ ⲁⲥⲧⲁⲣⲱⲑ ⲛⲉⲙ ϧⲉⲛ ⲁⲇⲣⲁⲓ							 µετὰ τὸ πατάξαι Σηων βασιλέα Αµορραίων τὸν κατοικήσαντα ἐν Εσεβων καὶ Ωγ βασιλέα τῆς Βασαν τὸν κατοικήσαντα ἐν Ασταρωθ καὶ ἐν Εδραϊν	 after he had smitten Seon king of the Amorites who dwelt in Esebon, and Og the king of Basan who dwelt in Astaroth and in Edrain;	
Deuteronomy	1	5	 ⲫⲏ ⲉⲧⲁϥϣⲱⲡⲓ ϩⲓⲙⲏⲣ ⲙ̀ⲡⲓⲓⲟⲣⲇⲁⲛⲏⲥ ϧⲉⲛ ⲡⲕⲁϩⲓ ⲙ̀ⲙⲱⲁⲃ ⲧⲟⲧⲉ ⲁϥⲉⲣϩⲏⲧⲥ ⲛ̀ϫⲉ ⲙⲱⲩ̀ⲥⲏⲥ ⲉ̀ⲥⲁϫⲓ ⲙ̀ⲡⲁⲓⲛⲟⲙⲟⲥ ⲫⲁⲓ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ							 ἐν τῷ πέραν τοῦ Ιορδάνου ἐν γῇ Μωαβ ἤρξατο Μωυσῆς διασαφῆσαι τὸν νόµον τοῦτον λέγων	 beyond Jordan in the land of Moab, Moses began to declare this law, saying,	
Deuteronomy	1	6	 ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲉⲛⲛⲟⲩϯ ⲁϥⲥⲁϫⲓ ⲛⲉⲙⲁⲛ ϧⲉⲛ ⲭⲱⲣⲏⲃ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲕⲏⲛ ⲉ̀ⲣⲱⲧⲉⲛ ⲉ̀ϣⲱⲡⲓ ϩⲓ ⲡⲁⲓⲧⲱⲟⲩ							 Κύριος ὁ θεὸς ἡµῶν ἐλάλησεν ἡµῖν ἐν Χωρηβ λέγων Ἱκανούσθω ὑµῖν κατοικεῖν ἐν τῷ ὄρει τούτῳ·	 The Lord your God spoke to us in Choreb, saying, Let it suffice you to have dwelt so long in this mountain.	
Deuteronomy	1	7	 ⲕⲉⲧ ⲑⲏⲛⲟⲩ ⲟⲩⲟϩ ϥⲁⲓ ⲙ̀ⲙⲱⲧⲉⲛ ⲛ̀ⲑⲱⲧⲉⲛ ⲙⲁϣⲉ ⲛⲱⲧⲉⲛ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲡⲧⲱⲟⲩ ⲛ̀ⲧⲉ ⲛⲓⲁⲡⲟⲣⲣⲉⲟⲥ ⲛⲉⲙ ϩⲁ ⲛⲏ ⲧⲏⲣⲟⲩ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲁⲣⲁⲃⲁ ⲥⲟⲩⲧⲱⲟⲩ ⲛⲉⲙ ⲁⲩⲙⲉϣϣⲱⲧ ⲛⲉⲙ ⲥⲁ ⲡⲉⲙⲉⲛⲧ ⲛⲉⲙ ϯⲡⲁⲣⲁⲗⲓⲁ ⲡⲕⲁϩⲓ ⲛ̀ⲧⲉ ⲛⲓⲭⲁⲛⲁⲛⲉⲟⲥ ⲛⲉⲙ ⲡⲓⲁⲛⲧⲓⲗⲓⲃⲁⲛⲟⲥ ϣⲁ ⲡⲓⲁⲣⲟ ⲡⲓⲛⲓϣϯ ⲡⲓⲉⲩⲫⲣⲁⲧⲏⲥ							 ἐπιστράφητε καὶ ἀπάρατε ὑµεῖς καὶ εἰσπορεύεσθε εἰς ὄρος Αµορραίων καὶ πρὸς πάντας τοὺς περιοίκους Αραβα εἰς ὄρος καὶ πεδίον καὶ πρὸς λίβα καὶ παραλίαν, γῆν Χαναναίων καὶ Ἀντιλίβανον ἕως τοῦ ποταµοῦ τοῦ µεγάλου Εὐφράτου.	 Turn ye and depart and enter into the mountain of the Amorites, and go to all that dwell near about Araba, to the mountain and the plain and to the south, and the land of the Chananites near the sea, and Antilibanus, as far as the great river, the river Euphrates.	
Deuteronomy	1	8	 ⲁⲛⲁⲩ ⲓⲥ ⲁⲓϯ ⲙ̀ⲡⲓⲕⲁϩⲓ ⲙ̀ⲡⲉⲧⲉⲛⲙ̀ⲑⲟ ⲙⲁϣⲉ ⲛⲱⲧⲉⲛ ⲉ̀ϧⲟⲩⲛ ⲁⲣⲓⲕⲗⲏⲣⲟⲛⲟⲙⲓⲛ ⲙ̀ⲡⲓⲕⲁϩⲓ ⲫⲏ ⲉⲧⲁⲓⲱⲣⲕ ⲙ̀ⲙⲟϥ ⲛ̀ⲛⲉⲧⲉⲛⲓⲟϯ ⲁⲃⲣⲁⲁⲙ ⲛⲉⲙ ⲓⲥⲁⲁⲕ ⲛⲉⲙ ⲓⲁⲕⲱⲃ ⲉ̀ⲧⲏⲓϥ ⲛⲱⲟⲩ ⲛⲉⲙ ⲡⲟⲩϫⲣⲟϫ ⲙⲉⲛⲉⲛⲥⲱⲟⲩ							 ἴδετε παραδέδωκα ἐνώπιον ὑµῶν τὴν γῆν· εἰσπορευθέντες κληρονοµήσατε τὴν γῆν, ἣν ὤµοσα τοῖς πατράσιν ὑµῶν τῷ Αβρααµ καὶ Ισαακ καὶ Ιακωβ δοῦναι αὐτοῖς καὶ τῷ σπέρµατι αὐτῶν µετ’ αὐτούς.	 Behold, God has delivered the land before you; go in and inherit the land, which I sware to your fathers, Abraam, and Isaac, and Jacob, to give it to them and to their seed after them.	
Deuteronomy	1	9	 ⲟⲩⲟϩ ⲁⲓϫⲟⲥ ⲛⲱⲧⲉⲛ ϧⲉⲛ ⲡⲓⲥⲏⲟⲩ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲉⲓϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ϯⲛⲁϣϫⲉⲙϫⲟⲙ ⲙ̀ⲙⲁⲩⲁⲧ ⲁⲛ ⲉ̀ϥⲁⲓ ⲙ̀ⲙⲱⲧⲉⲛ							 καὶ εἶπα πρὸς ὑµᾶς ἐν τῷ καιρῷ ἐκείνῳ λέγων Οὐ δυνήσοµαι µόνος φέρειν ὑµᾶς·	 And I spoke to you at that time, saying, I shall not be able by myself to bear you.	
Deuteronomy	1	10	 ⲡϭ̅ⲥ̅ ⲡⲉⲧⲉⲛⲛⲟⲩϯ ⲁϥⲑⲣⲉⲧⲉⲛⲁϣⲁⲓ ϩⲏⲡⲡⲉ ⲧⲉⲧⲉⲛⲟⲓ ⲙ̀ⲫⲟⲟⲩ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲛⲓⲥⲓⲟⲩ ⲛ̀ⲧⲉ ⲧⲫⲉ ϧⲉⲛ ⲡⲉⲧⲉⲛⲁϣⲁⲓ							 κύριος ὁ θεὸς ὑµῶν ἐπλήθυνεν ὑµᾶς, καὶ ἰδού ἐστε σήµερον ὡσεὶ τὰ ἄστρα τοῦ οὐρανοῦ τῷ πλήθει·	 The Lord your God has multiplied you, and, behold, ye are to-day as the stars of heaven for multitude.	
