book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Ecclesiastes	1				ⲉⲕⲕⲗⲏⲥ[ⲓⲁⲥⲧⲏ]ⲥ							ⲡⲉⲕⲗⲏⲥⲓⲁⲥⲧⲏⲥ ⲩ̅ⲩ̅ ⲛ̅ⲇ̅ⲁ̅ⲇ̅
Ecclesiastes	1	1	 		 ⲛ̈[[ⲛⲓⲛ]]ϣⲉϫⲓ ⲙ̈ⲡⲉⲕ[ⲕⲗⲏⲥⲓ]ⲁⲥⲧⲏⲥ ⲡϣⲏⲗⲉ ⲛ⳰ⲇ̅ⲇ̅ ⲡⲣⲣⲁ ⲙ⳰ⲡⲓ̅ⲥ̅ⲗ̅ ⲛ⳰ⲓ̈ϩ̅ⲉ̅ⲙ̅:					 Ῥήµατα Ἐκκλησιαστοῦ υἱοῦ Δαυιδ βασιλέως Ισραηλ ἐν Ιερουσαληµ.	 The words of the Preacher, the son of David, king of Israel in Jerusalem.	 ⲛⲁⲓ̈ ⲛⲉ ⲛ̅ϣⲁϫⲉ ⲙ̅ⲡⲉⲕⲕⲗⲏⲥⲓⲁⲥⲧⲏⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲇⲁⲩⲉⲓⲇ ⲉⲁϥⲣ̅ⲣ̅ⲣⲟ ⲉϫⲙ̅ ⲡⲓⲏⲗ ϩⲛ̅ ⲑⲓⲉⲗ̅ⲏ̅ⲙ̅
Ecclesiastes	1	2	 		 ⲉⲛⲡⲓϫⲉⲉⲓ ⲙ̈ⲡⲓϫⲉ[ⲉⲓ ⲡⲉϫ]ⲉ ⲡⲉⲕⲕⲗⲏⲥⲓⲁⲥⲧⲏⲥ⳾ ⲉⲛⲡⲓϫⲉⲓ ⲉⲛⲡⲓϫⲉⲓ ⲧⲏⲗⲟⲩ ⲛⲉ ⲡⲉϫⲉ ⲡ[ⲉⲕⲕⲗ]ⲏⲥⲓⲁⲥⲧⲏⲥ					 Ματαιότης µαταιοτήτων, εἶπεν ὁ Ἐκκλησιαστής, µαταιότης µαταιοτήτων, τὰ πάντα µαταιότης.	 Vanity of vanities, said the Preacher, vanity of vanities; all is vanity.	 ⲟⲩⲡⲉⲧϣⲟⲩⲉⲓⲧ ⲛ̅ⲙ̅ⲡⲉⲧϣⲟⲩⲉⲓⲧ ⲡⲉⲧϣⲟⲟⲡ ⲡⲉϫⲉ ⲡⲉⲕⲕⲗⲏⲥⲓⲁⲥⲧⲏⲥ ⲟⲩⲡⲉⲧϣⲟⲩⲉⲓⲧ ⲛ̅ⲙ̅ⲡⲉⲧϣⲟⲩⲉⲓⲧ ⲡⲉ ϩⲱⲃ ⲛⲓ̈ⲙ ⲉⲡⲉⲧϣⲟⲩⲉⲓⲧ ⲡⲉⲧⲛ̅ϩⲏⲧⲟⲩ
Ecclesiastes	1	3	 		 ⲟⲩⲙ ⲡⲉ ⲡⲉϩⲟⲩⲁ ⲙ⳰ⲡⲗⲱⲙⲓ ⲛ̈ϩⲓⲥⲓ ⲛⲓⲙⲓ ⲉⲧⲉϥ[ϩ]ⲁ[ⲥⲧϥ ⲉ]ⲗⲁϥ⳾ ⲛ̈ⲁⲗⲁϥ ⲙ̈ⲡⲣⲉ:					 τίς περισσεία τῷ ἀνθρώπῳ ἐν παντὶ µόχθῳ αὐτοῦ, ᾧ µοχθεῖ ὑπὸ τὸν ἥλιον;	 What advantage is there to a man in all his labour that he takes under the sun?	 ⲟⲩ ⲡⲉ ⲡⲉϩⲟⲩⲟ ⲙ̅ⲡⲣⲱⲙⲉ ⲉⲧϣⲟⲟⲡ ⲛⲁϥ ϩⲙ̅ ⲡⲉϥϩⲓ̈ⲥⲉ ⲧⲏⲣϥ̅ ⲡⲁⲓ̈ ⲉⲧϥϩⲁⲥⲉ ⲛ̅ϩⲏⲧϥ̅ ϩⲁⲣⲟϥ ⲙ̅ⲡⲣⲏ
Ecclesiastes	1	4	 		 ⲟⲩⲁⲛ ⲟⲩϫⲱⲙ ϣⲁϥϣⲏ ⲟⲩⲁⲛ ⲟⲩϫⲱⲙ ϣ[ⲁϥⲉⲓ⳾] ⲡⲕⲉϩⲓ ⲟϩⲓ ⲉⲗⲉⲧϥ ϣⲁ ⲉⲛⲉϩ⳾					 γενεὰ πορεύεται καὶ γενεὰ ἔρχεται, καὶ ἡ γῆ εἰς τὸν αἰῶνα ἕστηκεν.	 A generation goes, and a generation comes: but the earth stands for ever.	 ϫⲉ ⲟⲩⲅⲉⲛⲉⲁ ϣⲁⲥⲃⲱⲕ ⲛ̅ⲧⲉ ⲕⲉⲟⲩⲉⲓ ⲉⲓ ⲉⲡⲉⲥⲙⲁ ⲡⲕⲁϩ ⲇⲉ ϣⲟⲟⲡ ϣⲁ ⲉⲛⲉϩ
Ecclesiastes	1	5	 		 ϣⲁⲗⲉ ⲡⲣⲉ ϣⲉⲉⲓ⳾ ϣⲁⲗⲉ ⲡⲣⲉ ⲱ[ⲧⲡ ⲛ̈ϥⲥⲱⲕ] ⲉϩⲏⲉⲓ ⲉⲡⲉϥⲙⲉ:					 καὶ ἀνατέλλει ὁ ἥλιος καὶ δύνει ὁ ἥλιος καὶ εἰς τὸν τόπον αὐτοῦ ἕλκει·	 And the sun arises, and the sun goes down and draws toward its place;	 ⲁⲩⲱ ⲡⲣⲏ ϣⲁϥϣⲁ ⲛϥ̅ϩⲱⲧⲡ ̅ⲛϥ̅ⲥⲱⲕ ⲟⲛ ⲉϩⲣⲁⲓ̈ ⲉⲡⲉϥⲙⲁ
Ecclesiastes	1	6	 		 ⲉϣⲁϥϣⲉⲉⲓ ϣⲁϥϣⲏ ϩⲗⲏⲉⲓ ⲉⲡⲣⲏⲥ⳾ [ϣⲁϥⲕⲁ]ⲧϥ ϩⲗⲏⲉⲓ ⲉⲡⲉⲙⲓ̈ϩⲧ⳾ ⲛ̈ⲛⲟⲩⲕⲱⲧⲓ ϣⲁϥⲕⲁⲧϥ ϣⲁϥⲙⲁϣⲓ ϩ[ⲓⲛ] ⲟⲩⲕⲱϯ⳾ ⲁϩⲁ ϩⲗⲏⲉⲓ ⲛ̈ⲛⲉϥⲕⲁⲧⲥ ϣⲁⲗⲉ ⲡⲛ̅ⲁ̅ ⲕⲱϯ⳾					 ἀνατέλλων αὐτὸς ἐκεῖ πορεύεται πρὸς νότον καὶ κυκλοῖ πρὸς βορρᾶν· κυκλοῖ κυκλῶν, πορεύεται τὸ πνεῦµα, καὶ ἐπὶ κύκλους αὐτοῦ ἐπιστρέφει τὸ πνεῦµα.	 arising there it proceeds southward, and goes round toward the north. The wind goes round and round, and the wind returns to its circuits.	 ⲛ̅ⲧⲟϥ ⲉϥⲛⲁϣⲁ ϣⲁϥⲙⲟⲟϣⲉ ⲉⲡⲥⲁ ⲙ̅ⲡⲣⲏⲥ ⲁⲩⲱ ⲛϥ̅ⲕⲟⲧϥ̅ ⲉϣⲁϥⲕⲧⲟϥ ⲉⲡⲥⲁ ⲙ̅ⲡⲉⲙϩⲓ̈ⲧ ⲡⲉⲡⲛ̅ⲁ̅ ⲉϥⲙⲟⲟϣⲉ ⲉϥⲕⲱⲧⲉ ⲁⲩⲱ ϣⲁϥⲕⲧⲟϥ ⲉϩⲣⲁⲓ̈ ⲉⲛⲉϥⲕⲟⲧⲥ̅
Ecclesiastes	1	7	 		 ⲛ̈ⲙⲟⲩⲓ̈ⲉ ⲥⲱⲣⲟⲙ ⲧⲏⲗⲟⲩ ϣⲁⲩϣⲏ ϩⲗⲏⲉⲓ ⲉⲑⲁⲗⲁⲥⲥⲁ⳾ ⲑⲁⲗⲁⲥⲥⲁ ⲇⲉ ⲙ̈ⲃⲉⲥⲙⲟⲩϩ ⲁⲗⲁⲩ⳾ ⲡⲙⲉ ⲉⲧⲉϣⲁⲗⲉ ⲙ̈ⲙⲟⲩⲉⲓⲁⲓ ⲥⲱⲣⲟⲙ ϣⲏ ⲉⲙⲉⲟⲩ⳾ ϣⲁⲩⲕⲁⲧⲟⲩ ⲉⲙⲉⲟⲩ ⲉⲙ[ⲁ]ϣⲓ:					 πάντες οἱ χείµαρροι, πορεύονται εἰς τὴν θάλασσαν, καὶ ἡ θάλασσα οὐκ ἔσται ἐµπιµπλαµένη· εἰς τόπον, οὗ οἱ χείµαρροι πορεύονται, ἐκεῖ αὐτοὶ ἐπιστρέφουσιν τοῦ πορευθῆναι.	 All the rivers run into the sea; and yet the sea is not filled: to the place whence the rivers come, thither they return again.	 ⲙ̅ⲙⲟⲩⲛⲥⲱⲣⲙ̅ ⲧⲏⲣⲟⲩ ⲉⲩⲙⲟⲟϣⲉ ⲉϩⲣⲁⲓ̈ ⲉⲑⲁⲗⲁⲥⲥⲁ ⲁⲩⲱ ⲧⲉⲑⲁⲗⲁⲥⲥⲁ ⲙⲉⲥⲙⲟⲩϩ ϩⲁⲣⲟⲟⲩ ⲙ̅ⲙⲟⲩⲛⲥⲱⲣⲙ̅ ⲧⲏⲣⲟⲩ ϣⲁⲩⲙⲟⲟϣⲉ ⲉϩⲣⲁⲓ̈ ⲉⲛⲉⲩⲙⲁ ⲉϣⲁⲩⲙⲟⲟϣⲉ ⲛ̅ⲧⲟⲟⲩ ⲉⲧⲣⲉⲩⲃⲱⲕ ⲉⲡⲙⲁ ⲉⲧⲙ̅ⲙⲁⲩ
Ecclesiastes	1	8	 		 ⲛ̈ϣⲉϫⲓ ⲧⲏⲗⲟⲩ ⲥⲉϩⲁ[[ⲥⲓ]]ⲥⲓ: ⲙ̈ⲙⲁⲛ ϣϫⲁⲙ ⲛⲟⲩⲗⲱⲙⲓ ⲛ̈ϥϣⲉϫⲓ⳾ ⲙ̈[ⲙ]ⲁⲛ ⲟⲩⲃⲉⲗ ⲛ̈ⲛⲉⲥⲓ ⲙ̈ⲡⲓⲱⲣϩϩ ⲙ̈ⲙⲁⲛ ⲟⲩⲙⲉϫⲁ ⲛ̈ⲛⲉⲥⲓ ⲙ⳰ⲡⲥⲱⲧ[ⲟⲙ⳾]					 πάντες οἱ λόγοι ἔγκοποι· οὐ δυνήσεται ἀνὴρ τοῦ λαλεῖν, καὶ οὐκ ἐµπλησθήσεται ὀφθαλµὸς τοῦ ὁρᾶν, καὶ οὐ πληρωθήσεται οὖς ἀπὸ ἀκροάσεως.	 All things are full of labour; a man will not be able to speak of them: neither shall the eye be satisfied with seeing, neither shall the ear be filled with hearing.	 ⲛ̅ϣⲁϫⲉ ⲧⲏⲣⲟⲩ ⲥⲉϣⲁⲁⲧ ⲛ̅ⲛⲉϣ ⲡⲣⲱⲙⲉ ϣⲁϫⲉ ⲛ̅ϩⲏⲧⲟⲩ ⲁⲩⲱ ⲛ̅ⲛⲉϣ ⲡⲃⲁⲗ ⲥⲉⲓ ϩⲁ ⲡⲛⲁⲩ ⲁⲩⲱ ⲛ̅ⲛⲉϣ ⲡⲙⲁⲁϫⲉ ⲥⲉⲓ ϩⲁ ⲡⲥⲱⲧⲙ̅
Ecclesiastes	1	9	 		 [ⲟⲩⲙ ⲡⲉ] ⲛⲧⲁϥϣⲱⲡⲓ ⲛ̈ⲧⲁϥ ⲁⲛ ⲡⲉ⳾ ⲡⲉⲧⲛⲉϣⲱⲡⲓ⳾ ⲁ[ϩⲁ] ⲟⲩⲙ ⲡⲉ[ⲧⲁⲩⲧⲁⲙ(ⲙ)ⲓⲁϥ] ⲛ⳰ⲧⲁϥ ⲁⲛ ⲡⲉⲧⲟⲩⲛⲉ ⲧⲁⲙⲙⲓⲁϥ⳾ ⲁϩⲁ ⲙⲁ[ⲛ ⲗⲁⲡ]ⲥ ⲙ̈[ⲙⲟⲩⲓ̈ ϣⲁⲡ ⲛ̈ⲁⲗⲁⲥ] ⲛ̈ⲧⲧⲡⲡⲏ⳾					 τί τὸ γεγονός, αὐτὸ τὸ γενησόµενον· καὶ τί τὸ πεποιηµένον, αὐτὸ τὸ ποιηθησόµενον· καὶ οὐκ ἔστιν πᾶν πρόσφατον ὑπὸ τὸν ἥλιον.	 What is that which has been? the very thing which shall be: and what is that which has been done? the very thing which shall be done: and there is no new thing under the sun.	 ⲟⲩ ⲡⲉⲛⲧⲁϥϣⲱⲡⲉ ⲛ̅ⲧⲟϥ ⲟⲛ ⲡⲉⲧⲛⲁϣⲱⲡⲉ ⲟⲩ ⲡⲉⲛⲧⲁⲩⲧⲁⲙⲓ̈ⲟϥ ⲛ̅ⲧⲟϥ ⲟⲛ ⲡⲉⲧⲟⲩⲛⲁⲧⲁⲙⲓ̈ⲟϥ ⲁⲩⲱ ⲙⲛ̅ ⲗⲁⲁⲩ ⲛ̅ϩⲱⲃ ⲛ̅ⲃⲣ̅ⲣⲉ ϩⲁⲣⲱϥ ⲙ̅ⲡⲣⲏ
