book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Epistle of St. James	1		ⲉⲡⲓⲥⲧⲟⲗⲏ ⲓⲁⲕⲱⲃⲟⲥ									ⲧⲉⲡⲓⲥⲧⲟⲗⲏ ⲛ̅ⲓⲁⲕⲱⲃⲟⲥ
Epistle of St. James	1	1	 ⲓⲁⲕⲱⲃⲟⲥ ⲫⲃⲱⲕ ⲙ̀ⲫϯ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛ̀ϯⲓ̅ⲃ̅ ⲙ̀ⲫⲩⲗⲏ ⲉⲧⲭⲏ ϧⲉⲛ ⲡⲓϫⲱⲣ ⲉ̀ⲃⲟⲗ ⲭⲉⲣⲉ							 Ἰάκωβος θεοῦ καὶ κυρίου Ἰησοῦ Χριστοῦ δοῦλος ταῖς δώδεκα φυλαῖς ταῖς ἐν τῇ διασπορᾷ χαίρειν.	 James, (the) servant of God and our Lord Jesus Christ, to the twelve tribes who are in the dispersion, hail.	 ⲓⲁⲕⲱⲃⲟⲥ ⲡϩⲙ̅ϩⲁⲗ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉϥⲥϩⲁⲓ ⲛ̅ⲧⲙⲛ̅ⲧⲥⲛⲟⲟⲩⲥ ⲙ̅ⲫⲩⲗⲏ ⲉⲧϩⲛ̅ ⲧⲇⲓⲁⲥⲡⲟⲣⲁ. ⲭⲁⲓⲣⲉⲧⲉ.
Epistle of St. James	1	2	 ϣⲱⲡⲓ ϧⲉⲛ ⲣⲁϣⲓ ⲛⲓⲃⲉⲛ ⲛⲁⲥⲛⲏⲟⲩ ⲉ̀ϣⲱⲡ ⲁⲣⲉⲧⲉⲛϣⲁⲛⲣⲁⲟⲩⲟ ⲉ̀ϩⲁⲛⲡⲓⲣⲁⲥⲙⲟⲥ ⲛ̀ⲟⲩⲑⲟ ⲛ̀ⲣⲏϯ							 Πᾶσαν χαρὰν ἡγήσασθε, ἀδελφοί μου, ὅταν πειρασμοῖς περιπέσητε ποικίλοις,	 Be in all joy, my brethren, if ye should fall into various temptations;	 ⲟⲡϥ̅ ⲉⲩⲛⲟϭ ⲛ̅ⲣⲁϣⲉ. ⲛⲁⲥⲛⲏⲩ. ⲉⲧⲉⲧⲛ̅ϣⲁⲛⲉⲓ ⲉϩⲣⲁⲓ ⲉϩⲉⲛⲡⲉⲓⲣⲁⲥⲙⲟⲥ ⲉⲩϣⲟⲃⲉ.
Epistle of St. James	1	3	 ⲉⲣⲉⲧⲉⲛⲉⲙⲓ ϫⲉ ϯⲇⲟⲕⲓⲙⲏ ⲛⲧⲉ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲁⲥⲉⲣϩⲱⲃ ⲉ̀ⲟⲩϩⲩⲡⲟⲙⲟⲛⲏ							 γινώσκοντες ὅτι τὸ δοκίμιον ὑμῶν τῆς πίστεως κατεργάζεται ὑπομονήν·	 knowing that the proof of your faith worked [a] patience,	 ⲉⲧⲉⲧⲛ̅ⲥⲟⲟⲩⲛ ϫⲉ ⲧⲇⲟⲕⲓⲙⲏ ⲛ̅ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ ⲉⲥⲣ̅ϩⲱⲃ ⲉⲩϩⲩⲡⲟⲙⲟⲛⲏ.
Epistle of St. James	1	4	 ϯϩⲩⲡⲟⲙⲟⲛⲏ ⲇⲉ ⲙⲁⲣⲉ ⲟⲩϩⲱⲃ ⲉϥϫⲏⲕ ⲉ̀ⲃⲟⲗ ϣⲱⲡⲓ ⲛ̀ϧⲏⲧⲥ ϩⲓⲛⲁ ⲛ̀ⲧⲉⲧⲉⲛϣⲱⲡⲓ ⲉⲣⲉⲧⲉⲛϫⲏⲕ ⲉ̀ⲃⲟⲗ ⲟⲩⲟϩ ⲉⲣⲉⲧⲉⲛⲟⲩⲟϫ ⲛ̀ⲧⲉⲧⲉⲛϫⲟⲣϩ ⲛ̀ϩⲗⲓ ⲁⲛ							 ἡ δὲ ὑπομονὴ ἔργον τέλειον ἐχέτω, ἵνα ἦτε τέλειοι καὶ ὁλόκληροι, ἐν μηδενὶ λειπόμενοι.	 But [the] patience--let a complete work be in it (sc. patience), that ye may be complete and sound, and that ye may not be deficient of anything.	 ⲑⲩⲡⲟⲙⲟⲛⲏ ⲇⲉ ⲙⲁⲣⲉⲥϣⲱⲡⲉ ⲉⲩⲛ̅ⲧⲁⲥ ⲙ̅ⲙⲁⲩ ⲛ̅ⲟⲩϩⲱⲃ ⲛ̅ⲧⲉⲗⲉⲓⲟⲛ. ϫⲉⲕⲁⲁⲥ ⲉⲧⲉⲧⲛⲉϣⲱⲡⲉ ⲛ̅ⲧⲉⲗⲉⲓⲟⲥ ⲁⲩⲱ ⲉⲧⲉⲧⲛ̅ϫⲏⲕ ⲉⲃⲟⲗ ⲛ̅ⲧⲉⲧⲛ̅ϣⲁⲁⲧ ⲁⲛ ⲛ̅ⲗⲁⲁⲩ.
Epistle of St. James	1	5	 ⲓⲥϫⲉ ⲇⲉ ⲟⲩⲟⲛ ⲟⲩⲁⲓ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲉϥϫⲟⲣϩ ⲛ̀ⲥⲃⲱ ⲙⲁⲣⲉϥⲉⲣⲉⲧⲓⲛ ⲛ̀ⲧⲉⲛ ⲫϯ ⲫⲏ ⲉⲧϯ ⲛ̀ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲁⲡⲗⲱⲥ ⲛ̀ϥϣⲱϣϥ ⲁⲛ ⲟⲩⲟϩ ⲉⲩⲉ̀ϯ ⲛⲁϥ							 Εἰ δέ τις ὑμῶν λείπεται σοφίας, αἰτείτω παρὰ τοῦ διδόντος θεοῦ πᾶσιν ἁπλῶς καὶ μὴ ὀνειδίζοντος, καὶ δοθήσεται αὐτῷ·	 But if there is one among you deficient of wisdom, let him ask from God, who giveth to all simply, reproaching not; and it shall be given to him.	 ⲉϣϫⲉ ⲟⲩⲛ̅ ⲟⲩⲁ ⲇⲉ ⲙ̅ⲙⲱⲧⲛ̅ ϣⲁⲁⲧ ⲛ̅ⲟⲩⲥⲟⲫⲓⲁ. ⲙⲁⲣⲉϥⲁⲓⲧⲉⲓ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ. ⲉⲧϯ ⲛ̅ⲟⲩⲟⲛ ⲛⲓⲙ ϩⲁⲡⲗⲱⲥ. ⲉⲛϥ̅ⲛⲟϭⲛⲉϭ ⲁⲛ. ⲁⲩⲱ ϥⲛⲁϯ ⲛⲁϥ.
Epistle of St. James	1	6	 ⲙⲁⲣⲉϥⲉⲣⲉⲧⲓⲛ ⲇⲉ ϧⲉⲛ ⲟⲩⲛⲁϩϯ ⲛ̀ϥⲟⲓ ⲛ̀ϩⲏⲧ ⲃ̅ ⲁⲛ ⲫⲏ ⲅⲁⲣ ⲉⲧⲟⲓ ⲛ̀ϩⲏⲧ ⲃ̅ ⲁϥⲟⲓ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲛⲓϫⲟⲗ ⲛⲧⲉ ⲫⲓⲟⲙ ⲉⲣⲉ ⲡⲑⲏⲟⲩ ϭⲓ ⲙ̀ⲙⲱⲟⲩ ⲟⲩⲟϩ ⲉϥⲓⲛⲓ ⲙ̀ⲙⲱⲟⲩ							 αἰτείτω δὲ ἐν πίστει, μηδὲν διακρινόμενος, ὁ γὰρ διακρινόμενος ἔοικεν κλύδωνι θαλάσσης ἀνεμιζομένῳ καὶ ῥιπιζομένῳ·	 But let him ask in [a] faith, doubting not. For he who doubteth was as the waves of the sea, the wind taking them and bringing them.	 ⲙⲁⲣⲉϥⲁⲓⲧⲉⲓ ⲇⲉ ϩⲛ̅ ⲟⲩⲡⲓⲥⲧⲓⲥ ⲉⲛϥ̅ⲇⲓⲁⲕⲣⲓⲛⲉ ⲛ̅ⲗⲁⲁⲩ ⲁⲛ. ⲡⲉⲧⲇⲓⲁⲕⲣⲓⲛⲉ ⲅⲁⲣ ⲉϥⲟ ⲛ̅ⲑⲉ ⲛ̅ⲟⲩϩⲟⲉⲓⲙ ⲛ̅ⲧⲉ ⲑⲁⲗⲁⲥⲥⲁ. ⲉⲣⲉ ⲡⲧⲏⲩ ⲣⲱϩⲧ̅ ⲙ̅ⲙⲟϥ ⲁⲩⲱ ⲉϥϣⲱⲱϭⲉ ⲙ̅ⲙⲟϥ.
Epistle of St. James	1	7	 ⲙ̀ⲡⲉⲛⲑⲣⲉϥⲙⲉⲩⲓ ⲅⲁⲣ ⲛⲁϥ ⲛ̀ϫⲉ ⲡⲓⲣⲱⲙⲓ ⲉⲧⲉⲙ̀ⲙⲁⲩ ϫⲉ ϥⲛⲁϭⲓ ϩⲗⲓ ⲛ̀ⲧⲟⲧϥ ⲙ̀ⲡϭ̅ⲥ̅							 μὴ γὰρ οἰέσθω ὁ ἄνθρωπος ἐκεῖνος ὅτι λήμψεταί τι παρὰ τοῦ κυρίου	 For let not that man think to himself, that he will take anything from the Lord;	 ⲙ̅ⲡⲣ̅ⲧⲣⲉϥⲙⲉⲉⲩⲉ ⲅⲁⲣ ⲛ̅ϭⲓ ⲡⲣⲱⲙⲉ ⲉⲧⲙ̅ⲙⲁⲩ ϫⲉ ϥⲛⲁϫⲓ ⲗⲁⲁⲩ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅ ⲙ̅ⲡϫⲟⲉⲓⲥ.
Epistle of St. James	1	8	 ⲡⲓⲣⲱⲙⲓ ⲇⲉ ⲉⲧⲟⲓ ⲛ̀ϩⲏⲧ ⲃ̅ ⲟⲩⲁⲧⲥⲉⲙⲛⲓ ⲡⲉ ϩⲓ ⲛⲉϥⲙⲱⲓⲧ ⲧⲏⲣⲟⲩ							 ἀνὴρ δίψυχος, ἀκατάστατος ἐν πάσαις ταῖς ὁδοῖς αὐτοῦ.	 but the man who doubteth is unsteady on all his ways.	 ⲡⲣⲱⲙⲉ ⲛ̅ϩⲏⲧ ⲥⲛⲁⲩ ϥϣⲧⲣ̅ⲧⲱⲣ ϩⲣⲁⲓ ϩⲛ̅ ⲛⲉϥϩⲓⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ.
Epistle of St. James	1	9	 ⲙⲁⲣⲉϥϣⲟⲩϣⲟⲩ ⲇⲉ ⲙ̀ⲙⲟϥ ⲛ̀ϫⲉ ⲡⲓⲥⲟⲛ ⲉⲧⲑⲉⲃⲏⲟⲩⲧ ϧⲉⲛ ⲡⲉϥϭⲓⲥⲓ							 Καυχάσθω δὲ ὁ ἀδελφὸς ὁ ταπεινὸς ἐν τῷ ὕψει αὐτοῦ,	 But let the brother who is in humble (position) boast himself in his exaltation:	 ⲙⲁⲣⲉϥϣⲟⲩϣⲟⲩ ⲇⲉ ⲙ̅ⲙⲟϥ ⲛ̅ϭⲓ ⲡⲥⲟⲛ ⲉⲧⲑⲃ̅ⲃⲓⲏⲩ ϩⲣⲁⲓ ϩⲙ̅ ⲡⲉϥϫⲓⲥⲉ.
