book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Epistle to Philemon	1		ⲡⲣⲟⲥ ⲫⲓⲗⲓⲙⲱⲛ ⲓ̅ⲇ̅									
Epistle to Philemon	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲉⲧⲥⲟⲛϩ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲛⲉⲙ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲓⲥⲟⲛ ⲛ̀ⲫⲩⲗⲓⲙⲱⲛ ⲡⲉⲛⲙⲉⲛⲣⲓⲧ ⲟⲩⲟϩ ⲡⲉⲛϣⲫⲏⲣ ⲛ̀ⲣⲉϥⲉⲣϩⲱⲃ							 Παῦλος δέσμιος Χριστοῦ Ἰησοῦ καὶ Τιμόθεος ὁ ἀδελφὸς Φιλήμονι τῷ ἀγαπητῷ καὶ συνεργῷ ἡμῶν	 Paul, the prisoner of Christ Jesus, and Timotheos the brother, to Phylimōn our beloved, and our fellow-worker,	 ⲡⲁⲩⲗⲟⲥ ⲡⲉⲧⲙⲏⲣ ⲛ̅ⲧⲉ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲙⲛ̅ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲥⲟⲛ ⲉⲩⲥϩⲁⲓ ⲙ̅ⲫⲓⲗⲏⲙⲱⲛ ⲡⲙⲉⲣⲓⲧ ⲁⲩⲱ ⲡⲉⲛϣⲃ̅ⲣⲣ̅ϩⲱⲃ
Epistle to Philemon	1	2	 ⲛⲉⲙ ⲁⲡⲫⲓⲁ ϯⲥⲱⲛⲓ ⲛⲉⲙ ⲁⲣⲭⲓⲡⲡⲟⲥ ⲡⲉⲛϣⲫⲏⲣ ⲙ̀ⲙⲁⲧⲟⲓ ⲛⲉⲙ ϯⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲡⲟⲩⲏⲓ							 καὶ Ἀπφίᾳ τῇ ἀδελφῇ καὶ Ἀρχίππῳ τῷ συστρατιώτῃ ἡμῶν καὶ τῇ κατʼ οἶκόν σου ἐκκλησίᾳ·	 and Apphia the sister, and Archippos our fellow-soldier, and the church of their house.	 ⲙⲛ̅ ⲁⲙⲫⲓⲁ ⲧⲙⲉⲣⲓⲧ ⲙⲛ̅ ⲁⲣⲭⲓⲡⲡⲟⲥ ⲡⲉⲛϣⲃ̅ⲣⲙⲁⲧⲟⲓ. ⲙⲛ̅ ⲧⲥⲟⲟⲩϩⲥ̅ ⲉⲧϩⲙ̅ ⲡⲉⲕⲏⲓ.
Epistle to Philemon	1	3	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.	 (The) grace to you and (the) peace from God our Father and our Lord Jesus Christ.	 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:
Epistle to Philemon	1	4	 ϯϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲡⲁⲛⲟⲩϯ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ⲉⲓⲓⲣⲓ ⲙ̀ⲡⲉⲕⲙⲉⲩⲓ ϧⲉⲛ ⲛⲁⲡⲣⲟⲥⲉⲩⲭⲏ							 Εὐχαριστῶ τῷ θεῷ μου πάντοτε μνείαν σου ποιούμενος ἐπὶ τῶν προσευχῶν μου,	 I give thanks to my God always, remembering thee in my prayers.	 ϯϣⲡ̅ϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲁⲛⲟⲩⲧⲉ ⲛ̅ⲟⲩⲟⲓϣ ⲛⲓⲙ. ⲉⲓⲉⲓⲣⲉ ⲙ̅ⲡⲉⲕⲙⲉⲉⲩⲉ ϩⲛ̅ ⲛⲁϣⲗⲏⲗ
Epistle to Philemon	1	5	 ⲁⲓⲥⲱⲧⲉⲙ ⲉⲑⲃⲉ ⲧⲉⲕⲁⲅⲁⲡⲏ ⲛⲉⲙ ⲡⲉⲕⲛⲁϩϯ ⲫⲁⲓ ⲉⲧⲉⲛ̀ⲧⲁⲕ ⲙ̀ⲙⲁⲩ ϧⲉⲛ ⲡϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲛⲉⲙ ⲛⲓⲁⲅⲓⲟⲥ ⲧⲏⲣⲟⲩ							 ἀκούων σου τὴν ἀγάπην καὶ τὴν πίστιν ἣν ἔχεις πρὸς τὸν κύριον Ἰησοῦν καὶ εἰς πάντας τοὺς ἁγίους,	 I heard concerning thy love and thy faith, this which thou hast in the Lord Jesus, and (to) all the saints;	 ⲉⲓⲥⲱⲧⲙ̅ ⲉⲧⲉⲕⲡⲓⲥⲧⲓⲥ ⲙⲛ̅ ⲧⲉⲕⲁⲅⲁⲡⲏ ⲉⲧⲉⲩⲛ̅ⲧⲁⲕⲥ̅ ⲉϩⲟⲩⲛ ⲉⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅. ⲁⲩⲱ ⲉϩⲟⲩⲛ ⲉⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ.
Epistle to Philemon	1	6	 ϩⲟⲡⲱⲥ ϯⲙⲉⲧϣⲫⲏⲣ ⲛ̀ⲧⲉ ⲡⲉⲕⲛⲁϩϯ ⲛ̀ⲧⲉⲥϣⲱⲡⲓ ⲉⲥⲉⲣϩⲱⲃ ϧⲉⲛ ⲡⲥⲟⲩⲉⲛ ⲁⲅⲁⲑⲟⲛ ⲛⲓⲃⲉⲛ ⲫⲁⲓ ⲉⲧϧⲉⲛ ⲑⲏⲛⲟⲩ ⲉ̀ⲡⲭ̅ⲥ̅							 ὅπως ἡ κοινωνία τῆς πίστεώς σου ἐνεργὴς γένηται ἐν ἐπιγνώσει παντὸς ἀγαθοῦ τοῦ ἐν ἡμῖν εἰς Χριστόν·	 That the fellowship of thy faith may become working in (the) knowledge of all good, this which is in you unto Christ.	 ϫⲉ ⲉⲣⲉ ⲧⲕⲟⲓⲛⲱⲛⲓⲁ ⲛ̅ⲧⲉⲕⲡⲓⲥⲧⲓⲥ ϣⲱⲡⲉ ⲉⲥⲉⲛⲉⲣⲅⲓ ϩⲙ̅ ⲡⲥⲟⲟⲩⲛ ⲙ̅ⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲛⲓⲙ ⲉⲧⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅ ⲉϩⲟⲩⲛ ⲉⲡⲉⲭ̅ⲥ̅:
Epistle to Philemon	1	7	 ⲁⲓϭⲓ ⲅⲁⲣ ⲛ̀ⲟⲩⲛⲓϣϯ ⲛ̀ⲣⲁϣⲓ ⲛⲉⲙ ⲟⲩⲛⲟⲙϯ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲧⲉⲕⲁⲅⲁⲡⲏ ϫⲉ ⲛⲓⲙⲉⲧϣⲁⲛⲑⲙⲁϧⲧ ⲛ̀ⲧⲉ ⲛⲓⲁⲅⲓⲟⲥ ⲁⲩⲙⲧⲟⲛ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧⲕ ⲡⲓⲥⲟⲛ							 χαρὰν γὰρ πολλὴν ἔσχον καὶ παράκλησιν ἐπὶ τῇ ἀγάπῃ σου, ὅτι τὰ σπλάγχνα τῶν ἁγίων ἀναπέπαυται διὰ σοῦ, ἀδελφέ.	 For I received a great joy and [a] comfort in (ea,. exert) thy love. Because the inmost heart of the saints was rested through thee, [the] brother.	 ⲁⲓⲣ̅ⲟⲩⲛⲟϭ ⲅⲁⲣ ⲛ̅ⲣⲁϣⲉ ⲙⲛ̅ ⲟⲩⲥⲟⲗⲥⲗ̅ ⲉϩⲣⲁⲓ ⲉϫⲛ̅ ⲧⲉⲕⲁⲅⲁⲡⲏ. ϫⲉ ⲁⲛⲉⲥⲡⲗⲁⲅⲭⲛⲟⲛ ⲛ̅ⲛⲉⲧⲟⲩⲁⲁⲃ ⲙ̅ⲧⲟⲛ ⲙ̅ⲙⲟⲟⲩ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲕ̅ ⲡⲥⲟⲛ.
Epistle to Philemon	1	8	 ⲉⲑⲃⲉⲫⲁⲓ ⲟⲩⲟⲛ ⲛ̀ⲧⲏⲓ ⲙ̀ⲙⲁⲩ ⲛ̀ⲟⲩⲛⲓϣϯ ⲙ̀ⲡⲁⲣⲣⲏⲥⲓⲁ ϧⲉⲛ ⲡϭ̅ⲥ̅ ⲉ̀ⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛⲁⲕ ⲛ̀ⲛⲏ ⲉⲧⲥϣⲉ							 Διό, πολλὴν ἐν Χριστῷ παρρησίαν ἔχων ἐπιτάσσειν σοι τὸ ἀνῆκον,	 Therefore I have a great boldness in the Lord to command thee the things which are right:	 ⲉⲧⲃⲉ ⲡⲁⲓ ⲉⲩⲛ̅ⲧⲁⲓ ⲙ̅ⲙⲁⲩ ⲛ̅ⲟⲩⲛⲟϭ ⲙ̅ⲡⲁⲣϩⲏⲥⲓⲁ ϩⲙ ⲡⲉⲭ̅ⲥ̅ ⲉⲟⲩⲉϩⲥⲁϩⲛⲉ ⲛⲁⲕ ⲙ̅ⲡⲉⲧⲉϣϣⲉ
Epistle to Philemon	1	9	 ⲉⲑⲃⲉ ⲧⲁⲅⲁⲡⲏ ⲙⲁⲗⲗⲟⲛ ϯϯϩⲟ ⲉ̀ⲣⲟⲕ ⲟⲩⲁⲓ ⲙ̀ⲡⲁⲓⲣⲏϯ ϩⲱ ⲡⲁⲩⲗⲟⲥ ⲡⲓϧⲉⲗⲗⲟⲓ ϯⲛⲟⲩ ⲇⲉ ⲟⲛ ⲡⲉⲧⲥⲟⲛϩ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅							 διὰ τὴν ἀγάπην μᾶλλον παρακαλῶ, τοιοῦτος ὢν ὡς Παῦλος πρεσβύτης νυνὶ δὲ καὶ δέσμιος Χριστοῦ Ἰησοῦ—	 because of (the) love rather I beseech thee, one such as I, Paul the old man, but now also the prisoner of Christ Jesus:	 ⲉⲧⲃⲉ ⲧⲁⲅⲁⲡⲏ ⲛ̅ϩⲟⲩⲟ. ⲉⲓⲡⲁⲣⲁⲕⲁⲗⲉⲓ. ⲉⲓⲟ ⲛ̅ⲧⲉⲉⲓⲙⲓⲛⲉ ϩⲱⲥ ⲡⲁⲩⲗⲟⲥ ⲡⲛⲟϭ ⲉⲣⲟⲕ ⲧⲉⲛⲟⲩ ⲇⲉ ⲟⲛ ⲉⲓⲙⲏⲣ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅.
