book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Epistle to the Philippians	1		ⲡⲣⲟⲥ ⲫⲓⲗⲓⲡⲡⲟⲓⲥ ⲋ̅ ⲁ̅									
Epistle to the Philippians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲛⲉⲙ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲛⲓⲉⲃⲓⲁⲓⲕ ⲛ̀ϫⲉ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲛ̀ⲛⲓⲁⲅⲓⲟⲥ ⲛⲏ ⲉⲧϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲛⲏ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲫⲓⲗⲓⲡⲡⲟⲓⲥ ⲛⲉⲙ ⲛⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛⲉⲙ ⲛⲓⲇⲓⲁⲕⲱⲛ							 Παῦλος καὶ Τιμόθεος δοῦλοι Χριστοῦ Ἰησοῦ πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ τοῖς οὖσιν ἐν Φιλίπποις σὺν ἐπισκόποις καὶ διακόνοις·	 Paul and Timotheos, the servants of Christ Jesus, to all the saints who are in Christ Jesus who are in Philippois, with the bishops and the deacons:	 ⲡⲁⲩⲗⲟⲥ ⲙⲛ̅ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲛ̅ϩⲙ̅ϩⲁⲗ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅. ⲉⲩⲥϩⲁⲓ ⲛ̅ⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅. ⲛⲁⲓ ⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲛ̅ⲉⲫⲓⲗⲓⲡⲡⲟⲥ. ⲙⲛ̅ ⲛ̅ⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲁⲩⲱ ⲛ̅ⲇⲓⲁⲕⲟⲛⲟⲥ.
Epistle to the Philippians	1	2	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.	 (the) grace to you and (the) peace from God our Father and our Lord Jesus Christ.	 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉ̅ⲭⲥ̅:
Epistle to the Philippians	1	3	 ϯϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲡⲁⲛⲟⲩϯ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲡⲉⲧⲉⲛⲙⲉⲩⲓ ⲧⲏⲣϥ							 Εὐχαριστῶ τῷ θεῷ μου ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	 I give thanks to my God for all your remembrance	 ϯϣⲡϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲁⲛⲟⲩⲧⲉ ⲉϩⲣⲁⲓ ⲉϫⲙ̅ ⲡⲉⲧⲛ̅ⲣ̅ⲡⲙⲉⲉⲩⲉ ⲧⲏⲣϥ̅.
Epistle to the Philippians	1	4	 ⲉ̀ϯⲣⲁ ⲙ̀ⲙⲟϥ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ϧⲉⲛ ⲛⲁⲧⲱⲃϩ ⲧⲏⲣⲟⲩ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲧⲏⲣⲟⲩ ϧⲉⲛ ⲟⲩⲣⲁϣⲓ ⲉⲓⲓⲣⲓ ⲙ̀ⲡⲓⲧⲱⲃϩ							 πάντοτε ἐν πάσῃ δεήσει μου ὑπὲρ πάντων ὑμῶν, μετὰ χαρᾶς τὴν δέησιν ποιούμενος,	 which I make always in all my prayers for you all in [a] joy making the prayer	 ϩⲛ̅ ⲛⲁⲥⲟⲡⲥ̅ ⲧⲏⲣⲟⲩ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲁⲣⲱⲧⲛ̅ ⲧⲏⲣⲧⲛ̅. ⲉⲓⲉⲓⲣⲉ ⲙ̅ⲡⲁⲥⲟⲡⲥ̅ ϩⲛ̅ ⲟⲩⲣⲁϣⲉ
Epistle to the Philippians	1	5	 ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲧⲉⲧⲉⲛⲙⲉⲧϣⲫⲏⲣ ⲉⲧⲁⲥϣⲱⲡⲓ ⲙ̀ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲓⲥϫⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲛ̀ϩⲟⲩⲓⲧ ϣⲁ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϯⲛⲟⲩ							 ἐπὶ τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον ἀπὸ τῆς πρώτης ἡμέρας ἄχρι τοῦ νῦν,	 for your fellowship which was with the Gospel from the first day up to now;	 ⲉϫⲛ̅ ⲧⲉⲧⲛ̅ⲕⲟⲓⲛⲱⲛⲓⲁ ⲉϩⲟⲩⲛ ⲉⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ. ϫⲓⲛ ⲙ̅ⲡϣⲟⲣⲡ̅ ⲛ̅ϩⲟⲟⲩ ϣⲁϩⲣⲁⲓ ⲉⲧⲉⲛⲟⲩ.
Epistle to the Philippians	1	6	 ⲉⲣⲉ ⲡⲁϩⲏⲧ ⲑⲏⲧ ⲉ̀ϫⲉⲛ ⲫⲁⲓ ϫⲉ ⲫⲏ ⲉⲧⲁϥⲉⲣϩⲏⲧⲥ ϧⲉⲛ ⲑⲏⲛⲟⲩ ϥⲛⲁϫⲉⲕ ⲟⲩϩⲱⲃ ⲉ̀ⲛⲁⲛⲉϥ ⲉ̀ⲃⲟⲗ ϣⲁ ⲡⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 πεποιθὼς αὐτὸ τοῦτο ὅτι ὁ ἐναρξάμενος ἐν ὑμῖν ἔργον ἀγαθὸν ἐπιτελέσει ἄχρι ἡμέρας Χριστοῦ Ἰησοῦ·	 being persuaded about this, that he who began in you will complete a good work unto the day of Jesus Christ.	 ⲉⲓⲧⲏⲕ ⲛ̅ϩⲏⲧ ⲙ̅ⲡⲁⲓ ϫⲉ ⲡⲉⲛⲧⲁϥⲁⲣⲭⲓ ⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅ ⲙ̅ⲡϩⲱⲃ ⲉⲧⲛⲁⲛⲟⲩϥ. ϥⲛⲁϫⲟⲕϥ̅ ⲉⲃⲟⲗ ϣⲁ ⲡⲉϩⲟⲟⲩ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉ̅ⲭⲥ̅.
Epistle to the Philippians	1	7	 ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲉ ⲟⲩϩⲱⲃ ⲙ̀ⲙⲏⲓ ⲛⲏⲓ ⲡⲉ ⲫⲁⲓ ⲉⲩⲙⲉⲩⲓ ⲉⲣⲟϥ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲧⲏⲣⲟⲩ ⲉⲑⲃⲉ ϫⲉ ⲧⲉⲧⲉⲛⲭⲏ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲡⲁϩⲏⲧ ⲛⲉⲙ ϧⲉⲛ ⲛⲁⲥⲛⲁⲩϩ ⲛⲉⲙ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲧⲁⲁⲡⲟⲗⲟⲅⲓⲁ ⲛⲉⲙ ⲡⲧⲁϫⲣⲟ ⲛ̀ⲧⲉ ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲉⲣⲉⲧⲉⲛⲟⲓ ⲛ̀ϣⲫⲏⲣ ⲉ̀ⲡⲓϩⲙⲟⲧ ⲧⲏⲣⲟⲩ ⲛⲉⲙⲏⲓ							 καθώς ἐστιν δίκαιον ἐμοὶ τοῦτο φρονεῖν ὑπὲρ πάντων ὑμῶν, διὰ τὸ ἔχειν με ἐν τῇ καρδίᾳ ὑμᾶς, ἔν τε τοῖς δεσμοῖς μου καὶ ἐν τῇ ἀπολογίᾳ καὶ βεβαιώσει τοῦ εὐαγγελίου συγκοινωνούς μου τῆς χάριτος πάντας ὑμᾶς ὄντας·	 According as it is a righteous work for me to think this about you all, because that ye are in my heart; and in my bonds, and in my defence and (the) confirMatthewion of the Gospel ye all are sharing the grace with me.	 ⲕⲁⲧⲁ ⲑⲉ ⲉⲩⲇⲓⲕⲁⲓⲟⲛ ⲛⲁⲓ ⲡⲉ ⲉⲙⲉⲉⲩⲉ ⲉⲡⲁⲓ ϩⲁⲣⲱⲧⲛ̅ ⲧⲏⲣⲧⲛ̅. ⲉⲃⲟⲗ ϫⲉ ⲧⲉⲧⲛ̅ϣⲟⲟⲡ ϩⲙ̅ ⲡⲁϩⲏⲧ ϩⲣⲁⲓ ϩⲛ̅ ⲛⲁⲙⲣ̅ⲣⲉ. ⲙⲛ̅ ⲧⲁⲁⲡⲟⲗⲟⲅⲓⲁ. ⲙⲛ̅ ⲡⲧⲁϫⲣⲟ ⲙ̅ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ. ⲉⲧⲉⲧⲛ̅ⲟ ⲛ̅ⲥⲩⲅⲕⲟⲓⲛⲱⲛⲟⲥ ⲧⲏⲣⲧⲛ̅ ⲛⲙ̅ⲙⲁⲓ ⲛ̅ⲧⲉⲭⲁⲣⲓⲥ.
Epistle to the Philippians	1	8	 ⲡⲁⲙⲉⲑⲣⲉ ⲅⲁⲣ ⲡⲉ ⲫϯ ⲙ̀ⲫⲣⲏϯ ⲉ̀ϯⲙⲉⲓ ⲙ̀ⲙⲱⲧⲉⲛ ⲧⲏⲣⲟⲩ ϧⲉⲛ ⲛⲓⲙⲉⲧϣⲁⲛⲑⲙⲁϧⲧ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 μάρτυς γάρ μου ὁ θεός, ὡς ἐπιποθῶ πάντας ὑμᾶς ἐν σπλάγχνοις Χριστοῦ Ἰησοῦ.	 For God is my witness, how I love you all in the tender mercies of Jesus Christ.	 ⲡⲁⲙⲛ̅ⲧⲣⲉ ⲅⲁⲣ ⲡⲉ ⲡⲛⲟⲩⲧⲉ ⲛ̅ⲑⲉ ⲉϯⲟⲩⲉϣ ⲧⲏⲩⲧⲛ̅ ⲧⲏⲣⲧⲛ̅ ϩⲛ̅ ⲙⲛ̅ⲧϣⲁⲛϩⲧⲏϥ ⲙ̅ⲡⲉⲭ̅ⲥ̅.
Epistle to the Philippians	1	9	 ⲟⲩⲟϩ ⲫⲁⲓ ⲡⲉϯⲧⲱⲃϩ ⲉⲑⲃⲏⲧϥ ϩⲓⲛⲁ ⲧⲉⲧⲉⲛⲁⲅⲁⲡⲏ ⲉⲧⲓ ⲙⲁⲗⲗⲟⲛ ⲕⲉⲙⲁⲗⲗⲟⲛ ⲛ̀ⲧⲉⲥⲉⲣϩⲟⲩⲟ ϧⲉⲛ ⲡⲉⲙⲓ ⲛⲉⲙ ⲉⲥⲑⲉⲥⲓⲥ ⲛⲓⲃⲉⲛ							 καὶ τοῦτο προσεύχομαι ἵνα ἡ ἀγάπη ὑμῶν ἔτι μᾶλλον καὶ μᾶλλον περισσεύῃ ἐν ἐπιγνώσει καὶ πάσῃ αἰσθήσει,	 And this is that concerning which I pray, that your love yet more and more may abound in (the) knowledge and all discernment;	 ⲁⲩⲱ ⲉⲓϣⲗⲏⲗ ⲉⲡⲁⲓ. ϫⲉⲕⲁⲁⲥ ⲉⲣⲉⲧⲉⲧⲛ̅ⲁⲅⲁⲡⲏ ⲣ̅ϩⲟⲩⲟ ⲉⲙⲁⲧⲉ. ⲉⲙⲁⲧⲉ. ϩⲙ̅ ⲡⲥⲟⲟⲩⲛ. ⲙⲛ̅ ⲁⲓⲥⲑⲏⲥⲓⲥ ⲛⲓⲙ.
