book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Esther	A	1	 							 Ἔτους δευτέρου βασιλεύοντος Ἀρταξέρξου τοῦ µεγάλου τῇ µιᾷ τοῦ Νισα ἐνύπνιον εἶδεν Μαρδοχαῖος ὁ τοῦ Ιαϊρου τοῦ Σεµεϊου τοῦ Κισαιου ἐκ φυλῆς Βενιαµιν,	 In the second year of the reign of Artaxerxes the great king, on the first day of Nisan, Mardochaeus the son of Jarius, the son of Semeias, the son of Cisaus, of the tribe of Benjamine,	 (11:2) ϩⲛ̅ ⲧⲥⲡⲉⲥⲛ̅ⲧⲉ ⲉϥⲟ ⲛ̅ⲣ̅ⲣⲟ ⲛ̅ϭⲓ̈ ⲡⲛⲟϭ ⲛ̅ⲛ̅ⲁⲣⲇⲁⲝⲉⲣⲝⲏⲥ ⲛ̅ⲥⲟⲩⲁⲛ ⲙ̅ⲡⲉⲃⲟⲧ ⲛ̅ⲛⲓⲥⲁⲛ ⲙⲁⲣⲇⲟⲭⲁⲓⲟⲥ ⲁϥⲛⲁⲩ ⲉⲩⲣⲁⲥⲟⲩ ⲡϣⲏⲣⲉ ⲛ̅ⲉⲓⲁⲓⲣⲟⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲥⲉⲙⲉⲓ ⲡϣⲏⲣⲉ ⲛ̅ϭⲓⲥⲥⲁⲓⲟⲥ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲉⲫⲩⲗⲏ ⲛ̅ⲃⲉⲛⲓⲁⲙⲓⲛ
Esther	A									 ἄνθρωπος Ιουδαῖος οἰκῶν ἐν Σούσοις τῇ πόλει, ἄνθρωπος µέγας θεραπεύων ἐν τῇ αὐλῇ τοῦ βασιλέως·	a Jew dwelling in the city Susa, a great man, serving in the king's palace, saw a vision.	 (11:3) ⲟⲩⲛⲟϭ ⲛ̅ⲣⲱⲙⲉ ⲛ̅ⲓ̈ⲟⲩⲇⲁ ⲉϥⲟⲩⲏϩ ϩⲛ̅ ⲥⲟⲩⲥⲟⲥ ⲉϥϣⲙ̅ϣⲉ ϩⲛ̅ ⲧⲁⲩⲗⲏ ⲙ̅ⲡⲣ̅ⲣⲟ
Esther	A									 ἦν δὲ ἐκ τῆς αἰχµαλωσίας, ἧς ᾐχµαλώτευσεν Ναβουχοδονοσορ ὁ βασιλεὺς Βαβυλῶνος ἐξ Ιερουσαληµ µετὰ Ιεχονιου τοῦ βασιλέως τῆς Ιουδαίας.	Now he was of the captivity which Nabuchodonosor king of Babylon had carried captive from Jerusalem, with Jachonias the king of Judea.	 (11:4) ⲧⲁⲓⲭⲙⲁⲗⲱⲥⲓⲁ ⲉⲛⲧⲁ ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ ⲡⲣ̅ⲣⲟ ⲛ̅ⲧⲃⲁⲃⲩⲗⲱⲛ ⲁⲓⲭⲙⲁⲗⲱⲧⲓⲍⲉ ⲙ̅ⲙⲟⲥ ⲉⲃⲟⲗ ϩⲛ̅ ⲑⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲙⲛ̅ ⲓ̈ⲉⲭⲟⲛⲓⲁⲥ ⲡⲣ̅ⲣⲟ ⲛ̅ϯⲟⲩⲇⲁⲓⲁ
Esther	A									 καὶ τοῦτο αὐτοῦ τὸ ἐνύπνιον· καὶ ἰδοὺ φωναὶ καὶ θόρυβος, βρονταὶ καὶ σεισµός, τάραχος ἐπὶ τῆς γῆς·	And this was his dream: Behold, voices and a noise, thunders and earthquake, tumult upon the earth.	 (11:5) ⲁⲩⲱ ⲧⲁⲓ̈ ⲧⲉ ⲧⲣⲁⲥⲟⲩ ⲉⲓⲥ ϩⲉⲛϩⲣⲟⲟⲩ ⲛ̅ϣⲧⲟⲣⲧⲣ̅ ϩⲉⲛϩⲣⲟⲩⲃⲁⲓ̈ ⲙⲛ̅ ⲟⲩⲕⲙ̅ⲧⲟ ⲙⲛ̅ ⲟⲩϣⲧⲟⲣⲧⲣ̅ ϩⲓϫⲙ̅ ⲡⲕⲁϩ
Esther	A		 							 καὶ ἰδοὺ δύο δράκοντες µεγάλοι ἕτοιµοι προῆλθον ἀµφότεροι παλαίειν, καὶ ἐγένετο αὐτῶν φωνὴ µεγάλη·	And, behold, two great serpents came forth, both ready for conflict, and there came from them a great voice,	 (11:6) ⲉⲓⲥ ⲛⲟϭ ⲥⲛⲁⲩ ⲛ̅ⲇⲣⲁⲕⲱⲛ ⲉⲩⲥⲃ̅ⲧⲱⲧ ⲁⲩϯ ⲡⲉⲩⲟⲩⲟⲓ̈ ⲉϩⲟⲩⲛ ⲉⲙⲓϣⲉ ⲙⲛ̅ ⲛⲉⲩⲉⲣⲏⲩ ⲡⲉⲩϩⲣⲟⲟⲩ ⲁϥϫⲓⲥⲉ
Esther	A									 καὶ τῇ φωνῇ αὐτῶν ἡτοιµάσθη πᾶν ἔθνος εἰς πόλεµον ὥστε πολεµῆσαι δικαίων ἔθνος.	and by their voice every nation was prepared for battle, even to fight against the nation of the just.	 (11:7) ⲁⲩⲱ ϩⲙ̅ ⲡⲉⲩϩⲣⲟⲟⲩ ⲁⲩⲥⲃ̅ⲧⲉ ⲛ̅ϩⲉⲑⲛⲟⲥ ⲧⲏⲣⲟⲩ ⲉⲩⲡⲟⲗⲉⲙⲟⲥ ⲁⲩⲱ ⲟⲩⲕⲁⲓⲣⲟⲥ ⲉⲡⲟⲗⲉⲙⲓ ⲙⲛ̅ ⲟⲩϩⲉⲑⲛⲟⲥ
Esther	A		 							 καὶ ἰδοὺ ἡµέρα σκότους καὶ γνόφου, θλῖψις καὶ στενοχωρία, κάκωσις καὶ τάραχος µέγας ἐπὶ τῆς γῆς·	And, behold, a day of darkness and blackness, tribulation and anguish, affection and tumult upon the earth.	 (11:8) ⲟⲩϩⲟⲟⲩ ⲛ̅ⲕⲁⲕⲉ ϩⲓ ϭⲟⲥⲙ̅ ⲟⲩⲑⲗⲓⲯⲓⲥ ⲙⲛ̅ ⲟⲩϣⲧⲟⲣⲧⲣ̅ ⲁⲩⲱ ⲟⲩⲛⲟϭ ⲛ̅ⲑⲙ̅ⲕⲟ ϩⲓϫⲙ ⲡⲕⲁϩ
Esther	A		 							 καὶ ἐταράχθη δίκαιον πᾶν ἔθνος φοβούµενοι τὰ ἑαυτῶν κακὰ καὶ ἡτοιµάσθησαν ἀπολέσθαι	And all the righteous nation was troubled, fearing their own afflictions; and they prepared to die,	 (11:9) ⲛ̅ϩⲉⲑⲛⲟⲥ ⲧⲏⲣⲟⲩ ⲁⲩϣⲧⲟⲣⲧⲣ̅ ⲉⲩⲣ̅ϩⲟⲧⲉ ϩⲏⲧⲟⲩ ⲛ̅ⲛⲉⲩⲡⲉⲑⲟⲟⲩ ⲁⲩⲥⲃ̅ⲧⲱⲧⲟⲩ ⲉⲧⲁⲕⲟⲟⲩ
Esther	A		 							καὶ ἐβόησαν πρὸς τὸν θεόν. (1i) ἀπὸ δὲ τῆς βοῆς αὐτῶν ἐγένετο ὡσανεὶ ἀπὸ µικρᾶς πηγῆς ποταµὸς µέγας, ὕδωρ πολύ·	and cried to God: and from their cry there came as it were a great river from a little fountain, even much water.	 (11:10) ⲁⲩⲱ ⲁⲩⲱϣ ⲉϩⲣⲁⲓ̈ ⲉⲡⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ⲇⲉ ϩⲙ̅ ⲡⲉⲩϩⲣⲟⲟⲩ ⲁⲩⲕⲟⲩⲓ̈ ⲙ̅ⲡⲏⲅⲏ ϣⲱⲡⲉ ⲉⲩⲛⲟϭ ⲛ̅ⲉⲓⲉⲣⲟ ⲙ̅ⲙⲟⲟⲩ ⲉϥϣⲟⲩⲟ
Esther	A	10								 φῶς καὶ ὁ ἥλιος ἀνέτειλεν, καὶ οἱ ταπεινοὶ ὑψώθησαν καὶ κατέφαγον τοὺς ἐνδόξους.	 And light and the sun arose, and the lowly were exalted, and devoured the honorable.	 (11:11) ⲡⲟⲩⲟⲉⲓⲛ ⲙⲛ̅ ⲡⲣⲏ ⲁⲩϣⲁ ...
