book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
First Chronicles	15	1								 Καὶ ἐποίησεν αὐτῷ οἰκίας ἐν πόλει Δαυιδ· καὶ ἡτοίµασεν τὸν τόπον τῇ κιβωτῷ τοῦ θεοῦ καὶ ἐποίησεν αὐτῇ σκηνήν.	 And David made for himself houses in the city of David, and he prepared a place for the ark of God, and made a tent for it.	
First Chronicles	15	2	 ⲧⲟⲧⲉ ⲡⲉϫⲉ ⲇⲁⲩⲓⲇ ϫⲉ ⲙ̀ⲙⲟⲛ ⲫⲏ ⲉⲑⲛⲁⲧⲱⲟⲩⲛ ⲛ̀ϯⲕⲩⲃⲱⲧⲟⲥ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ⲃⲏⲗ ⲉ̀ⲛⲓⲗⲉⲩⲓⲧⲏⲥ ϫⲉ ⲛ̀ⲑⲱⲟⲩ ⲁϥⲥⲟⲧⲡⲟⲩ ⲛ̀ϫⲉ ⲫϯ ⲉ̀ⲑⲣⲟⲩϥⲁⲓ ⲙ̀ⲙⲟⲥ ⲟⲩⲟϩ ⲉ̀ϣⲉⲙϣⲓ ⲙ̀ⲡⲉϥⲙ̀ⲑⲟ ϣⲁ ⲉⲛⲉϩ							 Τότε εἶπεν Δαυιδ Οὐκ ἔστιν ἆραι τὴν κιβωτὸν τοῦ θεοῦ ἀλλ’ ἢ τοὺς Λευίτας, ὅτι αὐτοὺς ἐξελέξατο κύριος αἴρειν τὴν κιβωτὸν κυρίου καὶ λειτουργεῖν αὐτῷ ἕως αἰῶνος.	 Then said David, It is not lawful for any to bear the ark of God, but the Levites; for the Lord has chosen them to bear the ark of the Lord, and to minister to him for ever.	
First Chronicles	15	3	 ⲟⲩⲟϩ ⲁ ⲇⲁⲩⲓⲇ ⲑⲱⲟⲩϯ ⲙ̀ⲡⲓⲗⲁⲟⲥ ⲧⲏⲣϥ ⲉ̀ⲑⲣⲟⲩⲓⲛⲓ ⲉ̀ϩⲣⲏⲓ ⲛ̀ϯⲕⲩⲃⲱⲧⲟⲥ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ⲡⲓⲙⲁ ⲉⲧⲁϥⲥⲉⲃⲧⲱⲧϥ ⲛⲁⲥ							 καὶ ἐξεκκλησίασεν Δαυιδ τὸν πάντα Ισραηλ εἰς Ιερουσαληµ τοῦ ἀνενέγκαι τὴν κιβωτὸν κυρίου εἰς τὸν τόπον, ὃν ἡτοίµασεν αὐτῇ.	 And David assembled all Israel at Jerusalem, to bring up the ark of the Lord to the place which he had prepared for it.	
First Chronicles	15	4	 ⲟⲩⲟϩ ⲁ ⲇⲁⲩⲓⲇ ⲑⲱⲟⲩϯ ⲛ̀ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲁⲁⲣⲱⲛ ⲛⲉⲙ ⲛⲓⲗⲉⲩⲓⲧⲏⲥ							 καὶ συνήγαγεν Δαυιδ τοὺς υἱοὺς Ααρων καὶ τοὺς Λευίτας.	 And David gathered together the sons of Aaron the Levites.	
First Chronicles	15	5	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲕⲁⲁⲑ ⲟⲩⲣⲓⲏⲗ ⲡⲓⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ ϣⲉ ϫⲱⲧ							 τῶν υἱῶν Κααθ· Ουριηλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ἑκατὸν εἴκοσι.	 Of the sons of Caath; there was Uriel the chief, and his brethren, a hundred and twenty.	
First Chronicles	15	6	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲉⲛϣⲏⲣⲓ ⲙ̀ⲙⲉⲣⲁⲣⲓ ⲁⲥⲁⲓⲁ ⲡⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ ⲥⲛⲁⲩ ϣⲉ ϫⲱⲧ							 τῶν υἱῶν Μεραρι· Ασαια ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, διακόσιοι πεντήκοντα.	 Of the sons of Merari; Asaia the chief, and his brethren, two hundred and twenty.	
First Chronicles	15	7	 ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲅⲉⲇⲥⲱⲛ ⲓⲱⲏⲗ ⲡⲟⲩⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ ⲉⲩⲟⲓ ⲛ̀ϣⲉ ⲙⲁⲡ							 τῶν υἱῶν Γηρσαµ· Ιωηλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ἑκατὸν πεντήκοντα.	 Of the sons of Gedson; Joel the chief, and his brethren, a hundred and thirty.	
First Chronicles	15	8	 ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲉⲗⲓⲥⲁⲫⲁⲛ ⲡⲟⲩⲁⲣⲭⲱⲛ ⲛⲉ ⲥⲉⲙⲉⲓⲁ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ ⲉⲩⲉⲣ ⲥⲛⲁⲩ ϣⲉ							 τῶν υἱῶν Ελισαφαν· Σαµαιας ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, διακόσιοι.	 Of the sons of Elisaphat; Semei the chief, and his brethren, two hundred.	
First Chronicles	15	9	 ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲭⲉⲃⲣⲱⲛ ⲉⲗⲓⲏⲗ ⲡⲟⲩⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ ⲉⲩⲉⲣ ϧⲁⲙⲛⲉ							 τῶν υἱῶν Χεβρων· Ελιηλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ὀγδοήκοντα.	 Of the sons of Chebrom; Eliel the chief, and his brethren eighty.	
First Chronicles	15	10	 ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲟⲍⲓⲏⲗ ⲁⲙⲓⲛⲁⲇⲁⲃ ⲡⲟⲩⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ ⲉⲩⲉⲣ ϣⲉ ⲛⲉⲙ ⲙⲏⲧⲥⲛⲁⲩ							 τῶν υἱῶν Οζιηλ· Αµιναδαβ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ἑκατὸν δέκα δύο. —	 Of the sons of Oziel; Aminadab the chief, and his brethren a hundred and twelve.	
First Chronicles	15	11	 ⲟⲩⲟϩ ⲁ ⲇⲁⲩⲓⲇ ⲙⲟⲩϯ ⲉ̀ⲥⲁⲇⲱⲕ ⲛⲉⲙ ⲁⲃⲓⲁⲑⲁⲣ ⲛⲓⲟⲩⲏⲃ ⲛⲉⲙ ⲛⲓⲗⲉⲩⲓⲧⲏⲥ ⲟⲩⲣⲓⲏⲗ ⲛⲉⲙ ⲁⲥⲁⲓⲁ ⲛⲉⲙ ⲓⲱⲏⲗ ⲛⲉⲙ ⲥⲉⲙⲉⲓⲁ ⲛⲉⲙ ⲁⲙⲓⲛⲁⲇⲁⲃ							 καὶ ἐκάλεσεν Δαυιδ τὸν Σαδωκ καὶ Αβιαθαρ τοὺς ἱερεῖς καὶ τοὺς Λευίτας, τὸν Ουριηλ, Ασαια, Ιωηλ, Σαµαιαν, Ελιηλ, Αµιναδαβ,	 And David called Sadoc and Abiathar the priests, and the Levites, Uriel, Asaia, and Joel, and Semaia, and Eliel, and Aminadab,	
First Chronicles	15	12	 ⲟⲩⲟϩ ⲡⲉϫⲁϥ ⲛⲱⲟⲩ ϫⲉ ⲛ̀ⲑⲱⲧⲉⲛ ⲛⲓⲁⲣⲭⲱⲛ ⲛⲧⲉ ϯⲙⲉⲧⲓⲱⲧ ⲛⲧⲉ ⲛⲓⲗⲉⲩⲓⲧⲏⲥ ⲙⲁⲧⲟⲩⲃⲉ ⲑⲏⲛⲟⲩ ⲛ̀ⲑⲱⲧⲉⲛ ⲛⲉⲙ ⲛⲉⲧⲉⲛⲥⲛⲏⲟⲩ ⲟⲩⲟϩ ⲁⲛⲓⲟⲩⲓ ⲉ̀ϩⲣⲏⲓ ⲛ̀ϯⲕⲩⲃⲱⲧⲟⲥ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲫϯ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ⲉ̀ⲡⲓⲙⲁ ⲉⲧⲁⲓⲥⲉⲃⲧⲱⲧϥ ⲛⲁⲥ							 καὶ εἶπεν αὐτοῖς Ὑµεῖς ἄρχοντες πατριῶν τῶν Λευιτῶν, ἁγνίσθητε ὑµεῖς καὶ οἱ ἀδελφοὶ ὑµῶν καὶ ἀνοίσετε τὴν κιβωτὸν τοῦ θεοῦ Ισραηλ οὗ ἡτοίµασα αὐτῇ·	 and said to them, Ye are the heads of the families of the Levites: sanctify yourselves, you and your brethren, and ye shall carry up the ark of the God of Israel, to the place which I have prepared for it.	
First Chronicles	15	13	 ϫⲉ ⲡⲁⲓⲙⲁ ⲅⲁⲣ ⲙ̀ⲡⲉⲧⲉⲛϣⲱⲡⲓ ⲉⲧⲓ ⲛ̀ⲟⲩⲁⲃ ⲟⲩⲟϩ ⲁ ⲫϯ ⲓⲣⲓ ⲛ̀ϧⲏⲧⲉⲛ ⲛ̀ⲟⲩϣⲟⲧϣⲉⲧ ϫⲉ ⲙ̀ⲡⲉⲛⲕⲱϯ ⲛ̀ⲥⲁ ⲫϯ ϧⲉⲛ ⲟⲩⲕⲁϯ							 ὅτι οὐκ ἐν τῷ πρότερον ὑµᾶς εἶναι διέκοψεν ὁ θεὸς ἡµῶν ἐν ἡµῖν, ὅτι οὐκ ἐζητήσαµεν ἐν κρίµατι.	 For because ye were not ready at the first, our God made a breach upon us, because we sought him not according to the ordinance.	
First Chronicles	15	14	 ⲟⲩⲟϩ ⲁⲩⲧⲟⲩⲃⲟ ⲛ̀ϫⲉ ⲛⲓⲟⲩⲏⲃ ⲛⲉⲙ ⲛⲓⲗⲉⲩⲓⲧⲏⲥ ⲉⲡϫⲓⲛⲓⲛⲓ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϯⲕⲩⲃⲱⲧⲟⲥ ⲛⲧⲉ ⲡϭ̅ⲥ̅ ⲫϯ ⲙ̀ⲡⲓⲥ̅ⲗ̅							 καὶ ἡγνίσθησαν οἱ ἱερεῖς καὶ οἱ Λευῖται τοῦ ἀνενέγκαι τὴν κιβωτὸν θεοῦ Ισραηλ.	 So the priests and the Levites sanctified themselves, to bring up the ark of the God of Israel.	
