book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
First Epistle of St. John	1		ⲓⲱⲁⲛⲛⲟⲩ ⲉⲡⲓⲥⲧⲟⲗⲏ ⲁ̅									ⲧⲉⲡⲓⲥⲧⲟⲗⲏ ⲛ̅ⲓⲱϩⲁⲛⲛⲏⲥ ⲁ̅
First Epistle of St. John	1	1	 ⲫⲏ ⲉⲧϣⲟⲡ ⲓⲥϫⲉⲛ ϩⲏ ⲫⲏ ⲉⲧⲁⲛⲥⲟⲑⲙⲉϥ ⲫⲏ ⲉⲧⲁⲛⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲛ̀ⲛⲉⲛⲃⲁⲗ ⲫⲏ ⲉⲧⲁⲛⲥⲟⲙⲥ ⲉ̀ⲣⲟϥ ⲟⲩⲟϩ ⲁ ⲛⲉⲛϫⲓϫ ϫⲉⲙϫⲱⲙϥ ⲉⲑⲃⲉ ⲡⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡⲱⲛϧ							 Ὃ ἦν ἀπʼ ἀρχῆς, ὃ ἀκηκόαμεν, ὃ ἑωράκαμεν τοῖς ὀφθαλμοῖς ἡμῶν, ὃ ἐθεασάμεθα καὶ αἱ χεῖρες ἡμῶν ἐψηλάφησαν, περὶ τοῦ λόγου τῆς ζωῆς—	 That which was (ET) from (the) beginning, that which we heard, that which we saw with our eyes, that which we gazed at, and our hands handled, concerning the word of (the) life:	 ⲡⲉⲧϣⲟⲟⲡ ϫⲓⲛⲛⲉ ⲧⲉϩⲟⲩⲉⲓⲧⲉ. ⲡⲉⲛⲧⲁⲛⲥⲱⲧⲙ̅ ⲉⲣⲟϥ. ⲡⲉⲛⲧⲁⲛⲛⲁⲩ ⲉⲣⲟϥ ϩⲛ̅ ⲛⲉⲛⲃⲁⲗ. ⲁⲩⲱ ⲁⲛⲉⲓⲟⲣϩϥ̄. ⲛⲉⲛϭⲓϫ ⲛⲉⲁⲩϭⲙ̄ϭⲱⲙϥ̄ ⲉⲧⲃⲉ ⲡϣⲁϫⲉ ⲙⲡⲱⲛϩ̄.
First Epistle of St. John	1	2	 ⲟⲩⲟϩ ⲡⲓⲱⲛϧ ⲁϥⲟⲩⲟⲛϩ ⲉ̀ⲃⲟⲗ ⲟⲩⲟϩ ⲁⲛⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲟⲩⲟϩ ⲧⲉⲛⲉⲣⲙⲉⲑⲣⲉ ⲟⲩⲟϩ ⲧⲉⲛⲧⲁⲙⲟ ⲙ̀ⲙⲱⲧⲉⲛ ⲉ̀ⲡⲓⲱⲛϧ ⲛ̀ⲉⲛⲉϩ ⲫⲏ ⲉⲧϣⲟⲡ ϩⲁ ⲫⲓⲱⲧ ⲟⲩⲟϩ ⲁϥⲟⲩⲟⲛϩ ⲉ̀ⲣⲟⲛ							 καὶ ἡ ζωὴ ἐφανερώθη, καὶ ἑωράκαμεν καὶ μαρτυροῦμεν καὶ ἀπαγγέλλομεν ὑμῖν τὴν ζωὴν τὴν αἰώνιον ἥτις ἦν πρὸς τὸν πατέρα καὶ ἐφανερώθη ἡμῖν—	 and the life was manifested, and we saw it, and we witness, and we show to you the eternal life, that which was with the Father, and it was manifested to us;	 ⲁⲩⲱ ⲡⲱⲛϩ̅ ⲁϥⲟⲩⲱⲛϩ̅ ⲉⲃⲟⲗ. ⲁⲛⲛⲁⲩ ⲉⲣⲟϥ. ⲁⲩⲱ ⲧⲛ̅ⲣ̅ⲙⲛ̅ⲧⲣⲉ ⲙ̅ⲙⲟϥ. ⲁⲩⲱ ⲧⲛ̅ϫⲱ ⲛⲏⲧⲛ̅ ⲙ̅ⲡⲱⲛϩ̅ ϣⲁ ⲉⲛⲉϩ. ⲡⲁⲓ ⲉⲛⲛⲉϥϣⲟⲟⲡ ϩⲁⲧⲙ̅ ⲡⲉⲓⲱⲧ. ⲁⲩⲱ ⲁϥⲟⲩⲱⲛϩ̅ ⲛⲁⲛ ⲉⲃⲟⲗ.
First Epistle of St. John	1	3	 ⲫⲏ ⲉⲧⲁⲛⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲟⲩⲟϩ ⲁⲛⲥⲟⲑⲙⲉϥ ⲧⲉⲛϩⲓⲱⲓϣ ⲙ̀ⲙⲟ ⲛⲱⲧⲉⲛ ϩⲓⲛⲁ ⲛ̀ⲑⲱⲧⲉⲛ ϩⲱⲧⲉⲛ ⲛ̀ⲧⲉ ⲟⲩⲙⲉⲧϣⲫⲏⲣ ϣⲱⲡⲓ ⲛⲱⲧⲉⲛ ⲛⲉⲙⲁⲛ ⲧⲉⲛⲙⲉⲧϣⲫⲏⲣ ⲇⲉ ⲥⲭⲏ ⲛⲉⲙ ⲫⲓⲱⲧ ⲛⲉⲙ ⲡⲉϥϣⲏⲣⲓ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 ὃ ἑωράκαμεν καὶ ἀκηκόαμεν ἀπαγγέλλομεν καὶ ὑμῖν, ἵνα καὶ ὑμεῖς κοινωνίαν ἔχητε μεθʼ ἡμῶν· καὶ ἡ κοινωνία δὲ ἡ ἡμετέρα μετὰ τοῦ πατρὸς καὶ μετὰ τοῦ υἱοῦ αὐτοῦ Ἰησοῦ Χριστοῦ·	 that which we saw and we heard we proclaim to you, that ye also--that there may be a fellowship to you with us; but our fellowship is with the Father and his Son Jesus Christ.	 ⲡⲉⲛⲧⲁⲛⲛⲁⲩ ⲉⲣⲟϥ. ⲁⲩⲱ ⲁⲛⲥⲱⲧⲙ̅ ⲉⲣⲟϥ ⲧⲛ̅ϫⲱ ⲙ̅ⲙⲟϥ ⲛⲏⲧⲛ̅ ϩⲱⲧ ⲧⲏⲩⲧⲛ̅. ϫⲉⲕⲁⲁⲥ ⲉⲧⲉⲧⲛ̅ϣⲱⲡⲉ ⲉⲩⲛ̅ⲧⲏⲧⲛ̅ ⲕⲟⲓⲛⲱⲛⲓⲁ ⲛⲙ̅ⲙⲁⲛ. ⲁⲩⲱ ⲧⲛ̅ⲕⲟⲓⲛⲱⲛⲓⲁ ϩⲓ ⲟⲩⲥⲟⲡ ⲛ̅ⲥⲉϣⲱⲡⲉ ⲙⲛ̅ ⲡⲉⲓⲱⲧ ⲁⲩⲱ ⲡϣⲏⲣⲉ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅.
First Epistle of St. John	1	4	 ⲟⲩⲟϩ ⲛⲁⲓ ⲧⲉⲛⲥϧⲁⲓ ⲙ̀ⲙⲱⲟⲩ ⲛⲱⲧⲉⲛ ϩⲓⲛⲁ ⲛ̀ⲧⲉ ⲡⲉⲧⲉⲛⲣⲁϣⲓ ϣⲱⲡⲓ ⲉϥϫⲏⲕ ⲉ̀ⲃⲟⲗ							 καὶ ταῦτα γράφομεν ἡμεῖς ἵνα ἡ χαρὰ ἡμῶν ᾖ πεπληρωμένη.	 And these things we write to you, that your joy may be complete.	 ⲁⲩⲱ ⲁⲛⲟⲛ ⲉⲛⲥϩⲁⲓ ⲛ̅ⲛⲁⲓ. ϫⲉⲕⲁⲁⲥ ⲉⲣⲉ ⲡⲉⲛⲣⲁϣⲉ ϣⲱⲡⲉ ⲉϥϫⲏⲕ ⲉⲃⲟⲗ.
First Epistle of St. John	1	5	 ⲟⲩⲟϩ ⲫⲁⲓ ⲡⲉ ⲡⲓⲱϣ ⲉⲧⲁⲛⲥⲟⲑⲙⲉϥ ⲧⲉⲛϩⲓⲱⲓϣ ⲙ̀ⲙⲟϥ ⲛⲱⲧⲉⲛ ϫⲉ ⲫϯ ⲟⲩⲟⲩⲱⲓⲛⲓ ⲡⲉ ⲟⲩⲟϩ ⲙ̀ⲙⲟⲛ ϩⲗⲓ ⲛ̀ⲭⲁⲕⲓ ⲛ̀ϧⲏⲧϥ							 Καὶ ἔστιν αὕτη ἡ ἀγγελία ἣν ἀκηκόαμεν ἀπʼ αὐτοῦ καὶ ἀναγγέλλομεν ὑμῖν, ὅτι ὁ θεὸς φῶς ἐστιν καὶ σκοτία ἐν αὐτῷ οὐκ ἔστιν οὐδεμία.	 And this is the promise which we heard from him; we proclaim it to you, that God is [a] light, and there is not any darkness in him.	 ⲁⲩⲱ ⲡⲁⲓ ⲡⲉ ⲡϣⲁϫⲉ ⲛ̅ⲧⲁⲛⲥⲱⲧⲙ̅ ⲉⲣⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅. ⲁⲩⲱ ⲧⲛ̅ϫⲱ ⲙ̅ⲙⲟϥ ⲛⲏⲧⲛ̅ ⲉⲣⲱⲧⲛ̅. ϫⲉ ⲡⲛⲟⲩⲧⲉ ⲟⲩⲟⲉⲓⲛ ⲡⲉ. ⲁⲩⲱ ⲙⲛ̅ ⲗⲁⲁⲩ ⲛ̅ⲕⲁⲕⲉ ϣⲟⲟⲡ ϩⲣⲁⲓ ⲛ̅ϩⲏⲧϥ̅.
First Epistle of St. John	1	6	 ⲉ̀ϣⲱⲡ ⲁⲛϣⲁⲛϫⲟⲥ ϫⲉ ⲟⲩⲟⲛⲧⲁⲛ ⲛ̀ⲟⲩⲙⲉⲧϣⲫⲏⲣ ⲛⲉⲙⲁϥ ⲟⲩⲟϩ ⲉⲛⲙⲟϣⲓ ϧⲉⲛ ⲡⲓⲭⲁⲕⲓ ⲉⲛϫⲉⲙⲉⲑⲛⲟⲩϫ ⲟⲩⲟϩ ⲧⲉⲛⲓⲣⲓ ⲛ̀ⲑⲙⲏⲓ ⲁⲛ							 ἐὰν εἴπωμεν ὅτι κοινωνίαν ἔχομεν μετʼ αὐτοῦ καὶ ἐν τῷ σκότει περιπατῶμεν, ψευδόμεθα καὶ οὐ ποιοῦμεν τὴν ἀλήθειαν·	 If we should say that we have a fellowship with him, and are walking in the darkness, we are saying false, and we do not (the) truth:	 ⲉⲛϣⲁⲛϫⲟⲟⲥ. ϫⲉ ⲟⲩⲛ̅ⲧⲁⲛ ⲙ̅ⲙⲟⲟⲩ ⲛ̅ⲟⲩⲕⲟⲓⲛⲱⲛⲓⲁ ⲛⲙ̅ⲙⲁϥ. ⲁⲩⲱ ⲧⲛ̅ⲙⲟⲟϣⲉ ϩⲙ̅ ⲡⲕⲁⲕⲉ. ⲉⲛϫⲓϭⲟⲗ ⲁⲩⲱ ⲛ̅ⲧⲛ̅ⲉⲓⲣⲉ ⲁⲛ ⲛ̅ⲧⲙⲉ.
First Epistle of St. John	1	7	 ⲉ̀ϣⲱⲡ ⲁⲛϣⲁⲛⲙⲟϣⲓ ϧⲉⲛ ⲡⲓⲟⲩⲱⲓⲛⲓ ⲙ̀ⲫⲣⲏϯ ϩⲱϥ ⲉⲧⲉϥⲙⲟϣⲓ ϧⲉⲛ ⲡⲓⲟⲩⲱⲓⲛⲓ ⲟⲩⲟⲛⲧⲁⲛ ⲛ̀ⲟⲩⲙⲉⲧϣⲫⲏⲣ ⲛⲉⲙ ⲛⲉⲛⲉⲣⲏⲟⲩ ⲟⲩⲟϩ ⲡⲥⲛⲟϥ ⲛ̀ⲓⲏ̅ⲥ̅ ⲡⲉϥϣⲏⲣⲓ ϥⲛⲁⲧⲟⲩⲃⲟⲛ ⲉ̀ⲃⲟⲗ ϩⲁ ⲛⲟⲃⲓ ⲛⲓⲃⲉⲛ							 ἐὰν δὲ ἐν τῷ φωτὶ περιπατῶμεν ὡς αὐτός ἐστιν ἐν τῷ φωτί, κοινωνίαν ἔχομεν μετʼ ἀλλήλων καὶ τὸ αἷμα Ἰησοῦ τοῦ υἱοῦ αὐτοῦ καθαρίζει ἡμᾶς ἀπὸ πάσης ἁμαρτίας.	 if we should walk in the light, as he also walketh in the light, we have a fellowship with one another, and (the) blood of Jesus his Son will cleanse us from all sin.	 ⲉϣⲱⲡⲉ ⲇⲉ ⲛ̅ⲧⲟϥ ⲉⲛϣⲁⲛⲙⲟⲟϣⲉ ϩⲙ̅ ⲡⲟⲩⲟⲉⲓⲛ ⲛ̅ⲑⲉ ⲛ̅ⲧⲟϥ ⲉⲧϥϩⲙ̅ ⲡⲟⲩⲟⲉⲓⲛ. ⲉⲓⲉ ⲟⲩⲛ̅ⲧⲁⲛ ⲙ̅ⲙⲁⲩ ⲛ̅ⲟⲩⲕⲟⲓⲛⲱⲛⲓⲁ ⲙⲛ̅ ⲛⲉⲛⲉⲣⲏⲩ. ⲁⲩⲱ ⲡⲉⲥⲛⲟϥ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉϥϣⲏⲣⲉ ⲛ̅ⲁⲧⲃ̅ⲃⲟⲛ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲱⲗⲙ̅ ⲛⲓⲙ ϩⲓ ⲛⲟⲃⲉ ⲛⲓⲙ.
First Epistle of St. John	1	8	 ⲉ̀ϣⲱⲡ ⲁⲛϣⲁⲛϫⲟⲥ ϫⲉ ⲙ̀ⲙⲟⲛⲧⲉⲛ ⲛⲟⲃⲓ ⲙ̀ⲙⲁⲩ ⲧⲉⲛⲉⲣϩⲁⲗ ⲙ̀ⲙⲟⲛ ⲙ̀ⲙⲁⲩⲁⲧⲉⲛ ⲟⲩⲟϩ ⲑⲙⲏⲓ ϣⲟⲡ ⲛ̀ϧⲏⲧⲉⲛ ⲁⲛ							 ἐὰν εἴπωμεν ὅτι ἁμαρτίαν οὐκ ἔχομεν, ἑαυτοὺς πλανῶμεν καὶ ἡ ἀλήθεια οὐκ ἔστιν ἐν ἡμῖν.	 If we should say that we have not sin, we deceive ourselves, and (the) truth is not in us.	 ⲉⲛϣⲁⲛϫⲟⲟⲥ ϭⲉ ⲙⲛ̅ⲧⲁⲛ ⲛⲟⲃⲉ ⲙ̅ⲙⲁⲩ ⲛ̅ⲡⲗⲁⲛⲁ ⲙ̅ⲙⲓⲛ ⲙ̅ⲙⲟⲛ. ⲁⲩⲱ ⲛ̅ⲧⲙⲉ ϣⲟⲟⲡ ⲁⲛ ϩⲣⲁⲓ ⲛ̅ϩⲏⲧⲛ̅ ⲁⲛ.
First Epistle of St. John	1	9	 ⲉ̀ϣⲱⲡ ⲁⲛϣⲁⲛⲟⲩⲱⲛϩ ⲛ̀ⲛⲉⲛⲛⲟⲃⲓ ⲉ̀ⲃⲟⲗ ϥⲉⲛϩⲟⲧ ⲟⲩⲟϩ ⲟⲩⲑⲙⲏⲓ ⲡⲉ ϩⲓⲛⲁ ⲛ̀ⲧⲉϥⲭⲁ ⲛⲉⲛⲛⲟⲃⲓ ⲛⲁⲛ ⲉ̀ⲃⲟⲗ ⲟⲩⲟϩ ϥⲛⲁⲧⲟⲩⲃⲟⲛ ⲥⲁⲃⲟⲗ ⲛ̀ϭⲓⲛ̀ϫⲟⲛⲥ ⲛⲓⲃⲉⲛ							 ἐὰν ὁμολογῶμεν τὰς ἁμαρτίας ἡμῶν, πιστός ἐστιν καὶ δίκαιος ἵνα ἀφῇ ἡμῖν τὰς ἁμαρτίας καὶ καθαρίσῃ ἡμᾶς ἀπὸ πάσης ἀδικίας.	 If we should confess our sins, he is faithful and is righteous that he should forgive us our sins, and he will cleanse us from all wrongdoing.	 ⲉϣⲱⲡⲉ ⲉⲛϣⲁⲛϩⲟⲙⲟⲗⲟⲅⲉⲓ ⲛ̅ⲛⲉⲛⲛⲟⲃⲉ. ⲟⲩⲡⲓⲥⲧⲓⲥ ⲡⲉ ⲁⲩⲱ ⲟⲩⲇⲓⲕⲁⲓⲟⲥ ⲡⲉ ϫⲉⲕⲁⲁⲥ ⲉϥⲉⲕⲱ ⲉⲃⲟⲗ ⲛ̅ⲛⲉⲛⲛⲟⲃⲉ ⲁⲩⲱ ⲛϥ̅ⲧⲃ̅ⲃⲟⲛ ⲉⲃⲟⲗ ϩⲛ̅ ϫⲓ ⲛ̅ϭⲟⲛⲥ̅ ⲛⲓⲙ.
