book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
First Epistle to Timothy	1		ⲡⲣⲟⲥ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲁ̅ ⲓ̅ⲁ̅									
First Epistle to Timothy	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲕⲁⲧⲁ ⲡⲓⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛ̀ⲧⲉ ⲫϯ ⲡⲉⲛⲥⲱⲧⲏⲣ ⲛⲉⲙ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲧⲉⲛϩⲉⲗⲡⲓⲥ							 Παῦλος ἀπόστολος Χριστοῦ Ἰησοῦ κατʼ ἐπιταγὴν θεοῦ σωτῆρος ἡμῶν καὶ Χριστοῦ Ἰησοῦ τῆς ἐλπίδος ἡμῶν	 I. Paul, (the) apostle of Jesus Christ according to the commandment of God our saviour, and Jesus Christ our hope;	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲕⲁⲧⲁ ⲡⲟⲩⲉϩⲥⲁϩⲛⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲥⲱⲧⲏⲣ. ⲙⲛ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲧⲉⲛϩⲉⲗⲡⲓⲥ.
First Epistle to Timothy	1	2	 ⲛ̀ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲁⲙⲉⲛⲣⲓⲧ ⲛ̀ϣⲏⲣⲓ ϧⲉⲛ ⲫⲛⲁϩϯ ⲡϩⲙⲟⲧ ⲫⲛⲁⲓ ϯϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲫⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 Τιμοθέῳ γνησίῳ τέκνῳ ἐν πίστει· χάρις, ἔλεος, εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ Χριστοῦ Ἰησοῦ τοῦ κυρίου ἡμῶν.	 to Timotheos, my beloved child in (the) faith. (The) grace, (the) mercy, [the] peace, from God the Father and our Lord Jesus Christ.	 ⲉϥⲥϩⲁⲓ ⲛ̅ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡϩⲁⲕ ⲛ̅ϣⲏⲣⲉ ϩⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ. ⲧⲉⲭⲁⲣⲓⲥ ⲛⲁⲕ ⲙⲛ̅ ⲡⲛⲁ ⲁⲩⲱ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲡⲉⲛϫⲟⲉⲓⲥ:
First Epistle to Timothy	1	3	 ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁⲓϯϩⲟ ⲉ̀ⲣⲟⲕ ⲉ̀ⲑⲣⲉⲕϣⲱⲡⲓ ϧⲉⲛ ⲉⲫⲉⲥⲟⲥ ⲉⲓⲛⲁϣⲉ ⲛⲏⲓ ⲉ̀ⲑⲙⲁⲕⲉⲇⲟⲛⲓⲁ ϩⲓⲛⲁ ⲛ̀ⲧⲉⲕϩⲟⲛϩⲉⲛ ⲛ̀ϩⲁⲛⲟⲩⲟⲛ ⲉ̀ϣ̀ⲧⲉⲙϯⲥⲃⲱ ⲛ̀ⲕⲉⲥⲃⲱ							 Καθὼς παρεκάλεσά σε προσμεῖναι ἐν Ἐφέσῳ, πορευόμενος εἰς Μακεδονίαν, ἵνα παραγγείλῃς τισὶν μὴ ἑτεροδιδασκαλεῖν	 According as I besought thee to abide in Ephesos, being (myself) about to go to (the) Makedonia, that thou mightest order some not to teach another doctrine,	 ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁⲓⲥⲉⲡⲥⲱⲡⲕ̅ ⲉⲧⲣⲉⲕϭⲱ ϩⲛ̅ ⲉⲫⲉⲥⲟⲥ ⲉⲉⲓⲛⲁⲃⲱⲕ ⲉⲧⲙⲁⲕⲉⲇⲟⲛⲓⲁ. ϫⲉ ⲉⲕⲉⲡⲁⲣⲁⲅⲅⲉⲓⲗⲉ ⲛ̅ϩⲟⲓⲛⲉ ⲉⲧⲙ̅ϯϭⲉⲥⲃⲱ
First Epistle to Timothy	1	4	 ⲟⲩⲇⲉ ⲛ̀ⲥⲉϣ̀ⲧⲉⲙϯϩⲑⲏϥ ⲉ̀ϩⲁⲛϣⲃⲱ ⲛⲉⲙ ϩⲁⲛϫⲱⲟⲩ ⲛ̀ⲥⲁϫⲓ ⲙ̀ⲙⲟⲛ ⲁⲩⲣⲏϫⲟⲩ ⲛⲁⲓ ⲉⲧϯ ⲛ̀ϩⲁⲛϫⲓⲛⲕⲱϯ ⲛ̀ϩⲟⲩⲟ ⲥⲁⲃⲟⲗ ⲛ̀ϯⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲛ̀ⲧⲉ ⲫϯ ⲑⲏ ⲉⲧϧⲉⲛ ⲫⲛⲁϩϯ							 μηδὲ προσέχειν μύθοις καὶ γενεαλογίαις ἀπεράντοις, αἵτινες ἐκζητήσεις παρέχουσι μᾶλλον ἢ οἰκονομίαν θεοῦ τὴν ἐν πίστει—	 nor that they should attend to fables and genealogies, having no ends, these which give questionings rather than the dispensation of God which is in (the) faith.	 ⲁⲩⲱ ⲉⲧⲙ̅ϫⲓϩⲣⲁⲩ ⲉⲛⲓϣϥⲱ ⲙⲛ̅ ⲛⲓϣⲁϫⲉ ⲛ̅ϫⲱⲙ ⲉⲧⲉⲙⲛ̅ⲧⲟⲩ ϩⲁⲏ. ⲛⲁⲓ ⲉⲧϯ ⲛ̅ϩⲉⲛϣⲓⲛⲉ ⲉϩⲟⲩⲉ ⲧⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲉⲧϩⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ:
First Epistle to Timothy	1	5	 ⲡϫⲱⲕ ⲇⲉ ⲛ̀ⲧⲉ ⲡⲁⲓϩⲟⲛϩⲉⲛ ⲫⲁⲓ ⲡⲉ ⲟⲩⲁⲅⲁⲡⲏ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲟⲩϩⲏⲧ ⲉϥⲟⲩⲁⲃ ⲛⲉⲙ ⲟⲩⲥⲩⲛⲏⲇⲉⲥⲓⲥ ⲉ̀ⲛⲁⲛⲉⲥ ⲛⲉⲙ ⲟⲩⲛⲁϩϯ ⲛ̀ⲁⲧⲙⲉⲧϣⲟⲃⲓ							 τὸ δὲ τέλος τῆς παραγγελίας ἐστὶν ἀγάπη ἐκ καθαρᾶς καρδίας καὶ συνειδήσεως ἀγαθῆς καὶ πίστεως ἀνυποκρίτου,	 But (the) end of this order is this: [a] love from a pure heart, and a good conscience, and [a] faith unfeigned.	 ⲡϫⲱⲕ ⲇⲉ ⲙ̅ⲡⲉⲛⲧⲁⲩⲧⲁⲁϥ ⲉⲧⲟⲟⲧⲛ̅ ⲡⲉ ⲧⲁⲅⲁⲡⲏ ⲉⲃⲟⲗ ϩⲛ̅ ⲟⲩϩⲏⲧ ⲉϥⲧⲃ̅ⲃⲏⲩ ⲙⲛ̅ ⲟⲩⲥⲩⲛⲓⲇⲏⲥⲓⲥ. ⲙⲛ̅ ⲟⲩⲡⲓⲥⲧⲓⲥ ⲉⲙⲛ̅ϩⲩⲡⲟⲕⲣⲓⲛⲉ ⲛ̅ϩⲏⲧⲥ̅.
First Epistle to Timothy	1	6	 ⲛⲁⲓ ⲉⲧⲉ ⲙ̀ⲡⲉ ϩⲁⲛⲟⲩⲟⲛ ϯⲙⲁϯ ⲛ̀ϧⲏⲧⲟⲩ ⲁⲩⲣⲓⲕⲓ ⲉ̀ϩⲁⲛⲥⲁϫⲓ ⲙ̀ⲙⲉⲧⲉⲫⲗⲏⲟⲩ							 ὧν τινες ἀστοχήσαντες ἐξετράπησαν εἰς ματαιολογίαν,	 These with which some agreed not, they turned aside to words of vanity;	 ⲛⲁⲓ ⲉⲧⲉⲙⲡⲉ ϩⲟⲓⲛⲉ ⲙⲁⲧⲉ ⲙⲙⲟⲟⲩ. ⲁⲩⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉϩⲉⲛϣⲁϫⲉ ⲉⲩϣⲟⲩⲉⲓⲧ.
First Epistle to Timothy	1	7	 ⲟⲩⲟϩ ⲉⲩⲟⲩⲱϣ ⲉ̀ⲉⲣⲣⲉϥϯⲥⲃⲱ ⲛ̀ⲧⲉ ⲡⲓⲛⲟⲙⲟⲥ ⲛ̀ⲥⲉⲕⲁϯ ⲁⲛ ⲉ̀ⲛⲏ ⲉⲧⲟⲩϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲟⲩⲇⲉ ⲉⲑⲃⲉ ⲛⲏ ⲉⲧⲟⲩⲧⲁϫⲣⲟ ⲙ̀ⲙⲱⲟⲩ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱⲟⲩ							 θέλοντες εἶναι νομοδιδάσκαλοι, μὴ νοοῦντες μήτε ἃ λέγουσιν μήτε περὶ τίνων διαβεβαιοῦνται.	 and wishing to be teacher of the law, they understand not the things which they say, nor concerning the things upon which they establish themselves.	 ⲉⲩⲟⲩⲱϣ ⲉϣⲱⲡⲉ ⲛ̅ⲥⲁϩ ⲙ̅ⲡⲛⲟⲙⲟⲥ. ⲉⲛⲥⲉⲛⲟⲓ ⲁⲛ ⲛ̅ⲛⲉⲧⲟⲩϫⲱ ⲙⲙⲟⲟⲩ. ⲟⲩⲇⲉ ϫⲉ ⲉⲩⲧⲁϫⲣⲏⲩ ⲉϫⲛⲟⲩ:
First Epistle to Timothy	1	8	 ⲧⲉⲛⲥⲱⲟⲩⲛ ⲇⲉ ϫⲉ ⲛⲁⲛⲉ ⲡⲓⲛⲟⲙⲟⲥ ⲉ̀ϣⲱⲡ ⲁⲣⲉϣⲁⲛ ⲟⲩⲁⲓ ⲓⲣⲓ ⲛⲁϥ ϩⲱⲥ ⲛⲟⲙⲟⲥ							 Οἴδαμεν δὲ ὅτι καλὸς ὁ νόμος ἐάν τις αὐτῷ νομίμως χρῆται,	 But we know that the law is good, if one should do to it as law.	 ⲧⲛ̅ⲥⲟⲟⲩⲛ ⲇⲉ ϫⲉ ⲛⲁⲛⲟⲩ ⲡⲛⲟⲙⲟⲥ ⲉⲣϣⲁⲛ ⲟⲩⲁ ⲁⲁϥ ϩⲓ ⲧⲉϥⲙⲛ̅ⲧⲙⲉ.
First Epistle to Timothy	1	9	 ⲉⲕⲉⲙⲓ ⲉ̀ⲫⲁⲓ ϫⲉ ⲛⲁⲣⲉ ⲡⲓⲛⲟⲙⲟⲥ ⲭⲏ ⲙ̀ⲡⲓⲑⲙⲏⲓ ⲁⲛ ⲁⲗⲗⲁ ⲁϥⲭⲏ ⲛ̀ⲛⲓⲁⲛⲟⲙⲟⲥ ⲛⲉⲙ ⲛⲓⲁⲧϭⲛⲉϫⲱⲟⲩ ⲛⲉⲙ ⲛⲓⲁⲥⲉⲃⲏⲥ ⲛⲉⲙ ⲛⲓⲣⲉϥⲉⲣⲛⲟⲃⲓ ⲛⲉⲙ ⲛⲏ ⲉⲧⲉ ⲛ̀ⲥⲉⲧⲟⲩⲃⲏⲟⲩⲧ ⲁⲛ ⲛ̀ⲛⲓⲥⲁϥϩⲏⲧ ⲛ̀ⲛⲓϧⲁⲧⲉⲃ ⲓⲱⲧ ⲛ̀ⲛⲓϧⲁⲧⲉⲃ ⲙⲁⲩ ⲛ̀ⲛⲓϧⲁⲧⲉⲃ ⲣⲱⲙⲓ							 εἰδὼς τοῦτο, ὅτι δικαίῳ νόμος οὐ κεῖται, ἀνόμοις δὲ καὶ ἀνυποτάκτοις, ἀσεβέσι καὶ ἁμαρτωλοῖς, ἀνοσίοις καὶ βεβήλοις, πατρολῴαις καὶ μητρολῴαις, ἀνδροφόνοις,	 Knowing thou this, that the law was not being for the righteous (man), but it was for the lawless and the unruly and the ungodly and the sinners, and them who are not sanctified, for the profane-hearted, for the father-slayers, for the mother-slayers, for the manslayers,	 ⲉϥⲥⲟⲟⲩⲛ ⲙ̅ⲡⲁⲓ. ϫⲉ ⲛⲉⲣⲉ ⲡⲛⲟⲙⲟⲥ ⲕⲏ ⲁⲛ ⲉϩⲣⲁⲓ ⲙ̅ⲡⲇⲓⲕⲁⲓⲟⲥ ⲁⲗⲗⲁ ⲛ̅ⲛ̅ⲁⲛⲟⲙⲟⲥ. ⲙⲛ̅ ⲛⲉⲧⲉ ⲛ̅ⲥⲉϩⲩⲡⲟⲧⲁⲥⲥⲉ ⲁⲛ. ⲛ̅ⲛ̅ⲁⲥⲉⲃⲏⲥ ⲙⲛ̅ ⲛ̅ⲣⲉϥⲣⲛⲟⲃⲉ. ⲛ̅ⲛⲉⲧϫⲁϩ̅ⲙ. ⲁⲩⲱ ⲛⲉⲧⲃⲏⲧ. ⲛ̅ⲛ̅ⲣⲉϥⲥⲉϣⲉⲓⲱⲧ ⲙⲛ̅ ⲛ̅ⲣⲉϥⲥⲉϣⲙⲁⲁⲩ. ⲛ̅ⲛ̅ⲣⲉϥϩⲉⲧⲃ̅ ⲣⲱⲙⲉ.
