book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
First Epistle to the Corinthians	1		ⲡⲣⲟⲥ ⲕⲟⲣⲓⲛⲑⲓⲟⲩⲥ ⲁ ⲃ ⲁ									
First Epistle to the Corinthians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲧⲑⲁϩⲉⲙ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫⲟⲩⲱϣ ⲙ̀ⲫϯ ⲛⲉⲙ ⲥⲱⲥⲑⲉⲛⲏⲥ ⲡⲓⲥⲟⲛ							 Παῦλος κλητὸς ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος θεοῦ καὶ Σωσθένης ὁ ἀδελφὸς	 Paul (the) apostle, who is called, of Jesus Christ through (the) wish of God, and Sōsthenēs the brother,	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲧⲧⲁϩⲙ̅ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ϩⲓⲧⲙ̅ ⲡⲟⲩⲱϣ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲙⲛ̅ ⲥⲱⲥⲑⲉⲛⲏⲥ ⲡⲥⲟⲛ
First Epistle to the Corinthians	1	2	 ⲛ̀ϯⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲫϯ ⲑⲏ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲕⲟⲣⲓⲛⲑⲟⲥ ⲛⲏ ⲉⲧⲁⲩⲧⲟⲩⲃⲱⲟⲩ ϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲛⲏ ⲉⲧⲑⲁϩⲉⲙ ⲉⲑⲟⲩⲁⲃ ⲛⲉⲙ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲑⲙⲟⲩϯ ⲉ̀ⲫⲣⲁⲛ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ϧⲉⲛ ⲙⲁⲓ ⲛⲓⲃⲉⲛ ⲛⲧⲱⲟⲩ ⲛⲉⲙ ⲛ̀ⲧⲁⲛ							 τῇ ἐκκλησίᾳ τοῦ θεοῦ, ἡγιασμένοις ἐν Χριστῷ Ἰησοῦ, τῇ οὔσῃ ἐν Κορίνθῳ, κλητοῖς ἁγίοις, σὺν πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ ἐν παντὶ τόπῳ αὐτῶν καὶ ἡμῶν·	 to the church of God which is in Korinthos, they who were sanctified in Christ Jesus, they who are called, who are holy, with all who call on (the) name of our Lord Jesus Christ in every place, theirs and ours:	 ⲉⲩⲥϩⲁⲓ ⲛ̅ⲧⲉⲕⲕⲗⲏⲥⲓⲁ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲧⲁⲓ ⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲕⲟⲣⲓⲛⲑⲟⲥ. ⲛⲉⲧⲧⲃ̅ⲃⲏⲩ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲛⲉⲧⲧⲁϩⲙ̅ ⲉⲧⲟⲩⲁⲁⲃ. ⲙⲛ̅ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲉⲡⲓⲕⲁⲗⲉⲓ ⲙ̅ⲡⲣⲁⲛ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ϩⲙ̅ ⲙⲁ ⲛⲓⲙ ⲛ̅ⲧⲁⲩ ⲛⲙ̅ⲙⲁⲛ.
First Epistle to the Corinthians	1	3	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.	 (the) grace to you and (the) peace from God our Father, and our Lord Jesus Christ.	 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:
First Epistle to the Corinthians	1	4	 ϯϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲡⲁⲛⲟⲩϯ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ⲡⲓϩⲙⲟⲧ ⲛ̀ⲧⲉ ⲫϯ ⲉⲧⲁⲩⲧⲏⲓϥ ⲛⲱⲧⲉⲛ ϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅							 Εὐχαριστῶ τῷ θεῷ μου πάντοτε περὶ ὑμῶν ἐπὶ τῇ χάριτι τοῦ θεοῦ τῇ δοθείσῃ ὑμῖν ἐν Χριστῷ Ἰησοῦ,	 I give thanks to my God always for you, and for the grace of God which was given to you in Christ Jesus;	 ϯϣⲡ̅ϩⲙ̅ⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲁⲛⲟⲩⲧⲉ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲁⲣⲱⲧⲛ̅ ⲉϩⲣⲁⲓ ⲉϫⲛ̅ ⲧⲉⲭⲁⲣⲓⲥ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲧⲁⲓ ⲉⲛⲧⲁⲩⲧⲁⲁⲥ ⲛⲏⲧⲛ̅ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅.
First Epistle to the Corinthians	1	5	 ϫⲉ ϧⲉⲛ ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲁⲧⲉⲧⲉⲛⲉⲣⲣⲁⲙⲁⲟ ⲛ̀ϧⲣⲏⲓ ⲛ̀ϧⲏⲧϥ ϧⲉⲛ ⲥⲁϫⲓ ⲛⲓⲃⲉⲛ ⲛⲉⲙ ⲉⲙⲓ ⲛⲓⲃⲉⲛ							 ὅτι ἐν παντὶ ἐπλουτίσθητε ἐν αὐτῷ, ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει,	 that in everything ye were enriched in him, in all word and all knowledge;	 ϫⲉ ϩⲛ̅ ϩⲱⲃ ⲛⲓⲙ ⲁⲧⲉⲧⲛ̅ⲣ̅ⲣⲙ̅ⲙⲁⲟ ⲛ̅ϩⲏⲧϥ̅. ϩⲛ̅ ϣⲁϫⲉ ⲛⲓⲙ ⲙⲛ̅ ⲥⲟⲟⲩⲛ ⲛⲓⲙ
First Epistle to the Corinthians	1	6	 ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁ ϯⲙⲉⲧⲙⲉⲑⲣⲉ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲧⲁϫⲣⲟ ϧⲉⲛ ⲑⲏⲛⲟⲩ							 καθὼς τὸ μαρτύριον τοῦ Χριστοῦ ἐβεβαιώθη ἐν ὑμῖν,	 according as the witness of Christ was confirmed in you:	 ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁ ⲧⲙⲛ̅ⲧⲙⲛ̅ⲧⲣⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲧⲁϫⲣⲟ ⲛ̅ϩⲏⲧⲧⲩⲧⲛ̅.
First Epistle to the Corinthians	1	7	 ϩⲱⲥⲧⲉ ⲛ̀ⲧⲉⲧⲉⲛϣⲱⲡⲓ ⲛ̀ⲧⲉⲧⲉⲛϣⲁⲧ ⲁⲛ ϧⲉⲛ ϩⲗⲓ ⲛ̀ϩⲙⲟⲧ ⲉⲣⲉⲧⲉⲛϫⲟⲩϣⲧ ⲉ̀ⲃⲟⲗ ϧⲁⲧϩⲏ ⲙ̀ⲡⲓϭⲱⲣⲡ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 ὥστε ὑμᾶς μὴ ὑστερεῖσθαι ἐν μηδενὶ χαρίσματι, ἀπεκδεχομένους τὴν ἀποκάλυψιν τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ·	 so that ye become not lacking in any grace. Looking out for the revelation of our Lord Jesus Christ;	 ϩⲱⲥⲧⲉ ⲉⲧⲙ̅ⲧⲣⲉⲧⲛ̅ϣⲱⲱⲧ ⲛ̅ⲗⲁⲁⲩ ⲛ̅ϩⲙⲟⲧ ⲉⲧⲉⲧⲛ̅ϭⲱϣⲧ̅ ϩⲏⲧϥ̅ ⲙ̅ⲡϭⲱⲗⲡ̅ ⲉⲃⲟⲗ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅
First Epistle to the Corinthians	1	8	 ⲫⲁⲓ ⲉⲧⲉ ⲉϥⲉ̀ⲧⲁϫⲣⲉ ⲑⲏⲛⲟⲩ ϣⲁ ⲉ̀ⲃⲟⲗ ⲛ̀ⲁⲧⲁⲣⲓⲕⲓ ϧⲉⲛ ⲡⲉϩⲟⲟⲩ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 ὃς καὶ βεβαιώσει ὑμᾶς ἕως τέλους ἀνεγκλήτους ἐν τῇ ἡμέρᾳ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.	 he (lit. this) who shall confirm you unto the end, blameless in (the) day of our Lord Jesus Christ.	 ⲡⲁⲓ ⲉⲧⲛⲁⲧⲁϫⲣⲉ ⲧⲏⲩⲧⲛ̅ ⲉⲧⲉⲧⲛ̅ϫⲏⲕ ⲉⲃⲟⲗ ⲉⲙⲛ̅ ⲛⲟⲃⲉ ϫⲓ ⲉϩⲟⲩⲛ ⲉⲣⲱⲧⲛ̅ ϣⲁ ⲡⲉϩⲟⲟⲩ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:
First Epistle to the Corinthians	1	9	 ϥⲉⲛϩⲟⲧ ⲛ̀ϫⲉ ⲫϯ ⲫⲏ ⲉⲧⲁϥⲑⲁϩⲉⲙ ⲑⲏⲛⲟⲩ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϯⲙⲉⲧϣⲫⲏⲣ ⲛ̀ⲧⲉ ⲡⲉϥϣⲏⲣⲓ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡⲉⲛϭ̅ⲥ̅							 πιστὸς ὁ θεὸς διʼ οὗ ἐκλήθητε εἰς κοινωνίαν τοῦ υἱοῦ αὐτοῦ Ἰησοῦ Χριστοῦ τοῦ κυρίου ἡμῶν.	 God is faithful, he who called you into the fellowship of his Son Jesus Christ our Lord.	 ⲟⲩⲡⲓⲥⲧⲟⲥ ⲡⲉ ⲡⲛⲟⲩⲧⲉ ⲡⲁⲓ ⲉⲛⲧⲁϥⲧⲉϩⲙ̅ ⲧⲏⲩⲧⲛ̅ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅ ⲉⲧⲕⲟⲓⲛⲱⲛⲓⲁ ⲙ̅ⲡⲉϥϣⲏⲣⲉ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲉⲛϫⲟⲉⲓⲥ:
