book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
First Kings	2	1	 ⲟⲩⲟϩ ⲁⲩϧⲱⲛⲧ ⲛ̀ϫⲉ ⲛⲓⲉ̀ϩⲟⲟⲩ ⲛ̀ⲇⲁⲩⲓⲇ ⲉ̀ⲑⲣⲉϥⲙⲟⲩ ⲟⲩⲟϩ ⲁϥϩⲟⲛϩⲉⲛ ⲉ̀ⲧⲟⲧϥ ⲛ̀ⲥⲟⲗⲟⲙⲱⲛ ⲡⲉϥϣⲏⲣⲓ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ							 Καὶ ἤγγισαν αἱ ἡµέραι Δαυιδ ἀποθανεῖν αὐτόν, καὶ ἐνετείλατο τῷ Σαλωµων υἱῷ αὐτοῦ λέγων	 And the days of David drew near that he should die: and he addressed his son Solomon, saying, I go the way of all the earth:	
First Kings	2	2	 ϫⲉ ϩⲏⲡⲡⲉ ϯⲛⲁϣⲉ ⲛⲏⲓ ϩⲓ ⲫⲙⲱⲓⲧ ⲙ̀ⲡⲕⲁϩⲓ ⲧⲏⲣϥ ⲟⲩⲟϩ ⲉⲕⲉ̀ϣ̀ϫⲉⲙϫⲟⲙ ⲟⲩⲟϩ ⲉⲕⲉ̀ϣⲱⲡⲓ ⲉⲩϫⲱⲣⲓ							 Ἐγώ εἰµι πορεύοµαι ἐν ὁδῷ πάσης τῆς γῆς· καὶ ἰσχύσεις καὶ ἔσῃ εἰς ἄνδρα	 but be thou strong, and shew thyself a man;	
First Kings	2	3	 ⲟⲩⲟϩ ⲉⲕⲉ̀ⲁⲣⲉϩ ⲉ̀ϯϫⲓⲛⲁⲣⲉϩ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲡⲉⲕⲛⲟⲩϯ ⲉ̀ⲑⲣⲉⲕⲙⲟϣⲓ ϩⲓ ⲛⲉϥⲙⲱⲓⲧ ⲉ̀ⲁⲣⲉϩ ⲉ̀ⲛⲉϥⲉⲛⲧⲟⲗⲏ ⲛⲉⲙ ⲛⲉϥⲙⲉⲑⲙⲏⲓ ⲛⲉⲙ ⲛⲉϥϩⲁⲡ ⲛⲏ ⲉⲧⲥϧⲏⲟⲩⲧ ϩⲓ ⲫⲛⲟⲙⲟⲥ ⲙ̀ⲙⲱⲩ̀ⲥⲏⲥ ϩⲓⲛⲁ ⲛ̀ⲧⲉⲕⲕⲁϯ ⲉ̀ⲛⲏ ⲉⲕⲛⲁⲁⲓⲧⲟⲩ ⲕⲁⲧⲁ ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲉ̀ϯⲛⲁϩⲉⲛϩⲱⲛⲕ ⲉ̀ⲣⲱⲟⲩ							 καὶ φυλάξεις τὴν φυλακὴν κυρίου τοῦ θεοῦ σου τοῦ πορεύεσθαι ἐν ταῖς ὁδοῖς αὐτοῦ φυλάσσειν τὰς ἐντολὰς αὐτοῦ καὶ τὰ δικαιώµατα καὶ τὰ κρίµατα τὰ γεγραµµένα ἐν νόµῳ Μωυσέως, ἵνα συνίῃς ἃ ποιήσεις κατὰ πάντα, ὅσα ἂν ἐντείλωµαί σοι,	 and keep the charge of the Lord thy God, to walk in his ways, to keep the commandments and the ordinances and the judgments which are written in the law of Moses; that thou mayest understand what thou shalt do in all things that I command thee:	
First Kings	2	4	 ϩⲓⲛⲁ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲥⲉⲙⲛⲓ ⲙ̀ⲡⲉϥⲥⲁϫⲓ ⲉⲧⲁϥϫⲟϥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲉ̀ϣⲱⲡ ⲁⲣⲉϣⲁⲛ ⲛⲉⲕϣⲏⲣⲓ ⲁⲣⲉϩ ⲉ̀ⲡⲟⲩⲙⲱⲓⲧ ⲉ̀ⲙⲟϣⲓ ⲙ̀ⲡⲁⲙ̀ⲑⲟ ϧⲉⲛ ⲟⲩⲙⲉⲑⲙⲏⲓ ϧⲉⲛ ⲡⲟⲩϩⲏⲧ ⲧⲏⲣϥ ⲛⲉⲙ ⲧⲟⲩⲯⲩⲭⲏ ⲧⲏⲣⲥ ⲛ̀ⲛⲟⲩϥⲉⲧ ⲣⲱⲙⲓ ⲛ̀ⲧⲁⲕ ⲉⲃⲟⲗ ϩⲓϫⲉⲛ ⲡⲓⲑⲣⲟⲛⲟⲥ ⲙ̀ⲡⲓⲥ̅ⲗ̅							 ἵνα στήσῃ κύριος τὸν λόγον αὐτοῦ, ὃν ἐλάλησεν λέγων Ἐὰν φυλάξωσιν οἱ υἱοί σου τὴν ὁδὸν αὐτῶν πορεύεσθαι ἐνώπιον ἐµοῦ ἐν ἀληθείᾳ ἐν ὅλῃ καρδίᾳ αὐτῶν καὶ ἐν ὅλῃ ψυχῇ αὐτῶν, λέγων Οὐκ ἐξολεθρευθήσεταί σοι ἀνὴρ ἐπάνωθεν θρόνου Ισραηλ.	 that the Lord may confirm his word which he spoke, saying, If thy children shall take heed to their way to walk before me in truth with all their heart, I promise thee, saying, there shall not fail thee a man on the throne of Israel.	
First Kings	2	5								 καί γε σὺ ἔγνως ὅσα ἐποίησέν µοι Ιωαβ υἱὸς Σαρουιας, ὅσα ἐποίησεν τοῖς δυσὶν ἄρχουσιν τῶν δυνάµεων Ισραηλ, τῷ Αβεννηρ υἱῷ Νηρ καὶ τῷ Αµεσσαϊ υἱῷ Ιεθερ, καὶ ἀπέκτεινεν αὐτοὺς καὶ ἔταξεν τὰ αἵµατα πολέµου ἐν εἰρήνῃ καὶ ἔδωκεν αἷµα ἀθῷον ἐν τῇ ζώνῃ αὐτοῦ τῇ ἐν τῇ ὀσφύι αὐτοῦ καὶ ἐν τῷ ὑποδήµατι αὐτοῦ τῷ ἐν τῷ ποδὶ αὐτοῦ·	 Moreover thou knowest all that Joab the son of Saruia did to me, what he did to the two captains of the forces of Israel, to Abenner the son of Ner, and to Amessai the son of Jether, that he slew them, and shed the blood of war in peace, and put innocent blood on his girdle that was about his loins, and on his sandal that was on his foot.	
First Kings	2	6								 καὶ ποιήσεις κατὰ τὴν σοφίαν σου καὶ οὐ κατάξεις τὴν πολιὰν αὐτοῦ ἐν εἰρήνῃ εἰς ᾅδου.	 Therefore thou shalt deal with him according to thy wisdom, and thou shalt not bring down his grey hairs in peace to the grave.	
First Kings	2	7								 καὶ τοῖς υἱοῖς Βερζελλι τοῦ Γαλααδίτου ποιήσεις ἔλεος, καὶ ἔσονται ἐν τοῖς ἐσθίουσιν τὴν τράπεζάν σου, ὅτι οὕτως ἤγγισάν µοι ἐν τῷ µε ἀποδιδράσκειν ἀπὸ προσώπου Αβεσσαλωµ τοῦ ἀδελφοῦ σου.	 But thou shalt deal kindly with the sons of Berzelli the Galaadite, and they shall be among those that eat at thy table; for thus they drew nigh to me when I fled from the face of thy brother Abessalom.	
First Kings	2	8								 καὶ ἰδοὺ µετὰ σοῦ Σεµεϊ υἱὸς Γηρα υἱὸς τοῦ Ιεµενι ἐκ Βαουριµ, καὶ αὐτὸς κατηράσατό µε κατάραν ὀδυνηρὰν τῇ ἡµέρᾳ, ᾗ ἐπορευόµην εἰς Παρεµβολάς, καὶ αὐτὸς κατέβη εἰς ἀπαντήν µου εἰς τὸν Ιορδάνην, καὶ ὤµοσα αὐτῷ ἐν κυρίῳ λέγων Εἰ θανατώσω σε ἐν ῥοµφαίᾳ·	 And, behold, there is with thee Semei the son of Gera, a Benjamite of Baurim: and he cursed me with a grievous curse in the day when I went into the camp; and he came down to Jordan to meet me, and I swore to him by the Lord, saying, I will not put thee to death with the sword.	
First Kings	2	9								 καὶ οὐ µὴ ἀθῳώσῃς αὐτόν, ὅτι ἀνὴρ σοφὸς εἶ σὺ καὶ γνώσῃ ἃ ποιήσεις αὐτῷ, καὶ κατάξεις τὴν πολιὰν αὐτοῦ ἐν αἵµατι εἰς ᾅδου.	 But thou shalt by no means hold him guiltless, for thou art a wise man, and wilt know what thou shalt do to him, and shalt bring down his grey hairs with blood to the grave.	
First Kings	2	10	 ⲟⲩⲟϩ ⲉⲧⲁϥⲉⲛⲕⲟⲧ ⲛ̀ϫⲉ ⲇⲁⲩⲓⲇ ⲛⲉⲙ ⲛⲉϥⲓⲟϯ ⲟⲩⲟϩ ⲁⲩⲕⲟⲥϥ ϧⲉⲛ ⲑⲃⲁⲕⲓ ⲛ̀ⲇⲁⲩⲓⲇ							 καὶ ἐκοιµήθη Δαυιδ µετὰ τῶν πατέρων αὐτοῦ καὶ ἐτάφη ἐν πόλει Δαυιδ.	 And David slept with his fathers, and was buried in the city of David.	
First Kings	2	11								 καὶ αἱ ἡµέραι, ἃς ἐβασίλευσεν Δαυιδ ἐπὶ τὸν Ισραηλ, τεσσαράκοντα ἔτη· ἐν Χεβρων ἐβασίλευσεν ἔτη ἑπτὰ καὶ ἐν Ιερουσαληµ τριάκοντα τρία ἔτη.	 And the days which David reigned over Israel were forty years; he reigned seven years in Chebron, and thirty-three years in Jerusalem.	
