book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Genesis	1		ⲅⲉⲛⲉⲥⲓⲥ									
Genesis	1	1	 ϧⲉⲛ ⲟⲩⲁⲣⲭⲏ ⲁ ⲫϯ ⲑⲁⲙⲓⲟ ⲛ̀ⲧⲫⲉ ⲛⲉⲙ ⲡⲕⲁϩⲓ							 ᾿Εν ἀρχῇ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν.	 IN the beginning God made the heaven and the earth.	
Genesis	1	2	 ⲡⲕⲁϩⲓ ⲇⲉ ⲛⲁϥϣⲟⲡ ⲛ̀ⲁⲧⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲡⲉ ⲟⲩⲟϩ ⲛ̀ⲁⲧⲥⲟⲃϯ ⲟⲩⲟϩ ⲟⲩⲭⲁⲕⲓ ⲛⲁϥⲭⲏ ϩⲓϫⲉⲛ ⲫⲛⲟⲩⲛ ⲟⲩⲟϩ ⲟⲩⲡⲛ̅ⲁ̅ ⲛ̀ⲧⲉ ⲫϯ ⲛⲁϥⲛⲏⲟⲩ ϩⲓϫⲉⲛ ⲛⲓⲙⲱⲟⲩ							 ἡ δὲ γῆ ἦν ἀόρατος καὶ ἀκατασκεύαστος, καὶ σκότος ἐπάνω τῆς ἀβύσσου, καὶ πνεῦμα θεοῦ ἐπεφέρετο ἐπάνω τοῦ ὕδατος.	 But the earth was unsightly and unfurnished, and darkness was over the deep, and the Spirit of God moved over the water.	
Genesis	1	3	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲫϯ ϫⲉ ⲙⲁⲣⲉⲩⲱⲓⲛⲓ <ϣⲱⲡⲓ> ⲟⲩⲟϩ ⲁϥϣⲱⲡⲓ ⲛ̀ϫⲉ ⲡⲓⲟⲩⲱⲓⲛⲓ							 καὶ εἶπεν ὁ θεός Γενηθήτω φῶς. καὶ ἐγένετο φῶς.	 And God said, Let there be light, and there was light.	
Genesis	1	4	 ⲟⲩⲟϩ ⲁϥⲛⲁⲩ ⲛ̀ϫⲉ ⲫϯ ⲉ̀ⲡⲓⲟⲩⲱⲓⲛⲓ ϫⲉ ⲛⲁⲛⲉϥ ⲟⲩⲟϩ ⲁϥⲫⲱⲣϫ ⲉ̀ⲃⲟⲗ ⲛ̀ϫⲉ ⲫϯ ⲟⲩⲧⲉ ⲡⲓⲟⲩⲱⲓⲛⲓ ⲛⲉⲙ ⲟⲩⲧⲉ ⲡⲓⲭⲁⲕⲓ							 καὶ εἶδεν ὁ θεὸς τὸ φῶς ὅτι καλόν. καὶ διεχώρισεν ὁ θεὸς ἀνὰ μέσον τοῦ φωτὸς καὶ ἀνὰ μέσον τοῦ σκότους.	 And God saw the light that it was good, and God divided between the light and the darkness.	
Genesis	1	5	 ⲟⲩⲟϩ ⲁϥⲙⲟⲩϯ ⲛ̀ϫⲉ ⲫϯ ⲉ̀ⲡⲓⲟⲩⲱⲓⲛⲓ ϫⲉ ⲡⲓⲉ̀ϩⲟⲟⲩ ⲟⲩⲟϩ ⲡⲓⲭⲁⲕⲓ ⲁϥⲙⲟⲩϯ ⲉ̀ⲣⲟϥ ϫⲉ ⲡⲓⲉ̀ϫⲱⲣϩ ⲟⲩⲟϩ ⲁ ⲣⲟⲩϩⲓ ϣⲱⲡⲓ ⲁ ⲧⲟⲟⲩⲓ̀ ϣⲱⲡⲓ ⲙ̀ⲡⲓⲉ̀ϩⲟⲟⲩ ⲛ̀ϩⲟⲩⲓⲧ							 καὶ ἐκάλεσεν ὁ θεὸς τὸ φῶς ἡμέραν καὶ τὸ σκότος ἐκάλεσεν νύκτα. καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί, ἡμέρα μία.	 And God called the light Day, and the darkness he called Night, and there was evening and there was morning, the first day.	
Genesis	1	6	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲫϯ ϫⲉ ⲙⲁⲣⲉⲩⲧⲁϫⲣⲟ ϣⲱⲡⲓ ϧⲉⲛ ⲑⲙⲏϯ ⲛ̀ⲧⲉ ⲛⲓⲙⲱⲟⲩ ⲟⲩⲟϩ ⲙⲁⲣⲉϥϣⲱⲡⲓ ⲉϥⲫⲱⲣϫ ⲟⲩⲧⲉ ⲙⲱⲟⲩ ⲛⲉⲙ ⲙⲱⲟⲩ ⲟⲩⲟϩ ⲁⲥϣⲱⲡⲓ ⲙ̀ⲡⲁⲓⲣⲏϯ							 Καὶ εἶπεν ὁ θεός Γενηθήτω στερέωμα ἐν μέσῳ τοῦ ὕδατος καὶ ἔστω διαχωρίζον ἀνὰ μέσον ὕδατος καὶ ὕδατος. καὶ ἐγένετο οὕτως.	 And God said, Let there be a firmament in the midst of the water, and let it be a division between water and water, and it was so.	
Genesis	1	7	 ⲟⲩⲟϩ ⲁϥⲑⲁⲙⲓⲟ ⲛ̀ϫⲉ ⲫϯ ⲙ̀ⲡⲓⲧⲁϫⲣⲟ ⲟⲩⲟϩ ⲁϥⲫⲱⲣϫ ⲛ̀ϫⲉ ⲫϯ ⲟⲩⲧⲉ ⲡⲓⲙⲱⲟⲩ ⲉⲧⲥⲁϧⲣⲏⲓ ⲙ̀ⲡⲓⲧⲁϫⲣⲟ ⲛⲉⲙ ⲟⲩⲧⲉ ⲡⲓⲙⲱⲟⲩ ⲉⲧⲥⲁⲡϣⲱⲓ ⲙ̀ⲡⲓⲧⲁϫⲣⲟ							 καὶ ἐποίησεν ὁ θεὸς τὸ στερέωμα, καὶ διεχώρισεν ὁ θεὸς ἀνὰ μέσον τοῦ ὕδατος, ὃ ἦν ὑποκάτω τοῦ στερεώματος, καὶ ἀνὰ μέσον τοῦ ὕδατος τοῦ ἐπάνω τοῦ στερεώματος.	 And God made the firmament, and God divided between the water which was under the firmament and the water which was above the firmament.	
Genesis	1	8	 ⲟⲩⲟϩ ⲁ ⲫϯ ⲙⲟⲩϯ ⲉ̀ⲡⲓⲧⲁϫⲣⲟ ϫⲉ ⲧⲫⲉ ⲁϥⲛⲁⲩ ⲛ̀ϫⲉ ⲫϯ ϫⲉ ⲛⲁⲛⲉϥ ⲟⲩⲟϩ ⲁ ⲣⲟⲩϩⲓ ϣⲱⲡⲓ ⲁ ⲧⲟⲟⲩⲓ̀ ϣⲱⲡⲓ ⲙ̀ⲡⲓⲉϩⲟⲟⲩ ⲙ̀ⲙⲁϩⲃ̅							 καὶ ἐκάλεσεν ὁ θεὸς τὸ στερέωμα οὐρανόν. καὶ εἶδεν ὁ θεὸς ὅτι καλόν. καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί, ἡμέρα δευτέρα.	 And God called the firmament Heaven, and God saw that it was good, and there was evening and there was morning, the second day.	
Genesis	1	9	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲫϯ ϫⲉ ⲙⲁⲣⲉϥⲑⲱⲟⲩϯ ⲛ̀ϫⲉ ⲡⲓⲙⲱⲟⲩ ⲉⲧⲥⲁϧⲣⲏⲓ ⲛ̀ⲧⲫⲉ ⲉ̀ⲛⲉϥⲥⲩⲛⲁⲅⲱⲅⲏ ⲟⲩⲟϩ ⲙⲁⲣⲉϥⲟⲩⲱⲛϩ ⲉ̀ⲃⲟⲗ ⲛ̀ϫⲉ ⲡⲓϣⲟⲩⲓⲉ ⲟⲩⲟϩ ⲁⲥϣⲱⲡⲓ ⲙ̀ⲡⲁⲓⲣⲏϯ ⲟⲩⲟϩ ⲁⲩⲑⲱⲟⲩϯ ⲛ̀ϫⲉ ⲛⲓⲙⲱⲟⲩ ⲉⲧⲥⲁϧⲣⲏⲓ ⲛ̀ⲧⲫⲉ ⲉ̀ⲛⲟⲩⲥⲩⲛⲁⲅⲱⲅⲏ ⲟⲩⲟϩ ⲁϥⲟⲩⲱⲛϩ ⲉ̀ⲃⲟⲗ ⲛ̀ϫⲉ ⲡⲓϣⲟⲩⲓⲉ							 Καὶ εἶπεν ὁ θεός Συναχθήτω τὸ ὕδωρ τὸ ὑποκάτω τοῦ οὐρανοῦ εἰς συναγωγὴν μίαν, καὶ ὀφθήτω ἡ ξηρά. καὶ ἐγένετο οὕτως. καὶ συνήχθη τὸ ὕδωρ τὸ ὑποκάτω τοῦ οὐρανοῦ εἰς τὰς συναγωγὰς αὐτῶν, καὶ ὤφθη ἡ ξηρά.	 And God said, Let the water which is under the heaven be collected into one place, and let the dry land appear, and it was so. And the water which was under the heaven was collected into its places, and the dry land appeared.	
Genesis	1	10	 ⲟⲩⲟϩ ⲁϥⲙⲟⲩϯ ⲛ̀ϫⲉ ⲫϯ ⲉ̀ⲡⲓϣⲟⲩⲓⲉ ϫⲉ ⲡⲕⲁϩⲓ ⲟⲩⲟϩ ⲛⲓⲙⲁⲛ̀ⲑⲱⲟⲩϯ ⲛ̀ⲧⲉ ⲛⲓⲙⲱⲟⲩ ⲁϥⲙⲟⲩϯ ⲉ̀ⲣⲱⲟⲩ ϫⲉ ⲛⲓⲁⲙⲁⲓⲟⲩ ⲟⲩⲟϩ ⲁϥⲛⲁⲩ ⲛ̀ϫⲉ ⲫϯ ϫⲉ ⲛⲁⲛⲉϥ							 καὶ ἐκάλεσεν ὁ θεὸς τὴν ξηρὰν γῆν καὶ τὰ συστήματα τῶν ὑδάτων ἐκάλεσεν θαλάσσας. καὶ εἶδεν ὁ θεὸς ὅτι καλόν.—	 And God called the dry land Earth, and the gatherings of the waters he called Seas, and God saw that it was good.	
Genesis	1	11	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲫϯ ϫⲉ ⲙⲁⲣⲉ ⲡⲕⲁϩⲓ ⲓⲛⲓ ⲉ̀ⲃⲟⲗ ⲛ̀ϩⲁⲛⲥⲙⲉϩ ⲛ̀ⲥⲓⲙ ⲛ̀ⲥⲓϯ ⲛ̀ϫⲣⲟϫ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ⲛⲉⲙ ⲕⲁⲧⲁ ⲓⲛⲓ ⲛⲉⲙ ⲟⲩϣϣⲏⲛ ⲙ̀ⲙⲁⲥⲟⲩⲧⲁϩ ⲉϥⲓⲣⲓ ⲛ̀ⲟⲩⲧⲁϩ ⲉⲣⲉ ⲡⲉϥϫⲣⲟϫ ⲛ̀ϧⲏⲧϥ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ϩⲓϫⲉⲛ ⲡⲕⲁϩⲓ ⲟⲩⲟϩ ⲁⲥϣⲱⲡⲓ ⲙ̀ⲡⲁⲓⲣⲏϯ							 καὶ εἶπεν ὁ θεός Βλαστησάτω ἡ γῆ βοτάνην χόρτου, σπεῖρον σπέρμα κατὰ γένος καὶ καθ᾽ ὁμοιότητα, καὶ ξύλον κάρπιμον ποιοῦν καρπόν, οὗ τὸ σπέρμα αὐτοῦ ἐν αὐτῷ κατὰ γένος ἐπὶ τῆς γῆς. καὶ ἐγένετο οὕτως.	 And God said, Let the earth bring forth the herb of grass bearing seed according to its kind and according to its likeness, and the fruit-tree bearing fruit whose seed is in it, according to its kind on the earth, and it was so.	
