book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Gospel of St. Mark	1		ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲉⲑⲟⲩⲁⲃ ⲕⲁⲧⲁ ⲙⲁⲣⲕⲟⲛ									ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲉⲧⲟⲩⲁⲁⲃ ⲛ̅ⲕⲁⲧⲁ ⲙⲁⲣⲕⲟⲥ
Gospel of St. Mark	1	1	 ⲧⲁⲣⲭⲏ ⲙ̀ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡϣⲏⲣⲓ ⲙ̀ⲫϯ							 Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ χριστοῦ.	 (The) beginning of the Gospel of Jesus Christ, (the) Son of God.	 ⲧⲁⲣⲭⲏ ⲙ̅ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅
Gospel of St. Mark	1	2	 ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲥϧⲏⲟⲩⲧ ϧⲉⲛ ⲏⲥⲁⲓⲁⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ϫⲉ ϩⲏⲡⲡⲉ ϯⲛⲁⲟⲩⲱⲣⲡ ⲙ̀ⲡⲁⲅⲅⲉⲗⲟⲥ ϧⲁⲧϩⲏ ⲙ̀ⲡⲉⲕϩⲟ ⲫⲏ ⲉⲑⲛⲁⲥⲟⲃϯ ⲙ̀ⲡⲉⲕⲙⲱⲓⲧ ϧⲁϫⲱⲕ							 Καθὼς γέγραπται ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ· Ἰδοὺ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου·	 According as it is written in Esaias the prophet: Lo, I will send (the) messenger before thy face, who will prepare thy road before thee;	 ⲕⲁⲧⲁ ⲡⲉⲧⲥⲏϩ ϩⲛ̅ ⲏⲥⲁⲓ̈ⲁⲥ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ. ϫⲉ ⲉⲓⲥ ϩⲏⲏⲧⲉ ϯⲛⲁϫⲉⲩ ⲡⲁⲁⲅⲅⲉⲗⲟⲥ ϩⲓ ϩⲏ ⲙ̅ⲙⲟⲕ ⲛϥ̅ⲥⲃ̅ⲧⲉ ⲧⲉⲕϩⲓⲏ.
Gospel of St. Mark	1	3	 ⲡϧⲣⲱⲟⲩ ⲙ̀ⲡⲉⲧⲱϣ ⲉⲃⲟⲗ ϩⲓ ⲡϣⲁϥⲉ ϫⲉ ⲥⲉⲃⲧⲉ ⲫⲙⲱⲓⲧ ⲙ̀ⲡϭ̅ⲥ̅ ⲥⲟⲩⲧⲉⲛ ⲛⲉϥⲙⲁⲛ̀ⲙⲟϣⲓ							 φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,	" (the) cry of him who crieth out in (the) desert: ""Prepare (the) road of the Lord, make straight his paths.""'"	 ⲡⲉϩⲣⲟⲟⲩ ⲙ̅ⲡⲉⲧⲱϣ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲉⲣⲏⲙⲟⲥ ϫⲉ ⲥⲟⲩⲧⲛ̅ ⲧⲉϩⲓⲏ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲛ̅ⲧⲉⲧⲛ̅ⲥⲟⲩⲧⲛ̅ ⲛⲉϥⲙⲟⲓ̈ⲧ.
Gospel of St. Mark	1	4	 ⲁϥϣⲱⲡⲓ ⲇⲉ ⲛ̀ϫⲉ ⲓⲱⲁⲛⲛⲏⲥ ⲡⲓⲣⲉϥϯⲱⲙⲥ ϩⲓ ⲡϣⲁϥⲉ ⲟⲩⲟϩ ⲉϥϩⲓⲱⲓϣ ⲛ̀ⲟⲩⲱⲙⲥ ⲙ̀ⲙⲉⲧⲁⲛⲟⲓⲁ ϧⲉⲛ ⲟⲩⲭⲱ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ϩⲁⲛⲛⲟⲃⲓ							 ἐγένετο Ἰωάννης ὁ βαπτίζων ἐν τῇ ἐρήμῳ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν.	 And John the Baptist was in (the) desert, and preaching a baptism of repentance for (lit. in) a forgiveness of sins.	 ⲁϥϣⲱⲡⲉ ⲇⲉ ⲛ̅ϭⲓ ⲓ̈ⲱϩⲁⲛⲏⲥ ⲉϥϯ ⲃⲁⲡⲧⲓⲥⲙⲁ ⲙ̅ⲡϫⲁⲓ̈ⲉ ⲉϥⲕⲏⲣⲩⲥⲥⲉ ⲛ̅ⲟⲩⲃⲁⲡⲧⲓⲥⲙⲁ ⲙ̅ⲙⲉⲧⲁⲛⲟⲓⲁ ⲉⲡⲕⲱ ⲉⲃⲟⲗ ⲛ̅ⲛ̅ⲛⲟⲃⲉ.
Gospel of St. Mark	1	5	 ⲟⲩⲟϩ ⲛⲁⲩⲛⲏⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲁⲣⲟϥ ⲛ̀ϫⲉ ⲛⲁ ϯⲓⲟⲩⲇⲉⲁ ⲧⲏⲣⲥ ⲛ̀ⲭⲱⲣⲁ ⲛⲉⲙ ⲛⲁ ⲓⲗ̅ⲏ̅ⲙ̅ ⲧⲏⲣⲟⲩ ⲟⲩⲟϩ ⲛⲁⲩϭⲓⲱⲙⲥ ⲛ̀ⲧⲟⲧϥ ϧⲉⲛ ⲡⲓⲓⲟⲣⲇⲁⲛⲏⲥ ⲛ̀ⲓⲁⲣⲟ ⲉⲩⲟⲩⲱⲛϩ ⲛ̀ⲛⲟⲩⲛⲟⲃⲓ ⲉ̀ⲃⲟⲗ							 καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἱεροσολυμῖται πάντες, καὶ ἐβαπτίζοντο ὑπʼ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.	 And there were coining forth to him they of all Judea-country, and all they of Jerusalem; and they were being baptised by him in the Jordan-river, confessing their sins.	 ⲁⲩⲱ ⲁⲥⲃⲱⲕ ⲛⲁϥ ⲉⲃⲟⲗ ⲛ̅ϭⲓ ⲧⲉⲭⲱⲣⲁ ⲧⲏⲣⲥ̅ ⲛ̅ϯⲟⲩⲇⲁⲓⲁ ⲛⲙ̅ ⲛⲁ ⲑⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ ⲧⲏⲣⲟⲩ ⲁⲩϫⲓ ⲃⲁⲡⲧⲓⲥⲙⲁ ⲛ̅ⲧⲟⲟⲧϥ̅ ϩⲙ̅ ⲡⲓⲟⲣⲇⲁⲛⲏⲥ ⲡⲓⲉⲣⲟ ⲉⲩⲉⲝⲟⲙⲟⲗⲟⲅⲓ ⲛ̅ⲛⲉⲩⲛⲟⲃⲉ.
Gospel of St. Mark	1	6	 ⲓⲱⲁⲛⲛⲏⲥ ⲇⲉ ⲛⲁⲣⲉ ϩⲁⲛϥⲱⲓ ⲛ̀ϭⲁⲙⲟⲩⲗ ⲧⲟⲓ ϩⲓⲱⲧϥ ⲟⲩⲟϩ ⲉϥⲙⲏⲣ ⲛ̀ⲟⲩⲙⲟϫϧ ⲛ̀ϣⲁⲣ ⲉ̀ϫⲉⲛ ⲧⲉϥϯⲡⲓ ⲟⲩⲟϩ ⲛⲁϥⲟⲩⲉⲙ ϣϫⲉ ⲛⲉⲙ ⲉⲃⲓⲱ ⲛ̀ⲧⲉ ⲧⲕⲟⲓ							 καὶ ἦν ὁ Ἰωάννης ἐνδεδυμένος τρίχας καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, καὶ ἔσθων ἀκρίδας καὶ μέλι ἄγριον.	 And John was (imperf.) clothed with camel's hair, and girt with a girdle of leather upon his loins, and he ate (imperf.) locust and honey of (the) field.	 ⲁⲩⲱ ⲓ̈ⲱϩⲁⲛⲛⲏⲥ ⲛⲉⲣⲉ ϩⲉⲛϥⲱ ⲛ̅ϭⲁⲙⲟⲩⲗ ⲧⲟ ϩⲓⲱⲱϥ ⲉⲣⲉ ⲟⲩⲙⲟϫ ⲛ̅ϣⲁⲁⲣ ⲙⲏⲣ ⲉⲧⲉϥϯⲡⲉ. ⲉϥⲟⲩⲉⲙ ϣϫⲉ ϩⲓ ⲉⲃⲓⲱ ⲛ̅ϩⲟⲟⲩⲧ.
Gospel of St. Mark	1	7	 ⲟⲩⲟϩ ⲛⲁϥϩⲓⲱⲓϣ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ϥⲛⲏⲟⲩ ⲙⲉⲛⲉⲛⲥⲱⲓ ⲛ̀ϫⲉ ⲫⲏ ⲉⲧϫⲟⲣ ⲉ̀ϩⲟⲧⲉⲣⲟⲓ ⲫⲏ ⲉⲧⲉ ⲛ̀ϯⲙⲡϣⲁ ⲁⲛ ⲉ̀ϫⲟⲃⲥⲧ ⲉ̀ϧⲣⲏⲓ ⲉ̀ϯⲟⲩⲱ ⲛ̀ⲟⲩⲙⲟⲩⲥⲉⲣ ⲛ̀ⲧⲉ ⲡⲉϥⲑⲱⲟⲩⲓ							 καὶ ἐκήρυσσεν λέγων· Ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου, οὗ οὐκ εἰμὶ ἱκανὸς κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ·	 And he was preaching, saying: He who is stronger than I cometh after me, he (of) whom I am not worthy to stoop down to unloose a latchet of his shoe.	 ⲁⲩⲱ ⲛⲉϥⲧⲁϣⲉⲟⲓ̈ϣ ⲉϥϫⲱ ⲙ̅ⲙⲟⲥ ϫⲉ ϥⲛⲏⲩ ⲙⲛ̅ⲛ̅ⲥⲱⲉⲓ ⲛ̅ϭⲓ ⲡⲉⲧϫⲟⲟⲣ ⲉⲣⲟⲉⲓ ⲉⲁⲛⲅ̅ ⲟⲩ ϩⲓⲕⲁⲛⲟⲥ ⲁⲛ ⲉⲡⲁϩⲧ̅ ⲉⲃⲱⲗ ⲉⲃⲟⲗ ⲙ̅ⲡⲙⲟⲩⲥ ⲙ̅ⲡⲉϥⲧⲟⲟⲩ.
Gospel of St. Mark	1	8	 ⲁ̀ⲛⲟⲕ ⲉⲧⲁⲓϯⲱⲙⲥ ⲛⲱⲧⲉⲛ ϧⲉⲛ ⲟⲩⲙⲱⲟⲩ ⲛ̀ⲑⲟϥ ⲇⲉ ϥⲛⲁⲉⲙⲥ ⲑⲏⲛⲟⲩ ϧⲉⲛ ⲟⲩⲡⲛ̅ⲁ̅ ⲉϥⲟⲩⲁⲃ							 ἐγὼ ἐβάπτισα ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ἐν πνεύματι ἁγίῳ.	 I baptised you in water: but he will baptise you in the (lit. a) Holy Spirit.	 ⲁⲛⲟⲕ ⲁⲉⲓϯ ⲃⲁⲡⲧⲓⲥⲙⲁ ⲛⲏⲧⲛ̅ ϩⲛ̅ ⲟⲩⲙⲟⲟⲩ. ⲛ̅ⲧⲟϥ ⲇⲉ ⲉϥⲛⲁⲃⲁⲡⲧⲓⲍⲉ ⲙ̅ⲙⲱⲧⲛ̅ ϩⲛ̅ ⲟⲩⲡⲛ̅ⲁ̅ ⲉϥⲟⲩⲁⲁⲃ.
Gospel of St. Mark	1	9	 ⲟⲩⲟϩ ⲁⲥϣⲱⲡⲓ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲁϥⲓ̀ ⲛ̀ϫⲉ ⲓⲏ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲁⲍⲁⲣⲉⲑ ⲛ̀ⲧⲉ ϯⲅⲁⲗⲓⲗⲉⲁ ⲟⲩⲟϩ ⲁϥϭⲓⲱⲙⲥ ϧⲉⲛ ⲡⲓⲓⲟⲣⲇⲁⲛⲏⲥ ⲛ̀ⲧⲟⲧϥ ⲛ̀ⲓⲱⲁⲛⲛⲏⲥ							 Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου.	 And it came to pass in those days, (that) Jesus came from Nazareth of Galilee, and was baptised in the Jordan by John.	 ⲁⲩⲱ ⲁⲥϣⲱⲡⲉ ϩⲛ̅ ⲛⲉϩⲟⲟⲩ ⲉⲧⲙ̅ⲙⲁⲩ ⲁϥⲉⲓ ⲛ̅ϭⲓ ⲓ̅ⲥ̅ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲁⲍⲁⲣⲉⲧ ⲛ̅ⲧⲉ ⲧⲅⲁⲗⲓⲗⲁⲓⲁ ⲁⲩⲱ ⲁϥϫⲓ ⲃⲁⲡⲓⲧⲓⲥⲙⲁ ϩⲙ̅ ⲡⲓⲟⲣⲇⲁⲛⲏⲥ ⲛ̅ⲧⲛ̅ ⲓ̈ⲱϩⲁⲛⲛⲏⲥ
