book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Haggai	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲁⲅⲅⲉⲟⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ	ⲁⲅⲅⲁⲓⲟⲥ								
Haggai	1	1	 ⲛ̀ϩⲣⲏⲓ ⲇⲉ ϧⲉⲛ ϯⲙⲁϩ ⲥⲛⲟⲩϯ ⲛ̀ⲣⲟⲙⲡⲓ ⲛ̀ⲧⲉ ⲇⲁⲣⲓⲟⲥ ⲡⲟⲩⲣⲟ ϧⲉⲛ ⲡⲓⲁⲃⲟⲧ ⲙ̀ⲙⲁϩⲉ̅ ⲛ̀ⲥⲟⲩⲁⲓ ⲙ̀ⲡⲓⲁⲃⲟⲧ ⲁ ⲟⲩⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ϣⲱⲡⲓ ϧⲉⲛ ⲧϫⲓϫ ⲛ̀ⲁⲅⲅⲉⲟⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲁ̀ϫⲟⲥ ⲛⲍⲟⲣⲟⲃⲁⲃⲉⲗ ⲡϣⲏⲣⲓ ⲛⲥⲁⲗⲁⲑⲓⲏⲗ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲧⲫⲩⲗⲏ ⲛⲓⲟⲩⲇⲁ ⲛⲉⲙ ⲓⲏⲥⲟⲩ ⲡϣⲏⲣⲓ ⲛⲓⲱⲥⲉⲇⲉⲕ ⲡⲓⲛⲓϣϯ ⲛⲟⲩⲏⲃ ⲉⲕϫⲱ ⲙ̀ⲙⲟⲥ	 ⳉⲛ̅ ⲧⲙⲁϩ ⲣⲙⲡⲉ ⲥⲛⲧⲉ ⲛϩⲓⲇⲁⲣⲓⲟⲥ ⲡⲣⲣⲟ ⳉⲛ̅ [ⲛⲙ]ⲁϩⲥⲁⲩ ⲛⲉⲃⲁⲧ ⲛ̅[ⲥⲟⲩⲉ] ⲙ̅ⲡⲉⲃⲁⲧ ⲡϣⲉ[ϫⲉ ⲙ̅ⲡϫ]ⲁⲉⲓⲥ ⲁϥⳉⲱ[ⲡ]ⲉ ⳉⲛ̅ ⲧϭ[ⲓ]ϫ ⲛⲁⲅⲅⲁⲓⲟ[ⲥ] ⲡⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲟⲩ ⲙ̅ⲙⲁⲥ ϫⲉ ⲁϫⲓⲥ ⲛ̅ⲍⲟⲣⲟⲃⲁⲃⲉⲗ ⲡϣⲏⲣⲉ ⲛ̅ⲥⲁⲗⲁⲑⲓⲏⲗ ⲡⲁⲃⲁⲗ ⳉⲛ̅ ⲧⲫⲩⲗⲏ ⲛ̅ⲓⲟⲩⲇⲁ ⲁⲟⲩ ⲓ̈ⲏⲥⲟⲩⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲓ̈ⲱⲥⲉⲇⲉⲕ ⲡⲛⲁϭ ⲛⲟⲩⲓ̈ⲉⲓⲃⲉ ⲉⲕϫⲟⲩ ⲙ̅ⲙⲁⲥ						 Ἐν τῷ δευτέρῳ ἔτει ἐπὶ Δαρείου τοῦ βασιλέως ἐν τῷ µηνὶ τῷ ἕκτῳ µιᾷ τοῦ µηνὸς ἐγένετο λόγος κυρίου ἐν χειρὶ Αγγαιου τοῦ προφήτου λέγων Εἰπὸν δὴ πρὸς Ζοροβαβελ τὸν τοῦ Σαλαθιηλ ἐκ φυλῆς Ιουδα καὶ πρὸς Ἰησοῦν τὸν τοῦ Ιωσεδεκ τὸν ἱερέα τὸν µέγαν λέγων	 In the second year of Darius the king, in the sixth month, on the firs day of the month, the word of the Lord came by the hand of the prophet Aggaeus, saying, Speak to Zorobabel the son of Salathiel, of the tribe of Juda, and to Jesus the son of Josedec, the high priest, saying,	
Haggai	1	2	 ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲡⲁⲓⲗⲁⲟⲥ ϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲙ̀ⲡⲉϥⲓ̀ ⲛ̀ϫⲉ ⲡⲓⲥⲏⲟⲩ ⲉ̀ⲕⲱⲧ ⲙ̀ⲡⲏⲓ ⲙ̀ⲡϭ̅ⲥ̅	 ϫⲉ ⲛⲉⲓ̈ ⲛⲉⲧϥϫⲟⲩ ⲙ̅ⲙⲁⲩ ⲛ̅ϭⲓ ⲡϫⲁⲉⲓⲥ ⲡⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲡⲓⲗⲁⲟⲥ ϫⲟⲩ ⲙ̅ⲙⲁⲥ ϫⲉ ⲙ̅ⲡⲉ ⲡⲟⲩⲁⲉⲓϣ ⲉⲓ ⲁⲕⲱⲧ ⲡⲏⲓ ⲙ̅ⲡϫⲁⲉⲓⲥ						 Τάδε λέγει κύριος παντοκράτωρ λέγων Ὁ λαὸς οὗτος λέγουσιν Οὐχ ἥκει ὁ καιρὸς τοῦ οἰκοδοµῆσαι τὸν οἶκον κυρίου.	 Thus saith the Lord Almighty, saying, This people say, The time is not come to build the house of the Lord.	
Haggai	1	3	 ⲟⲩⲟϩ ⲟⲩⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ϣⲱⲡⲓ ϧⲉⲛ ⲧϫⲓϫ ⲛ̀ⲁⲅⲅⲉⲟⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ	 ⲁⲟⲩ ⲡϣⲉϫⲉ ⲙ̅ⲡϫⲁⲉⲓⲥ ⲁ[ϥ]ⳉⲱⲡⲉ ⳉⲛ ⲧϭⲓϫ ⲛⲁ[ⲅ]ⲅⲁⲓⲟⲥ ⲡⲡⲣⲟⲫⲏ[ⲧⲏⲥ ⲉϥϫⲟⲩ ⲙ̅ⲙⲁⲥ]						 καὶ ἐγένετο λόγος κυρίου ἐν χειρὶ Αγγαιου τοῦ προφήτου λέγων	 And the word of the Lord came by the hand of the prophet Aggaeus, saying,	
Haggai	1	4	 ϫⲉ ⲁⲛ ⲡⲥⲏⲟⲩ ⲛⲱⲧⲉⲛ ⲡⲉ ⲉ̀ⲑⲣⲉⲧⲉⲧⲉⲛϣⲱⲡⲓ ϧⲉⲛ ϩⲁⲛⲏⲓ ⲉⲩϣⲏⲕ ⲡⲁⲏⲓ ⲇⲉ ⲛ̀ⲑⲟϥ ⲁϥϣⲱϥ	 ϫⲉ ⲡⲟⲩⲁⲉⲓϣ ⲛⲏ[ⲧⲛ]ⲉ [ⲡⲉ] ⲁⲟⲩⲱϩ ⳉⲛ̅ ϩⲉⲛ[ⲏⲓ̈] ⲉⲩ[ⲉ] ⲛⲉⲓⲉⲡ ⳉⲉ ⲡⲛⲏⲓ̈ ⲇⲉ [ⲁ]ϥϫⲁ[ⲓ̈]ⲉ						 Εἰ καιρὸς ὑµῖν µέν ἐστιν τοῦ οἰκεῖν ἐν οἴκοις ὑµῶν κοιλοστάθµοις, ὁ δὲ οἶκος οὗτος ἐξηρήµωται;	 Is it time for you to dwell in your ceiled houses, whereas our house is desolate?	
Haggai	1	5	 ⲟⲩⲟϩ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲑⲱϣ ⲛ̀ⲛⲉⲧⲉⲛϩⲏⲧ ⲉ̀ⲛⲉⲧⲉⲛⲙⲱⲓⲧ	 ⲁⲟⲩ ϯⲛⲟⲩ ⲛⲉⲓ̈ ⲛⲉⲧⲉ [ⲡϫⲁⲉⲓ]ⲥ ⲡⲡⲁ[ⲛ]ⲧⲟⲕⲣⲁⲧⲱⲣ ϫ[ⲟⲩ] ⲙ̅[ⲙ]ⲁⲩ ϫⲉ ϯ ⲛⲛⲉⲧⲛ[ϩ]ⲏⲧ ⲁⲛⲉⲧⲛ̅ⳉⲱⲟⲩ						 καὶ νῦν τάδε λέγει κύριος παντοκράτωρ Τάξατε δὴ τὰς καρδίας ὑµῶν εἰς τὰς ὁδοὺς ὑµῶν·	 And now thus saith the Lord Almighty; Consider your ways, I pray you.	
Haggai	1	6	 ⲁⲣⲉⲧⲉⲛⲥⲓϯ ⲛ̀ϩⲁⲛⲙⲏϣ ⲟⲩⲟϩ ⲁⲣⲉⲧⲉⲛⲱⲗⲓ ⲉ̀ϧⲟⲩⲛ ⲛ̀ϩⲁⲛⲕⲟⲩϫⲓ ⲁⲣⲉⲧⲉⲛⲟⲩⲱⲙ ⲟⲩⲟϩ ⲉⲩⲥⲓ ⲁⲛ ⲁⲣⲉⲧⲉⲛⲥⲱ ⲟⲩⲟϩ ⲉⲩⲑⲓϧⲓ ⲁⲛ ⲁⲣⲉⲧⲉⲛϯϩⲓ ⲑⲏⲛⲟⲩ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲧⲉⲛϧⲙⲟⲙ ⲛ̀ϧⲏⲧⲟⲩ ⲟⲩⲟϩ ⲡⲉⲧⲑⲱⲟⲩϯ ⲛ̀ϩⲁⲛⲃⲉⲭⲏⲟⲩⲓ ⲉ̀ϧⲟⲩⲛ ⲁϥⲑⲱⲟⲩϯ ⲉ̀ⲟⲩⲁⲥⲟⲩⲓ ⲉ̀ⲥⲟⲩⲟⲧⲉⲛ	 ⲁⲧⲉⲧⲛϫⲉ ϩⲁϩ ⲁⲟⲩ ϩⲉⲛⳉⲏⲙ ⲛⲉⲧⲁⲧⲉⲧⲛⲁⲗⲟⲩ ⲁⳉⲟⲩⲛ ⲁⲧ[ⲉ]ⲧⲛⲟⲩⲱⲙ ⲁⲟⲩ ⲁⲩⲥⲓ ⲉⲛ ⲧⲉⲧⲛⲥⲟⲩ ⲁⲟⲩ ⲁⲩ[ϯⳉⲉ] ⲉⲛ ⲁⲧⲉⲧⲛϯ ϩⲓⲱ[ⲱⲧ ⲛ]ⲉ ⲁⲟⲩ ⲧⲉⲧⲛ̅ⳉⲙⲁⲙ ⲛ[ⳉ]ⲏ[ⲧⲟ]ⲩ ⲁⲟⲩ ⲡⲉⲧⲥⲱⲟⲩϩ [ⲁⳉⲟⲩ]ⲛ ⲛϩⲉⲛⲃⲉⲕⲏⲟⲩⲉ [....]ⲥⲁϩⲟⲩ ⲁⳉⲟⲩⲛ ⲁⲩ[ⲧⲱⲙⲉⲥ ⲉⲥ]ⲕⲁⲧϩ						 ἐσπείρατε πολλὰ καὶ εἰσηνέγκατε ὀλίγα, ἐφάγετε καὶ οὐκ εἰς πλησµονήν, ἐπίετε καὶ οὐκ εἰς µέθην, περιεβάλεσθε καὶ οὐκ ἐθερµάνθητε ἐν αὐτοῖς, καὶ ὁ τοὺς µισθοὺς συνάγων συνήγαγεν εἰς δεσµὸν τετρυπηµένον.	 Ye have sown much, but brought in little; ye have eaten, and are not satisfied; ye have drunk, and are not satisfied with drink, ye have clothed yourselves, and have not become warm thereby: and he that earns wages has gathered them into a bag full of holes.	
Haggai	1	7	 ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲭⲱ ⲛ̀ⲛⲉⲧⲉⲛϩⲏⲧ ϩⲓ ⲛ̀ⲛⲉⲧⲉⲛⲙⲱⲓⲧ	 ⲛ[ⲉⲓ̈ ⲛⲉ]ⲧϥ̅ϫⲟⲩ ⲙⲙ[ⲁⲩ ⲛ̅ϭⲓ ⲡϫⲁⲉⲓⲥ] ⲡⲡⲁⲛⲧⲟⲕ[ⲣⲁⲧⲱⲣ ϫ]ⲉ [ϯ ⲛ̅]ⲛⲉⲧⲛϩⲏⲧ ϩⲓ ⲛⲉ[ⲧⲛ̅]ⳉⲱⲟⲩ						 τάδε λέγει κύριος παντοκράτωρ Θέσθε τὰς καρδίας ὑµῶν εἰς τὰς ὁδοὺς ὑµῶν·	 Thus saith the Lord Almighty; Consider your ways.	
Haggai	1	8	 ⲙⲁϣⲉ ⲛⲱⲧⲉⲛ ⲉ̀ⲡϣⲱⲓ ⲉ̀ϫⲉⲛ ⲡⲓⲧⲱⲟⲩ ⲟⲩⲟϩ ⲕⲱⲣϫ ⲛ̀ϩⲁⲛϣⲉ ⲟⲩⲟϩ ⲕⲱⲧ ⲉ̀ⲡⲓⲏⲓ ⲟⲩⲟϩ ⲉⲓⲉ̀ϯⲙⲁϯ ⲛ̀ϧⲏⲧϥ ⲟⲩⲟϩ ⲉⲓⲉ̀ϭⲓⲱⲟⲩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅	 ⲃⲱⲕ ⲁϩⲣⲏⲓ ⲁⲡⲧⲁⲩ ⲧⲉⲧⲛϣ[ⲟⲩⲧ] ⲛ̅ⲡⳉⲉ. ⲧⲉⲧⲛ̅ⲕⲱⲧ ⲛⲡⲏⲓ̈ ⲁⲟⲩ ⲡⲁⲟⲩⲁⲡϩⲉⲥ ⲛⲁⳉⲱⲡⲉ ⲛ̅ⳉⲏⲧϥ ⲧ[ⲁϫ]ⲓ ⲉⲁⲩ ⲡⲁϫⲉ ⲡϫⲁⲉⲓⲥ						 ἀνάβητε ἐπὶ τὸ ὄρος καὶ κόψατε ξύλα καὶ οἰκοδοµήσατε τὸν οἶκον, καὶ εὐδοκήσω ἐν αὐτῷ καὶ ἐνδοξασθήσοµαι, εἶπεν κύριος.	 Go up to the mountain, and cut timber; build the house, and I will take pleasure in it, and be glorified, saith the Lord.	
Haggai	1	9	 ⲁⲣⲉⲧⲉⲛϫⲟⲩϣⲧ ⲉ̀ϩⲁⲛⲙⲏϣ ⲟⲩⲟϩ ⲁⲩⲉⲣⲕⲟⲩϫⲓ ⲟⲩⲟϩ ⲁⲩⲉⲛⲟⲩ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲡⲓⲏⲓ ⲟⲩⲟϩ ⲁⲓⲛⲓϥⲓ ⲛ̀ⲥⲱⲟⲩ ⲉⲑⲃⲉ ⲫⲁⲓ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲉ̀ⲫⲙⲁ ϫⲉ ⲡⲁⲏⲓ ϥϣⲏϥ ⲛ̀ⲑⲱⲧⲉⲛ ⲇⲉ ⲧⲉⲧⲉⲛϭⲟϫⲓ ⲫⲟⲩⲁⲓ ⲫⲟⲩⲁⲓ ⲉ̀ⲡⲉϥⲏⲓ	 ⲁⲧⲉⲧⲛⲥⲱⲛⲧ ⲁϫⲛ [ϩⲁ]ϩ ⲁⲟⲩ ⲉⲥⲧⲉ [ⲥ]ⲉⲥⲁⲃⲕ [.]ⲁⲟⲩ ⲁⲧⲉⲧⲛϫⲓⲧⲟⲩ ⲁⳉⲟⲩⲛ [ⲁⲡⲏⲓ̈] ⲁⲓ̈ⲛⲉϥⲧⲟⲩ ⲁⲃⲁⲗ ⲛ[ⲉⲓ̈] ⲛⲉⲧϥϫⲟⲩ ⲙ̅ⲙⲁⲩ [ⲛ̅]ϭⲓ ⲡϫⲁⲉⲓⲥ ⲡⲡⲁⲛⲧⲱⲕ[ⲣⲁ]ⲧⲱⲣ ⲁⲃⲁⲗ ϫⲉ ⲡⲁⲏⲓ̈ [ⲣ̅ϫⲁⲓ̈ⲉ ⲛ̅]ⲧⲱⲧⲛⲉ ⲇⲉ ⲧⲉⲧⲛ̅[ⲡⲱⲧ] ⲡⲟⲩⲉ ⲡⲟⲩⲉ ⲁϩⲣⲏ[ⲓ̈ ⲁⲡⲉϥ]ⲏⲓ						 ἐπεβλέψατε εἰς πολλά, καὶ ἐγένετο ὀλίγα· καὶ εἰσηνέχθη εἰς τὸν οἶκον, καὶ ἐξεφύσησα αὐτά. διὰ τοῦτο τάδε λέγει κύριος παντοκράτωρ Ἀνθ’ ὧν ὁ οἶκός µού ἐστιν ἔρηµος, ὑµεῖς δὲ διώκετε ἕκαστος εἰς τὸν οἶκον αὐτοῦ,	 Ye looked for much, and there came little; and it was brought into the house, and I blew it away. Therefore thus saith the Lord Almighty, Because my house is desolate, and ye run everyone into his own house;	
