book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Joel	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲓⲟⲩⲏⲗ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Joel	1	1	 ⲡⲥⲁϫⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲉⲧⲁϥϣⲱⲡⲓ ϩⲁ ⲓⲱⲏⲗ ⲡϣⲏⲣⲓ ⲛ̀ⲃⲁⲑⲟⲩⲏⲗ							 Λόγος κυρίου, ὃς ἐγενήθη πρὸς Ιωηλ τὸν τοῦ Βαθουηλ.	 The word of the Lord which came to Joel the son of Bathuel.	
Joel	1	2	 ⲥⲱⲧⲉⲙ ⲉ̀ⲛⲁⲓ ⲛⲓⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲟⲩⲟϩ ϭⲓⲥⲙⲏ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧϣⲟⲡ ϩⲓϫⲉⲛ ⲡⲕⲁϩⲓ ϫⲉ ⲁ ⲛⲁ ϩⲁⲛϩⲃⲏⲟⲩⲓ ϣⲱⲡⲓ ⲙ̀ⲡⲁⲓⲣⲏϯ ϧⲉⲛ ⲛⲉⲧⲉⲛⲉϩⲟⲟⲩ ⲛⲉⲙ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲛⲉⲧⲉⲛⲓⲟϯ							 Ἀκούσατε δὴ ταῦτα, οἱ πρεσβύτεροι, καὶ ἐνωτίσασθε, πάντες οἱ κατοικοῦντες τὴν γῆν. εἰ γέγονεν τοιαῦτα ἐν ταῖς ἡµέραις ὑµῶν ἢ ἐν ταῖς ἡµέραις τῶν πατέρων ὑµῶν;	 Hear these words, ye elders, and hearken all ye that inhabit the land. Have such things happen in your days, or in the days of your fathers?	
Joel	1	3	 ⲥⲁϫⲓ ⲉⲑⲃⲉ ϧⲁⲧⲟⲧⲟⲩ ⲛ̀ⲛⲉⲧⲉⲛϣⲏⲣⲓ ⲟⲩⲟϩ ⲛⲉⲧⲉⲛϣⲏⲣⲓ ϧⲁⲧⲟⲧⲟⲩ ⲛ̀ⲛⲟⲩϣⲏⲣⲓ ⲟⲩⲟϩ ⲛⲟⲩϣⲏⲣⲓ ⲛ̀ⲕⲉⲅⲉⲛⲉⲁ							 ὑπὲρ αὐτῶν τοῖς τέκνοις ὑµῶν διηγήσασθε, καὶ τὰ τέκνα ὑµῶν τοῖς τέκνοις αὐτῶν, καὶ τὰ τέκνα αὐτῶν εἰς γενεὰν ἑτέραν.	 Tell your children concerning them, and let your children tell their children, and their children another generation.	
Joel	1	4	 ⲛⲓⲥⲉⲡⲓ ⲛ̀ⲧⲉ ⲡⲓϥⲉⲛⲧ ⲁϥⲟⲩⲟⲙⲟⲩ ⲛ̀ϫⲉ ⲡⲓϣϫⲉ ⲟⲩⲟϩ ⲛⲓⲥⲉⲡⲓ ⲛ̀ⲧⲉ ⲡⲓϣϫⲉ ⲁϥⲟⲩⲟⲙⲟⲩ ⲛ̀ϫⲉ ⲡⲓϥⲣⲟⲩⲭⲟⲥ ⲟⲩⲟϩ ⲛⲓⲥⲉⲡⲓ ⲛ̀ⲧⲉ ⲡⲓϥⲣⲟⲩⲭⲟⲥ ⲁⲥⲟⲩⲟⲙⲟⲩ ⲛ̀ϫⲉ ϯⲉⲧⲏϣⲓ							 τὰ κατάλοιπα τῆς κάµπης κατέφαγεν ἡ ἀκρίς, καὶ τὰ κατάλοιπα τῆς ἀκρίδος κατέφαγεν ὁ βροῦχος, καὶ τὰ κατάλοιπα τοῦ βρούχου κατέφαγεν ἡ ἐρυσίβη.	 The leavings of the caterpillar has the locust eaten, and the leavings of the locust has the palmerworm eaten, and the leavings of the palmerworm has the cankerworm eaten.	
Joel	1	5	 ⲁⲣⲓⲛⲏⲫⲓⲛ ⲛⲏ ⲉⲧⲑⲁϧⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲟⲩⲏⲣⲡ ⲟⲩⲟϩ ⲣⲓⲙⲓ ⲟⲩⲟϩ ⲁⲣⲓϩⲏⲃⲓ ⲧⲏⲣⲟⲩ ⲛⲏ ⲉⲧⲥⲱ ⲙ̀ⲡⲓⲏⲣⲡ ⲉⲩⲑⲁϧⲓ ϫⲉ ⲁⲩⲱⲗⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲣⲱⲧⲉⲛ ⲙ̀ⲡⲟⲩⲛⲟϥ ⲛⲉⲙ ⲫⲣⲁϣⲓ							 ἐκνήψατε, οἱ µεθύοντες, ἐξ οἴνου αὐτῶν καὶ κλαύσατε· θρηνήσατε, πάντες οἱ πίνοντες οἶνον, εἰς µέθην, ὅτι ἐξῆρται ἐκ στόµατος ὑµῶν εὐφροσύνη καὶ χαρά.	 Awake, ye drunkards, from your wine, and weep: mourn, all ye that drink wine to drunkenness: for joy and gladness and removed are from your mouth.	
Joel	1	6	 ϫⲉ ⲁϥⲓ̀ ⲛ̀ϫⲉ ⲟⲩⲉⲑⲛⲟⲥ ⲉ̀ϫⲉⲛ ⲡⲕⲁϩⲓ ⲉϥϫⲟⲣ ⲟⲩⲟϩ ⲙⲙⲟⲛⲧⲉϥ ⲏⲡⲓ ⲛⲉϥϣⲟⲗ ϩⲁⲛϣⲟⲗ ⲙ̀ⲙⲟⲩⲓ ⲛⲉ ⲟⲩⲟϩ ⲛⲉϥⲛⲁϫϩⲓ ϩⲁⲛⲙⲁⲥ ⲙ̀ⲙⲟⲩⲓ ⲛⲉ							 ὅτι ἔθνος ἀνέβη ἐπὶ τὴν γῆν µου ἰσχυρὸν καὶ ἀναρίθµητον, οἱ ὀδόντες αὐτοῦ ὀδόντες λέοντος, καὶ αἱ µύλαι αὐτοῦ σκύµνου·	 For a strong and innumerable nation is come up against my land, their teeth are lion’s teeth, and their back teeth those of a lion’s whelp.	
Joel	1	7	 ⲁϥⲭⲱ ⲛ̀ⲧⲁⲃⲱ ⲛ̀ⲁⲗⲟⲗⲓ ⲉ̀ⲡⲧⲁⲕⲟ ⲟⲩⲟϩ ⲧⲁⲃⲱ ⲛ̀ⲕⲉⲛⲧⲉ ⲉⲩⲕⲱϣ ϧⲉⲛ ⲟⲩϧⲟⲧϧⲉⲧ ⲁϥϧⲉⲧϧⲱⲧⲥ ⲟⲩⲟϩ ⲁϥⲃⲉⲣⲃⲱⲣⲥ ⲉ̀ⲃⲟⲗ ⲁϥⲑⲣⲟⲩ ⲟⲩⲃⲁϣ ⲛ̀ϫⲉ ⲛⲉⲥⲕⲗⲏⲙⲁ							 ἔθετο τὴν ἄµπελόν µου εἰς ἀφανισµὸν καὶ τὰς συκᾶς µου εἰς συγκλασµόν· ἐρευνῶν ἐξηρεύνησεν αὐτὴν καὶ ἔρριψεν, ἐλεύκανεν κλήµατα αὐτῆς.	 He has ruined my vine, and utterly broken my fig-trees: he has utterly searched my vine, and cast it down; he has peeled its branches.	
Joel	1	8	 ⲁⲣⲓϩⲏⲃⲓ ⲉ̀ⲡϣⲱⲓ ϩⲁⲣⲟⲓ ⲉ̀ϩⲟⲧⲉ ⲟⲩϣⲉⲗⲉⲧ ⲉⲥⲙⲏⲣ ⲛ̀ⲟⲩⲥⲟⲕ ⲉ̀ϫⲉⲛ ⲡϩⲁⲓ ⲛ̀ⲧⲉ ⲧⲉⲥⲙⲉⲧⲡⲁⲣⲑⲉⲛⲟⲥ							 θρήνησον πρός µε ὑπὲρ νύµφην περιεζωσµένην σάκκον ἐπὶ τὸν ἄνδρα αὐτῆς τὸν παρθενικόν.	 Lament to me more than a virgin girded with sackcloth for the husband of her youth.	
Joel	1	9	 ϫⲉ ⲁⲩⲱⲗⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲏⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲛ̀ⲟⲩϣⲟⲩϣⲱⲟⲩϣⲓ ⲛⲉⲙ ⲟⲩⲱⲧⲉⲛ ⲉ̀ⲃⲟⲗ ⲁⲣⲓϩⲏⲃⲓ ⲛⲓⲟⲩⲏⲃ ⲛⲏ ⲉⲧϣⲉⲙϣⲓ ⲙ̀ⲡⲓⲙⲁⲛ̀ⲉⲣϣⲱⲟⲩϣⲓ							 ἐξῆρται θυσία καὶ σπονδὴ ἐξ οἴκου κυρίου. πενθεῖτε, οἱ ἱερεῖς οἱ λειτουργοῦντες θυσιαστηρίῳ,	 The meat-offering and drink-offering are removed from the house of the Lord: mourn, ye priests that serve at the altar of the Lord.	
