book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Joshua	1	1								 Καὶ ἐγένετο µετὰ τὴν τελευτὴν Μωυσῆ εἶπεν κύριος τῷ Ἰησοῖ υἱῷ Ναυη τῷ ὑπουργῷ Μωυσῆ λέγων	 And it came to pass after the death of Moses, that the Lord spoke to Joshua the son of Naue, the minister of Moses, saying,	 ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲙⲛ̅ⲛ̅ⲥⲁ ⲧⲣⲉϥⲙⲟⲩ ⲛ̅ϭⲓ ⲙⲱⲩ̈ⲥⲏⲥ ⲡϩⲙϩⲁⲗ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲡⲉϫⲉ ⲡϫⲟⲉⲓⲥ ⲛ̅ⲓ̈ⲏⲥⲟⲩⲥ ⲡϣⲏⲣⲓ ⲛ̅ⲛⲁⲩⲏ ⲡϣⲙ̅ϣⲓⲧ ⲙ̅ⲙⲱⲩ̈ⲥⲏⲥ ⲉϥϫⲱ ⲙ̅ⲙⲟⲥ ⲛⲁϥ
Joshua	1	2								 Μωυσῆς ὁ θεράπων µου τετελεύτηκεν· νῦν οὖν ἀναστὰς διάβηθι τὸν Ιορδάνην, σὺ καὶ πᾶς ὁ λαὸς οὗτος, εἰς τὴν γῆν, ἣν ἐγὼ δίδωµι αὐτοῖς.	 Moses my servant is dead; now then arise, go over Jordan, thou and all this people, into the land, which I give them.	 ϫⲉ ⲙⲱⲩ̈ⲥⲏⲥ ⲡⲁϩⲙ̅ϩⲁⲗ ⲁϥⲙⲟⲩ ⲧⲉⲛⲟⲩ ϭⲉ ⲧⲱⲟⲩⲛ ⲛⲅ̅ϫⲓⲟⲟⲣ ⲙ̅ⲡⲓⲟⲣⲇⲁⲛⲏⲥ ⲛ̅ⲧⲟⲕ ⲙⲛ̅ ⲡⲉⲓ̈ⲗⲁⲟⲥ ⲧⲏⲣϥ̅ ⲉϩⲟⲩⲛ ⲉⲡⲕⲁϩ ⲡⲁⲓ̈ ⲁⲛⲟⲕ ⲉϯⲛⲁⲧⲁⲁϥ ⲛⲁⲩ
Joshua	1	3								 πᾶς ὁ τόπος, ἐφ’ ὃν ἂν ἐπιβῆτε τῷ ἴχνει τῶν ποδῶν ὑµῶν, ὑµῖν δώσω αὐτόν, ὃν τρόπον εἴρηκα τῷ Μωυσῇ,	 Every spot on which ye shall tread I will give it to you, as I said to Moses.	 ⲙⲁ ⲛⲓⲙ ⲉⲧⲉⲣⲉ ⲛ̅ⲧⲁϭⲥⲉ ⲛ̅ⲛⲉⲧⲛ̅ⲟⲩⲉⲣⲏⲧⲉ ⲛⲁϣⲱⲡⲓ ϩⲓϫⲱϥ ϯⲛⲁⲧⲁⲁϥ ⲛⲏⲧⲛ̅ ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁⲓϫⲟⲟⲥ ⲙ̅ⲙⲱⲩ̈ⲥⲏⲥ
Joshua	1	4								 τὴν ἔρηµον καὶ τὸν Ἀντιλίβανον ἕως τοῦ ποταµοῦ τοῦ µεγάλου, ποταµοῦ Εὐφράτου, καὶ ἕως τῆς θαλάσσης τῆς ἐσχάτης ἀφ’ ἡλίου δυσµῶν ἔσται τὰ ὅρια ὑµῶν.	 The wilderness and Antilibanus, as far as the great river, the river Euphrates, and as far as the extremity of the sea; your costs shall be from the setting of the sun.	 ⲧⲉⲣⲏⲙⲟⲥ ⲁⲩⲱ ⲡⲁⲛⲧⲓⲗⲓⲃⲁⲛⲟⲥ ϣⲁ ϩⲣⲁⲓ̈ ⲉⲡⲛⲟϭ ⲛ̅ⲓⲉⲣⲟ ⲡⲉⲩⲫⲣⲁⲧⲏⲥ ⲁⲩⲱ ϣⲁ ϩⲣⲁⲓ̈ ⲉⲧⲉ ⲑⲁⲗⲁⲥⲥⲁ ⲛ̅ϩⲁⲏ ϫⲓⲛ ⲡⲙⲁ ⲛ̅ϩⲱⲧⲡ ⲙ̅ⲡⲣⲏ ⲉⲣⲉⲛⲉⲧⲛ̅ⲧⲟϣ ⲛⲁϣⲱⲡⲉ ⲛⲏⲧⲛ̅
Joshua	1	5								 οὐκ ἀντιστήσεται ἄνθρωπος κατενώπιον ὑµῶν πάσας τὰς ἡµέρας τῆς ζωῆς σου, καὶ ὥσπερ ἤµην µετὰ Μωυσῆ, οὕτως ἔσοµαι καὶ µετὰ σοῦ καὶ οὐκ ἐγκαταλείψω σε οὐδὲ ὑπερόψοµαί σε.	 Not a man shall stand against you all the days of thy life; and as I was with Moses, so will I also be with thee, and I will not fail thee, or neglect thee.	 ⲛ̅ⲛⲉ ⲗⲁⲁⲩ ⲛ̅ⲣⲱⲙⲉ ⲁϩⲉⲣⲁⲧϥ̅ ⲟⲩⲃⲉ ⲧⲏⲩⲧⲛ̅ ⲛ̅ⲛⲉϩⲟⲟⲩ ⲧⲏⲣⲟⲩ ⲙ̅ⲡⲉⲕⲱⲛϩ̅ ⲁⲩⲱ ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲓϣⲱⲡⲉ ⲙⲛ̅ ⲙⲱⲩ̈ⲥⲏⲥ ⲧⲁⲓ̈ ⲧⲉ ⲑⲉ ⲉϯⲛⲁϣⲱⲡⲉ ⲛⲙ̅ⲙⲁⲕ ϩⲱⲱⲕ ⲁⲩⲱ ⲛ̅ϯⲛⲁⲕⲁⲁⲕ ⲛ̅ⲥⲱⲓ̈ ⲁⲛ ⲟⲩⲇⲉ ⲛ̅ϯⲛⲁⲟⲃϣ̅ ⲁⲛ ⲉⲣⲟⲕ
Joshua	1	6								 ἴσχυε καὶ ἀνδρίζου· σὺ γὰρ ἀποδιαστελεῖς τῷ λαῷ τούτῳ τὴν γῆν, ἣν ὤµοσα τοῖς πατράσιν ὑµῶν δοῦναι αὐτοῖς.	 Be strong and ‘quit thyself like a man, for thou shalt divide the land to this people, which I sware to give to your fathers.	 ⲧⲱⲕ ⲁⲩⲱ ⲛⲅ̅ⲧⲁϫⲣⲟ ⲛ̅ⲧⲟⲕ ⲅⲁⲣ ⲡⲉⲧⲛⲁⲡⲱϣ ⲉϫⲙ̅ ⲡⲉⲓ̈ⲗⲁⲟⲥ ⲙ̅ⲡⲕⲁϩ ⲡⲁⲓ̈ ⲉⲛⲧⲁⲓ̈ⲱⲣⲏ ⲙ̅ⲙⲟϥ ⲛ̅ⲛⲉⲧⲛ̅ⲉⲓⲟⲧⲉ ⲉⲧⲣⲁⲧⲁⲁϥ ⲛⲁⲩ
Joshua	1	7								 ἴσχυε οὖν καὶ ἀνδρίζου φυλάσσεσθαι καὶ ποιεῖν καθότι ἐνετείλατό σοι Μωυσῆς ὁ παῖς µου, καὶ οὐκ ἐκκλινεῖς ἀπ’ αὐτῶν εἰς δεξιὰ οὐδὲ εἰς ἀριστερά, ἵνα συνῇς ἐν πᾶσιν, οἷς ἐὰν πράσσῃς.	 Be strong, therefore, and quit thyself like a man, to observe and do as Moses my servant commanded thee; and thou shalt not turn therefrom to the right hand or to the left, that thou mayest be wise in whatsoever thou mayest do.	 ⲧⲱⲛ ϭⲉ ⲁⲩⲱ ⲛⲅ̅ϭⲙ̅ϭⲟⲙ ⲉⲧⲣⲉⲕϩⲁⲣⲉϩ ⲁⲩⲱ ⲛⲅ̅ⲉⲓⲣⲉ ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁϥϩⲱⲛ ⲉⲧⲟⲟⲧⲕ̅ ⲛ̅ϭⲓ ⲙⲱⲩ̈ⲥⲏⲥ ⲡⲁϩⲙ̅ϩⲁⲗ ⲁⲩⲱ ⲛ̅ⲛⲉⲕⲣⲁⲧⲕ̅ ⲉⲃⲟⲗ ⲙ̅ⲙⲟⲟⲩ ⲉⲟⲩⲛⲁⲙ ⲏ ⲉϩⲃⲟⲩⲣ ϫⲉⲕⲁⲥ ⲉⲕⲉⲉⲓⲙⲉ ϩⲛ̅ ϩⲱⲃ ⲛⲓⲙ ⲉⲧⲕ̅ⲛⲁⲁⲁⲩ
Joshua	1	8								 καὶ οὐκ ἀποστήσεται ἡ βίβλος τοῦ νόµου τούτου ἐκ τοῦ στόµατός σου, καὶ µελετήσεις ἐν αὐτῷ ἡµέρας καὶ νυκτός, ἵνα συνῇς ποιεῖν πάντα τὰ γεγραµµένα· τότε εὐοδωθήσῃ καὶ εὐοδώσεις τὰς ὁδούς σου καὶ τότε συνήσεις.	 And the book of this law shall not depart out of thy mouth, and thou shalt meditate in it day and night, that thou mayest know how to do all the things that are written in it; then shalt thou prosper, and make thy ways prosperous, and then shalt thou be wise.	 ⲁⲩⲱ ⲛ̅ⲛⲉ ⲡϫⲱⲱⲙⲉ ⲙ̅ⲡⲉⲓ̈ⲛⲟⲙⲟⲥ ⲥⲁϩⲱϥ ⲉⲃⲟⲗ ⲛ̅ⲧⲉⲕⲧⲁⲡⲣⲟ ⲁⲩⲱ ⲉⲕⲉⲙⲉⲗⲉⲧⲁ ⲛ̅ϩⲏⲧϥ ⲙ̅ⲡⲉϩⲟⲟⲩ ⲙⲛ̅ ⲧⲉⲩϣⲏ ϫⲉⲕⲁⲥ ⲉⲕⲉⲉⲓⲙⲉ ⲉⲉⲓⲣⲉ ⲛ̅ϩⲱⲃ ⲛⲓⲙ ⲉⲧⲥⲏϩ ⲛ̅ϩⲏⲧϥ̅ ⲁⲩⲱ ⲧⲉⲕϩⲓⲏ ⲛⲁⲥⲟⲟⲩⲧⲛ̅ ⲛ̅ⲧⲉ ⲡϫⲟⲉⲓⲥ ⲥⲟⲩⲧⲛ̅ ⲛ̅ⲛⲉⲕϩⲓⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲁⲩⲱ ⲧⲟⲧⲉ ⲕⲛⲁⲛⲟⲓ̈
Joshua	1	9								 ἰδοὺ ἐντέταλµαί σοι· ἴσχυε καὶ ἀνδρίζου, µὴ δειλιάσῃς µηδὲ φοβηθῇς, ὅτι µετὰ σοῦ κύριος ὁ θεός σου εἰς πάντα, οὗ ἐὰν πορεύῃ.	 Lo! I have commanded thee; be strong and courageous, be not cowardly nor fearful, for the Lord thy God is with thee in all places whither thou goest.	 ⲉⲓⲥ ϩⲏⲏⲧⲉ ϯϩⲱⲛ ⲉⲧⲟⲟⲧⲕ̅ ⲧⲁϫⲣⲟ ⲁⲩⲱ ⲛⲅ̅ϭⲙ̅ϭⲟⲙ ⲙ̅ⲡⲣ̅ϣⲗⲁϩ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ⲣϩⲟⲧⲉ ⲉⲃⲟⲗ ϫⲉ ϥⲛⲙ̅ⲙⲁⲕ ⲛ̅ϭⲓ ⲡϫⲟⲉⲓⲥ ⲡⲉⲕⲛⲟⲩⲧⲉ ϩⲛ̅ ⲙⲁ ⲛⲓⲙ ⲉⲧⲕ̅ⲛⲁⲃⲱⲕ ⲉⲣⲟⲟⲩ
Joshua	1	10								 Καὶ ἐνετείλατο Ἰησοῦς τοῖς γραµµατεῦσιν τοῦ λαοῦ λέγων	 And Joshua commanded the scribes of the people, saying,	 ⲁⲩⲱ ⲓ̈ⲏⲥⲟⲩⲥ ⲁϥϩⲱⲛ ⲉⲧⲟⲟⲧⲟⲩ ⲛ̅ⲛⲉⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ ⲙ̅ⲡⲗⲁⲟⲥ ⲉϥϫⲱ ⲙ̅ⲙⲟⲥ ⲛⲁⲩ
