book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Judith	1	1	 							 Ἔτους δωδεκάτου τῆς βασιλείας Ναβουχοδονοσορ, ὃς ἐβασίλευσεν Ἀσσυρίων ἐν Νινευη τῇ πόλει τῇ µεγάλῃ, ἐν ταῖς ἡµέραις Αρφαξαδ, ὃς ἐβασίλευσεν Μήδων ἐν Ἐκβατάνοις,	 In the twelfth year of the reign of Nabuchodonosor, who reigned in Nineve, the great city; in the days of Arphaxad, which reigned over the Medes in Ecbatane,	 ϩⲣⲁⲓ̈ ϩⲛ̅ ⲧⲙⲉϩⲙⲛ̅ⲧⲥⲛⲟⲟⲩⲥ ⲛ̅ⲣⲟⲙⲡⲉ ⲛ̅ⲧⲙⲛ̅ⲧⲉⲣⲟ ⲛ̅ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ ⲡⲁⲓ̈ ⲉⲛⲧⲁϥⲣ̅ⲣ̅ⲣⲟ ⲉϫⲛ̅ ⲛ̅ⲁⲥⲥⲩⲣⲓⲟⲥ ϩⲛ̅ ⲛⲓⲛⲉⲩⲏ ⲧⲛⲟϭ ⲙ̅ⲡⲟⲗⲓⲥ ϩⲛ̅ ⲛⲉϩⲟⲟⲩ ⲛ̅ⲁⲣⲫⲁⲝⲁⲇ ⲉⲛⲧⲁϥⲣ̅ⲣ̅ⲣⲟ ⲉϫⲛ̅ ⲙ̅ⲙⲏⲇⲟⲥ ϩⲛ̅ ⲛⲉⲕⲃⲁⲇⲁⲛⲟⲥ
Judith	1	2	 							 καὶ ᾠκοδόµησεν ἐπ’ Ἐκβατάνων κύκλῳ τείχη ἐκ λίθων λελαξευµένων εἰς πλάτος πηχῶν τριῶν καὶ εἰς µῆκος πηχῶν ἓξ καὶ ἐποίησεν τὸ ὕψος τοῦ τείχους πηχῶν ἑβδοµήκοντα καὶ τὸ πλάτος αὐτοῦ πηχῶν πεντήκοντα	 And built in Ecbatane walls round about of stones hewn three cubits broad and six cubits long, and made the height of the wall seventy cubits, and the breadth thereof fifty cubits:	 ⲁϥⲕⲱⲧ ⲛ̅ⲧⲉⲕⲃⲁⲇⲁⲛⲟⲥ ⲛ̅ϩⲉⲛⲥⲟⲃⲧ ⲉⲩⲕⲱⲧⲉ ⲛ̅ϩⲉⲛⲱⲛⲉ ⲉⲩⲕⲉϩⲕⲱϩ ⲉⲩⲉⲓⲣⲉ ⲛ̅ϣⲟⲙⲛ̅ⲧ ⲙ̅ⲙⲁϩⲉ ⲛ̅ⲟⲩⲱϣⲥ̅ ⲁⲩⲱ ⲥⲟⲟⲩ ⲙ̅ⲙⲁϩⲉ ⲛ̅ϣⲓⲏ ⲁϥϫⲉⲥⲧ ⲡⲥⲟⲃⲧ ⲛ̅ϣⲃⲉ ⲙ̅ⲙⲁϩⲉ ⲁⲩⲱ ⲡⲉϥⲟⲩⲱϣⲥ̅ ⲛ̅ⲧⲁⲓ̈ⲟⲩ ⲙ̅ⲙⲁϩⲉ
Judith	1	3	 							 καὶ τοὺς πύργους αὐτοῦ ἔστησεν ἐπὶ ταῖς πύλαις αὐτῆς πηχῶν ἑκατὸν καὶ τὸ πλάτος αὐτῆς ἐθεµελίωσεν εἰς πήχεις ἑξήκοντα	 And set the towers thereof upon the gates of it an hundred cubits high, and the breadth thereof in the foundation threescore cubits:	 ⲁϥⲕⲁ ⲛⲉⲥⲡⲩⲣⲅⲟⲥ ⲉϫⲛ̅ ⲛⲉⲥⲡⲩⲗⲏ ⲉⲩⲉⲓⲣⲉ ⲛ̅ϣⲉ ⲙ̅ⲙⲁϩⲉ ⲧⲥⲛ̅ⲧⲉ ⲙ̅ⲡⲉⲥⲟⲩⲱϣⲥ̅ ⲡⲉ ⲥⲉ ⲙ̅ⲙⲁϩⲉ
Judith	1	4	 							 καὶ ἐποίησεν τὰς πύλας αὐτῆς πύλας διεγειροµένας εἰς ὕψος πηχῶν ἑβδοµήκοντα καὶ τὸ πλάτος αὐτῆς πήχεις τεσσαράκοντα εἰς ἐξόδους δυνάµεως δυνατῶν αὐτοῦ καὶ διατάξεις τῶν πεζῶν αὐτοῦ.	 And he made the gates thereof, even gates that were raised to the height of seventy cubits, and the breadth of them was forty cubits, for the going forth of his mighty armies, and for the setting in array of his footmen:	 ⲁϥⲕⲱⲧ ⲛ̅ⲛⲉⲥⲡⲩⲗⲏ ⲉⲩϫⲟⲥⲉ ⲛ̅ϣⲃⲉ ⲙ̅ⲙⲁϩⲉ ⲁⲩⲱ ⲡⲉⲥⲟⲩⲱϣⲥ̅ ⲛ̅ϩⲙⲉ ⲙ̅ⲙⲁϩⲉ ⲉⲡⲉⲓ ⲉⲃⲟⲗ ⲛ̅ⲧⲉϥϭⲟⲙ ⲙⲛ̅ ⲧⲉϥⲧⲓⲁⲥⲧⲁⲥⲓⲥ ⲙⲛ̅ ⲛⲉϥⲧⲣⲓⲥⲧⲁⲧⲏⲥ ⲙⲛ̅ ⲛ̅ⲧⲱϣ ⲛ̅ⲛⲉϥⲣⲙ̅ⲣⲁⲧⲟⲩ
Judith	1	5	 							 καὶ ἐποίησεν πόλεµον ἐν ταῖς ἡµέραις ἐκείναις ὁ βασιλεὺς Ναβουχοδονοσορ πρὸς βασιλέα Αρφαξαδ ἐν τῷ πεδίῳ τῷ µεγάλῳ, τοῦτό ἐστιν πεδίον ἐν τοῖς ὁρίοις Ραγαυ.	 Even in those days king Nabuchodonosor made war with king Arphaxad in the great plain, which is the plain in the borders of Ragau.	 ⲁϥⲉⲓⲣⲉ ⲛ̅ⲟⲩⲛⲟϭ ⲙ̅ⲡⲟⲗⲉⲙⲟⲥ ϩⲛ̅ ⲛⲉϩⲟⲟⲩ ⲉⲧⲙ̅ⲙⲁⲩ ⲛ̅ϭⲓ ⲡⲣ̅ⲣⲟ ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲁⲣⲫⲁⲝⲁⲇ ⲡⲣ̅ⲣⲟ ϩⲛ̅ ⲧⲛⲟϭ ⲛ̅ⲥⲱϣⲉ ⲉⲧⲉ ⲡⲁⲓ̈ ⲡⲉ ϩⲛ̅ ⲛ̅ⲧⲟϣ ⲛ̅ϩⲣⲁⲅⲁⲩ
Judith	1	6	 							 καὶ συνήντησαν πρὸς αὐτὸν πάντες οἱ κατοικοῦντες τὴν ὀρεινὴν καὶ πάντες οἱ κατοικοῦντες τὸν Εὐφράτην καὶ τὸν Τίγριν καὶ τὸν Ὑδάσπην καὶ πεδία Αριωχ βασιλέως Ἐλυµαίων, καὶ συνῆλθον ἔθνη πολλὰ εἰς παράταξιν υἱῶν Χελεουδ.	 And there came unto him all they that dwelt in the hill country, and all that dwelt by Euphrates, and Tigris and Hydaspes, and the plain of Arioch the king of the Elymeans, and very many nations of the sons of Chelod, assembled themselves to the battle.	 ⲁⲩⲧⲱⲙⲛ̅ⲧ ⲉⲣⲟϥ ⲛ̅ϭⲓ ⲉⲧⲟⲩⲏϩ ⲧⲏⲣⲟⲩ ϩⲛ̅ ⲧⲟⲣⲓⲛⲏ ⲙⲛ̅ ⲛⲉⲧⲟⲩⲏϩ ϩⲙ̅ ⲡⲉⲩⲫⲣⲁⲇⲏⲥ ⲙⲛ̅ ⲧⲓⲅⲣⲓⲥ ⲁⲩⲱ ϩⲩⲇⲁⲥⲡⲏⲥ ⲙⲛ̅ ⲛ̅ⲥⲱϣⲉ ⲛ̅ⲁⲣⲓⲱⲭ ⲡⲣ̅ⲣⲟ ⲛⲉⲗⲉⲙⲉⲱⲛ ⲁⲩⲉⲓ ⲛ̅ϭⲓ ⲛϩⲉⲑⲛⲟⲥ ⲉⲩⲛⲟϭ ⲙⲡⲁⲣⲁⲇⲁⲝⲓⲥ ⲉⲛⲁϣⲱⲥ ⲉϫⲛ ⲛϣⲏⲣⲉ ⲛⲭⲉⲗⲉⲟⲩⲗ
Judith	1	7	 							 καὶ ἀπέστειλεν Ναβουχοδονοσορ βασιλεὺς Ἀσσυρίων ἐπὶ πάντας τοὺς κατοικοῦντας τὴν Περσίδα καὶ ἐπὶ πάντας τοὺς κατοικοῦντας πρὸς δυσµαῖς, τοὺς κατοικοῦντας τὴν Κιλικίαν καὶ Δαµασκὸν καὶ τὸν Λίβανον καὶ Ἀντιλίβανον, καὶ πάντας τοὺς κατοικοῦντας κατὰ πρόσωπον τῆς παραλίας	 Then Nabuchodonosor king of the Assyrians sent unto all that dwelt in Persia, and to all that dwelt westward, and to those that dwelt in Cilicia, and Damascus, and Libanus, and Antilibanus, and to all that dwelt upon the sea coast,	 ⲁϥϫⲟⲟⲩ ⲛ̅ϭⲓ ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ ⲡⲣ̅ⲣⲟ ⲛ̅ⲛ̅ⲁⲥⲥⲩⲣⲓⲟⲥ ⲛ̅ⲥⲁ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲟⲩⲏϩ ϩⲙ̅ ⲡⲉⲩⲫⲣⲁⲧⲏⲥ ⲙⲛ̅ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲟⲩⲏϩ ϩⲛ̅ ⲙ̅ⲡⲉⲣⲥⲏⲥ ⲙⲛ̅ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧϣⲟⲟⲡ ϩⲙ̅ ⲡⲉⲙⲛ̅ⲧ ⲙⲛ̅ ⲛⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲧⲕⲓⲗⲓⲕⲓⲁ ⲙⲛ̅ ⲇⲁⲙⲁⲥⲕⲟⲥ ⲙⲛ̅ ⲡⲗⲓⲃⲁⲛⲟⲥ ⲙⲛ̅ ⲡⲁⲛⲧⲓⲗⲓⲃⲁⲛⲟⲥ ⲙⲛ̅ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲟⲩⲏϩ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲛ̅ⲧⲡⲁⲣϩⲁⲗⲓⲁ
Judith	1	8	 							 καὶ τοὺς ἐν τοῖς ἔθνεσι τοῦ Καρµήλου καὶ Γαλααδ καὶ τὴν ἄνω Γαλιλαίαν καὶ τὸ µέγα πεδίον Εσδρηλων	 And to those among the nations that were of Carmel, and Galaad, and the higher Galilee, and the great plain of Esdrelom, 	 ⲙⲛ̅ ⲛ̅ⲛ̅ϩⲉⲑⲛⲟⲥ ⲉⲧϩⲙ̅ ⲡⲕⲁⲣⲙⲏⲗⲟⲥ ⲙⲛ̅ ⲧⲅⲁⲗⲁⲁⲇ ⲙⲛ̅ ⲧⲅⲁⲗⲓⲗⲁⲓⲁ ⲉⲧϩⲛ̅ ⲧⲡⲉ ⲙⲛ̅ ⲧⲛⲟϭ ⲛ̅ⲥⲱϣⲉ ⲛ̅ⲛⲉⲥⲣⲏⲙ
Judith	1	9	 							 καὶ πάντας τοὺς ἐν Σαµαρείᾳ καὶ ταῖς πόλεσιν αὐτῆς καὶ πέραν τοῦ Ιορδάνου ἕως Ιερουσαληµ καὶ Βατανη καὶ Χελους καὶ Καδης καὶ τοῦ ποταµοῦ Αἰγύπτου καὶ Ταφνας καὶ Ραµεσση καὶ πᾶσαν γῆν Γεσεµ	 And to all that were in Samaria and the cities thereof, and beyond Jordan unto Jerusalem, and Betane, and Chelus, and Kades, and the river of Egypt, and Taphnes, and Ramesse, and all the land of Gesem,	 ⲙⲛ̅ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧϩⲛ̅ ⲧⲥⲁⲙⲁⲣⲓⲁ ⲙⲛ̅ ⲛⲉⲥⲡⲟⲗⲓⲥ ⲁⲩⲱ ⲡⲓⲕⲣⲟ ⲙ̅ⲡⲓⲟⲣⲇⲁⲛⲏⲥ ϣⲁ ⲑⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲙⲛ̅ ⲃⲉⲇⲁⲛⲏ ⲙⲛ̅ ⲭⲉⲗⲗⲟⲩⲥ ⲙⲛ̅ ⲕⲁⲇⲏⲥ ⲁⲩⲱ ⲡⲣ̅ⲣⲟ ⲛ̅ⲕⲏⲙⲉ ⲧⲁⲫⲛⲁⲥ ⲙⲛ̅ ϩⲣⲁⲙⲉⲥⲥⲏ ⲁⲩⲱ ⲅⲉⲥⲥⲉⲙ ⲧⲏⲣϥ̅
Judith	1	10	 							 ἕως τοῦ ἐλθεῖν ἐπάνω Τάνεως καὶ Μέµφεως καὶ πάντας τοὺς κατοικοῦντας τὴν Αἴγυπτον ἕως τοῦ ἐλθεῖν ἐπὶ τὰ ὅρια τῆς Αἰθιοπίας.	 Until ye come beyond Tanis and Memphis, and to all the inhabitants of Egypt, until ye come to the borders of Ethiopia.	 ϣⲁⲛⲧϥ̅ⲉⲓ ⲉϩⲣⲁⲓ̈ ⲉⲧϫⲁⲁⲛⲉ ⲙⲛ̅ ⲙⲛ̅ϥⲉ ⲁⲩⲱ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲕⲏⲙⲉ ϣⲁⲛⲧϥ̅ⲉⲓ ⲉϩⲣⲁⲓ̈ ⲉϫⲛ̅ ⲛ̅ⲧⲟϣ ⲛ̅ⲛⲉϭⲟⲟϣ
