book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Second Epistle to the Thessalonians	1		ⲡⲣⲟⲥ ⲑⲉⲥⲥⲁⲗⲟⲛⲓⲕⲏ ⲃ̅ (ⲑ̅) ⲁ̅									
Second Epistle to the Thessalonians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲛⲉⲙ ⲥⲓⲗⲟⲩⲁⲛⲟⲥ ⲛⲉⲙ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲛ̀ϯⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲑⲉⲥⲥⲁⲗⲟⲛⲓⲕⲏ ϧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 Παῦλος καὶ Σιλουανὸς καὶ Τιμόθεος τῇ ἐκκλησίᾳ Θεσσαλονικέων ἐν θεῷ πατρὶ ἡμῶν καὶ κυρίῳ Ἰησοῦ Χριστῷ·	 Paul and Silouanos and Timotheos to the church of Thessalonikē in God our Father and our Lord Jesus Christ.	 ⲡⲁⲩⲗⲟⲥ ⲙⲛ̅ ⲥⲓⲗⲟⲩⲁⲛⲟⲥ ⲙⲛ̅ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲉⲩⲥϩⲁⲓ ⲛ̅ⲧⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̅ⲛⲉⲑⲉⲥⲥⲁⲗⲟⲛⲓⲕⲉⲩⲥ ϩⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:
Second Epistle to the Thessalonians	1	2	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ κυρίου Ἰησοῦ Χριστοῦ.		 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:
Second Epistle to the Thessalonians	1	3	 ⲥⲉⲙⲡϣⲁ ⲛ̀ⲧⲉⲛϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲫϯ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲛⲉⲛⲥⲛⲏⲟⲩ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲥⲉⲙⲡϣⲁ ϫⲉ ⲁϥⲉⲣϩⲟⲩⲟ ⲁⲓⲁⲓ ⲛ̀ϫⲉ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲟⲩⲟϩ ⲁⲥⲉⲣϩⲟⲩⲟ ⲛ̀ϫⲉ ⲧⲁⲅⲁⲡⲏ ⲙ̀ⲡⲓⲟⲩⲁⲓ ⲡⲓⲟⲩⲁⲓ ⲙ̀ⲙⲱⲧⲉⲛ ⲉ̀ⲛⲉⲧⲉⲛⲉⲣⲏⲟⲩ							 Εὐχαριστεῖν ὀφείλομεν τῷ θεῷ πάντοτε περὶ ὑμῶν, ἀδελφοί, καθὼς ἄξιόν ἐστιν, ὅτι ὑπεραυξάνει ἡ πίστις ὑμῶν καὶ πλεονάζει ἡ ἀγάπη ἑνὸς ἑκάστου πάντων ὑμῶν εἰς ἀλλήλους,	 It is worthy that we should give thanks to God always for you, our brethren, according as is worthy, because your faith abounded in growing, and (the) love of each one of you abounded unto one another;	 ϣ̅ϣⲉ ⲉⲣⲟⲛ ⲉϣⲡ̅ϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲁⲣⲱⲧⲛ̅ ⲛⲉⲥⲛⲏⲩ. ⲕⲁⲧⲁ ⲑⲉ ϫⲉ ϥⲙ̅ⲡϣⲁ. ϫⲉ ⲥⲣ̅ϩⲟⲩⲉ ⲁⲩⲝⲁⲛⲉ ⲛ̅ϭⲓ ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ. ⲁⲩⲱ ⲥⲁϣⲁⲓ ⲛ̅ϭⲓ ⲧⲁⲅⲁⲡⲏ ⲙ̅ⲡⲟⲩⲁ ⲡⲟⲩⲁ ⲙ̅ⲙⲱⲧⲛ̅ ⲉϩⲟⲩⲛ ⲉⲛⲉⲧⲛ̅ⲉⲣⲏⲩ ⲧⲏⲣⲧⲛ̅.
Second Epistle to the Thessalonians	1	4	 ϩⲱⲥⲧⲉ ⲁ̀ⲛⲟⲛ ⲛ̀ⲧⲉⲛϣⲟⲩϣⲟⲩ ⲙ̀ⲙⲟⲛ ϧⲉⲛ ⲑⲏⲛⲟⲩ ϧⲉⲛ ⲛⲓⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲧⲉⲧⲉⲛϩⲩⲡⲟⲙⲟⲛⲏ ⲛⲉⲙ ⲡⲉⲧⲉⲛⲛⲁϩϯ ϧⲉⲛ ⲛⲉⲧⲉⲛⲇⲓⲱⲅⲙⲟⲥ ⲧⲏⲣⲟⲩ ⲛⲉⲙ ⲛⲉⲧⲉⲛϩⲟϫϩⲉϫ ⲛⲁⲓ ⲉⲧⲉⲧⲉⲛϣⲱⲡ ⲙ̀ⲙⲱⲟⲩ							 ὥστε αὐτοὺς ἡμᾶς ἐν ὑμῖν ἐγκαυχᾶσθαι ἐν ταῖς ἐκκλησίαις τοῦ θεοῦ ὑπὲρ τῆς ὑπομονῆς ὑμῶν καὶ πίστεως ἐν πᾶσιν τοῖς διωγμοῖς ὑμῶν καὶ ταῖς θλίψεσιν αἷς ἀνέχεσθε,	 so that we (pron.) boast ourselves in you in the churches of God for your patience and your faith in all your persecutions and your tribulations, these which ye receive:	 ϩⲱⲥⲧⲉ ⲁⲛⲟⲛ ⲛ̅ⲧⲛ̅ϣⲟⲩϣⲟⲩ ⲙ̅ⲙⲟⲛ ⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅. ϩⲛ̅ ⲛ̅ⲉⲕⲕⲗⲏⲥⲓⲁ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ϩⲁⲧⲉⲧⲛ̅ϩⲩⲡⲟⲙⲟⲛⲏ ⲙⲛ̅ ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ. ϩⲛ̅ ⲛⲉⲧⲛ̅ⲇⲓⲱⲅⲙⲟⲥ ⲧⲏⲣⲟⲩ ⲙⲛ̅ ⲛⲉⲑⲗⲓⲯⲓⲥ ⲉⲧⲉⲧⲛ̅ⲁⲛⲉⲭⲉ ⲛ̅ϩⲏⲧⲟⲩ
Second Epistle to the Thessalonians	1	5	 ⲉⲩⲟⲩⲟⲛϩ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ⲡⲓϩⲁⲡ ⲙ̀ⲙⲏⲓ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ⲑⲣⲉⲧⲉⲛⲉⲣⲡⲉⲙⲡϣⲁ ⲛ̀ϯⲙⲉⲧⲟⲩⲣⲟ ⲛ̀ⲧⲉ ⲫϯ ⲑⲁⲓ ⲉⲧⲉⲧⲉⲛϭⲓϧⲓⲥⲓ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱⲥ							 ἔνδειγμα τῆς δικαίας κρίσεως τοῦ θεοῦ, εἰς τὸ καταξιωθῆναι ὑμᾶς τῆς βασιλείας τοῦ θεοῦ, ὑπὲρ ἧς καὶ πάσχετε,	 unto a manifesting of the righteous judgement of God, to make you worthy of the kingdom of God, this for which ye suffer.	 ⲉⲩⲙⲁⲉⲓⲛ ⲛ̅ⲧⲉⲕⲣⲓⲥⲓⲥ ⲙ̅ⲙⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲉⲧⲣⲉⲧⲛ̅ⲙ̅ⲡϣⲁ ⲛ̅ⲧⲙⲛ̅ⲧⲉⲣⲟ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲧⲁⲓ ⲉⲧⲉⲧⲛ̅ϣⲡ̅ϩⲓⲥⲉ ϩⲁⲣⲟⲥ.
Second Epistle to the Thessalonians	1	6	 ⲓⲥϫⲉ ⲟⲩϩⲁⲡ ⲙ̀ⲙⲏⲓ ⲡⲉ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ϯ ⲛ̀ⲟⲩϩⲟϫϩⲉϫ ⲛ̀ⲧϣⲉⲃⲓⲱ ⲛ̀ⲛⲏ ⲉⲧϩⲟϫϩⲉϫ ⲙ̀ⲙⲱⲧⲉⲛ							 εἴπερ δίκαιον παρὰ θεῷ ἀνταποδοῦναι τοῖς θλίβουσιν ὑμᾶς θλῖψιν	 If it is a righteous judgement of God to recompense [an] affliction to them who afflict you,	 ⲉϣϫⲉ ⲟⲩⲇⲓⲕⲁⲓⲟⲛ ⲡⲉ ⲛ̅ⲛⲁϩⲣⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲉⲧⲱⲱⲃⲉ ⲛ̅ⲟⲩⲑⲗⲓⲯⲓⲥ ⲛ̅ⲛⲉⲧⲑⲗⲓⲃⲉ ⲙ̅ⲙⲱⲧⲛ̅.
Second Epistle to the Thessalonians	1	7	 ⲟⲩⲟϩ ⲛ̀ⲑⲱⲧⲉⲛ ϧⲁ ⲛⲏ ⲉⲧⲟⲩϩⲟϫϩⲉϫ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ⲧⲉϥϯ ⲛ̀ⲟⲩⲙⲧⲟⲛ ⲛⲱⲧⲉⲛ ⲛⲉⲙⲁⲛ ϧⲉⲛ ⲡⲓϭⲱⲣⲡ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲧⲫⲉ ⲛⲉⲙ ⲛⲓⲁⲅⲅⲉⲗⲟⲥ ⲛ̀ⲧⲉ ⲧⲉϥϫⲟⲙ							 καὶ ὑμῖν τοῖς θλιβομένοις ἄνεσιν μεθʼ ἡμῶν ἐν τῇ ἀποκαλύψει τοῦ κυρίου Ἰησοῦ ἀπʼ οὐρανοῦ μετʼ ἀγγέλων δυνάμεως αὐτοῦ	 and ye, namely they who are afflicted, to give [a] rest to you with us, in the revelation of our Lord Jesus from (the) heaven with the angels of his power	 ⲁⲩⲱ ⲟⲩⲙ̅ⲧⲟⲛ ⲛⲏⲧⲛ̅ ⲛⲙ̅ⲙⲁⲛ ⲛⲉⲧⲟⲩⲑⲗⲓⲃⲉ ⲙ̅ⲙⲟⲟⲩ ϩⲙ̅ ⲡϭⲱⲗⲡ ⲉⲃⲟⲗ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲡⲉ ⲙⲛ̅ ⲛ̅ⲁⲅⲅⲉⲗⲟⲥ ⲛ̅ⲧⲉϥϭⲟⲙ.
Second Epistle to the Thessalonians	1	8	 ϧⲉⲛ ⲟⲩϣⲁϩ ⲛ̀ⲭⲣⲱⲙ ⲉϥⲛⲁϯ ⲛ̀ⲟⲩϭⲓⲙ̀ⲡϣⲓϣ ⲛ̀ⲛⲏ ⲉⲧⲉ ⲙ̀ⲡⲟⲩⲥⲟⲩⲉⲛ ⲫϯ ⲛⲉⲙ ⲛⲏ ⲉⲧⲉ ⲙ̀ⲡⲟⲩⲥⲱⲧⲉⲙ ⲛ̀ⲥⲁ ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅							 ἐν φλογὶ πυρός, διδόντος ἐκδίκησιν τοῖς μὴ εἰδόσι θεὸν καὶ τοῖς μὴ ὑπακούουσιν τῷ εὐαγγελίῳ τοῦ κυρίου ἡμῶν Ἰησοῦ,	 in a flame of fire, about to take vengeance on them who knew not God, and who obeyed not the Gospel of our Lord Jesus;	 ϩⲛ̅ ⲟⲩϣⲁϩ ⲛ̅ⲕⲱϩⲧ̅ ⲉϥⲛⲁϯ ⲛ̅ⲟⲩⲕⲃⲁ ⲛ̅ⲛⲉⲧⲉ ⲛ̅ⲥⲉⲥⲟⲟⲩⲛ ⲁⲛ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲁⲩⲱ ⲛⲉⲧⲉ ⲛ̅ⲥⲉⲥⲱⲧⲙ̅ ⲁⲛ ⲛ̅ⲥⲁ ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅.
Second Epistle to the Thessalonians	1	9	 ⲛⲁⲓ ⲉⲑⲛⲁϭⲓ ⲛ̀ⲟⲩϩⲁⲡ ⲛ̀ⲧⲁⲕⲟ ⲛ̀ⲉⲛⲉϩ ⲉ̀ⲃⲟⲗ ϧⲁⲧϩⲏ ⲙ̀ⲡϩⲟ ⲙ̀ⲡϭ̅ⲥ̅ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϧⲁⲧϩⲏ ⲙ̀ⲡⲱⲟⲩ ⲛ̀ⲧⲉ ⲧⲉϥϫⲟⲙ							 οἵτινες δίκην τίσουσιν ὄλεθρον αἰώνιον ἀπὸ προσώπου τοῦ κυρίου καὶ ἀπὸ τῆς δόξης τῆς ἰσχύος αὐτοῦ,	 these who will receive a judgement of eternal destruction from before (the) face of the Lord and from before (the) glory of his power,	 ⲛⲁⲓ ⲉⲧⲛⲁϫⲓ ⲛ̅ⲟⲩϩⲁⲡ ⲛ̅ⲧⲁⲕⲟ ⲛ̅ϣⲁ ⲉⲛⲉϩ ϩⲙ̅ ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲙⲛ̅ ⲡⲉⲟⲟⲩ ⲛ̅ⲧⲉϥϭⲟⲙ.
