book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Wisdom of Jesus son of Sirach	1											ⲧⲥⲟⲫⲓⲁ ⲛ̅ⲓ̈ⲏⲥⲟⲩⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲥⲉⲓⲣⲁⲭ
Wisdom of Jesus son of Sirach	1											............................ ⲟⲩⲫⲓⲗⲟⲡⲟⲛⲓⲁ ⲉⲧⲣⲁϩⲉⲣⲙⲏⲛⲉⲩⲉ ⲙ̅ⲡⲉⲓ̈ϫⲱⲱⲙⲉ: ⲁⲓⲣ̅ ϩⲛ̅ⲛⲟϭ ⲅⲁⲣ ⲟⲩϣⲏ ⲛ̅ⲣⲟⲉⲓⲥ ϩⲛ̅ ⲟⲩⲙⲛ̅ⲧⲣⲙⲁⲛ̅ϩⲏⲧ .... ⲟⲩⲛⲟϭ ⲛ̅ⲟⲩⲟⲉⲓϣ ϣⲁⲛϯ .... ⲉⲡϫⲱⲱⲙⲉ ⲉⲃⲟⲗ ⲉⲧⲁⲁϥ ⲛ̅ⲛ̅ⲕⲟⲟⲩ ..... .......................
Wisdom of Jesus son of Sirach	1	1	 ϯⲥⲟⲫⲓⲁ ⲧⲏⲣⲥ ⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲥϣⲟⲡ ⲛⲉⲙⲁϥ ϣⲁ ⲉⲛⲉϩ							 Πᾶσα σοφία παρὰ κυρίου καὶ µετ’ αὐτοῦ ἐστιν εἰς τὸν αἰῶνα.	 All wisdom cometh from the Lord, and is with him for ever.	 ⲧⲥⲟⲫⲓⲁ ⲧⲏⲣⲥ̅ ....
Wisdom of Jesus son of Sirach	1	2	 ⲛⲓⲙ ⲉⲑⲛⲁϣⲱⲡ ⲙ̀ⲡⲓϣⲱ ⲛ̀ⲧⲉ ⲫⲓⲟⲙ ⲛⲉⲙ ⲛⲓⲧⲉⲗⲧⲓⲗⲓ ⲙ̀ⲙⲟⲩⲛϩⲱⲟⲩ ⲛⲉⲙ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲛⲓⲉⲛⲉϩ							 ἄµµον θαλασσῶν καὶ σταγόνας ὑετοῦ καὶ ἡµέρας αἰῶνος τίς ἐξαριθµήσει;	 Who can number the sand of the sea, and the drops of rain, and the days of eternity?	 ...
Wisdom of Jesus son of Sirach	1	3	 ⲛⲓⲙ ⲉⲑⲛⲁϣϧⲟⲧϧⲉⲧ ⲙ̀ⲡϭⲓⲥⲓ ⲛ̀ⲧⲉ ⲧⲫⲉ ⲛⲉⲙ ⲡⲧⲁϫⲣⲟ ⲙ̀ⲡⲓⲕⲁϩⲓ ⲛⲉⲙ ⲡϣⲓϣⲓ ⲙ̀ⲫⲛⲟⲩⲛ ⲛⲉⲙ ϯⲥⲟⲫⲓⲁ							 ὕψος οὐρανοῦ καὶ πλάτος γῆς καὶ ἄβυσσον καὶ σοφίαν τίς ἐξιχνιάσει;	 Who can find out the height of heaven, and the breadth of the earth, and the deep, and wisdom?	 .....ⲕⲁϩ ⲙⲛ̅ ⲡϣⲓⲕⲉ ⲙ.... ⲙⲛ̅ ⲡⲛⲟⲩⲛ ⲙⲛ̅ ⲧⲥⲟⲫⲓⲁ ....;
Wisdom of Jesus son of Sirach	1	4	 ϧⲁϫⲉⲛ ⲉⲛⲭⲁⲓ ⲛⲓⲃⲉⲛ ⲁⲓⲥⲱⲛⲧ ⲛ̀ϯⲥⲟⲫⲓⲁ ⲟⲩⲟϩ ϯⲙⲉⲧⲥⲁⲃⲉ ⲛⲉⲙ ⲡⲓⲕⲁϯ ⲓⲥϫⲉⲛ ⲡⲉⲛⲉϩ							 προτέρα πάντων ἔκτισται σοφία καὶ σύνεσις φρονήσεως ἐξ αἰῶνος.	 Wisdom hath been created before all things, and the understanding of prudence from everlasting.	 ϩⲁ ⲑⲏ ⲛ̅ⲛ̅ⲕⲁ ⲛⲓⲙ ⲁⲩⲥⲛ̅ⲧ ⲧⲥⲟⲫⲓⲁ ⲁⲩⲱ ⲧⲙⲛ̅ⲧⲥⲁⲃⲉ ⲙⲛ̅ ⲧⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ ϫⲓⲛ ⲉⲛⲉϩ.
Wisdom of Jesus son of Sirach	1	5	 ϯⲙⲟⲩⲙⲓ ⲛ̀ϯⲥⲟⲫⲓⲁ ⲡⲉ ⲡⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲫϯ ϧⲉⲛ ⲛⲏ ⲉⲧϭⲟⲥⲓ ⲟⲩⲟϩ ⲛⲉⲥⲙⲱⲓⲧ ⲛⲉ ⲛⲓⲉⲛⲧⲟⲗⲏ ϣⲁ ⲉⲛⲉϩ								 The word of God most high is the fountain of wisdom; and her ways are everlasting commandments.	 ⲧⲡⲏⲅⲏ ⲛ̅ⲧⲥⲟⲫⲓⲁ ⲡⲉ ⲡϣⲁϫⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ϩⲛ̅ ⲛⲉⲧϫⲟⲥⲉ ⲁⲩⲱ ⲛⲉⲥϩⲓⲟⲟⲩⲉ ϩⲛ̅ ⲉⲛⲧⲟⲗⲏ ⲛⲉ ⲛ̅ϣⲁ ⲉⲛⲉϩ.
Wisdom of Jesus son of Sirach	1	6	 ⲑⲛⲟⲩⲛⲓ ⲛ̀ϯⲥⲟⲫⲓⲁ ⲉⲧⲁⲥϭⲱⲣⲡ ⲉ̀ⲛⲓⲙ							 ῥίζα σοφίας τίνι ἀπεκαλύφθη; καὶ τὰ πανουργεύµατα αὐτῆς τίς ἔγνω;	 To whom hath the root of wisdom been revealed? or who hath known her wise counsels?	 ⲧⲛⲟⲩⲛⲉ ⲛ̅ⲧⲥⲟⲫⲓⲁ ⲛ̅ⲧⲁⲥϭⲱⲗⲡ̅ ⲉⲛⲓⲙ; ⲁⲩⲱ ⲛⲓⲙ ⲡⲉ ⲛ̅ⲧⲁϥⲉⲓⲙⲉ ⲉⲛⲉⲥⲕⲟⲧⲥ̅;
Wisdom of Jesus son of Sirach	1	7	 ⲟⲩⲟϩ ⲡⲉⲥⲉⲙⲓ ⲧⲏⲣϥ ⲛⲓⲙ ⲡⲉ ⲉⲧⲁϥⲥⲟⲩⲱⲛϥ								 Unto whom hath the knowledge of wisdom been made manifest? and who hath understood her great experience?	 ⲧⲉⲡⲓⲥⲧⲏⲙⲓ ⲛ̅ⲧⲥⲟⲫⲓⲁ ⲛ̅ⲧⲁⲥⲟⲩⲱⲛϩ̅ ⲉⲛⲓⲙ; ⲁⲩⲱ ⲡⲉⲥⲥⲟⲟⲩⲛ ⲧⲏⲣϥ̅ ⲛⲓⲙ ⲡⲉⲛⲧⲁϥⲥⲟⲩⲱⲛϥ̅;
Wisdom of Jesus son of Sirach	1	8	 ⲟⲩⲥⲟⲫⲟⲥ ⲉϥϯϩⲟ ⲉ̀ⲙⲁϣⲱ ⲉϥϩⲉⲙⲥⲓ ϩⲓϫⲉⲛ ⲡⲉϥⲑⲣⲟⲛⲟⲥ							 εἷς ἐστιν σοφός, φοβερὸς σφόδρα, καθήµενος ἐπὶ τοῦ θρόνου αὐτοῦ.	 There is one wise and greatly to be feared, the Lord sitting upon his throne.	 ⲟⲩⲁ ⲡⲉ ⲛ̅ⲥⲟⲫⲟⲥ ⲉϥϯϩⲟⲧⲉ ⲉⲙⲁⲧⲉ ⲉϥϩⲙⲟⲟⲥ ϩⲓ ⲡⲉϥⲑⲣⲟⲛⲟⲥ
