book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Amos	1		ⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲁⲙⲱⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Amos	1	1	 ⲛⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲁⲙⲱⲥ ⲛⲏ ⲉⲧⲁⲩϣⲱⲡⲓ ϧⲉⲛ ⲓⲁⲕⲕⲁⲣⲓⲙ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲑⲉⲕⲟⲩⲉ ⲛⲏ ⲉⲧⲁϥⲛⲁⲩ ⲉ̀ⲣⲱⲟⲩ ⲉ̀ϫⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲟⲥⲓⲁⲥ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ ⲛⲉⲙ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲓⲉⲣⲟⲃⲟⲁⲙ ⲡϣⲏⲣⲓ ⲛ̀ⲓⲱⲁⲥ ⲡⲟⲩⲣⲟ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ϧⲁϫⲉⲛ ⲣⲟⲙⲡⲓ ⲃ̅ϯ ⲛ̀ⲧⲉ ⲡⲓⲙⲟⲛⲙⲉⲛ		 The words of Amos which came to him in Accarim out of Thecue, which he saw concerning Jerusalem, in the days of Ozias king of Juda, and in the days of Jeroboam the son of Joas king of Israel, two years before the earthquake.	 Λόγοι Αµως, οἳ ἐγένοντο ἐν νακκαριµ ἐκ Θεκουε, οὓς εἶδεν ὑπὲρ Ιερουσαληµ ἐν ἡµέραις Οζιου βασιλέως Ιουδα καὶ ἐν ἡµέραις Ιεροβοαµ τοῦ Ιωας βασιλέως Ισραηλ πρὸ δύο ἐτῶν τοῦ σεισµοῦ.						
Amos	1	2	 ⲟⲩⲟϩ ⲡⲉϫⲁϥ ϫⲉ ⲡϭ̅ⲥ̅ ⲁϥⲉⲣⲟⲩⲱ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲥⲓⲱⲛ ⲁϥϯ ⲛ̀ⲧⲉϥⲥⲙⲏ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ⲟⲩⲟϩ ⲁⲩⲉⲣϩⲏⲃⲓ ⲛ̀ϫⲉ ⲛⲓⲙⲁⲛⲙⲟⲛⲓ ⲛ̀ⲧⲉ ⲛⲓⲙⲁⲛⲉⲥⲱⲟⲩ ⲟⲩⲟϩ ⲁⲥϣⲱⲟⲩⲓ ⲛ̀ϫⲉ ⲧⲁⲫⲉ ⲙ̀ⲡⲓⲕⲁⲣⲙⲏⲗⲟⲥ		 And he said, The Lord has spoken out of Sion, and has uttered his voice out of Jerusalem; and the pastures of the shepherds have mourned, and the top of Carmel is dried up.	 Καὶ εἶπεν Κύριος ἐκ Σιων ἐφθέγξατο καὶ ἐξ Ιερουσαληµ ἔδωκεν φωνὴν αὐτοῦ, καὶ ἐπένθησαν αἱ νοµαὶ τῶν ποιµένων, καὶ ἐξηράνθη ἡ κορυφὴ τοῦ Καρµήλου.						
Amos	1	3	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ϫⲉ ⲉ̀ϫⲉⲛ ϯⲙⲉⲧⲅ ⲛⲁⲥⲉⲃⲏⲥ ⲛ̀ⲧⲉ ⲇⲁⲙⲁⲥⲕⲟⲥ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ϯⲙⲁϩⲇ̅ ⲛ̀ⲛⲁⲧⲁⲥⲑⲟ ⲉ̀ⲃⲟⲗ ϩⲁⲣⲟⲥ ⲉ̀ⲫⲙⲁ ϫⲉ ⲛⲁⲩⲃⲓⲥⲓ ⲡⲉ ϧⲉⲛ ϩⲁⲛⲃⲁϣⲟⲩⲣ ⲙ̀ⲃⲉⲛⲓⲡⲓ ⲛ̀ⲛⲏ ⲉⲧⲉⲙⲃⲟⲕⲓ ⲛ̀ⲧⲉ ⲛⲏ ⲉⲧϧⲉⲛ ⲅⲁⲗⲁⲁⲇ		 And the Lord said, For three sins of Damascus, and for four, I will not turn away from it; because they sawed with iron saws the women with child of the Galaadites.	 Καὶ εἶπεν κύριος Ἐπὶ ταῖς τρισὶν ἀσεβείαις Δαµασκοῦ καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσοµαι αὐτόν, ἀνθ’ ὧν ἔπριζον πρίοσιν σιδηροῖς τὰς ἐν γαστρὶ ἐχούσας τῶν ἐν Γαλααδ·						
Amos	1	4	 ⲟⲩⲟϩ ϯⲛⲁⲟⲩⲱⲣⲡ ⲛ̀ⲟⲩⲭⲣⲱⲙ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲡⲏⲓ ⲛⲁⲍⲁⲏⲗ ⲟⲩⲟϩ ⲉϥⲉ̀ⲟⲩⲱⲙ ⲛ̀ⲛⲓⲥⲉⲛϯ ⲛ̀ⲧⲉ ⲡⲏⲓ ⲛ̀ⲁⲇⲉⲣ		 And I will send a fire on the house of Azael, and it shall devour the foundations of the son of Ader.	 Καὶ ἐξαποστελῶ πῦρ εἰς τὸν οἶκον Αζαηλ, καὶ καταφάγεται θεµέλια υἱοῦ Αδερ·						
Amos	1	5	 ⲟⲩⲟϩ ⲉⲓⲉ̀ϧⲟⲙϧⲉⲙ ⲛ̀ⲛⲓⲙⲟⲭⲗⲟⲥ ⲛ̀ⲧⲉ ⲇⲁⲙⲁⲥⲕⲟⲥ ⲟⲩⲟϩ ⲉⲓⲉ̀ϥⲱϯ ⲉ̀ⲃⲟⲗ ⲛ̀ⲛⲏ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲧⲕⲟⲓ ⲛ̀ⲱⲛ ⲟⲩⲟϩ ϯⲛⲁϭⲟⲧϭⲉⲧ ⲛ̀ⲟⲩⲫⲩⲗⲏ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲭⲁⲣⲣⲁⲛ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲉⲣⲭⲙⲁⲗⲱⲧⲉⲩⲓⲛ ⲙ̀ⲡⲓⲗⲁⲟⲥ ⲉⲧⲁⲩϯⲣⲁⲛ ⲉ̀ⲣⲟϥ ϫⲉ ϯⲥⲩⲣⲓⲁ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅		 And I will break to pieces the bars of Damascus, and will destroy the inhabitants out of the plain of On, and will cut in pieces a tribe out of the men of Charrhan: and the famous people of Syria shall be led captive, saith the Lord.	 καὶ συντρίψω µοχλοὺς Δαµασκοῦ καὶ ἐξολεθρεύσω κατοικοῦντας ἐκ πεδίου Ων καὶ κατακόψω φυλὴν ἐξ ἀνδρῶν Χαρραν, καὶ αἰχµαλωτευθήσεται λαὸς Συρίας ἐπίκλητος, λέγει κύριος.						
Amos	1	6	 ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲁϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲉ̀ϫⲉⲛ ϯⲅ̅ ⲙ̀ⲙⲉⲧⲁⲥⲉⲃⲏⲥ ⲛ̀ⲧⲉ ⲅⲁⲍⲁ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ϯⲙⲁϩⲇ̅ ⲛ̀ⲛⲁⲧⲁⲥⲑⲟ ⲉ̀ⲃⲟⲗ ϩⲁⲣⲱⲟⲩ ⲉ̀ⲫⲙⲁ ϫⲉ ⲁⲩⲉⲣⲭⲙⲁⲗⲱⲧⲉⲩⲓⲛ ⲛ̀ⲟⲩⲉⲭⲙⲁⲗⲱⲥⲓⲁ ⲛ̀ⲧⲉ ⲧⲥⲟⲗⲟⲙⲱⲛ ⲉ̀ⲡϫⲓⲛϣⲑⲁⲙ ⲉ̀ⲣⲱⲟⲩ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϯϩⲩⲇⲟⲩⲙⲉⲁ		 Thus saith the Lord; For three sins of Gaza, and for four, I will not turn away from them; because they took prisoners the captivity of Solomon, to shut them up into Idumea.	 Τάδε λέγει κύριος Ἐπὶ ταῖς τρισὶν ἀσεβείαις Γάζης καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσοµαι αὐτούς, ἕνεκεν τοῦ αἰχµαλωτεῦσαι αὐτοὺς αἰχµαλωσίαν τοῦ Σαλωµων τοῦ συγκλεῖσαι εἰς τὴν Ιδουµαίαν·						
Amos	1	7	 ⲟⲩⲟϩ ϯⲛⲁⲟⲩⲱⲣⲡ ⲛ̀ⲟⲩⲭⲣⲱⲙ ⲉ̀ϫⲉⲛ ⲛⲓⲥⲟⲃⲧ ⲛ̀ⲧⲉ ⲅⲁⲍⲁ ⲟⲩⲟϩ ⲉϥⲉⲟⲩⲱⲙ ⲛ̀ⲛⲉⲥⲥⲉⲛϯ		 And I will send forth a fire on the walls of Gaza, and it shall devour its foundations.	 καὶ ἐξαποστελῶ πῦρ ἐπὶ τὰ τείχη Γάζης, καὶ καταφάγεται θεµέλια αὐτῆς·						
Amos	1	8	 ⲟⲩⲟϩ ϯⲛⲁϥⲱϯ ⲉ̀ⲃⲟⲗ ⲛ̀ⲛⲏ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲁⲍⲱⲧⲟⲥ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲱⲗⲓ ⲛ̀ⲟⲩⲫⲩⲗⲏ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲁⲥⲕⲁⲗⲱⲛ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲧⲁⲕⲟ ⲛ̀ϫⲉ ⲛⲓⲥⲱϫⲡ ⲛ̀ⲧⲉ ⲛⲓⲁⲗⲗⲟⲫⲩⲗⲟⲥ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅		 And I will destroy the inhabitants out of Azotus, and a tribe shall be cut off from Ascalon, and I will stretch out my hand upon Accaron: and the remnant of the Philistines shall perish, saith the Lord.	 καὶ ἐξολεθρεύσω κατοικοῦντας ἐξ Ἀζώτου, καὶ ἐξαρθήσεται φυλὴ ἐξ Ἀσκαλῶνος, καὶ ἐπάξω τὴν χεῖρά µου ἐπὶ Ακκαρων, καὶ ἀπολοῦνται οἱ κατάλοιποι τῶν ἀλλοφύλων, λέγει κύριος.						
Amos	1	9	 ⲟⲩⲟϩ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲁϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲉ̀ϫⲉⲛ ϯⲅ̅ ⲙ̀ⲙⲉⲧⲁⲥⲉⲃⲏⲥ ⲛ̀ⲧⲉ ⲧⲩⲣⲟⲥ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ϯⲙⲁϩⲇ̅ ⲛ̀ⲛⲁⲧⲁⲥⲑⲟ ⲉ̀ⲃⲟⲗ ϩⲁⲣⲟⲥ ⲉ̀ⲫⲙⲁ ϫⲉ ⲁⲩⲙⲁϣⲑⲁⲙ ⲛ̀ϯⲉⲭⲙⲁⲗⲱⲥⲓⲁ ⲛ̀ⲧⲉ ⲥⲟⲗⲟⲙⲱⲛ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϯϩⲩⲇⲟⲙⲉⲁ ⲟⲩⲟϩ ⲙ̀ⲡⲟⲩⲉⲣⲫⲙⲉⲩⲓ ⲛ̀ϯⲇⲓⲁⲑⲏⲕⲏ ⲛ̀ⲧⲉ ϩⲁⲛⲥⲛⲏⲟⲩ		 Thus saith the Lord; For three transgressions of Tyre, and for four, I will not turn away from it; because they shut up the prisoners of Solomon into Idumea, and remembered not the covenant of brethren.	 Τάδε λέγει κύριος Ἐπὶ ταῖς τρισὶν ἀσεβείαις Τύρου καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσοµαι αὐτήν, ἀνθ’ ὧν συνέκλεισαν αἰχµαλωσίαν τοῦ Σαλωµων εἰς τὴν Ιδουµαίαν καὶ οὐκ ἐµνήσθησαν διαθήκης ἀδελφῶν·						
