book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Apocalypse	1		ϯⲁⲡⲟⲅⲁⲗⲩⲙⲯⲓⲥ ⲧⲟⲩ ⲁⲅⲓⲟⲩ ⲓⲱⲁⲛⲛⲟⲩ	ⲧⲁⲡⲟⲕⲁⲗⲩⲯⲓⲥ ⲛ̅ⲓⲱϩⲁⲛⲛⲏⲥ								
Apocalypse	1	1	 ϯⲁⲡⲟⲅⲁⲗⲩⲙⲯⲓⲥ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲑⲏ ⲉⲧⲁ ⲫϯ ⲧⲏⲓⲥ ⲛⲁϥ ⲉ̀ⲧⲁⲙⲉ ⲛⲉϥⲉⲃⲓⲁⲓⲕ ⲉ̀ⲛⲏ ⲉⲧⲥⲉⲙⲡϣⲁ ⲛ̀ⲧⲟⲩϣⲱⲡⲓ ⲛ̀ⲭⲱⲗⲉⲙ ⲟⲩⲟϩ ⲁϥϯⲙⲏⲓⲛⲓ ⲉ̀ⲣⲱⲟⲩ ⲉ̀ⲁϥⲧⲁⲟⲩⲱⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲙ̀ⲡⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲙ̀ⲡⲉϥⲃⲱⲕ ⲓⲱⲁⲛⲛⲏⲥ	 ⲧⲁⲡⲟⲗⲁⲗⲩⲯⲓⲥ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲧⲉⲛⲧⲁ ⲡⲛⲟⲩⲧⲉ ⲧⲁⲁⲥ ⲛⲁϥ ⲉⲧⲥⲁⲃⲉ ⲛⲉϥϩⲙ̅ϩⲁⲗ ⲉⲛⲉⲧⲛⲁϣⲱⲡⲉ ϩⲛ̅ ⲟⲩϭⲉⲡⲏ ⲁⲩⲱ ⲁϥⲟⲩⲟⲛϩⲥ̅ ⲉⲃⲟⲗ ⲉⲁϥⲧⲛ̅ⲛⲟⲟⲩⲥ ⲉⲃⲟⲗ ϩⲓⲧⲛ̅ ⲡⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲙⲛ̅ ⲡⲉϥϩⲙ̅ϩⲁⲗ ⲓⲱϩⲁⲛⲛⲏⲥ	 The revelation of Jesus Christ, which God gave to him, to show to his servants the things which must happen quickly: and he signified them. Having sent them through his angel to his servant Iōnnēs.	 Ἀποκάλυψις Ἰησοῦ Χριστοῦ, ἣν ἔδωκεν αὐτῷ ὁ θεὸς δεῖξαι τοῖς δούλοις αὐτοῦ, ἃ δεῖ γενέσθαι ἐν τάχει, καὶ ἐσήμανεν ἀποστείλας διὰ τοῦ ἀγγέλου αὐτοῦ τῷ δούλῳ αὐτοῦ Ἰωάννῃ,						
Apocalypse	1	2	 ⲫⲏ ⲉⲧⲁϥⲉⲣⲙⲉⲑⲣⲉ ⲙ̀ⲡⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲫϯ ⲛⲉⲙ ϯⲙⲉⲧⲙⲉⲑⲣⲉ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛ̀ⲛⲏ ⲉⲧⲁϥⲛⲁⲩ ⲉ̀ⲣⲱⲟⲩ	 ⲡⲁⲓ ⲛ̅ⲧⲁϥⲣ̅ⲙⲛ̅ⲧⲣⲉ ⲙ̅ⲡϣⲁϫⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲧⲙⲛ̅ⲧⲙⲛ̅ⲧⲣⲉ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲛ̅ⲛⲉⲛⲧⲁϥⲛⲁⲩ ⲉⲣⲟⲟⲩ.	 He who witnessed to the word of God, and the witness of Jesus Christ, to the things which he saw.	 ὃς ἐμαρτύρησεν τὸν λόγον τοῦ θεοῦ καὶ τὴν μαρτυρίαν Ἰησοῦ Χριστοῦ, ὅσα εἶδεν.						
Apocalypse	1	3	 ⲱⲟⲩⲛⲓⲁⲧⲟⲩ ⲛ̀ⲛⲏ ⲉⲧⲱϣ ⲛⲉⲙ ⲛⲏ ⲉⲧⲥⲱⲧⲉⲙ ⲉ̀ⲛⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲧⲁⲓⲡⲣⲟⲫⲏⲧⲓⲁ ⲟⲩⲟϩ ⲉⲧⲁⲣⲉϩ ⲉ̀ⲛⲏ ⲉⲧⲥϧⲏⲟⲩⲧ ϩⲓⲱⲧⲥ ⲡⲓⲥⲏⲟⲩ ⲅⲁⲣ ⲁϥϧⲱⲛⲧ	 ⲛⲁⲓⲁⲧⲟⲩ ⲛ̅ⲛⲉⲧⲱϣ ⲁⲩⲱ ⲛⲉⲧⲥⲱⲧⲙ̅ ⲉⲛ̅ϣⲁϫⲉ ⲛ̅ⲧⲉⲓⲡⲣⲟⲫⲏⲧⲉⲓⲁ ⲁⲩⲱ ⲛⲉⲧϩⲁⲣⲉϩ ⲉⲛⲉⲧⲥⲏϩ ⲛ̅ϩⲏⲧⲥ̅ ϫⲉ ⲁ ⲡⲉⲩⲟⲉⲓϣ ϩⲱⲛ ⲉϩⲟⲩⲛ	 Blessed are they who read, and they who hear the words of this prophecy, and who keep the things which are written on it: for the time approached.	 μακάριος ὁ ἀναγινώσκων καὶ οἱ ἀκούοντες τοὺς λόγους τῆς προφητείας καὶ τηροῦντες τὰ ἐν αὐτῇ γεγραμμένα, ὁ γὰρ καιρὸς ἐγγύς.						
Apocalypse	1	4	 ⲓⲱⲁⲛⲛⲏⲥ ⲛ̀ϯⲍ̅ ⲛ̀ⲉⲕⲕⲗⲏⲥⲓⲁ ⲛⲏ ⲉⲧⲭⲏ ϧⲉⲛ ϯⲁⲥⲓⲁ ⲡ̀ϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ϯϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲙ̀ⲫⲏ ⲉⲧϣⲟⲡ ⲛⲉⲙ ⲫⲏ ⲉ̀ⲛⲁϥϣⲟⲡ ⲛⲉⲙ ⲡⲉⲑⲛⲏⲟⲩ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲓⲍ̅ ⲙ̀ⲡⲛ̅ⲁ̅ ⲛⲏ ⲉⲧⲭⲏ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡⲓⲑⲣⲟⲛⲟⲥ	 ⲓⲱϩⲁⲛⲛⲏⲥ ⲉϥⲥϩⲁⲓ ⲛ̅ⲧⲥⲁϣϥⲉ ⲛ̅ⲉⲕⲕⲗⲏⲥⲓⲁ ⲉⲧϩⲛ̅ ⲧⲁⲥⲓⲁ ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲛ̅ ⲡⲉⲧϥ̅ϣⲟⲟⲡ ⲡⲉⲧⲉ ⲛⲉϥϣⲟⲟⲡ ⲡⲉⲧⲛⲏⲩ ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲥⲁϣϥ̅ ⲙ̅ⲡⲛ̅ⲁ̅ ⲉⲧⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲙ̅ⲡⲉϥⲑⲣⲟⲛⲟⲥ	 Iōannēs to the seven churches which are in [the] Asia: (the) grace to you and [the] peace from him who is, and who was being, and who cometh; And from the seven spirits which are before the throne;	 Ἰωάννης ταῖς ἑπτὰ ἐκκλησίαις ταῖς ἐν τῇ Ἀσίᾳ· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος, καὶ ἀπὸ τῶν ἑπτὰ πνευμάτων ἃ ἐνώπιον τοῦ θρόνου αὐτοῦ,						
Apocalypse	1	5	 ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡⲓⲙⲁⲣⲧⲩⲣⲟⲥ ⲡⲓⲡⲓⲥⲧⲟⲥ ⲡⲓϣⲁⲙⲓⲥⲓ ⲛ̀ⲧⲉ ⲛⲓⲣⲉϥⲙⲱⲟⲩⲧ ⲟⲩⲟϩ ⲡⲁⲣⲭⲱⲛ ⲛ̀ⲛⲓⲟⲩⲣⲱⲟⲩ ⲧⲏⲣⲟⲩ ⲛ̀ⲧⲉ ⲡⲕⲁϩⲓ ⲫⲏ ⲉⲧⲁϥⲙⲉⲛⲣⲓⲧⲉⲛ ⲟⲩⲟϩ ⲁϥϫⲟⲕⲙⲉⲛ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲉⲛⲛⲟⲃⲓ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲡⲉϥⲥⲛⲟϥ	 ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲓⲧⲛ̅ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲙⲛ̅ⲧⲣⲉ ⲉⲧⲟ ⲛ̅ϩⲟⲧ ⲡϣⲣⲡ̅ⲙⲓⲥⲉ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲉⲧⲙⲟⲟⲩⲧ ⲡⲁⲣⲭⲱⲛ ⲛ̅ⲛ̅ⲣ̅ⲣⲱⲟⲩ ⲙ̅ⲡⲕⲁϩ ⲡⲉⲛⲧⲁϥⲙⲉⲣⲓⲧⲛ̅ ⲁⲩⲱ ⲁϥⲧⲥ̅ⲃⲟⲛ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲉⲛⲛⲟⲃⲉ ϩⲣⲁⲓ ϩⲙ̅ ⲡⲉϥⲥⲛⲟϥ	 And from Jesus Christ the witness, the faithful, the firstborn of .the dead, and (the) ruler of all the kings of (the) earth.     He who loved us, and he washed us from our sins in his blood.	 καὶ ἀπὸ Ἰησοῦ Χριστοῦ, ὁ μάρτυς ὁ πιστός, ὁ πρωτότοκος τῶν νεκρῶν καὶ ὁ ἄρχων τῶν βασιλέων τῆς γῆς. Τῷ ἀγαπῶντι ἡμᾶς καὶ λύσαντι ἡμᾶς ἐκ τῶν ἁμαρτιῶν ἡμῶν ἐν τῷ αἵματι αὐτοῦ—						
Apocalypse	1	6	 ⲟⲩⲟϩ ⲁϥⲑⲁⲙⲓⲟⲛ ⲛ̀ⲟⲩⲙⲉⲧⲟⲩⲣⲟ ⲙ̀ⲙⲉⲧⲟⲩⲏⲃ ⲙ̀ⲫϯ ⲡⲉϥⲓⲱⲧ ⲫⲏ ⲉⲧⲉ ⲫⲱϥ ⲡⲉ ⲡⲓⲱⲟⲩ ⲛⲉⲙ ⲡⲓⲁⲙⲁϩⲓ ϣⲁ ⲉⲛⲉϩ ⲁⲙⲏⲛ	 ⲁⲩⲱ ⲁϥⲉⲓⲣⲉ ⲙ̅ⲙⲟⲛ ⲛ̅ⲟⲩⲙⲛ̅ⲧⲉⲣⲟ ⲙ̅ⲡⲉⲛⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲛ̅ⲟⲩⲏⲏⲃ ⲉⲡⲛⲟⲩⲧⲉ ⲡⲉϥⲉⲓⲱⲧ ⲡⲁⲓ ⲉⲧⲉ ⲡⲱϥ ⲡⲉ ⲡⲉⲟⲟⲩ ⲙⲛ̅ ⲡⲁⲙⲁϩⲧⲉ ϣⲁ ⲉⲛⲉϩ ⲛ̅ⲉⲛⲉϩ ϩⲁⲙⲏⲛ	 And he made us a kingdom of priesthood to God his Father; whose is the glory and the might for ever. Amēn.	 καὶ ἐποίησεν ἡμᾶς βασιλείαν, ἱερεῖς τῷ θεῷ καὶ πατρὶ αὐτοῦ—αὐτῷ ἡ δόξα καὶ τὸ κράτος εἰς τοὺς αἰῶνας τῶν αἰώνων· ἀμήν.						
Apocalypse	1	7	 ϩⲏⲡⲡⲉ ⲛ̀ⲑⲟϥ ⲡⲉⲑⲛⲏⲟⲩ ⲛⲉⲙ ⲛⲓϭⲏⲡⲓ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲧⲏⲣⲟⲩ ⲛ̀ϫⲉ ⲃⲁⲗ ⲛⲓⲃⲉⲛ ⲛⲉⲙ ⲛⲏ ⲉⲧⲁⲩⲑⲟⲕⲥϥ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲧⲏⲣⲟⲩ ⲛ̀ϫⲉ ⲛⲓⲫⲩⲗⲏ ⲛ̀ⲧⲉ ⲡⲕⲁϩⲓ ⲁⲙⲏⲛ	 ⲉⲓⲥ ϩⲏϩⲧⲉ ⲉϥⲛⲏⲩ ϩⲓϫⲛ̅ ⲛⲉⲕⲗⲟⲟⲗⲉ ⲛ̅ⲧⲡⲉ ⲛ̅ⲧⲉ ⲃⲁⲗ ⲛⲓⲙ ⲛⲁⲩ ⲉⲣⲟϥ ⲁⲩⲱ ⲛⲉⲛⲧⲁⲩⲕⲟⲛⲥ̅ϥ̅ ⲛ̅ⲥⲉⲛⲉϩⲡⲉ ⲉϩⲣⲁⲓ ⲉϫⲱϥ ⲛ̅ⲡⲓ ⲛⲉⲫⲩⲗⲏ ⲧⲏⲣⲟⲩ ⲙ̅ⲡⲕⲁϩ	 Lo, he it is who cometh with the clouds; and they all shall see him --every eye, and they who pierced him; and they all shall see him--the tribes of (the) earth. Amēn.	 Ἰδοὺ ἔρχεται μετὰ τῶν νεφελῶν, καὶ ὄψεται αὐτὸν πᾶς ὀφθαλμὸς καὶ οἵτινες αὐτὸν ἐξεκέντησαν, καὶ κόψονται ἐπʼ αὐτὸν πᾶσαι αἱ φυλαὶ τῆς γῆς. ναί, ἀμήν.						
Apocalypse	1	8	 ⲁ̀ⲛⲟⲕ ⲡⲉ ⲡⲓⲁⲗⲫⲁ ⲛⲉⲙ ⲡⲓⲱ ϯⲁⲣⲭⲏ ⲛⲉⲙ ⲡⲓϫⲱⲕ ⲉ̀ⲃⲟⲗ ϥϫⲱ ⲙ̀ⲙⲟⲥ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲫϯ ⲫⲏ ⲉⲧϣⲟⲡ ⲫⲏ ⲉ̀ⲛⲁϥϣⲟⲡ ⲛⲉⲙ ⲫⲏ ⲉⲑⲛⲏⲟⲩ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ	 ⲁⲛⲟⲕ ⲡⲉ ⲁⲗⲫⲁ ⲁⲩⲱ ⲱ ⲧⲁⲣⲭⲏ ⲁⲩⲱ ⲡϫⲱⲕ ⲉⲃⲟⲗ ⲡⲉϫⲁϥ ⲛ̅ϭⲓ ⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲧϣⲟⲟⲡ ⲡⲉⲧⲉ ⲛⲉϥϣⲟⲟⲡ ⲡⲉⲧⲛⲏⲩ ⲡⲡⲁⲛⲧⲱⲕⲣⲁⲧⲱⲣ.	 I am the alpha and the ō(mega), the beginning and the end: Saith the Lord God, he who is, he who was being, and he who cometh, the Almighty.	 Ἐγώ εἰμι τὸ Ἄλφα καὶ τὸ Ὦ, λέγει κύριος, ὁ θεός, ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος, ὁ παντοκράτωρ.						
Apocalypse	1	9	 ⲁ̀ⲛⲟⲕ ⲡⲉ ⲓⲱⲁⲛⲛⲏⲥ ⲡⲉⲧⲉⲛⲥⲟⲛ ⲟⲩⲟϩ ⲡⲉⲧⲉⲛϣⲫⲏⲣ ϧⲉⲛ ⲛⲓϩⲟϫϩⲉϫ ϫⲉ ϯⲙⲉⲧⲟⲩⲣⲟ ⲛⲉⲙ ⲡⲓⲁⲙⲟⲛⲓ ⲛ̀ⲧⲟⲧϥ ⲁⲩϧⲉⲛ ⲓⲏ̅ⲥ̅ ⲁⲓϣⲱⲡⲓ ϧⲉⲛ ϯⲛⲏⲥⲟⲥ ⲑⲏ ⲉⲧⲟⲩⲙⲟⲩϯ ⲉ̀ⲣⲟⲥ ϫⲉ ⲡⲁⲑⲙⲱ ⲉⲑⲃⲉ ⲡⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲫϯ ⲛⲉⲙ ϯⲙⲉⲧⲙⲉⲑⲣⲉ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲁⲛⲟⲕ ϩⲱ ⲓⲱϩⲁⲛⲛⲏⲥ ⲡⲉⲧⲛ̅ⲥⲟⲛ. ⲡⲉⲧⲛ̅ϣⲃⲏⲣ ⲕⲟⲓⲛⲟⲛⲟⲥ ϩⲛ̅ ⲧⲉⲑⲗⲓⲯⲓⲥ. ⲁⲩⲱ ⲧⲙⲛ̅ⲧⲉⲣⲟ ⲙⲛ̅ ⲑⲩⲡⲟⲙⲟⲛⲏ ⲙ̅ⲡⲛ̅ϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲣ̅ⲥ̅. ⲁⲓϣⲱⲡⲉ ϩⲛ̅ ⲧⲛⲏⲥⲟⲥ ⲉⲧⲟⲩⲙⲟⲩⲧⲉ ⲉⲣⲟϥ ϫⲉ ⲡⲁⲧⲙⲟⲥ ⲉⲧⲃⲉ ⲡϣⲁϫⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲁⲩⲱ ⲉⲧⲃⲉ ⲧⲙⲛ̅ⲧⲙⲛ̅ⲧⲣⲉ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲣ̅ⲥ̅	 I am Iōannēs your brother, and your partner in the tribulations, because the kingdom and thy endurance were in Jesus. I was being in the island, which is called 'Pathmō,' because of the word of God and the witness of Jesus Christ.	 Ἐγὼ Ἰωάννης, ὁ ἀδελφὸς ὑμῶν καὶ συγκοινωνὸς ἐν τῇ θλίψει καὶ βασιλείᾳ καὶ ὑπομονῇ ἐν Ἰησοῦ, ἐγενόμην ἐν τῇ νήσῳ τῇ καλουμένῃ Πάτμῳ διὰ τὸν λόγον τοῦ θεοῦ καὶ τὴν μαρτυρίαν Ἰησοῦ.						
