book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Daniel	A	1	 ⲛⲉ ⲟⲩⲟⲛ ⲟⲩⲣⲱⲙⲓ ⲉϥϣⲟⲡ ϧⲉⲛ ⲃⲁⲃⲩⲗⲱⲛ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲓⲱⲁⲕⲓⲙ.		 There dwelt a man in Babylon, called Joacim:	 Καὶ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ιωακιμ.						
Daniel	A	2	 ⲁϥϭⲓ ⲇⲉ ⲛ̀ⲟⲩⲥϩⲓⲙⲓ ⲉ̀ⲡⲉⲥⲣⲁⲛ ⲡⲉ ⲥⲟⲩⲥⲁⲛⲛⲁ ⲧϣⲉⲣⲓ ⲛ̀ⲭⲁⲗⲕⲓⲁⲥ ⲛⲉ ⲟⲩⲉ ⲛⲁⲛⲉⲥ ⲉ̀ⲙⲁϣⲱ ⲡⲉ. ⲟⲩⲟϩ ⲛⲁⲥⲉⲣϩⲟϯ ϧⲁⲧϩⲏ ⲙ̀ⲫϯ.		 And he took a wife, whose name was Susanna, the daughter of Chelcias, a very fair woman, and one that feared the Lord.	 καὶ ἔλαβεν γυναῖκα, ᾗ ὄνομα Σουσαννα θυγάτηρ Χελκιου, καλὴ σφόδρα καὶ φοβουμένη τὸν κύριον·						
Daniel	A	3	 ⲟⲩⲟϩ ⲛⲉⲥⲓⲟϯ ⲛⲉ ϩⲁⲛⲑⲙⲏⲓ ⲛⲉ. ⲟⲩⲟϩ ⲛⲁⲩϯⲥⲃⲱ ⲛ̀ⲧⲟⲩϣⲉⲣⲓ ⲕⲁⲧⲁ ⲫⲛⲟⲙⲟⲥ ⲙ̀ⲙⲱⲩ̀ⲥⲏⲥ ⲡⲉ.		 Her parents also were righteous, and taught their daughter according to the law of Moses.	 καὶ οἱ γονεῖς αὐτῆς δίκαιοι καὶ ἐδίδαξαν τὴν θυγατέρα αὐτῶν κατὰ τὸν νόμον Μωυσῆ.						
Daniel	A	4	 ⲓⲱⲁⲕⲓⲙ ⲇⲉ ⲛⲉ ⲟⲩⲣⲁⲙⲁⲟ ⲡⲉ ⲉ̀ⲙⲁϣⲱ. ⲛⲉ ⲟⲩⲟⲛ ⲛ̀ⲧⲁϥ ⲙ̀ⲙⲁⲩ ⲛ̀ⲟⲩⲡⲁⲣⲁⲇⲓⲥⲟⲥ ⲉϥⲭⲏ ϧⲁⲑⲟⲩⲱϥ ⲙ̀ⲡⲉϥⲏⲓ. ⲟⲩⲟϩ ⲛⲁⲩⲛⲏⲟⲩ ϩⲁⲣⲟϥ ⲧⲏⲣⲟⲩ ⲛ̀ϫⲉ ⲛⲓⲓⲟⲩⲇⲁⲓ. ⲉⲑⲃⲉϫⲉ ⲛ̀ⲑⲟϥ ⲛⲁϥⲧⲁⲓⲏⲟⲩⲧ ⲉ̀ϩⲟⲧⲉ ⲉ̀ⲣⲱⲟⲩ ⲧⲏⲣⲟⲩ.		 Now Joacim was a great rich man, and had a fair garden joining unto his house: and to him resorted the Jews; because he was more honourable than all others.	 καὶ ἦν Ιωακιμ πλούσιος σφόδρα, καὶ ἦν αὐτῷ παράδεισος γειτνιῶν τῷ οἴκῳ αὐτοῦ· καὶ πρὸς αὐτὸν προσήγοντο οἱ Ιουδαῖοι διὰ τὸ εἶναι αὐτὸν ἐνδοξότερον πάντων.						
Daniel	A	5	 ⲁⲩⲟⲩⲱⲛϩ ⲇⲉ ⲉ̀ⲃⲟⲗ ⲛ̀ϫⲉ ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲃ̅ ⲛ̀ⲣⲉϥϯϩⲁⲡ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲓⲗⲁⲟⲥ ϧⲉⲛ ϯⲣⲟⲙⲡⲓ ⲉⲧⲉⲙ̀ⲙⲁⲩ. ⲛⲏ ⲉⲧⲁϥⲥⲁϫⲓ ⲉⲑⲃⲏⲧⲟⲩ ⲛ̀ϫⲉ ⲛⲉⲛⲛⲏⲃ. ϫⲉ ⲁⲥⲓ̀ ⲛ̀ϫⲉ ⲟⲩⲁⲛⲟⲙⲓⲁ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲃⲁⲃⲩⲗⲱⲛ. ⲉ̀ⲃⲟⲗ ϧⲉⲛ ϩⲁⲛⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛ̀ⲕⲣⲓⲧⲏⲥ. ⲛⲁⲓ ⲉ̀ⲛⲁⲩⲙⲉⲩⲓ ⲉ̀ⲣⲱⲟⲩ ϫⲉ ⲥⲉⲉⲣϩⲉⲙⲓ ⲙ̀ⲡⲓⲗⲁⲟⲥ		 The same year were appointed two of the ancients of the people to be judges, such as the Lord spake of, that wickedness came from Babylon from ancient judges, who seemed to govern the people.	 καὶ ἀπεδείχθησαν δύο πρεσβύτεροι ἐκ τοῦ λαοῦ κριταὶ ἐν τῷ ἐνιαυτῷ ἐκείνῳ, περὶ ὧν ἐλάλησεν ὁ δεσπότης ὅτι Ἐξῆλθεν ἀνομία ἐκ Βαβυλῶνος ἐκ πρεσβυτέρων κριτῶν, οἳ ἐδόκουν κυβερνᾶν τὸν λαόν.						
Daniel	A	6	 ⲟⲩⲟϩ ⲛⲁⲓ ⲉ̀ϣⲁⲩⲑⲱⲟⲩϯ ⲉ̀ⲡⲏⲓ ⲛ̀ⲓⲱⲁⲕⲓⲙ. ⲟⲩⲟϩ ⲛⲁⲩⲑⲱⲟⲩϯ ϩⲁⲣⲱⲟⲩ ⲡⲉ. ⲛ̀ϫⲉ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧϭⲓϩⲁⲡ.		 These kept much at Joacim's house: and all that had any suits in law came unto them.	 οὗτοι προσεκαρτέρουν ἐν τῇ οἰκίᾳ Ιωακιμ, καὶ ἤρχοντο πρὸς αὐτοὺς πάντες οἱ κρινόμενοι.						
Daniel	A	7	 ⲉ̀ϣⲱⲡ ⲁϥϣⲁⲛⲙⲟϣⲓ ⲛ̀ϫⲉ ⲡⲓⲗⲁⲟⲥ ϧⲉⲛ ⲧⲫⲁϣⲓ ⲙ̀ⲡⲓⲉϩⲟⲟⲩ. ϣⲁⲥⲓ̀ ⲉ̀ϧⲟⲩⲛ ⲛ̀ϫⲉ ⲥⲟⲩⲥⲁⲛⲛⲁ ⲉⲥⲙⲟϣⲓ ϧⲉⲛ ⲡⲓⲡⲁⲣⲁⲇⲓⲥⲟⲥ ⲛ̀ⲧⲉ ⲡⲉⲥϩⲁⲓ.		 Now when the people departed away at noon, Susanna went into her husband's garden to walk.	 καὶ ἐγένετο ἡνίκα ἀπέτρεχεν ὁ λαὸς μέσον ἡμέρας, εἰσεπορεύετο Σουσαννα καὶ περιεπάτει ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς.						
Daniel	A	8	 ⲛⲁⲩϯⲛⲓⲁⲧⲟⲩ ⲙ̀ⲙⲟⲥ ⲙ̀ⲙⲏⲛⲓ ⲡⲉ. ⲛ̀ϫⲉ ⲛⲓⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲉⲥⲛⲏⲟⲩ ⲉ̀ϧⲟⲩⲛ ⲉⲥⲙⲟϣⲓ ϧⲉⲛ ⲡⲓⲡⲁⲣⲁⲇⲓⲥⲟⲥ. ⲁⲩϣⲱⲡⲓ ϧⲉⲛ ⲧⲉⲥⲉⲡⲓⲑⲩⲙⲓⲁ		 And the two elders saw her going in every day, and walking; so that their lust was inflamed toward her.	 καὶ ἐθεώρουν αὐτὴν οἱ δύο πρεσβύτεροι καθ’ ἡμέραν εἰσπορευομένην καὶ περιπατοῦσαν καὶ ἐγένοντο ἐν ἐπιθυμίᾳ αὐτῆς.						
Daniel	A	9	 ⲁⲩⲫⲱⲛϩ ⲙ̀ⲡⲟⲩϩⲏⲧ ⲟⲩⲟϩ ⲙⲁϣⲑⲁⲙ ⲛ̀ⲛⲟⲩⲃⲁⲗ ⲉ̀ϣ̀ⲧⲉⲙϫⲟⲩϣⲧ ⲉ̀ⲡϣⲱⲓ ⲉ̀ⲧⲫⲉ. ⲟⲩⲇⲉ ⲉ̀ϣ̀ⲧⲉⲙⲉⲣⲫⲙⲉⲩⲓ ⲛ̀ϩⲁⲛϩⲁⲡ ⲛ̀ⲑⲙⲏⲓ.		 And they perverted their own mind, and turned away their eyes, that they might not look unto heaven, nor remember just judgments.	 καὶ διέστρεψαν τὸν ἑαυτῶν νοῦν καὶ ἐξέκλιναν τοὺς ὀφθαλμοὺς αὐτῶν τοῦ μὴ βλέπειν εἰς τὸν οὐρανὸν μηδὲ μνημονεύειν κριμάτων δικαίων.						
Daniel	A	10	 ⲟⲩⲟϩ ⲛ̀ⲑⲱⲟⲩ ⲙ̀ⲡⲃ̅ ⲛⲁⲣⲉ ⲡⲟⲩϩⲏⲧ ⲙⲉⲩⲓ ⲉ̀ⲣⲟⲥ ⲡⲉ. ⲟⲩⲟϩ ⲛⲁⲩⲟⲩⲱⲛϩ ⲙ̀ⲡⲟⲩⲙⲕⲁϩ ⲁⲛ ⲡⲉ ⲉ̀ⲛⲟⲩⲉⲣⲏⲟⲩ		 And albeit they both were wounded with her love, yet durst not one shew another his grief.	 καὶ ἦσαν ἀμφότεροι κατανενυγμένοι περὶ αὐτῆς καὶ οὐκ ἀνήγγειλαν ἀλλήλοις τὴν ὀδύνην αὐτῶν,						
