book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Epistle to the Colossians	1		ⲡⲣⲟⲥ ⲕⲟⲗⲁⲥⲥⲁⲓⲥ ⲍ̅ ⲁ									
Epistle to the Colossians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲉⲧⲉϩⲛⲁϥ ⲙ̀ⲫϯ ⲛⲉⲙ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲓⲥⲟⲛ	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲙⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ϩⲓⲧⲙ̅ ⲡⲟⲩⲱϣ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲙⲛ̅ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲥⲟⲛ.	 Paul, (the) apostle of Christ Jesus through the will of God, and Timotheos the brother,	 Παῦλος ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος θεοῦ καὶ Τιμόθεος ὁ ἀδελφὸς						
Epistle to the Colossians	1	2	 ⲛ̀ⲛⲓⲁⲅⲓⲟⲥ ⲉⲧϧⲉⲛ ⲕⲟⲗⲁⲥⲥⲁⲓⲥ ⲟⲩⲟϩ ⲙ̀ⲡⲓⲥⲧⲟⲥ ⲛ̀ⲥⲛⲏⲟⲩ ⲉⲧϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲉⲩⲥϩⲁⲓ ⲛ̅ⲛⲉⲥⲛⲏⲩ ⲉⲧⲟⲩⲁⲁⲃ ⲉⲧϩⲛ̅ ⲕⲟⲗⲟⲥⲥⲁ ⲙ̅ⲡⲓⲥⲧⲟⲥ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅. ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ:	 to the saints who are in Kolassais, and faithful brethren who are in Christ Jesus: (the) grace to you and (the) peace from God our Father and our Lord Jesus Christ.	 τοῖς ἐν Κολοσσαῖς ἁγίοις καὶ πιστοῖς ἀδελφοῖς ἐν Χριστῷ· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν.						
Epistle to the Colossians	1	3	 ⲧⲉⲛϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲫϯ ⲫⲓⲱⲧ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲉ̀ⲛⲧⲱⲃϩ	 ⲧⲛ̅ϣⲡϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ ⲙ̅ⲡⲉⲛϫⲟⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅. ⲉⲛϣⲗⲏⲗ ϩⲁⲣⲱⲧⲛ̅ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ	 We give thanks to God the Father of our Lord Jesus Christ, always for you praying,	 Εὐχαριστοῦμεν τῷ θεῷ πατρὶ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ πάντοτε περὶ ὑμῶν προσευχόμενοι,						
Epistle to the Colossians	1	4	 ⲉ̀ⲁⲛⲥⲱⲧⲉⲙ ⲉ̀ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲉⲧϧⲉⲛ ⲡϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲛⲉⲙ ϯⲁⲅⲁⲡⲏ ⲉⲧϧⲉⲛ ⲑⲏⲛⲟⲩ ⲉ̀ⲛⲓⲁⲅⲓⲟⲥ ⲧⲏⲣⲟⲩ	 ⲛ̅ⲧⲉⲣⲛ̅ⲥⲱⲧⲙ̅ ⲉⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅. ⲁⲩⲱ ⲧⲉⲧⲛ̅ⲁⲅⲁⲡⲏ ⲉⲧϫⲓ ⲉϩⲟⲩⲛ ⲉⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ.	 having heard of your faith which is in the Lord Jesus, and the love which is in you unto all the saints,	 ἀκούσαντες τὴν πίστιν ὑμῶν ἐν Χριστῷ Ἰησοῦ καὶ τὴν ἀγάπην ἣν ἔχετε εἰς πάντας τοὺς ἁγίους						
Epistle to the Colossians	1	5	 ⲉⲑⲃⲉ ϯϩⲉⲗⲡⲓⲥ ⲉⲧⲭⲏ ϧⲁϫⲱⲧⲉⲛ ϧⲉⲛ ⲛⲓⲫⲏⲟⲩⲓ ⲑⲏ ⲉⲧⲁⲣⲉⲧⲉⲛⲉⲣϣⲟⲣⲡ ⲛ̀ⲥⲟⲑⲙⲉⲥ ϧⲉⲛ ⲡⲥⲁϫⲓ ⲛ̀ⲧⲉ ϯⲙⲉⲑⲙⲏⲓ ⲛ̀ⲧⲉ ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	 ⲉⲧⲃⲉ ⲑⲉⲗⲡⲓⲥ ⲉⲧⲕⲏ ⲛⲏⲧⲛ̅ ⲉϩⲣⲁⲓ ϩⲛ̅ ⲙ̅ⲡⲏⲩⲉ. ⲧⲁⲓ ⲉⲛⲧⲁⲧⲉⲧⲛ̅ⲥⲱⲧⲙ̅ ⲉⲣⲟⲥ ϩⲙ̅ ⲡϣⲁϫⲉ ⲛ̅ⲧⲙⲉ ⲙ̅ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ.	 because of the hope which is laid up before you in the heavens, which ye heard before in (the) word of the truth of the Gospel	 διὰ τὴν ἐλπίδα τὴν ἀποκειμένην ὑμῖν ἐν τοῖς οὐρανοῖς, ἣν προηκούσατε ἐν τῷ λόγῳ τῆς ἀληθείας τοῦ εὐαγγελίου						
Epistle to the Colossians	1	6	 ⲫⲁⲓ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲟⲛ ⲉⲧⲉϥϣⲟⲡ ϧⲉⲛ ⲡⲓⲕⲟⲥⲙⲟⲥ ⲧⲏⲣϥ ⲉϥϯⲟⲩⲧⲁϩ ⲟⲩⲟϩ ⲉϥⲁⲓⲁⲓ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲟⲛ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲓⲥϫⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲁⲣⲉⲧⲉⲛⲥⲱⲧⲉⲙ ⲟⲩⲟϩ ⲉⲧⲁⲣⲉⲧⲉⲛⲥⲟⲩⲉⲛ ⲡⲓϩⲙⲟⲧ ⲛ̀ⲧⲉ ⲫϯ ϧⲉⲛ ⲟⲩⲙⲉⲑⲙⲏⲓ	 ⲡⲁⲓ ⲉⲧⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅ ⲕⲁⲧⲁ ⲑⲉ ⲉⲧϥϩⲙ̅ ⲡⲕⲟⲥⲙⲟⲥ ⲧⲏⲣϥ̅ ⲉϥϯⲕⲁⲣⲡⲟⲥ. ⲁⲩⲱ ⲉϥⲁⲩⲝⲁⲛⲉ ⲕⲁⲧⲁ ⲑⲉ ⲟⲛ ⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅. ϫⲓⲛ ⲡⲉϩⲟⲟⲩ ⲉⲛⲧⲁⲧⲉⲧⲛ̅ⲥⲱⲧⲙ̅. ⲁⲩⲱ ⲁⲧⲉⲧⲛⲉⲓⲙⲉ ⲉⲧⲉⲭⲁⲣⲓⲥ ⲙ̅ⲡⲛⲟⲩⲧⲉ ϩⲛ̅ ⲟⲩⲙⲉ.	 This which is (won) in you; according as also it is in all the world, bearing fruit and growing, according as also in you, from the day which ye heard and ye knew the grace of God in [a] truth;	 τοῦ παρόντος εἰς ὑμᾶς, καθὼς καὶ ἐν παντὶ τῷ κόσμῳ ἐστὶν καρποφορούμενον καὶ αὐξανόμενον καθὼς καὶ ἐν ὑμῖν, ἀφʼ ἧς ἡμέρας ἠκούσατε καὶ ἐπέγνωτε τὴν χάριν τοῦ θεοῦ ἐν ἀληθείᾳ·						
Epistle to the Colossians	1	7	 ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁⲣⲉⲧⲉⲛⲉⲙⲓ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲉⲡⲁⲫⲣⲁ ⲡⲓⲙⲉⲛⲣⲓⲧ ⲛ̀ϣⲫⲏⲣ ⲙ̀ⲃⲱⲕ ⲛ̀ⲧⲁⲛ ⲉⲧⲉ ⲟⲩⲡⲓⲥⲧⲟⲥ ⲡⲉ ⲛ̀ⲇⲓⲁⲕⲱⲛ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ	 ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁⲧⲉⲧⲛ̅ⲉⲓⲙⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅ ⲛ̅ⲉⲡⲁⲫⲣⲁ ⲡⲙⲉⲣⲓⲧ ⲡⲉⲛϣⲃⲣ ϩⲙ̅ϩⲁⲗ. ⲡⲁⲓ ⲉⲩⲡⲓⲥⲧⲟⲥ ϩⲁⲣⲱⲧⲛ ⲡⲉ. ⲛ̅ⲇⲓⲁⲕⲟⲛⲟⲥ ⲙ̅ⲡⲉⲭ̅ⲥ̅.	 according as ye knew from Epaphra the beloved fellow servant of ours, who is a faithful minister of Christ for you.	 καθὼς ἐμάθετε ἀπὸ Ἐπαφρᾶ τοῦ ἀγαπητοῦ συνδούλου ἡμῶν, ὅς ἐστιν πιστὸς ὑπὲρ ἡμῶν διάκονος τοῦ Χριστοῦ,						
Epistle to the Colossians	1	8	 ⲫⲁⲓ ⲉⲧⲁϥⲧⲁⲙⲟⲛ ⲉⲧⲉⲧⲉⲛⲁⲅⲁⲡⲏ ϧⲉⲛ ⲡⲓⲡⲛ̅ⲁ̅	 ⲡⲁⲓ ⲉⲛⲧⲁϥⲧⲁⲙⲟⲛ ⲉⲧⲉⲧⲛ̅ⲁⲅⲁⲡⲏ ϩⲙ̅ ⲡⲉⲡⲛ̅ⲁ̅:	 He (lit. this) who showed to us your love in the spirit.	 ὁ καὶ δηλώσας ἡμῖν τὴν ὑμῶν ἀγάπην ἐν πνεύματι.						
Epistle to the Colossians	1	9	 ⲉⲑⲃⲉⲫⲁⲓ ⲁ̀ⲛⲟⲛ ϩⲱⲛ ⲓⲥϫⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲁⲛⲥⲱⲧⲉⲙ ⲛ̀ⲧⲉⲛⲭⲱ ⲛ̀ⲧⲟⲧⲉⲛ ⲉ̀ⲃⲟⲗ ⲁⲛ ⲉⲛⲧⲱⲃϩ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲛⲉⲙ ⲉⲛⲉⲣⲉⲧⲓⲛ ϩⲓⲛⲁ ⲛ̀ⲧⲉⲧⲉⲛⲙⲟϩ ϧⲉⲛ ⲡⲥⲟⲩⲉⲛ ⲡⲉⲧⲉϩⲛⲁϥ ϧⲉⲛ ⲥⲟⲫⲓⲁ ⲛⲓⲃⲉⲛ ⲛⲉⲙ ⲕⲁϯ ⲛⲓⲃⲉⲛ ⲙ̀ⲡⲛ̅ⲁ̅ⲧⲓⲕⲟⲛ	 ⲉⲧⲃⲉ ⲡⲁⲓ ϩⲱⲱⲛ ϫⲓⲛ ⲡⲉϩⲟⲟⲩ ⲉⲛⲧⲁⲛⲥⲱⲧⲙ̅. ⲛ̅ⲧⲛ̅ⲗⲟ ⲁⲛ ⲉⲛϣⲗⲏⲗ ϩⲁⲣⲱⲧⲛ ⲁⲩⲱ ⲉⲛⲧⲱⲃϩ. ϫⲉⲕⲁⲁⲥ ⲉⲧⲉⲧⲛⲉϫⲱⲕ ⲉⲃⲟⲗ ⲙ̅ⲡⲥⲟⲟⲩⲛ ⲙ̅ⲡⲉϥⲟⲩⲱϣ. ⲉⲧⲣⲉⲧⲛ̅ⲙⲟⲟϣⲉ ϩⲛ̅ ⲥⲟⲫⲓⲁ ⲛⲓⲙ ⲙⲛ̅ ⲧⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ ⲙ̅ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ.	 Therefore we also, from the day which we heard, cease not praying for you and requesting, that ye might be filled with (the) knowledge of his will in all wisdom, and all spiritual understanding,	 Διὰ τοῦτο καὶ ἡμεῖς, ἀφʼ ἧς ἡμέρας ἠκούσαμεν, οὐ παυόμεθα ὑπὲρ ὑμῶν προσευχόμενοι καὶ αἰτούμενοι ἵνα πληρωθῆτε τὴν ἐπίγνωσιν τοῦ θελήματος αὐτοῦ ἐν πάσῃ σοφίᾳ καὶ συνέσει πνευματικῇ,						
