book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Epistle to the Romans	1		ⲡⲣⲟⲥ ⲣⲱⲙⲉⲟⲥ ⲁ									
Epistle to the Romans	1	1	 ⲡⲁⲩⲗⲟⲥ ⲫⲃⲱⲕ ⲛⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲧⲑⲁϩⲉⲙ	 ⲡⲁⲩⲗⲟⲥ ⲡϩⲙ̅ϩⲁⲗ ⲛⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲧⲧⲁϩⲙ̅ ⲡⲉⲛⲧⲁⲩⲡⲟⲣϫϥ̅ ⲉⲃⲟⲗ ⲉⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙ̅ⲡⲛⲟⲩⲧⲉ.	 I. Paul, (the) servant of Jesus Christ, (the) apostle who is called,	 Παῦλος δοῦλος Χριστοῦ Ἰησοῦ, κλητὸς ἀπόστολος, ἀφωρισμένος εἰς εὐαγγέλιον θεοῦ						
Epistle to the Romans	1	2	 ⲫⲏ ⲉⲧⲁⲩⲑⲁϣϥ ⲉ̀ⲡⲓϩⲓϣⲉⲛⲛⲟⲩϥⲓ ⲛ̀ⲧⲉ ⲫϯ ⲫⲏ ⲉⲧⲁϥⲉⲣϣⲟⲣⲡ ⲛ̀ⲱϣ ⲙ̀ⲙⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲧⲟⲩ ⲛ̀ⲛⲉϥⲡⲣⲟⲫⲏⲧⲏⲥ ϧⲉⲛ ⲛⲓⲅⲣⲁⲫⲏ ⲉⲑⲟⲩⲁⲃ	 ⲡⲁⲓ ⲉⲛⲧⲁϥϣⲣⲡ̅ⲉⲣⲏⲧ ⲙ̅ⲙⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛ̅ⲛⲉϥⲡⲣⲟⲫⲏⲧⲏⲥ ϩⲛ̅ ⲛⲉⲅⲣⲁⲫⲏ ⲉⲧⲟⲩⲁⲁⲃ	 he who was ordained unto the preaching good tidings of God, which he promised before through his prophets in the holy Scriptures,	 ὃ προεπηγγείλατο διὰ τῶν προφητῶν αὐτοῦ ἐν γραφαῖς ἁγίαις						
Epistle to the Romans	1	3	 ⲉⲑⲃⲉ ⲡⲉϥϣⲏⲣⲓ ⲫⲏ ⲉⲧⲁϥϣⲱⲡⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡϫⲣⲟϫ ⲛ̀ⲇⲁⲩⲓⲇ ⲕⲁⲧⲁ ⲥⲁⲣⲝ	 ⲉⲧⲃⲉ ⲡⲉϥϣⲏⲣⲉ ⲡⲁⲓ ⲉⲛⲧⲁϥϣⲱⲡⲉ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲉⲥⲡⲉⲣⲙⲁ ⲛ̅ⲇⲁⲩⲉⲓⲇ ⲕⲁⲧⲁ ⲥⲁⲣⲝ̅.	 concerning his Son; who was made from (the) seed of David according to flesh.	 περὶ τοῦ υἱοῦ αὐτοῦ, τοῦ γενομένου ἐκ σπέρματος Δαυὶδ κατὰ σάρκα,						
Epistle to the Romans	1	4	 ⲡϣⲏⲣⲓ ⲙ̀ⲫϯ ⲉⲧⲑⲏϣ ϧⲉⲛ ⲟⲩϫⲟⲙ ⲕⲁⲧⲁ ⲟⲩⲡⲛ̅ⲁ̅ ⲉϥⲟⲩⲁⲃ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲧⲱⲛϥ ⲛ̀ⲛⲓⲣⲉϥⲙⲱⲟⲩⲧ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡⲉⲛϭ̅ⲥ̅	 ⲡⲉⲛⲧⲁⲩⲧⲟϣϥ̅ ⲛ̅ϣⲏⲣⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ϩⲛ̅ ⲧϭⲟⲙ ⲕⲁⲧⲁ ⲡⲉⲡⲛ̅ⲁ̅ ⲙ̅ⲡⲧⲃ̅ⲃⲟ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲧⲱⲟⲩⲛ ⲛ̅ⲛⲉⲧⲙⲟⲟⲩⲧ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲉⲛϫⲟⲉⲓⲥ.	 (The) Son of God who is ordained in [a] power, according to (a) holy spirit, by (lit. from the) resurrection of the dead; Jesus Christ our Lord,	 τοῦ ὁρισθέντος υἱοῦ θεοῦ ἐν δυνάμει κατὰ πνεῦμα ἁγιωσύνης ἐξ ἀναστάσεως νεκρῶν, Ἰησοῦ Χριστοῦ τοῦ κυρίου ἡμῶν,						
Epistle to the Romans	1	5	 ⲫⲏ ⲉⲧⲁⲛϭⲓ ⲛ̀ⲟⲩϩⲙⲟⲧ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲛⲉⲙ ⲟⲩⲙⲉⲧⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲩⲥⲱⲧⲉⲙ ⲛ̀ⲧⲉ ⲫⲛⲁϩϯ ϧⲉⲛ ⲛⲓⲉⲑⲛⲟⲥ ⲧⲏⲣⲟⲩ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲡⲉϥⲣⲁⲛ	 ⲡⲁⲓ ⲉⲛⲧⲁⲛϫⲓ ⲛ̅ⲟⲩⲭⲁⲣⲓⲥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅ ⲙⲛ̅ ⲟⲩⲙⲛ̅ⲧⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲡⲥⲱⲧⲙ̅ ⲛ̅ⲧⲡⲓⲥⲧⲓⲥ ϩⲛ̅ ⲛ̅ϩⲉⲑⲛⲟⲥ ⲧⲏⲣⲟⲩ ϩⲁ ⲡⲉϥⲣⲁⲛ	 through whom we received [a] grace and an apostleship, unto an obedience of (the) faith among all the Gentiles, for his name:	 διʼ οὗ ἐλάβομεν χάριν καὶ ἀποστολὴν εἰς ὑπακοὴν πίστεως ἐν πᾶσιν τοῖς ἔθνεσιν ὑπὲρ τοῦ ὀνόματος αὐτοῦ,						
Epistle to the Romans	1	6	 ⲛⲏ ⲉⲧⲉⲧⲉⲛⲛϩⲣⲏⲓ ⲛ̀ϧⲏⲧⲟⲩ ϩⲱⲧⲉⲛ ⲛⲏ ⲉⲧⲑⲁϩⲉⲙ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲉⲧⲉⲧⲛ̅ⲏⲡ ϩⲛ̅ ⲛⲁⲓ ϩⲱⲧⲧⲏⲩⲧⲛ̅ ⲉⲧⲉⲧⲛ̅ⲧⲁϩⲙ̅ ϩⲛ̅ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅	 among whom are ye also, they who are called, of Jesus Christ:	 ἐν οἷς ἐστε καὶ ὑμεῖς κλητοὶ Ἰησοῦ Χριστοῦ,						
Epistle to the Romans	1	7	 ⲛ̀ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲣⲱⲙⲏ ⲛⲓⲙⲉⲛⲣⲁϯ ⲛ̀ⲧⲉ ⲫϯ ⲉⲧⲑⲁϩⲉⲙ ⲉⲑⲟⲩⲁⲃ ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲛⲉⲧϩⲛ̅ ϩⲣⲱⲙⲏ ⲧⲏⲣⲟⲩ ⲙ̅ⲙⲉⲣⲓⲧ ⲛ̅ⲧⲉ ⲡⲛⲟⲩⲧⲉ ⲛⲉⲧⲧⲁϩⲙ ⲉⲧⲟⲩⲁⲁⲃ. ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:	 to all who are in Rome, the beloved of God who are called, 'who are holy.	 πᾶσιν τοῖς οὖσιν ἐν Ῥώμῃ ἀγαπητοῖς θεοῦ, κλητοῖς ἁγίοις· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.						
Epistle to the Romans	1	8	 ⲛ̀ϣⲟⲣⲡ ⲙⲉⲛ ϯϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉ ⲡⲁⲛⲟⲩϯ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲧⲏⲣⲟⲩ ϫⲉ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲥⲉϩⲓⲱⲓϣ ⲙ̀ⲙⲟϥ ϧⲉⲛ ⲡⲓⲕⲟⲥⲙⲟⲥ ⲧⲏⲣϥ	 ϣⲟⲣⲡ̅ ⲙⲉⲛ ϯϣⲡ̅ϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ⲡⲁⲙⲟⲩⲧⲉ ϩⲓⲧⲛ̅ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉⲧⲃⲉ ⲧⲏⲩⲧⲛ̅ ⲧⲏⲣⲧⲛ̅ ϫⲉ ⲥⲉϯⲥⲟⲉⲓⲧ ⲉⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ ϩⲙ ⲡⲕⲟⲥⲙⲟⲥ ⲧⲏⲣϥ̅.	 (The) grace to you and (the) peace from God our Father and our Lord Jesus Christ. First indeed I thank my God through Jesus Christ for you all, that your faith is proclaimed in all the world.	 Πρῶτον μὲν εὐχαριστῶ τῷ θεῷ μου διὰ Ἰησοῦ Χριστοῦ περὶ πάντων ὑμῶν, ὅτι ἡ πίστις ὑμῶν καταγγέλλεται ἐν ὅλῳ τῷ κόσμῳ.						
Epistle to the Romans	1	9	 ⲡⲁⲙⲉⲑⲣⲉ ⲅⲁⲣ ⲡⲉ ⲫϯ ⲫⲏ ⲉ̀ϯϣⲉⲙϣⲓ ⲙ̀ⲙⲟϥ ϧⲉⲛ ⲡⲁⲡⲛ̅ⲁ̅ ϧⲉⲛ ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲛ̀ⲧⲉ ⲡⲉϥϣⲏⲣⲓ ϩⲱⲥ ⲛ̀ϯⲭⲱ ⲛⲧⲟⲧ ⲁⲛ ⲉⲓⲓⲣⲓ ⲙ̀ⲡⲉⲧⲉⲛⲙⲉⲩⲓ	 ⲡⲁⲙⲛ̅ⲧⲣⲉ ⲅⲁⲣ ⲡⲉ ⲡⲛⲟⲩⲧⲉ ⲡⲁⲓ ⲉϯϣⲙ̅ϣⲉ ⲛⲁϥ ϩⲙ̅ ⲡⲁⲡⲛ̅ⲁ̅ ϩⲙ̅ ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙ̅ⲡⲉϥϣⲏⲣⲉ ⲛ̅ⲑⲉ ⲁϫⲛⲱϫⲛ̅ ⲉⲓⲉⲓⲣⲉ ⲙ̅ⲡⲉⲧⲛ̅ⲙⲉⲉⲩⲉ	 For God is my witness, whom I serve in my spirit in the Gospel of his Son, how I cease not remembering you,	 μάρτυς γάρ μού ἐστιν ὁ θεός, ᾧ λατρεύω ἐν τῷ πνεύματί μου ἐν τῷ εὐαγγελίῳ τοῦ υἱοῦ αὐτοῦ, ὡς ἀδιαλείπτως μνείαν ὑμῶν ποιοῦμαι						
