book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
First Epistle of St. Peter	1		ⲡⲉⲧⲣⲟⲩ ⲉⲡⲓⲥⲧⲟⲗⲏ ⲁ̅	ⲛ̅ⲕⲁⲑⲟⲗⲏⲕⲟⲛ ⲛ̅ⲛ̅ⲧⲉⲡⲓⲥⲧⲟⲗⲏ ⲛ̅ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲡⲉⲧⲣⲟⲥ								
First Epistle of St. Peter	1	1	 ⲡⲉⲧⲣⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛ̀ⲛⲓⲥⲱⲧⲡ ⲉⲧϣⲟⲡ ϩⲓ ⲡϣⲉⲙⲙⲟ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲡⲓϫⲱⲣ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ⲡⲟⲛⲧⲟⲥ ⲧⲅⲁⲗⲁⲧⲓⲁ ⲧⲕⲁⲡⲡⲟⲇⲟⲕⲓⲁ ϯⲁⲥⲓⲁ ⲛⲉⲙ ϯⲃⲏⲑⲁⲛⲓⲁ	 ⲡⲉⲧⲣⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉϥⲥϩⲁⲓ ⲛ̅ⲛⲉⲛⲥⲱⲧⲡ̅ ⲉⲧⲟⲩⲏⲏϩ ϩⲉⲛ ⲇⲓⲁⲥⲡⲟⲣⲁ ⲛ̅ⲧⲡⲟⲛⲧⲟⲥ ⲙⲛ̅ ⲧⲅⲁⲗⲁⲧⲓⲁ ⲙⲛ̅ ⲧⲕⲁⲡⲡⲁⲧⲱⲕⲓⲁ ⲙⲛ̅ ⲧⲁⲥⲓⲁ ⲙⲛ̅ ⲧⲃⲩⲑⲁⲛⲓⲁ	 Peter, (the) apostle of Jesus Christ, to the elect who are in (the) foreign (land) among the dispersion of Pontos, (the) Galatia, (the) Kappodokia, [the] Asia and [the] Bēthania,	 Πέτρος ἀπόστολος Ἰησοῦ Χριστοῦ ἐκλεκτοῖς παρεπιδήμοις διασπορᾶς Πόντου, Γαλατίας, Καππαδοκίας, Ἀσίας, καὶ Βιθυνίας,						
First Epistle of St. Peter	1	2	 ⲕⲁⲧⲁ ⲟⲩϣⲟⲣⲡ ⲛ̀ⲉⲙⲓ ⲛ̀ⲧⲉ ⲫϯ ⲫⲓⲱⲧ ϧⲉⲛ ⲡⲓⲧⲟⲩⲃⲟ ⲛ̀ⲧⲉ ⲡⲓⲡⲛ̅ⲁ̅ ⲉⲩⲥⲱϯ ⲛⲉⲙ ⲟⲩⲛⲟⲩϫϧ ⲛ̀ⲧⲉ ⲡⲥⲛⲟϥ ⲛ̀ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡⲉⲛϭ̅ⲥ̅ ⲡϩⲙⲟⲧ ⲛⲉⲙ ϯϩⲓⲣⲏⲛⲏ ⲉⲩⲉ̀ⲁϣⲁⲓ ⲛⲱⲧⲉⲛ	 ⲕⲁⲧⲁ ⲡϣⲣⲡ̅ ⲥⲟⲟⲩⲛ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ ⲙⲛ̅ ⲡⲧⲃ̅ⲃⲟ ⲙ̅ⲡⲉⲡⲛ̅ⲁ̅ ⲉⲡⲥⲱⲧⲙ̅ ⲛ̅ⲧⲡⲓⲥⲧⲓⲥ ⲙⲛ̅ ⲡϭⲟϣϭϣ̅ ⲙ̅ⲡⲉⲥⲛⲟϥ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲙⲙⲁϣⲟ	 according to a foreknowledge of God the Father, in the sanctification of the spirit, unto a redemption and a sprinkling of (the) blood of Jesus Christ our Lord: (The) grace and the peace shall be multiplied to you.	 κατὰ πρόγνωσιν θεοῦ πατρός, ἐν ἁγιασμῷ πνεύματος, εἰς ὑπακοὴν καὶ ῥαντισμὸν αἵματος Ἰησοῦ Χριστοῦ· χάρις ὑμῖν καὶ εἰρήνη πληθυνθείη.						
First Epistle of St. Peter	1	3	 ϥⲥⲙⲁⲣⲱⲟⲩⲧ ⲛ̀ϫⲉ ⲫϯ ⲟⲩⲟϩ ⲫⲓⲱⲧ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲫⲏ ⲉⲧⲉ ⲕⲁⲧⲁ ⲡⲁϣⲁⲓ ⲛ̀ⲧⲉ ⲡⲉϥⲛⲁⲓ ⲁϥϫⲫⲟⲛ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲟⲩϩⲉⲗⲡⲓⲥ ⲛ̀ⲱⲛϧ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲧⲱⲛϥ ⲛ̀ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲏ ⲉⲑⲙⲱⲟⲩⲧ	 ϥⲥⲙⲁⲙⲁⲁⲧ ⲛ̅ϭⲓ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲁⲓ ⲛ̅ⲧⲁϥϫⲡⲟⲛ ⲕⲁⲧⲁ ⲡⲉϥⲛⲁ ⲉⲧⲛⲁϣⲱϥ ⲉϩⲟⲩⲛ ⲉⲩϩⲉⲗⲡⲓⲥ ⲉⲥⲟⲛϩ̅ ϩⲓⲧⲛ̅ ⲡⲧⲱⲟⲩⲛ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲉⲧⲙⲟⲟⲩⲧ	 Blessed is God and the Father of our Lord Jesus Christ, who according to (the) abundance of his mercy begat us into a hope of life through (the) rising of Jesus Christ from them who are dead,	 Εὐλογητὸς ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ κατὰ τὸ πολὺ αὐτοῦ ἔλεος ἀναγεννήσας ἡμᾶς εἰς ἐλπίδα ζῶσαν διʼ ἀναστάσεως Ἰησοῦ Χριστοῦ ἐκ νεκρῶν,						
First Epistle of St. Peter	1	4	 ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲟⲩⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲛ̀ⲁⲧⲧⲁⲕⲟ ⲟⲩⲟϩ ⲛ̀ⲁⲧϭⲱϧⲉⲙ ⲟⲩⲟϩ ⲛ̀ⲁⲧⲗⲱⲙ ⲉⲩⲁⲣⲉϩ ⲉⲣⲟⲥ ⲛⲱⲧⲉⲛ ϧⲉⲛ ⲛⲓⲫⲏⲟⲩⲓ	 ⲉⲩⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲛ̅ⲁⲧⲧⲁⲕⲟ ⲁⲩⲱ ⲛ̅ⲁⲧⲧⲱⲗⲙ̅ ⲉⲙⲉⲥϩⲱϭⲃ̅ ⲉⲩϩⲁⲣⲉϩ ⲉⲣⲟⲥ ⲛⲏⲧⲛ̅ ϩⲛ̅ ⲙ̅ⲡⲏⲩⲉ	 into an inheritance incorruptible and unpolluted and unfading: Kept for you in the heavens,	 εἰς κληρονομίαν ἄφθαρτον καὶ ἀμίαντον καὶ ἀμάραντον, τετηρημένην ἐν οὐρανοῖς εἰς ὑμᾶς						
First Epistle of St. Peter	1	5	 ϧⲁ ⲛⲏ ⲉⲧⲟⲩⲣⲱⲓⲥ ⲉ̀ⲣⲱⲟⲩ ϧⲉⲛ ⲟⲩϫⲟⲙ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫⲛⲁϩϯ ⲉⲩⲟⲩϫⲁⲓ ⲉϥⲥⲉⲃⲧⲱⲧ ⲉϥⲛⲁϭⲱⲣⲡ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲥⲏⲟⲩ ⲛ̀ϧⲁⲉ̀	 ⲛⲁⲓ ⲉⲧⲟⲩⲁⲣⲉϩ ⲉⲣⲟⲟⲩ ϩⲛ̅ ⲧϭⲟⲙ ⲙ̅ⲡⲛⲟⲩⲧⲉ ϩⲓⲧⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ ⲉⲡⲟⲩϫⲁⲓ ⲉⲧⲥⲉⲃⲧⲱⲧ ⲉϭⲱⲗⲡ̅ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲉⲟⲩⲟⲉⲓϣ ⲛ̅ϩⲁⲉ.	 namely they who are watched over in [a] power of God through (the) faith unto a salvation prepared, about to be revealed in the last times;	 τοὺς ἐν δυνάμει θεοῦ φρουρουμένους διὰ πίστεως εἰς σωτηρίαν ἑτοίμην ἀποκαλυφθῆναι ἐν καιρῷ ἐσχάτῳ.						
First Epistle of St. Peter	1	6	 ⲫⲏ ⲉⲧⲉⲧⲉⲛⲛⲁⲑⲉⲗⲏⲗ ⲛ̀ϧⲏⲧϥ ⲡⲣⲟⲥ ⲟⲩⲕⲟⲩϫⲓ ϯⲛⲟⲩ ⲓⲥϫⲉ ⲥϣⲉ ⲛ̀ⲧⲉⲧⲉⲛϭⲓⲙⲕⲁϩ ⲛ̀ϩⲏⲧ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϩⲁⲛⲡⲓⲣⲁⲥⲙⲟⲥ ⲛ̀ⲟⲩⲙⲏϣ ⲛ̀ⲣⲏϯ	 ⲡⲁⲓ ⲉⲧⲉⲧⲛ̅ⲧⲉⲗⲏⲗ ⲛ̅ϩⲏⲧϥ̅ ⲉⲁⲧⲉⲧⲛ̅ⲗⲩⲡⲉⲓ ⲧⲉⲛⲟⲩ ⲛ̅ⲟⲩⲕⲟⲩⲓ ⲉϣϫⲉ ϩⲁⲡⲥ̅ ⲡⲉ ϩⲣⲁⲓ ϩⲛ̅ ϩⲉⲛⲡⲉⲓⲣⲁⲥⲙⲟⲥ ⲉⲩϣⲟⲃⲉ	 that in which ye will be glad for a little (while) now: If it is right that ye should be grieved in temptations of many kinds;	 ἐν ᾧ ἀγαλλιᾶσθε, ὀλίγον ἄρτι εἰ δέον λυπηθέντες ἐν ποικίλοις πειρασμοῖς,						
First Epistle of St. Peter	1	7	 ϩⲓⲛⲁ ⲛ̀ⲧⲉ ⲑⲙⲉⲧⲥⲱⲧⲡ ⲛ̀ⲧⲉ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲛ̀ⲧⲉⲥϣⲱⲡⲓ ⲉⲥⲧⲁⲓⲏⲟⲩⲧ ⲉϩⲟⲧⲉ ⲡⲓⲛⲟⲩⲃ ⲫⲏ ⲉⲑⲛⲁⲧⲁⲕⲟ ⲉⲩⲉⲣⲇⲟⲕⲓⲙⲁⲍⲓⲛ ⲇⲉ ⲙ̀ⲙⲟϥ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲟⲩⲭⲣⲱⲙ ⲛ̀ⲧⲟⲩϫⲉⲙ ⲑⲏⲛⲟⲩ ϧⲉⲛ ⲟⲩϣⲟⲩϣⲟⲩ ⲛⲉⲙ ⲟⲩⲱⲟⲩ ⲛⲉⲙ ⲟⲩⲧⲁⲓⲟ ϧⲉⲛ ⲡⲓϭⲱⲣⲡ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ϫⲉⲕⲁⲁⲥ ⲉⲩⲉϩⲉ ⲉⲧⲙⲛ̅ⲧⲥⲱⲧⲡ ⲛ̅ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ ⲉⲥⲧⲁⲓⲏⲩ ⲉϩⲟⲩⲛ ⲉⲡⲛⲟⲩⲃ ⲉⲧⲛⲁⲧⲁⲕⲟ ⲡⲁⲓ ⲉϣⲁⲩⲇⲟⲕⲓⲙⲁⲍⲉ ⲙ̅ⲙⲟϥ ϩⲓⲧⲛ̅ ⲡⲕⲱϩⲧ̅ ⲉⲩⲧⲙⲁⲉⲓⲟ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ⲟⲩⲉⲟⲟⲩ ⲙⲛ̅ ⲟⲩⲧⲁⲓⲟ ϩⲙ̅ ⲡϭⲱⲗⲡ̅ ⲉⲃⲟⲗ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅	 that (the) choiceness of your faith may be more precious than the gold which will perish, but being proved through [a] fire; that ye may be found in [a] praise and [a] glory and [an] honour in the revelation of Jesus Christ.	 ἵνα τὸ δοκίμιον ὑμῶν τῆς πίστεως πολυτιμότερον χρυσίου τοῦ ἀπολλυμένου διὰ πυρὸς δὲ δοκιμαζομένου εὑρεθῇ εἰς ἔπαινον καὶ δόξαν καὶ τιμὴν ἐν ἀποκαλύψει Ἰησοῦ Χριστοῦ.						
First Epistle of St. Peter	1	8	 ⲫⲏ ⲉⲧⲉⲧⲉⲛⲥⲱⲟⲩⲛ ⲙ̀ⲙⲟϥ ⲁⲛ ⲧⲉⲧⲉⲛⲉⲣⲁⲅⲁⲡⲁⲛ ⲙ̀ⲙⲟϥ ⲫⲁⲓ ϯⲛⲟⲩ ⲧⲉⲧⲉⲛⲛⲁⲩ ⲉ̀ⲣⲟϥ ⲁⲛ ⲧⲉⲧⲉⲛⲛⲁϩϯ ⲇⲉ ⲉ̀ⲣⲟϥ ⲑⲉⲗⲏⲗ ϧⲉⲛ ⲟⲩⲣⲁϣⲓ ⲛ̀ⲁⲧϣⲥⲁϫⲓ ⲙ̀ⲙⲟϥ ⲉ̀ⲁϥϭⲓⲱⲟⲩ	 ⲡⲁⲓ ⲙ̅ⲡⲉⲧⲛ̅ⲛⲁⲩ ⲉⲣⲟϥ ⲉⲧⲉⲧⲛ̅ⲙⲉ ⲙ̅ⲙⲟϥ ⲁⲩⲱ ⲡⲁⲓ ⲟⲛ ⲧⲉⲛⲟⲩ ⲉⲛⲧⲉⲧⲛ̅ⲛⲁⲩ ⲉⲣⲟϥ ⲁⲛ ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲉⲩⲉ ⲇⲉ ⲉⲣⲟϥ ⲧⲉⲧⲛ̅ⲧⲉⲗⲏⲗ ϩⲉⲛ ⲟⲩⲣⲁϣⲉ ⲉϥϩⲏⲡ ⲁⲩⲱ ⲉϥⲧⲁⲓⲏⲩ	 Him whom ye know not, ye love; him now ye see not, but ye believe him. Be glad in an unspeakable joy which was glorified:	 ὃν οὐκ ἰδόντες ἀγαπᾶτε, εἰς ὃν ἄρτι μὴ ὁρῶντες πιστεύοντες δὲ ἀγαλλιᾶσθε χαρᾷ ἀνεκλαλήτῳ καὶ δεδοξασμένῃ,						
First Epistle of St. Peter	1	9	 ⲉⲣⲉⲧⲉⲛϭⲓ ⲙ̀ⲡϫⲱⲕ ⲛ̀ⲧⲉ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲫⲛⲟϩⲉⲙ ⲛ̀ⲧⲉ ⲛⲉⲧⲉⲛⲯⲩⲭⲏ	 ⲉⲧⲉⲧⲛ̅ϫⲓ ⲙ̅ⲡϫⲱⲕ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ ⲡⲟⲩϫⲁⲓ ⲛ̅ⲧⲉⲧⲙ̅ⲯⲩⲭⲏ	 receiving (the) end of your faith, (the) salvation of your souls.	 κομιζόμενοι τὸ τέλος τῆς πίστεως ὑμῶν σωτηρίαν ψυχῶν.						
