book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
First Samuel	1			ⲁ ⲃⲁⲥⲓⲗⲓⲁ. ⲧϣⲟⲣⲡ̅ ⲙ̅ⲙⲛ̅ⲧⲣ̅ⲣⲟ ⲛ̅ⲥⲁⲟⲩⲗ. ⲓ̅ⲥ̅ ⲭ̅ⲥ̅								
First Samuel	1	1		 ⲛⲉⲩⲉⲛ ⲟⲩⲣⲱⲙⲉ ⲇⲉ ⲉⲃⲟⲗ ϩⲛ̅ ⲁⲣⲓⲙⲁⲑⲁⲉⲓⲙ. ⲉⲃⲟⲗ ϩⲛ̅ ⲥⲓⲫⲁ ⲡⲧⲟⲟⲩ ⲛ̅ⲉⲫⲣⲁⲓⲙ. ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲉⲗⲅⲁⲛⲁ ⲡϣⲏⲣⲉ ⲛ̅ⲓⲉⲣⲉⲙⲓⲏⲗ ⲡϣⲏⲣⲉ ⲛ̅ϩⲏⲗⲓⲁⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲑⲟⲕⲉ ϩⲛ̅ ⲁⲥⲓⲃ ⲡⲧⲟⲟⲩ ⲛ̅ⲉⲫⲣⲁⲓⲙ.	 There was a man of Armathaim Sipha, of mount Ephraim, and his name was Helkana, a son of Jeremeel the son of Elias the son of Thoke, in Nasib Ephraim.	 Ἄνθρωπος ἦν ἐξ Αρµαθαιµ Σιφα ἐξ ὄρους Εφραιµ, καὶ ὄνοµα αὐτῷ Ελκανα υἱὸς Ιερεµεηλ υἱοῦ Ηλιου υἱοῦ Θοκε ἐν Νασιβ Εφραιµ.						
First Samuel	1	2		 ⲁⲩⲱ ⲡⲁⲓ̈ ⲛⲉⲟⲩⲉⲛⲧⲁϥ ⲙ̅ⲙⲁⲩ ⲛ̅ⲥϩⲓⲙⲉ ⲥⲛ̅ⲧⲉ. ⲡⲣⲁⲛ ⲛ̅ⲧⲟⲩⲉⲓ ⲙ̅ⲙⲟⲟⲩ ⲡⲉ ⲁⲛⲛⲁ. ⲁⲩⲱ ⲡⲣⲁⲛ ⲛ̅ⲧⲙⲉϩⲥⲛ̅ⲧⲉ ⲡⲉ ⲫⲉⲛⲁⲛⲛⲁ. ⲫⲉⲛⲁⲛⲛⲁ ⲇⲉ ⲛⲉⲟⲩⲉⲛⲧⲥ̅ ϣⲏⲣⲉ ⲙ̅ⲙⲁⲩ. ⲁⲛⲛⲁ ⲇⲉ ⲛ̅ⲧⲟⲥ. ⲛⲉⲙⲛ̅ⲧⲥ̅ ϣⲏⲣⲉ ⲙ̅ⲙⲁⲩ	 And he had two wives; the name of the one was Anna, and the name of the second Phennana. And Phennana had children, but Anna had no child.	 καὶ τούτῳ δύο γυναῖκες· ὄνοµα τῇ µιᾷ Αννα, καὶ ὄνοµα τῇ δευτέρᾳ Φεννανα· καὶ ἦν τῇ Φεννανα παιδία, καὶ τῇ Αννα οὐκ ἦν παιδίον.						
First Samuel	1	3		 ⲡⲣⲱⲙⲉ ⲇⲉ ⲉⲗⲕⲁⲛⲁ ⲉⲛⲉ ϣⲁϥⲉⲓ ⲉϩⲣⲁⲓ̈ ϩⲛ̅ ⲧⲉϥⲡⲟⲗⲓⲥ ⲁⲣⲙⲁⲑⲁⲉⲓⲙ ⲕⲁⲧⲁ ϩⲟⲟⲩ ϩⲟⲟⲩ. ⲉⲟⲩⲱϣⲧ̅. ⲁⲩⲱ ⲉⲧⲁⲗⲉ ⲑⲩⲥⲓⲁ ⲉϩⲣⲁⲓ̈ ⲙ̅ⲙⲁϩ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲥⲁⲃⲃⲁⲱⲑ ϩⲛ̅ ⲥⲏⲗⲱ. ⲁⲩⲱ ϩⲏⲗⲓ̈ ⲡⲟⲩⲏⲏⲃ ⲛⲉϥϩⲙ̅ ⲡⲙⲁ ⲉⲧⲙ̅ⲙⲁⲩ ⲙⲛ̅ ⲡⲉϥϣⲏⲣⲉ ⲥⲛⲁⲩ. ⲟⲫⲛⲏ ⲙⲛ̅ ⲫⲓⲛⲉⲉⲥ. ⲉⲩⲟ ⲛ̅ⲟⲩⲏⲏⲃ ⲙ̅ⲡϫⲟⲉⲓⲥ	 And the man went up from year to year from his city, from Armathaim, to worship and sacrifice to the Lord God of Sabaoth at Selom: and there were Heli and his two sons Ophni and Phinees, the priests of the Lord.	 καὶ ἀνέβαινεν ὁ ἄνθρωπος ἐξ ἡµερῶν εἰς ἡµέρας ἐκ πόλεως αὐτοῦ ἐξ Αρµαθαιµ προσκυνεῖν καὶ θύειν τῷ κυρίῳ θεῷ σαβαωθ εἰς Σηλω· καὶ ἐκεῖ Ηλι καὶ οἱ δύο υἱοὶ αὐτοῦ Οφνι καὶ Φινεες ἱερεῖς τοῦ κυρίου.						
First Samuel	1	4		 ⲡⲧⲱϣ ⲇⲉ ⲙ̅ⲡⲉϩⲟⲟⲩ ⲛ̅ⲧⲉⲣⲉϥϣⲱⲡⲉ ⲉⲗⲅⲁⲛⲁ ⲁϥϣⲱⲱⲧ ⲛ̅ⲧⲉϥⲑⲩⲥⲓⲁ ⲁϥϯ ⲛ̅ϩⲉⲛⲙⲉⲣⲓⲥ ⲙ̅ⲫⲉⲛⲁⲛⲛⲁ ⲧⲉϥⲥϩⲓⲙⲉ. ⲙⲛ̅ ⲛⲉϥϣⲏⲣⲉ ⲧⲏⲣⲟⲩ ⲙⲛ̅ ⲛⲉϥϣⲉⲉⲣⲉ.	 And the day came, and Helkana sacrificed, and gave portions to his wife Phennana and her children.	 καὶ ἐγενήθη ἡµέρᾳ καὶ ἔθυσεν Ελκανα καὶ ἔδωκεν τῇ Φεννανα γυναικὶ αὐτοῦ καὶ τοῖς υἱοῖς αὐτῆς καὶ ταῖς θυγατράσιν αὐτῆς µερίδας·						
First Samuel	1	5		 ⲁⲛⲛⲁ ⲇⲉ ϩⲱⲱⲥ ⲁϥϯ ⲛⲁⲥ ⲛ̅ⲟⲩⲙⲉⲣⲓⲥ ⲛ̅ⲟⲩⲱⲧ ⲕⲁⲧⲁ ⲡⲉⲥϩⲟ ϫⲉ ⲛⲉⲙⲛ̅ⲧⲥ̅ ϣⲏⲣⲉ ⲙ̅ⲙⲁⲩ. ⲉⲗⲅⲁⲛⲁ ⲇⲉ ⲛⲉϥⲙⲉ ⲛ̅ⲁⲛⲛⲁ ⲉϩⲟⲩⲉ ⲉⲫⲉⲛⲁⲛⲛⲁ ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲁϥϣⲱⲧⲙ̅ ⲉⲣⲉⲙⲡⲧⲱϣ ⲛ̅ⲧⲉⲥⲙⲏⲧⲣⲁ.	 And to Anna he gave a prime portion, because she had no child, only Helkana loved Anna more than the other; but the Lord had closed her womb.	 καὶ τῇ Αννα ἔδωκεν µερίδα µίαν, ὅτι οὐκ ἦν αὐτῇ παιδίον· πλὴν ὅτι τὴν Ανναν ἠγάπα Ελκανα ὑπὲρ ταύτην, καὶ κύριος ἀπέκλεισεν τὰ περὶ τὴν µήτραν αὐτῆς·						
First Samuel	1	6		 ⲉⲃⲟⲗ ϫⲉ ⲛ̅ⲧⲟϥ ⲡϫⲟⲉⲓⲥ ⲙ̅ⲡⲉϥϯ ϣⲏⲣⲉ ⲛⲁⲥ ⲕⲁⲧⲁ ⲡⲧⲱϣ ⲛ̅ⲧⲉⲥⲑⲗⲓⲯⲓⲥ. ⲁⲩⲱ ⲕⲁⲧⲁ ⲡⲉⲥⲟⲩⲱⲗⲥ̅ ⲛ̅ϩⲏⲧ ⲉⲧⲛ̅ⲙ̅ⲙⲁⲥ. ϩⲛ̅ ⲧⲉⲥⲑⲗⲓⲯⲓⲥ. ⲁⲩⲱ ⲛⲉⲥⲑⲗⲓⲃⲉ ⲛⲉⲥⲟⲩⲟⲗⲥ ⲛ̅ϩⲏⲧ ⲉⲧⲃⲉⲡⲁⲓ̈ ⲉⲃⲟⲗ ϫⲉ ⲁ ⲡϫⲟⲉⲓⲥ ϣⲱⲧⲙ̅. ⲉⲣⲉⲙ̅ⲡⲕⲱⲧⲉ ⲛ̅ⲧⲉⲥⲙⲏⲧⲣⲁ. ⲉⲧⲉⲙ̅ϯ ϣⲏⲣⲉ ⲛⲁⲥ.	 For the Lord gave her no child in her affliction, and according to the despondency of her affliction; and she was dispirited on this account, that the Lord shut up her womb so as not to give her a child.	 ὅτι οὐκ ἔδωκεν αὐτῇ κύριος παιδίον κατὰ τὴν θλῖψιν αὐτῆς καὶ κατὰ τὴν ἀθυµίαν τῆς θλίψεως αὐτῆς, καὶ ἠθύµει διὰ τοῦτο, ὅτι συνέκλεισεν κύριος τὰ περὶ τὴν µήτραν αὐτῆς τοῦ µὴ δοῦναι αὐτῇ παιδίον.						
First Samuel	1	7		 ⲧⲁⲓ̈ ⲅⲁⲣ ⲧⲉ ⲑⲉ ⲉⲛⲉⲥⲉⲓⲣⲉ ⲙ̅ⲙⲟⲥ ⲧⲉⲣⲟⲙⲡⲉ ϩⲙ̅ ⲡⲧⲣⲉⲥⲃⲱⲕ ⲉϩⲣⲁⲓ̈ ⲉⲡⲏⲓ̈ ⲙ̅ⲡϫⲟⲉⲓⲥ. ⲁⲩⲱ ⲛⲉⲥⲙⲟⲕϩ̅ ⲛ̅ϩⲏⲧ ⲉⲥⲣⲓⲙⲉ. ⲉⲙⲉⲥϩⲙⲟⲟⲥ ⲉϩⲣⲁⲓ̈ ⲉⲟⲩⲱⲙ	 So she did year by year, in going up to the house of the Lord; and she was dispirited, and wept, and did not eat.	 οὕτως ἐποίει ἐνιαυτὸν κατ’ ἐνιαυτὸν ἐν τῷ ἀναβαίνειν αὐτὴν εἰς οἶκον κυρίου· καὶ ἠθύµει καὶ ἔκλαιεν καὶ οὐκ ἤσθιεν.						
First Samuel	1	8		 ⲉⲗⲕⲁⲛⲁ ⲇⲉ ⲡⲉⲥϩⲁⲓ̈ ⲡⲉϫⲁϥ ⲛⲁⲥ ϫⲉ ⲁⲛⲛⲁ. ⲛ̅ⲧⲟⲥ ⲇⲉ ⲡⲉϫⲁⲥ ⲛⲁϥ. ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲁⲛⲟⲕ ⲡϫⲟⲉⲓⲥ ϯⲥⲱⲧⲙ̅ ⲉⲣⲟⲕ. ⲡⲉϫⲁϥ ⲛⲁⲥ ϫⲉ ⲁϩⲣⲟ ϩⲓ̈ⲛⲁⲓ̈ ⲧⲉⲣⲓⲙⲉ. ⲁⲩⲱ ⲁϩⲣⲟ ⲛ̅ⲧⲉⲟⲩⲱⲙ ⲁⲛ. ⲉⲣⲉ ⲡⲟⲩϩⲏⲧ ⲙⲟⲕϩ̅ ⲙ̅ⲙⲟ. ⲙⲏ ⲛⲁⲛⲟⲩⲓ̈. ⲁⲛ ⲛⲉ. ⲁⲛⲟⲕ ⲉϩⲟⲩⲉ ⲉⲙⲏⲧ ⲛ̅ϣⲏⲣⲉ.	 And Helkana her husband said to her, Anna: and she said to him, Here am I, my lord: and he said to her, What ails thee that thou weepest? and why dost thou not eat? and why does thy heart smite thee? am I not better to thee than ten children?	 καὶ εἶπεν αὐτῇ Ελκανα ὁ ἀνὴρ αὐτῆς Αννα. καὶ εἶπεν αὐτῷ Ἰδοὺ ἐγώ, κύριε. καὶ εἶπεν αὐτῇ Τί ἐστίν σοι, ὅτι κλαίεις; καὶ ἵνα τί οὐκ ἐσθίεις; καὶ ἵνα τί τύπτει σε ἡ καρδία σου; οὐκ ἀγαθὸς ἐγώ σοι ὑπὲρ δέκα τέκνα;						
First Samuel	1	9		 ⲁⲩⲱ ⲁⲥⲧⲱⲛⲥ̅. ⲙⲛ̅ⲛ̅ⲥⲁ ⲛ̅ⲥⲟⲩⲱⲙ ϩⲛ̅ ⲥⲏⲗⲱ. ⲁⲥⲁϩⲉⲣⲁⲧⲥ̅ ϩⲓ̈ⲑⲏ ⲙ̅ⲡϫⲟⲉⲓⲥ. ϩⲏⲗⲓ̈ ⲇⲉ ⲡⲟⲩⲏⲏⲃ ⲛⲉϥϩⲙⲟⲟⲥ ϩⲓ̈ϫⲛ̅ ⲧⲉⲡⲛⲏ ⲛ̅ⲛⲉⲡⲩⲗⲏ ⲙ̅ⲡⲉⲣⲡⲉ ⲙ̅ⲡϫⲟⲉⲓⲥ.	 And Anna rose up after they had eaten in Selom, and stood before the Lord: and Heli the priest was on a seat by the threshold of the temple of the Lord.	 καὶ ἀνέστη Αννα µετὰ τὸ φαγεῖν αὐτοὺς ἐν Σηλω καὶ κατέστη ἐνώπιον κυρίου, καὶ Ηλι ὁ ἱερεὺς ἐκάθητο ἐπὶ τοῦ δίφρου ἐπὶ τῶν φλιῶν ναοῦ κυρίου.						
