book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Gospel of St. John	1		ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲕⲁⲧⲁ ⲓⲱⲁⲛⲛⲏⲥ									
Gospel of St. John	1	1	 ϧⲉⲛ ⲧⲁ̀ⲣⲭⲏ ⲛⲉ ⲡⲓⲥⲁϫⲓ ⲡⲉ ⲟⲩⲟϩ ⲡⲓⲥⲁϫⲓ ⲛⲁϥⲭⲏ ϧⲁⲧⲉⲛ ⲫϯ ⲟⲩⲟϩ ⲛⲉ ⲟⲩⲛⲟⲩϯ ⲡⲉ ⲡⲓⲥⲁϫⲓ	 ϩⲛ̅ ⲧⲉϩⲟⲩⲉ᷍ⲓⲧⲉ ⲛⲉϥϣⲟⲟⲡ ⲛ̅ϭⲓ ⲡϣⲁϫⲉ ⲁⲩⲱ ⲡϣⲁϫⲉ ⲛⲉϥϣⲟⲟⲡ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲛⲉⲩⲛⲟⲩⲧⲉ ⲡⲉ ⲡϣⲁϫⲉ.	 In (the) beginning was the Word, and the Word was (imperf.) with God, and God (indef. art.) was the Word:	 Ἐν ἀρχῇ ἦν ὁ λόγος, καὶ ὁ λόγος ἦν πρὸς τὸν θεόν, καὶ θεὸς ἦν ὁ λόγος.						
Gospel of St. John	1	2	 ⲫⲁⲓ ⲉ̀ⲛⲁϥⲭⲏ ⲓⲥϫⲉⲛ ϩⲏ ϧⲁⲧⲉⲛ ⲫϯ	 ⲡⲁⲓ̈ ϩⲛ̅ ⲧⲉϩⲟⲩⲉ᷍ⲓⲧⲉ ⲛⲉϥϣⲟⲟⲡ ϩⲁⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ.	 this (one) [who?] was (imperf.) from beginning with God:	 οὗτος ἦν ἐν ἀρχῇ πρὸς τὸν θεόν.						
Gospel of St. John	1	3	 ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲁⲩϣⲱⲡⲓ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲟⲩⲟϩ ⲁⲧϭⲛⲟⲩϥ ⲙ̀ⲡⲉ ϩⲗⲓ ϣⲱⲡⲓ ϧⲉⲛ ⲫⲏ ⲉⲧⲁϥϣⲱⲡⲓ	 ⲛ̅ⲧⲁ ⲡⲧⲏⲣϥ ϣⲱⲡⲉ ⲉⲃⲟⲗ ϩⲓ̈ⲧⲟⲟⲧϥ̅ ⲁⲩⲱ ⲁϫⲛ̅ⲧϥ̅ ⲙ̅ⲡⲉ ⲗⲁⲁⲩ ϣⲱⲡⲉ ⲡⲉⲛⲧⲁϥϣⲱⲡⲉ	 all things became through him; and without him did not anything become of (lit. in) that which became:	 πάντα διʼ αὐτοῦ ἐγένετο, καὶ χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν. ὃ γέγονεν						
Gospel of St. John	1	4	 ⲛⲉ ⲡⲱⲛϧ ⲡⲉⲧⲉⲛ̀ϧⲏⲧϥ ⲟⲩⲟϩ ⲡⲱⲛϧ ⲛⲉ ⲫⲟⲩⲱⲓⲛⲓ ⲛ̀ⲛⲓⲣⲱⲙⲓ ⲡⲉ	 ϩⲣⲁⲓ̈ ⲛ̅ϩⲏⲧϥ̅ ⲡⲉ ⲡⲱⲛϩ. ⲁⲩⲱ ⲡⲱⲛϩ ⲡⲉ ⲡⲟⲩⲟⲓ̈ⲛ ⲛ̅ⲣ̅ⲣⲱⲙⲉ.	 (the) life was that [which] is in him. And (the) life was (the) light of [the] men:	 ἐν αὐτῷ ζωὴ ἦν, καὶ ἡ ζωὴ ἦν τὸ φῶς τῶν ἀνθρώπων·						
Gospel of St. John	1	5	 ⲟⲩⲟϩ ⲡⲓⲟⲩⲱⲓⲛⲓ ⲁϥⲉⲣⲟⲩⲱⲓⲛⲓ ϧⲉⲛ ⲡⲓⲭⲁⲕⲓ ⲟⲩⲟϩ ⲙ̀ⲡⲉ ⲡⲓⲭⲁⲕⲓ ⲧⲁϩⲟϥ	 ⲁⲩⲱ ⲡⲟⲩⲟⲓ̈ⲛ ϥⲣ̅ⲟⲩⲟⲓ̈ⲛ ϩⲙ̅ ⲡⲕⲁⲕⲉ ⲁⲩⲱ ⲙ̅ⲡⲉ ⲡⲕⲁⲕⲉ ⲧⲁϩⲟϥ:	 and the light gave light in the darkness, and the darkness did not apprehend it (lit. him).	 καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει, καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν.						
Gospel of St. John	1	6	 ⲁϥϣⲱⲡⲓ ⲛ̀ϫⲉ ⲟⲩⲣⲱⲙⲓ ⲉ̀ⲁⲩⲟⲩⲟⲣⲡϥ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲉ̀ⲡⲉϥⲣⲁⲛ ⲡⲉ ⲓⲱⲁⲛⲛⲏⲥ	 ⲁϥϣⲱⲡⲉ ⲛ̅ϭⲓ ⲟⲩⲣⲱⲙⲉ ⲉⲁⲩⲧⲛ̅ⲛⲟⲟⲩϥ ⲉⲃⲟⲗ ϩⲓ̈ⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲓ̈ⲱϩⲁⲛⲛⲏⲥ.	 There was (lit. became) a man sent from (lit. through) God, his name being John:	 Ἐγένετο ἄνθρωπος ἀπεσταλμένος παρὰ θεοῦ, ὄνομα αὐτῷ Ἰωάννης·						
Gospel of St. John	1	7	 ⲫⲁⲓ ⲁϥⲓ̀ ⲉⲩⲙⲉⲧⲙⲉⲑⲣⲉ ϩⲓⲛⲁ ⲛ̀ⲧⲉϥⲉⲣⲙⲉⲑⲣⲉ ϧⲁ ⲡⲓⲟⲩⲱⲓⲛⲓ ϩⲓⲛⲁ ⲛ̀ⲧⲉ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲛⲁϩϯ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ	 ⲡⲁⲓ̈ ⲁϥⲉ᷍ⲓ ⲉⲩⲙⲛ̅ⲧⲙⲛ̅ⲧⲣⲉ ϫⲉ ⲉϥⲉⲣ̅ⲙⲛ̅ⲧⲣⲉ ⲉⲧⲃⲉ ⲡⲟⲩⲟⲉⲓⲛ ϫⲉⲕⲁⲥ ⲉⲣⲉ ⲟⲩⲟⲛ ⲛⲓⲙ ⲡⲓⲥⲧⲉⲩⲉ ⲉⲃⲟⲗ ϩⲓ̈ⲧⲟⲟⲧϥ̅.	 this (one) came for a witness, that he might bear witness of the light, that all might believe through him.	 οὗτος ἦλθεν εἰς μαρτυρίαν, ἵνα μαρτυρήσῃ περὶ τοῦ φωτός, ἵνα πάντες πιστεύσωσιν διʼ αὐτοῦ.						
Gospel of St. John	1	8	 ⲛⲉ ⲛ̀ⲑⲟϥ ⲁⲛ ⲡⲉ ⲡⲓⲟⲩⲱⲓⲛⲓ ⲁⲗⲗⲁ ϩⲓⲛⲁ ⲛ̀ⲧⲉϥⲉⲣⲙⲉⲑⲣⲉ ϧⲁ ⲡⲓⲟⲩⲱⲓⲛⲓ	 ⲛⲉ ⲡⲉⲧⲙ̅ⲙⲁⲩ ⲁⲛ ⲡⲉ ⲡⲟⲩⲟⲓ̈ⲛ. ⲁⲗⲗⲁ ϫⲉⲕⲁⲥ ⲛ̅ⲧⲟϥ ⲉϥⲉⲣ̅ⲙⲛ̅ⲧⲣⲉ ⲉⲧⲃⲉ ⲡⲟⲩⲟⲓ̈ⲛ.	 He was not the light, but (came) that he might bear witness of the light.	 οὐκ ἦν ἐκεῖνος τὸ φῶς, ἀλλʼ ἵνα μαρτυρήσῃ περὶ τοῦ φωτός.						
Gospel of St. John	1	9	 ⲛⲁϥϣⲟⲡ ⲛ̀ϫⲉ ⲡⲓⲟⲩⲱⲓⲛⲓ ⲛ̀ⲧⲁⲫⲙⲏⲓ ⲫⲏ ⲉⲧⲉⲣⲟⲩⲱⲓⲛⲓ ⲉ̀ⲣⲱⲙⲓ ⲛⲓⲃⲉⲛ ⲉⲑⲛⲏⲟⲩ ⲉ̀ⲡⲓⲕⲟⲥⲙⲟⲥ	 ⲡⲟⲩⲟⲓ̈ⲛ ⲙ̅ⲙⲉ᷍ⲉ ⲉⲧⲣ̅ⲟⲩⲟⲓ̈ⲛ ⲉⲣⲱⲙⲉ ⲛⲓⲙ ⲡⲉ ⲉϥⲛⲏⲩ ⲉⲡⲕⲟⲥⲙⲟⲥ.	 There was becoming the true light--that which giveth light to every man who cometh to the world.	 ἦν τὸ φῶς τὸ ἀληθινὸν ὃ φωτίζει πάντα ἄνθρωπον ἐρχόμενον εἰς τὸν κόσμον.						
