book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Isaiah	1	1	 ϯϩⲟⲣⲁⲥⲓⲥ ⲉⲧⲁϥⲛⲁⲩ ⲉ̀ⲣⲟⲥ ⲛ̀ϫⲉ ⲏⲥⲁⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲙⲱⲥ ⲑⲏ ⲉⲧⲁϥⲛⲁⲩ ⲉ̀ⲣⲟⲥ ϧⲁ ϯⲓⲟⲩⲇⲉⲁ ⲛⲉⲙ ϧⲁ ⲓⲗ̅ⲏ̅ⲙ̅ ϧⲉⲛ ⲑⲙⲉⲧⲟⲩⲣⲟ ⲛ̀ⲟⲥⲓⲁⲥ ⲛⲉⲙ ⲓⲱⲁⲑⲁⲙ ⲛⲉⲙ ⲁⲭⲁⲥ ⲛⲉⲙ ⲉⲍⲉⲕⲓⲁⲥ ⲛⲏ ⲉⲧⲁⲩⲉⲣⲟⲩⲣⲟ ϧⲉⲛ ϯⲓⲟⲩⲇⲉⲁ		 The vision which Esaias the son of Amos saw, which he saw against Juda, and against Jerusalem, in the reign of Ozias, and Joatham, and Achaz, and Ezekias, who reigned over Judea.	 Ὅρασις, ἣν εἶδεν Ησαιας υἱὸς Αµως, ἣν εἶδεν κατὰ τῆς Ιουδαίας καὶ κατὰ Ιερουσαληµ ἐν βασιλείᾳ Οζιου καὶ Ιωαθαµ καὶ Αχαζ καὶ Εζεκιου, οἳ ἐβασίλευσαν τῆς Ιουδαίας.						
Isaiah	1	2	 ⲥⲱⲧⲉⲙ ⲧⲫⲉ ⲟⲩⲟϩ ϭⲓⲥⲙⲏ ⲡⲕⲁϩⲓ ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲉⲧⲁϥⲥⲁϫⲓ ϩⲁⲛϣⲏⲣⲓ ⲁⲓϫⲫⲱⲟⲩ ⲟⲩⲟϩ ⲁⲓϭⲁⲥⲟⲩ ⲛ̀ⲑⲱⲟⲩ ⲇⲉ ⲁⲩⲉⲣⲁⲑⲉⲧⲓⲛ ⲙ̀ⲙⲟⲓ		 Hear, O heaven, and hearken, O earth: for the Lord has spoken, saying, I have begotten and reared up children, but they have rebelled against me.	 Ἄκουε, οὐρανέ, καὶ ἐνωτίζου, γῆ, ὅτι κύριος ἐλάλησεν· υἱοὺς ἐγέννησα καὶ ὕψωσα, αὐτοὶ δέ µε ἠθέτησαν.						
Isaiah	1	3	 ⲁ ⲟⲩⲉϩⲉ ⲥⲟⲩⲉⲛ ⲫⲏ ⲉⲧⲁϥϣⲟⲡϥ ⲟⲩⲟϩ ⲟⲩⲉⲱ ⲁϥⲥⲟⲩⲉⲛ ⲫⲟⲩⲟⲛϩϥ ⲛ̀ⲧⲉ ⲡⲉϥϭ̅ⲥ̅ ⲡⲓⲥ̅ⲗ̅ ⲇⲉ ⲙ̀ⲡⲉϥⲥⲱⲟⲩⲛⲧ ⲟⲩⲟϩ ⲡⲁⲗⲁⲟⲥ ⲙ̀ⲡⲉϥⲕⲁϯ ⲉ̀ⲣⲟⲓ		 The ox knows his owner, and the ass his master’s crib: but Israel does not know me, and the people has not regarded me.	 ἔγνω βοῦς τὸν κτησάµενον καὶ ὄνος τὴν φάτνην τοῦ κυρίου αὐτοῦ· Ισραηλ δέ µε οὐκ ἔγνω, καὶ ὁ λαός µε οὐ συνῆκεν.						
Isaiah	1	4	 ⲟⲩⲟⲓ ⲙ̀ⲡⲓϣⲗⲟⲗ ⲛ̀ⲣⲉϥⲉⲣⲛⲟⲃⲓ ⲡⲓⲗⲁⲟⲥ ⲉⲑⲙⲉϩ ⲛ̀ⲁⲙⲁⲣⲧⲓⲁ ⲡϫⲣⲟϫ ⲙ̀ⲡⲟⲛⲏⲣⲟⲛ ⲛⲓϣⲏⲣⲓ ⲛ̀ⲁⲛⲟⲙⲟⲥ ⲁⲣⲉⲧⲉⲛⲭⲁ ⲡϭ̅ⲥ̅ ⲛ̀ⲥⲁ ⲑⲏⲛⲟⲩ ⲡⲉⲑⲟⲩⲁⲃ ⲛ̀ⲧⲉ ⲡⲓⲥ̅ⲗ̅ ⲁⲣⲉⲧⲉⲛϯϫⲱⲛⲧ ⲛⲁϥ		 Ah sinful nation, a people full of sins, an evil seed, lawless children: ye have forsaken the Lord, and provoked the Holy One of Israel.	 οὐαὶ ἔθνος ἁµαρτωλόν, λαὸς πλήρης ἁµαρτιῶν, σπέρµα πονηρόν, υἱοὶ ἄνοµοι· ἐγκατελίπατε τὸν κύριον καὶ παρωργίσατε τὸν ἅγιον τοῦ Ισραηλ.						
Isaiah	1	5	 ⲟⲩⲟⲛ ⲛ̀ⲉⲣϧⲟⲧ ⲉⲧⲉⲧⲉⲛⲛⲁϭⲓⲧϥ ⲉⲣⲉⲧⲉⲛⲧⲟⲩϩⲉ ⲁⲛⲟⲙⲓⲁ ⲉ̀ϫⲉⲛ ⲁⲛⲟⲙⲓⲁ ⲁⲫⲉ ⲛⲓⲃⲉⲛ ⲉ̀ⲡⲉⲙⲕⲁϩ ⲟⲩⲟϩ ϩⲏⲧ ⲛⲓⲃⲉⲛ ⲉ̀ⲡⲉⲙⲕⲁϩ ⲛ̀ϩⲏⲧ		 Why should ye be smitten any more, transgressing more and more? the whole head is pained, and the whole heart sad.	 τί ἔτι πληγῆτε προστιθέντες ἀνοµίαν; πᾶσα κεφαλὴ εἰς πόνον καὶ πᾶσα καρδία εἰς λύπην.						
Isaiah	1	6	 ⲓⲥϫⲉⲛ ⲛⲓϭⲁⲗⲁⲩϫ ϣⲁ ⲟⲩⲁⲫⲉ ⲛ̀ⲟⲩⲫⲱⲗϩ ⲁⲛ ⲡⲉ ⲟⲩⲇⲉ ⲟⲩⲗⲉⲭⲏⲙⲓ ⲁⲛ ⲡⲉ ⲟⲩⲇⲉ ⲟⲩⲉⲣϧⲟⲧ ⲁⲛ ⲡⲉ ⲉⲧϧⲙⲟⲙ ⲙ̀ⲙⲟⲛ ⲙⲁⲗⲁⲭⲙⲁ ⲉ̀ⲧⲏⲓϥ ⲉ̀ⲣⲟϥ ⲟⲩⲇⲉ ⲟⲩⲛⲉϩ ⲟⲩⲇⲉ ⲟⲩⲙⲟⲩⲣ		 From the feet to the head, there is no soundness in them; neither wound, nor bruise, nor festering ulcer are healed: it is not possible to apply a plaister, nor oil, nor bandages.	 ἀπὸ ποδῶν ἕως κεφαλῆς οὔτε τραῦµα οὔτε µώλωψ οὔτε πληγὴ φλεγµαίνουσα, οὐκ ἔστιν µάλαγµα ἐπιθεῖναι οὔτε ἔλαιον οὔτε καταδέσµους.						
Isaiah	1	7	 ⲡⲉⲧⲉⲛⲕⲁϩⲓ ⲉϥⲉ̀ϣⲱϥ ⲛⲉⲧⲉⲛⲭⲱⲣⲁ ⲉⲩⲉ̀ⲟⲩⲟⲙⲟⲩ ⲙ̀ⲡⲉⲧⲉⲛⲙ̀ⲑⲟ ⲉ̀ⲃⲟⲗ ⲛⲉⲧⲉⲛⲃⲁⲕⲓ ⲉⲩⲉ̀ⲣⲟⲕϩⲟⲩ ϧⲉⲛ ⲡⲓⲭⲣⲱⲙ ⲁⲥϣⲱϥ ⲟⲩⲟϩ ⲁⲥⲟⲩⲱϫⲡ ⲛ̀ⲧⲉ ϩⲁⲛⲗⲁⲟⲥ ⲛ̀ϣⲉⲙⲙⲟ		 Your land is desolate, your cities burned with fire: your land, strangers devour it in your presence, and it is made desolate, overthrown by strange nations.	 ἡ γῆ ὑµῶν ἔρηµος, αἱ πόλεις ὑµῶν πυρίκαυστοι· τὴν χώραν ὑµῶν ἐνώπιον ὑµῶν ἀλλότριοι κατεσθίουσιν αὐτήν, καὶ ἠρήµωται κατεστραµµένη ὑπὸ λαῶν ἀλλοτρίων.						
Isaiah	1	8	 ⲉⲩⲉ̀ⲥⲱϫⲡ ⲛ̀ⲧϣⲉⲣⲓ ⲛ̀ⲥⲓⲱⲛ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲟⲩⲙⲁⲛ̀ⲁⲣⲉϩ ⲛ̀ϫⲓϫⲓ ϧⲉⲛ ⲟⲩⲃⲟⲛϯ ⲛⲉⲙ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲟⲩⲥⲕⲩⲛⲏ ϧⲉⲛ ⲟⲩⲓⲁϩⲁⲗⲟⲗⲓ ⲛⲉⲙ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲟⲩⲃⲁⲕⲓ ⲉⲩϣⲱⲗ ⲙ̀ⲙⲟⲥ		 The daughter of Sion shall be deserted as a tent in a vineyard, and as a storehouse of fruits in a garden of cucumbers, as a besieged city.	 ἐγκαταλειφθήσεται ἡ θυγάτηρ Σιων ὡς σκηνὴ ἐν ἀµπελῶνι καὶ ὡς ὀπωροφυλάκιον ἐν σικυηράτῳ, ὡς πόλις πολιορκουµένη·						
Isaiah	1	9	 ⲉⲃⲏⲗ ϫⲉ ⲁ ⲡϭ̅ⲥ̅ ⲥⲁⲃⲁⲱⲑ ⲥⲱϫⲡ ⲛⲁⲛ ⲛ̀ⲟⲩϫⲣⲟϫ ⲛⲉⲓⲉⲑⲛⲉⲓ ⲡⲉ. ⲁⲛⲉⲣ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲥⲟⲇⲟⲙⲁ ⲟⲩⲟϩ ⲁⲛⲓⲛⲓ ⲛ̀ⲅⲟⲙⲟⲣⲣⲁ ⲡⲉ		 And if the Lord of Sabaoth had not left us a seed, we should have been as Sodom, and we should have been made like Gomorrha.	 καὶ εἰ µὴ κύριος σαβαωθ ἐγκατέλιπεν ἡµῖν σπέρµα, ὡς Σοδοµα ἂν ἐγενήθηµεν καὶ ὡς Γοµορρα ἂν ὡµοιώθηµεν.						
Isaiah	1	10	 ⲥⲱⲧⲉⲙ ⲉ̀ⲡⲥⲁϫⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲛⲓⲁⲣⲭⲱⲛ ⲛ̀ⲧⲉ ⲥⲟⲇⲟⲙⲁ ⲙⲁϩⲑⲏⲧⲉⲛ ⲉ̀ⲫⲛⲟⲙⲟⲥ ⲙ̀ⲫϯ. ⲫⲗⲁⲟⲥ ⲛ̀ⲅⲟⲙⲟⲣⲣⲁ		 Hear the word of the Lord, ye rulers of Sodoma; attend to the law of God, thou people of Gomorrha.	 Ἀκούσατε λόγον κυρίου, ἄρχοντες Σοδοµων· προσέχετε νόµον θεοῦ, λαὸς Γοµορρας.						
