book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Jeremiah	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲓⲉⲣⲉⲙⲓⲁⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Jeremiah	1	1	 ⲡⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲫϯ ⲉⲧⲁϥϣⲱⲡⲓ ϩⲁ ⲓⲉⲣⲉⲙⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲭⲉⲗⲕⲓⲁⲥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲟⲩⲏⲃ ⲫⲏ ⲉ̀ⲛⲁϥϣⲟⲡ ϧⲉⲛ ϩⲁⲛⲁⲑⲱⲑ ϧⲉⲛ ⲡⲕⲁϩⲓ ⲙ̀ⲃⲉⲛⲓⲁⲙⲓⲛ.		 The word of God which came to Jeremias the son of Chelcias, of the priests, who dwelt in Anathoth in the land of Benjamin:	 Τὸ ῥῆµα τοῦ θεοῦ, ὃ ἐγένετο ἐπὶ Ιερεµιαν τὸν τοῦ Χελκιου ἐκ τῶν ἱερέων, ὃς κατῴκει ἐν Αναθωθ ἐν γῇ Βενιαµιν·						
Jeremiah	1	2	 ⲫⲏ ⲉⲧⲁ ⲡⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲫϯ ϣⲱⲡⲓ ϩⲁⲣⲟϥ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲓⲱⲥⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ϩⲁⲙⲱⲥ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ ϧⲉⲛ ϯⲙⲁϩⲓ̅ⲅ̅ ⲛ̀ⲣⲟⲙⲡⲓ ϧⲉⲛ ⲧⲉϥⲙⲉⲧⲟⲩⲣⲟ		 accordingly as the word of God came to him in the days of Josias son of Amos king of Juda, in the thirteenth year of his reign.	 ὃς ἐγενήθη λόγος τοῦ θεοῦ πρὸς αὐτὸν ἐν ταῖς ἡµέραις Ιωσια υἱοῦ Αµως βασιλέως Ιουδα ἔτους τρισκαιδεκάτου ἐν τῇ βασιλείᾳ αὐτοῦ·						
Jeremiah	1	3	 ⲁⲥϣⲱⲡⲓ ⲇⲉ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲓⲱⲁⲕⲓⲙ ⲡϣⲏⲣⲓ ⲛ̀ⲓⲱⲥⲓⲁⲥ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ ϣⲁ ϯⲙⲁϩⲓ̅ⲁ̅ ⲛ̀ⲣⲟⲙⲡⲓ ⲛ̀ⲧⲉ ⲥⲟⲇⲟⲕⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲓⲱⲥⲓⲁⲥ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ. ϣⲁ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϯⲉⲭⲙⲁⲗⲱⲥⲓⲁ ⲛ̀ⲧⲉ ⲓⲗ̅ⲏ̅ⲙ̅. ϧⲉⲛ ⲡⲓⲁⲃⲟⲧ ⲙ̀ⲙⲁϩⲉ̅.		 And it was in the days of Joakim, son of Josias king of Juda, until the eleventh year of Sedekias king of Juda, even until the captivity of Jerusalem in the fifth month.	 καὶ ἐγένετο ἐν ταῖς ἡµέραις Ιωακιµ υἱοῦ Ιωσια βασιλέως Ιουδα ἕως ἑνδεκάτου ἔτους Σεδεκια υἱοῦ Ιωσια βασιλέως Ιουδα ἕως τῆς αἰχµαλωσίας Ιερουσαληµ ἐν τῷ πέµπτῳ µηνί.						
Jeremiah	1	4	 ⲟⲩⲟϩ ⲁ ⲡⲥⲁϫⲓ ⲙ̀ⲡϭ̅ⲥ̅ ϣⲱⲡⲓ ϩⲁⲣⲟⲓ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ.		 And the word of the Lord came to him, saying,	 Καὶ ἐγένετο λόγος κυρίου πρός µε λέγων						
Jeremiah	1	5	 ϫⲉ ⲙ̀ⲡⲁⲙⲟⲛⲕ ⲉ̀ⲣⲟⲕ ϧⲉⲛ ⲑⲛⲉϫⲓ ϯⲥⲱⲟⲩⲛ ⲙ̀ⲙⲟⲕ. ⲟⲩⲟϩ ⲙ̀ⲡⲁⲧⲉⲕⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲧⲟϯ ⲁⲓⲧⲟⲩⲃⲟⲕ. ⲁⲓⲭⲁⲕ ⲛ̀ⲟⲩⲡⲣⲟⲫⲏⲧⲏⲥ ⲛ̀ⲛⲓⲉⲑⲛⲟⲥ.		 Before I formed thee in the belly, I knew thee; and before thou camest forth from the womb, I sanctified thee; I appointed thee a prophet to the nations.	 Πρὸ τοῦ µε πλάσαι σε ἐν κοιλίᾳ ἐπίσταµαί σε καὶ πρὸ τοῦ σε ἐξελθεῖν ἐκ µήτρας ἡγίακά σε, προφήτην εἰς ἔθνη τέθεικά σε.						
Jeremiah	1	6	 ⲟⲩⲟϩ ⲡⲉϫⲏⲓ ϫⲉ ⲟⲩ ⲡⲉⲧϣⲟⲡ ⲡⲁⲛⲏⲃ. ϩⲏⲡⲡⲉ ⲛ̀ϯϫⲉⲙϫⲟⲙ ⲉⲥⲁϫⲓ ⲁⲛ. ϫⲉ ⲁ̀ⲛⲟⲕ ⲟⲩⲁⲗⲟⲩ.		 And I said, O Lord, thou that art supreme Lord, behold, I know not how to speak, for I am a child.	 καὶ εἶπα Ὦ δέσποτα κύριε, ἰδοὺ οὐκ ἐπίσταµαι λαλεῖν, ὅτι νεώτερος ἐγώ εἰµι.						
Jeremiah	1	7	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ϫⲉ ⲙ̀ⲡⲉⲣϫⲟⲥ. ϫⲉ ⲁ̀ⲛⲟⲕ ⲟⲩⲁⲗⲟⲩ ϫⲉ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉ̀ϯⲛⲁⲟⲩⲟⲣⲡⲕ ϩⲁⲣⲱⲟⲩ ⲉⲕⲉ̀ϣⲉ ⲛⲁⲕ ϩⲁⲣⲱⲟⲩ. ⲟⲩⲟϩ ⲕⲁⲧⲁ ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲉ̀ϯⲛⲁϩⲉⲛϩⲱⲛⲕ ⲉ̀ⲣⲱⲟⲩ ⲉⲕⲉ̀ⲥⲁϫⲓ ⲙ̀ⲙⲱⲟⲩ		 And the Lord said to me, Say not, I am a child: for thou shalt go to all to whomsoever I shall send thee, and according to all the words that I shall command thee, thou shalt speak.	 καὶ εἶπεν κύριος πρός µε Μὴ λέγε ὅτι Νεώτερος ἐγώ εἰµι, ὅτι πρὸς πάντας, οὓς ἐὰν ἐξαποστείλω σε, πορεύσῃ, καὶ κατὰ πάντα, ὅσα ἐὰν ἐντείλωµαί σοι, λαλήσεις·						
Jeremiah	1	8	 ⲙ̀ⲡⲉⲣⲉⲣϩⲟϯ ⲉ̀ⲃⲟⲗ ϩⲁ ⲡⲟⲩϩⲟ. ϫⲉ ϯϣⲟⲡ ⲛⲉⲙⲁⲕ. ⲁ̀ⲛⲟⲕ ⲉ̀ⲫⲛⲁϩⲙⲉⲕ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅.		 Be not afraid before them: for I am with thee to deliver thee, saith the Lord.	 µὴ φοβηθῇς ἀπὸ προσώπου αὐτῶν, ὅτι µετὰ σοῦ ἐγώ εἰµι τοῦ ἐξαιρεῖσθαί σε, λέγει κύριος.						
Jeremiah	1	9	 ⲟⲩⲟϩ ⲁ ⲡϭ̅ⲥ̅ ⲥⲟⲩⲧⲉⲛ ⲧⲉϥϫⲓϫ ⲉ̀ⲃⲟⲗ ⲉ̀ⲣⲟⲓ. ⲟⲩⲟϩ ⲁϥϭⲓⲛⲉⲙ ⲣⲱⲓ. ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲛⲏⲓ. ϫⲉ ϩⲏⲡⲡⲉ ⲁⲓϯ ⲛ̀ⲛⲁⲥⲁϫⲓ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲣⲱⲕ		 And the Lord stretched forth his hand to me, and touched my mouth: and the Lord said to me, Behold, I have put my words into thy mouth.	 καὶ ἐξέτεινεν κύριος τὴν χεῖρα αὐτοῦ πρός µε καὶ ἥψατο τοῦ στόµατός µου, καὶ εἶπεν κύριος πρός µε Ἰδοὺ δέδωκα τοὺς λόγους µου εἰς τὸ στόµα σου·						
