book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Judges	1	1	 	 ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲙⲛ̅ⲛ̅ⲥⲁ ⲧⲣⲉ ⲓ̈ⲏⲥⲟⲩⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲛⲁⲩⲏ ⲙⲟⲩ ⲛ̅ϣⲏⲣⲉ ⲙ̅ⲡⲓⲥⲣⲁⲏⲗ ⲁⲩϫⲛⲟⲩ ⲡϫⲟⲉⲓⲥ ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ ϫⲉ ⲛⲓⲙ ⲡⲉⲧⲛⲁⲙⲟⲟϣⲉ ϩⲓϩⲏ ⲙ̅ⲙⲟⲛ ⲉⲣⲁⲧⲟⲩ ⲛ̅ⲛⲉⲭⲁⲛⲁⲛⲁⲓⲟⲥ ⲉⲙⲓϣⲉ ⲛⲙ̅ⲙⲁⲩ	 And it came to pass after the death of Joshua, that the children of Israel enquired of the Lord, saying, Who shall go up for us first against the Chananites, to fight against them?	 Καὶ ἐγένετο µετὰ τὴν τελευτὴν Ἰησοῦ καὶ ἐπηρώτων οἱ υἱοὶ Ισραηλ ἐν κυρίῳ λέγοντες Τίς ἀναβήσεται ἡµῖν πρὸς τὸν Χαναναῖον ἀφηγούµενος τοῦ πολεµῆσαι ἐν αὐτῷ;						
Judges	1	2	 	 ⲡⲉϫⲉ ⲡϫⲟⲉⲓⲥ ⲛⲁⲩ ϫⲉ ⲓ̈ⲟⲩⲇⲁⲥ ⲡⲉ ⲡⲉⲧⲛⲁⲙⲟⲟϣⲉ ϩⲓϩⲏ ⲙ̅ⲙⲱⲧⲛ̅ ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲁⲓ̈ϯ ⲙ̅ⲡⲕⲁϩ ⲉϩⲣⲁⲓ̈ ⲉⲧⲟⲟⲧϥ̅ ⲁⲩⲱ	 And the Lord said, Judas shall go up: behold, I have delivered the land into his hand.	 καὶ εἶπεν κύριος Ιουδας ἀναβήσεται, ἰδοὺ δέδωκα τὴν γῆν ἐν χειρὶ αὐτοῦ.						
Judges	1	3	 	 ⲡⲉϫⲉ ⲓ̈ⲟⲩⲇⲁⲥ ⲛ̅ⲥⲩⲙⲉⲱⲛ ⲡⲉϥⲥⲟⲛ ϫⲉ ⲁⲙⲟⲩ ⲉϩⲣⲁⲓ̈ ⲛⲙ̅ⲙⲁⲓ̈ ϩⲙ̅ ⲡⲁⲕⲗⲏⲣⲟⲥ ⲛ̅ⲧⲛ̅ⲙⲓϣⲉ ⲙⲛ̅ ⲛⲉⲭⲁⲛⲁⲛⲁⲓⲟⲥ ⲁⲩⲱ ϯⲛⲁⲉⲓ ⲛⲙ̅ⲙⲁⲕ ϩⲣⲁⲓ̈ ϩⲙ̅ ⲡⲉⲕⲕⲗⲏⲣⲟⲥ ⲁ ⲥⲩⲙⲉⲱⲛ ⲃⲱⲕ ⲛⲙ̅ⲙⲁϥ	 And Judas said to his brother Symeon, Come up with me into my lot, and let us array ourselves against the Chananites, and I also will go with thee into thy lot: and Symeon went with him.	 καὶ εἶπεν Ιουδας πρὸς Συµεων τὸν ἀδελφὸν αὐτοῦ Ἀνάβηθι µετ’ ἐµοῦ ἐν τῷ κλήρῳ µου, καὶ πολεµήσωµεν ἐν τῷ Χαναναίῳ, καὶ πορεύσοµαι καί γε ἐγὼ µετὰ σοῦ ἐν τῷ κλήρῳ σου. καὶ ἐπορεύθη µετ’ αὐτοῦ Συµεων.						
Judges	1	4	 	 ⲓ̈ⲟⲩⲇⲁⲥ ⲇⲉ ⲁϥⲃⲱⲕ ⲛⲙ̅ⲙⲁϥ ⲉϩⲣⲁⲓ̈ ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲙ̅ⲡⲓⲥⲣⲁⲏⲗ ⲁϥϯ ⲙ̅ⲡⲉⲭⲁⲛⲁⲛⲁⲓⲟⲥ ⲙⲛ̅ ⲡⲉⲫⲉⲣⲉⲍⲁⲓⲟⲥ ⲉϩⲣⲁⲓ̈ ⲉⲧⲟⲟⲧⲟⲩ ⲁⲩϩⲱⲧⲃ̅ ⲙ̅ⲙⲟⲟⲩ ϩⲛ̅ ⲃⲉⲍⲉⲕ ⲉⲩⲛⲁⲣ̅ ⲟⲩⲧⲃⲁ ⲛ̅ⲣⲱⲙⲉ	 And Judas went up; and the Lord delivered the Chananite and the Pherezite into their hands, and they smote them in Bezek to the number of ten thousand men.	 καὶ ἀνέβη Ιουδας, καὶ ἔδωκεν κύριος τὸν Χαναναῖον καὶ τὸν Φερεζαῖον ἐν χειρὶ αὐτοῦ, καὶ ἐπάταξεν αὐτοὺς ἐν Βεζεκ, δέκα χιλιάδας ἀνδρῶν,						
Judges	1	5	 	 ⲁⲩⲱ ⲁⲩⲧⲁϩⲉ ⲁⲇⲱⲛⲓⲃⲉⲍⲉⲕ ⲁⲩ[...] ϩⲣⲁⲓ̈ ϩⲛ̅ ⲃⲉⲍⲉⲕ ⲁⲩϩⲱⲧⲃ̅ ⲇⲉ ⲙ̅ⲡⲉⲭⲁⲛⲁⲛⲁⲓⲟⲥ ⲙⲛ̅ ⲡⲉⲫⲉⲣⲉⲍⲁⲓⲟⲥ	 And they overtook Adonibezek in Bezek, and fought against him; and they smote the Chananite and the Pherezite.	 καὶ εὗρον τὸν Αδωνιβεζεκ ἐν Βεζεκ καὶ ἐπολέµησαν ἐν αὐτῷ καὶ ἐπάταξαν τὸν Χαναναῖον καὶ τὸν Φερεζαῖον.						
Judges	1	6	 	 ⲁⲩⲱ ⲁϥⲡⲱⲧ ⲛ̅ϭⲓ ⲁⲇⲱⲛⲓⲃⲉⲍⲉⲕ ⲁⲩⲡⲱⲧ ⲛ̅ⲥⲱϥ ⲁⲩⲧⲁϩⲟϥ ⲁⲩϣⲱⲱⲧ ⲛ̅ϩⲧⲏⲩ ⲛ̅ⲛⲉϥϭⲓϫ ⲙⲛ̅ ϩⲧⲏⲩ ⲛ̅ⲛⲉϥⲟⲩⲉⲣⲏⲧⲉ	 And Adonibezek fled, and they pursued after him, and took him, and cut off his thumbs and his great toes.	 καὶ ἔφυγεν Αδωνιβεζεκ, καὶ κατεδίωξαν ὀπίσω αὐτοῦ καὶ ἔλαβον αὐτὸν καὶ ἀπέκοψαν τὰ ἄκρα τῶν χειρῶν αὐτοῦ καὶ τῶν ποδῶν αὐτοῦ.						
Judges	1	7	 	 ⲡⲉϫⲉ ⲁⲇⲱⲛⲓⲃⲉⲍⲉⲕ ϫⲉ ϣⲃⲉ ⲛ̅ⲣ̅ⲣⲟ ⲉⲣⲉϩⲧⲏⲩ ⲛ̅ⲛⲉⲩϭⲓϫ ⲙⲛ̅ ⲛⲉⲩⲟⲩⲉⲣⲏⲧⲉ ⲥⲟⲗⲡ̅ ⲉⲃⲟⲗ ⲉⲩⲕⲱⲧϥ̅ ⲛ̅ⲛⲉⲧ ϩⲁⲣⲟⲥ ⲛ̅ⲧⲁⲧⲣⲁⲡⲉⲍⲁ ⲕⲁⲧⲁ ⲑⲉ ϭⲉ ⲉⲛⲧⲁⲓ̈ⲁⲁⲥ ⲛⲁⲩ ⲧⲁⲓ ⲧⲉ ⲑⲉ ⲉⲛⲧⲁ ⲡⲛⲟⲩⲧⲉ ⲧⲱⲱⲃⲉ ⲛⲁⲓ̈ ⲁⲩⲱ ⲁⲩⲛ̅ⲧϥ̅ ⲉϩⲣⲁⲓ̈ ⲉⲑⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲁϥⲙⲟⲩ ⲙ̅ⲡⲙⲁ ⲉⲧⲙ̅ⲙⲁⲩ	 And Adonibezek said, Seventy kings, having their thumbs and their great toes cut off, gathered their food under my table: as I therefore have done, so God has recompensed me: and they brought him to Jerusalem, and he died there.	 καὶ εἶπεν Αδωνιβεζεκ Ἑβδοµήκοντα βασιλεῖς τὰ ἄκρα τῶν χειρῶν αὐτῶν καὶ τῶν ποδῶν αὐτῶν ἀποκεκοµµένοι ἦσαν συλλέγοντες τὰ ὑποκάτω τῆς τραπέζης µου· καθὼς οὖν ἐποίησα, οὕτως ἀνταπέδωκέν µοι ὁ θεός. καὶ ἤγαγον αὐτὸν εἰς Ιερουσαληµ, καὶ ἀπέθανεν ἐκεῖ.						
Judges	1	8	 	 ⲁⲩⲱ ⲛ̅ϣⲏⲣⲉ ⲛ̅ⲓ̈ⲟⲩⲇⲁⲥ ⲁⲩⲙⲓϣⲉ ⲙⲛ̅ ⲑⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲁⲩⲙⲓϣⲉ ⲛⲙ̅ⲙⲁⲥ ⲁⲩϫⲓⲧⲥ̅ ⲁⲩⲡⲁⲧⲁⲥⲥⲉ ⲙ̅ⲙⲟⲥ ϩⲛ̅ ⲟⲩⲧⲁⲡⲣⲟ ⲛ̅ⲥⲏϥⲉ ⲁⲩⲱ ⲧⲡⲟⲗⲓⲥ ⲁⲩⲣⲟⲕϩⲥ̅ ϩⲛ̅ ⲟⲩⲥⲁⲧⲉ	 And the children of Judas fought against Jerusalem, and took it, and smote with the edge of the sword, and they burnt the city with fire.	 Καὶ ἐπολέµησαν οἱ υἱοὶ Ιουδα ἐν Ιερουσαληµ καὶ κατελάβοντο αὐτὴν καὶ ἐπάταξαν αὐτὴν ἐν στόµατι ῥοµφαίας καὶ τὴν πόλιν ἐνέπρησαν ἐν πυρί.						
Judges	1	9	 	 ⲙⲛ̅ⲛ̅ⲥⲁ ⲛⲁⲓ̈ ⲇⲉ ⲁⲩⲉⲓ ⲉϩⲣⲁⲓ̈ ⲛ̅ϭⲓ ⲛ̅ϣⲏⲣⲉ ⲛ̅ⲓ̈ⲟⲩⲇⲁⲥ ⲉⲙⲓϣⲉ ⲙⲛ̅ ⲡⲉⲭⲁⲛⲁⲛⲁⲓⲟⲥ ⲡⲉⲧⲟⲩⲏϩ ϩⲛ̅ ⲧⲟⲣⲓⲛⲏ ⲙⲛ̅ ⲡⲥⲁ ⲙ̅ⲡⲣⲏⲥ ⲙⲛ̅ ⲧⲡⲉⲇⲓⲛⲏ ⲉⲧⲉ ⲡⲕⲁϩ ⲡⲉ ⲉⲧϩⲓ ⲡⲓϭⲟⲛ	 And afterwards the children of Judas went down to fight with the Chananite dwelling in the hill country, and the south, and the plain country.	 καὶ µετὰ ταῦτα κατέβησαν οἱ υἱοὶ Ιουδα πολεµῆσαι ἐν τῷ Χαναναίῳ τῷ κατοικοῦντι τὴν ὀρεινὴν καὶ τὸν νότον καὶ τὴν πεδινήν.						
Judges	1	10	 	 ⲁⲩⲱ ⲓ̈ⲟⲩⲇⲁⲥ ⲁϥⲃⲱⲕ ⲉⲣⲁⲧϥ̅ ⲙ̅ⲡⲉⲭⲁⲛⲁⲛⲁⲓⲟⲥ ⲡⲉⲧⲟⲩⲏϩ ϩⲛ̅ ⲭⲉⲃⲣⲱⲛ ⲁⲩⲱ ⲭⲉⲃⲣⲱⲛ ⲁⲥⲉⲓ ⲉⲃⲟⲗ ⲉⲙⲓϣⲉ ⲛⲙ̅ⲙⲁϥ ⲡⲣⲁⲛ ⲇⲉ ⲛ̅ⲭⲉⲃⲣⲱⲛ ⲛ̅ϣⲟⲣⲡ̅ ⲉⲩⲙⲟⲩⲧⲉ ⲉⲣⲟⲥ ϫⲉ ⲕⲁⲣⲓⲁⲣⲃⲟⲏⲥⲉⲫⲉⲣ ⲁⲩⲱ ⲁⲩϭⲟϫϭϫ̅ ⲛ̅ⲥⲉⲥⲓ ⲙⲛ̅ ⲁⲭⲓⲙⲁⲁⲛ ⲙⲛ̅ ⲑⲟⲗⲙⲉⲓ ⲛⲉϫⲡⲟ ⲛ̅ⲉⲛⲁⲕ	 And Judas went to the Chananite who dwelt in Chebron; and Chebron came out against him; [and the name of Chebron before was Cariatharbocsepher:] and they smote Sessi, and Achiman, and Tholmi, children of Enac.	 καὶ ἐπορεύθη Ιουδας πρὸς τὸν Χαναναῖον τὸν κατοικοῦντα ἐν Χεβρων, καὶ ἐξῆλθεν Χεβρων ἐξ ἐναντίας· τὸ δὲ ὄνοµα Χεβρων ἦν ἔµπροσθεν Καριαθαρβοκσεφερ. καὶ ἐπάταξεν τὸν Σεσι καὶ τὸν Αχιµαν καὶ τὸν Θολµι, γεννήµατα τοῦ Ενακ.						
