book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Leviticus	1	1	 ⲟⲩⲟϩ ⲁ ⲡϭ̅ⲥ̅ ⲟⲩⲁϩⲉⲙ ⲙⲟⲩϯ ⲉ̀ⲙⲱⲩ̀ⲥⲏⲥ ⲟⲩⲟϩ ⲁϥⲥⲁϫⲓ ⲛⲉⲙⲁϥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ϯⲥⲕⲩⲛⲏ ⲛ̀ⲧⲉ ϯⲙⲉⲧⲙⲉⲑⲣⲉ ⲉⲩϫⲱ ⲙ̀ⲙⲟⲥ		 And the Lord called Moses again and spoke to him out of the tabernacle of witness, saying, Speak to the children of Israel, and thou shalt say to them,	 Καὶ ἀνεκάλεσεν Μωυσῆν καὶ ἐλάλησεν κύριος αὐτῷ ἐκ τῆς σκηνῆς τοῦ µαρτυρίου λέγων						
Leviticus	1	2	 ϫⲉ ⲥⲁϫⲓ ⲛⲉⲙ ⲛⲉⲛϣⲏⲣⲓ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ⲟⲩⲟϩ ⲉⲕⲉ̀ϫⲟⲥ ⲛⲱⲟⲩ ϫⲉ ⲡⲓⲣⲱⲙⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲉ̀ϣⲱⲡ ⲁϥϣⲁⲛⲓⲛⲓ ⲛ̀ϩⲁⲛⲇⲱⲣⲟⲛ ⲉ̀ϧⲟⲩⲛ ⲙ̀ⲡϭ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲧⲉⲃⲛⲱⲟⲩⲓ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲉϩⲱⲟⲩ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲉⲥⲱⲟⲩ ⲉⲣⲉⲧⲉⲛⲉ̀ⲓⲛⲓ ⲛ̀ⲛⲉⲧⲉⲛⲇⲱⲣⲟⲛ		 If any man of you shall bring gifts to the Lord, ye shall bring your gifts of the cattle and of the oxen and of the sheep.	 Λάλησον τοῖς υἱοῖς Ισραηλ καὶ ἐρεῖς πρὸς αὐτούς Ἄνθρωπος ἐξ ὑµῶν ἐὰν προσαγάγῃ δῶρα τῷ κυρίῳ, ἀπὸ τῶν κτηνῶν, ἀπὸ τῶν βοῶν καὶ ἀπὸ τῶν προβάτων, προσοίσετε τὰ δῶρα ὑµῶν.						
Leviticus	1	3	 ⲉ̀ϣⲱⲡ ⲇⲉ ⲟⲩϭⲗⲓⲗ ⲛ̀ϫⲟϥϫⲉϥ ⲡⲉ ⲡⲉϥⲇⲱⲣⲟⲛ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲉϩⲱⲟⲩ ⲟⲩϩⲱⲟⲩⲧ ⲛ̀ⲁⲧⲁϭⲛⲓ ⲉϥⲉ̀ⲉⲛϥ ⲉ̀ϩⲣⲏⲓ ϩⲓⲣⲉⲛ ⲫⲣⲟ ⲛ̀ϯⲥⲕⲩⲛⲏ ⲛ̀ⲧⲉ ϯⲙⲉⲧⲙⲉⲑⲣⲉ ⲉϥⲉ̀ⲉⲛϥ ⲉ̀ϧⲟⲩⲛ ⲉϥⲣⲁⲛⲁϥ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡϭ̅ⲥ̅		 If his gift be a whole-burnt-offering, he shall bring an unblemished male of the herd to the door of the tabernacle of witness, he shall bring it as acceptable before the Lord.	 ἐὰν ὁλοκαύτωµα τὸ δῶρον αὐτοῦ ἐκ τῶν βοῶν, ἄρσεν ἄµωµον προσάξει· πρὸς τὴν θύραν τῆς σκηνῆς τοῦ µαρτυρίου προσοίσει αὐτὸ δεκτὸν ἐναντίον κυρίου.						
Leviticus	1	4	 ⲟⲩⲟϩ ⲉϥⲉ̀ⲧⲁⲗⲟ ⲛ̀ⲛⲉϥϫⲓϫ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲧⲁⲫⲉ ⲛ̀ⲧⲉ ⲡⲓϭⲗⲓⲗ ⲉϥϣⲏⲡ ⲛⲁϥ ⲉϥⲉ̀ⲓ̀ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱϥ		 And he shall lay his hand on the head of the burnt-offering as a thing acceptable for him, to make atonement for him.	 καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν τοῦ καρπώµατος, δεκτὸν αὐτῷ ἐξιλάσασθαι περὶ αὐτοῦ.						
Leviticus	1	5	 ⲟⲩⲟϩ ⲉⲩⲉ̀ⲓⲛⲓ ⲙ̀ⲡⲓⲙⲁⲥⲓ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲉⲣⲉ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲁⲁⲣⲱⲛ ⲛⲓⲟⲩⲏⲃ ⲉⲩⲉ̀ⲓⲛⲓ ⲙ̀ⲡⲓⲥⲛⲟϥ ⲉ̀ϧⲟⲩⲛ ⲟⲩⲟϩ ⲉⲩⲉ̀ϫⲱϣ ⲙ̀ⲡⲓⲥⲛⲟϥ ⲉ̀ϫⲉⲛ ⲡⲓⲙⲁⲛ̀ⲉⲣϣⲱⲟⲩϣⲓ ⲉϥⲕⲱϯ ⲫⲏ ⲉⲧⲭⲏ ϩⲓⲣⲉⲛ ⲛⲓⲣⲱⲟⲩ ⲛ̀ⲧⲉ ϯⲥⲕⲩⲛⲏ ⲛ̀ⲧⲉ ϯⲙⲉⲧⲙⲉⲑⲣⲉ		 And they shall slay the calf before the Lord; and the sons of Aaron the priests shall bring the blood, and they shall pour the blood round about on the altar, which is at the doors of the tabernacle of witness.	 καὶ σφάξουσι τὸν µόσχον ἔναντι κυρίου, καὶ προσοίσουσιν οἱ υἱοὶ Ααρων οἱ ἱερεῖς τὸ αἷµα καὶ προσχεοῦσιν τὸ αἷµα ἐπὶ τὸ θυσιαστήριον κύκλῳ τὸ ἐπὶ τῶν θυρῶν τῆς σκηνῆς τοῦ µαρτυρίου.						
Leviticus	1	6	 ⲉⲩⲉ̀ϧⲓϯ ⲙ̀ⲡⲓϭⲗⲓⲗ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲁⲓϥ ⲙ̀ⲙⲉⲗⲟⲥ ⲙⲉⲗⲟⲥ ⲕⲁⲧⲁ ⲙⲉⲣⲟⲥ		 And having flayed the whole burnt-offering, they shall divide it by its limbs.	 καὶ ἐκδείραντες τὸ ὁλοκαύτωµα µελιοῦσιν αὐτὸ κατὰ µέλη,						
Leviticus	1	7	 ⲟⲩⲟϩ ⲉⲣⲉ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲁⲁⲣⲱⲛ ⲛⲓⲟⲩⲏⲃ ⲉⲩⲉ̀ⲧⲁⲗⲉ ⲭⲣⲱⲙ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲡⲓⲙⲁⲛ̀ⲉⲣϣⲱⲟⲩϣⲓ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲥⲁⲧ ⲣⲟⲕϩ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲡⲓⲭⲣⲱⲙ		 And the sons of Aaron the priests shall put fire on the altar, and shall pile wood on the fire.	 καὶ ἐπιθήσουσιν οἱ υἱοὶ Ααρων οἱ ἱερεῖς πῦρ ἐπὶ τὸ θυσιαστήριον καὶ ἐπιστοιβάσουσιν ξύλα ἐπὶ τὸ πῦρ,						
Leviticus	1	8	 ⲟⲩⲟϩ ⲉⲣⲉ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲁⲁⲣⲱⲛ ⲛⲓⲟⲩⲏⲃ ⲉⲩⲉⲧⲁⲗⲟ ⲛ̀ⲛⲓⲥⲱⲙⲁ ⲉⲧⲫⲏϣ ⲛⲉⲙ ϯⲁⲫⲉ ⲛⲉⲙ ⲡⲓⲱⲧ ⲉ̀ϫⲉⲛ ⲛⲓⲣⲟⲕϩ ⲛⲏ ⲉⲧⲭⲏ ϩⲓϫⲉⲛ ⲡⲓⲭⲣⲱⲙ ⲛⲏ ⲉⲧⲭⲏ ϩⲓϫⲉⲛ ⲡⲓⲙⲁⲛ̀ⲉⲣϣⲱⲟⲩϣⲓ		 And the sons of Aaron the priests shall pile up the divided parts, and the head, and the fat on the wood on the fire, the wood which is on the altar.	 καὶ ἐπιστοιβάσουσιν οἱ υἱοὶ Ααρων οἱ ἱερεῖς τὰ διχοτοµήµατα καὶ τὴν κεφαλὴν καὶ τὸ στέαρ ἐπὶ τὰ ξύλα τὰ ἐπὶ τοῦ πυρὸς τὰ ὄντα ἐπὶ τοῦ θυσιαστηρίου,						
Leviticus	1	9	 ⲛⲏ ⲉⲧⲉ ⲛ̀ϧⲏⲧϥ ⲇⲉ ⲛⲉⲙ ⲛⲓϭⲁⲗⲁⲩϫ ⲉⲩⲉ̀ⲓⲁⲩ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲟⲩⲙⲱⲟⲩ ⲟⲩⲟϩ ⲉⲣⲉ ⲡⲓⲟⲩⲏⲃ ⲉϥⲉ̀ⲧⲁⲗⲟ ⲛ̀ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲉ̀ϫⲉⲛ ⲡⲓⲙⲁⲛ̀ⲉⲣϣⲱⲟⲩϣⲓ ⲟⲩϭⲗⲓⲗ ⲡⲉ ⲡⲉϥϣⲟⲩϣⲱⲟⲩϣⲓ ⲟⲩⲥⲑⲟⲓ ⲛ̀ⲥⲑⲩⲛⲟⲩϥⲓ ⲙ̀ⲡϭ̅ⲥ̅		 And the entrails and the feet they shall wash in water, and the priests shall put all on the altar: it is a burnt-offering, a sacrifice, a smell of sweet savour to the Lord.	 τὰ δὲ ἐγκοίλια καὶ τοὺς πόδας πλυνοῦσιν ὕδατι, καὶ ἐπιθήσουσιν οἱ ἱερεῖς τὰ πάντα ἐπὶ τὸ θυσιαστήριον· κάρπωµά ἐστιν, θυσία, ὀσµὴ εὐωδίας τῷ κυρίῳ.						
Leviticus	1	10	 ⲉ̀ϣⲱⲡ ⲇⲉ ⲟⲩ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲉⲥⲱⲟⲩ ⲡⲉ ⲡⲉϥⲇⲱⲣⲟⲛ ⲙ̀ⲡϭ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓϩⲓⲏⲃ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲃⲁⲙⲡⲓ ⲉⲩϭⲗⲓⲗ ⲛ̀ϫⲟϥϫⲉϥ ⲟⲩⲃⲁⲣⲏⲓⲧ ⲛ̀ⲁⲧⲁϭⲛⲓ ⲉϥⲉ̀ϧⲟⲛⲧϥ ⲉ̀ϧⲟⲩⲛ		 And if his gift be of the sheep to the Lord, or of the lambs, or of the kids for whole-burnt-offerings, he shall bring it a male without blemish.	 Ἐὰν δὲ ἀπὸ τῶν προβάτων τὸ δῶρον αὐτοῦ τῷ κυρίῳ, ἀπό τε τῶν ἀρνῶν καὶ τῶν ἐρίφων, εἰς ὁλοκαύτωµα, ἄρσεν ἄµωµον προσάξει αὐτὸ καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν αὐτοῦ.						
