book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Malachi	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲙⲁⲗⲁⲭⲓⲁⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Malachi	1	1	 ⲫⲗⲩⲙⲙⲁ ⲙ̀ⲡⲥⲁϫⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲉ̀ϫⲉⲛ ⲡⲓⲥ̅ⲗ̅ ϧⲉⲛ ⲧϫⲓϫ ⲙ̀ⲡⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲭⲁⲥ ϩⲓϫⲉⲛ ⲛⲉⲧⲉⲛϩⲏⲧ		 The burden of the word of the Lord to Israel by the hand of his messenger. Lay it, I pray you, to heart.	 Λῆµµα λόγου κυρίου ἐπὶ τὸν Ισραηλ ἐν χειρὶ ἀγγέλου αὐτοῦ· θέσθε δὴ ἐπὶ τὰς καρδίας ὑµῶν.						
Malachi	1	2	 ⲁⲓⲙⲉⲛⲣⲉ ⲑⲏⲛⲟⲩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲡⲉϫⲱⲧⲉⲛ ϫⲉ ⲁⲕⲙⲉⲛⲣⲓⲧⲧⲉⲛ ϧⲉⲛ ⲟⲩ ⲙⲏ ⲛⲉ ⲡⲥⲟⲛ ⲛ̀ⲓⲁⲕⲱⲃ ⲁⲛ ⲡⲉ ⲏⲥⲁⲩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲓⲁⲕⲱⲃ ⲙⲉⲛ ⲁⲓⲙⲉⲛⲣⲓⲧϥ		 I have loved you, saith the Lord. And ye said, Wherein hast thou loved us? Was not Esau Jacob’s brother? saith the Lord: yet I loved Jacob,	 Ἠγάπησα ὑµᾶς, λέγει κύριος. καὶ εἴπατε Ἐν τίνι ἠγάπησας ἡµᾶς; οὐκ ἀδελφὸς ἦν Ησαυ τοῦ Ιακωβ; λέγει κύριος· καὶ ἠγάπησα τὸν Ιακωβ,						
Malachi	1	3	 ⲏⲥⲁⲩ ⲇⲉ ⲁⲓⲙⲉⲥⲧⲱϥ ⲟⲩⲟϩ ⲁⲓⲑⲱϣ ⲛ̀ⲛⲉϥϭⲓⲏ ⲉ̀ⲟⲩⲧⲁⲕⲟ ⲟⲩⲟϩ ⲧⲉϥⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲉ̀ϩⲁⲛⲧⲟⲓ ⲛ̀ⲧⲉ ⲡϣⲁϥⲉ		 and hated Esau and laid waste his borders, and made his heritage as dwellings of the wilderness?	 τὸν δὲ Ησαυ ἐµίσησα καὶ ἔταξα τὰ ὅρια αὐτοῦ εἰς ἀφανισµὸν καὶ τὴν κληρονοµίαν αὐτοῦ εἰς δόµατα ἐρήµου.						
Malachi	1	4	 ϫⲉ ⲟⲩⲏⲓ ⲉϥⲉ̀ϫⲟⲥ ϫⲉ ⲁⲥⲟⲩⲱϫⲡ ⲛ̀ϫⲉ ϯϩ{ⲁ}<ⲉ>ⲇⲟⲙⲉⲁ ⲙⲁⲣⲉⲛⲧⲁⲥⲑⲟ ⲟⲩⲟϩ ⲛ̀ⲧⲉⲛⲕⲱⲧ ⲛ̀ⲛⲉⲥϣⲁϥⲉⲩ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲛ̀ⲑⲱⲟⲩ ⲉⲩⲉ̀ⲕⲱⲧⲟⲩ ⲟⲩⲟϩ ⲁ̀ⲛⲟⲕ ϩⲱ ⲉⲓⲉⲟⲩⲱϫⲡ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲙⲟⲩϯ ⲉ̀ⲣⲱⲟⲩ ϫⲉ ⲡⲓⲗⲁⲟⲥ ⲛ̀ⲧⲉ ϯⲁⲛⲟⲙⲓⲁ ⲟⲩⲟϩ ⲡⲓⲗⲁⲟⲥ ⲉⲧⲁϥϯⲟⲩⲃⲏϥ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ϣⲁ ⲉⲛⲉϩ		 Because one will say, Idumea has been overthrown, but let us return and rebuild the desolate places; thus saith the Lord Almighty, They shall build, but I will throw down; and they shall be called The borders of wickedness, and, The people against whom the Lord has set himself for ever.	 διότι ἐρεῖ ἡ Ιδουµαία Κατέστραπται, καὶ ἐπιστρέψωµεν καὶ ἀνοικοδοµήσωµεν τὰς ἐρήµους· τάδε λέγει κύριος παντοκράτωρ Αὐτοὶ οἰκοδοµήσουσιν, καὶ ἐγὼ καταστρέψω· καὶ ἐπικληθήσεται αὐτοῖς ὅρια ἀνοµίας καὶ λαὸς ἐφ’ ὃν παρατέτακται κύριος ἕως αἰῶνος.						
Malachi	1	5	 ⲟⲩⲟϩ ⲉⲩⲉ̀ⲛⲁⲩ ⲛ̀ϫⲉ ⲛⲉⲧⲉⲛⲃⲁⲗ ⲟⲩⲟϩ ⲛ̀ⲑⲱⲧⲉⲛ ⲉⲣⲉⲧⲉⲛⲛⲁϫⲟⲥ ϫⲉ ⲁϥⲉⲣⲛⲓϣϯ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲥⲁⲡϣⲱⲓ ⲛ̀ⲛⲓⲑⲟϣ ⲛ̀ⲧⲉ ⲡⲓⲥ̅ⲗ̅		 And your eyes shall see, and ye shall say, The Lord has been magnified upon the borders of Israel.	 καὶ οἱ ὀφθαλµοὶ ὑµῶν ὄψονται, καὶ ὑµεῖς ἐρεῖτε Ἐµεγαλύνθη κύριος ὑπεράνω τῶν ὁρίων τοῦ Ισραηλ.						
Malachi	1	6	 ⲟⲩϣⲏⲣⲓ ϣⲁϥϯⲱⲟⲩ ⲙ̀ⲡⲉϥⲓⲱⲧ ⲟⲩⲟϩ ⲟⲩⲃⲱⲕ ⲙ̀ⲡⲉϥϭ̅ⲥ̅ ⲟⲩⲟϩ ⲓⲥϫⲉ ⲁ̀ⲛⲟⲕ ⲟⲩⲓⲱⲧ ⲁϥⲑⲱⲛ ⲡⲁⲱⲟⲩ ⲟⲩⲟϩ ⲓⲥϫⲉ ⲁ̀ⲛⲟⲕ ⲟⲩ ⲡϭ̅ⲥ̅ ⲁⲥⲑⲱⲛ ⲧⲁϩⲟϯ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ⲛ̀ⲑⲱⲧⲉⲛ ⲛⲓⲟⲩⲏⲃ ⲛⲏ ⲉⲧϣⲱϣϥ ⲙ̀ⲡⲁⲣⲁⲛ ⲟⲩⲟϩ ⲡⲉϫⲱⲧⲉⲛ ϫⲉ ⲉⲧⲁⲛϣⲱϣϥ ⲙ̀ⲡⲉⲕⲣⲁⲛ ϧⲉⲛ ⲟⲩ		 A son honours his father, and a servant his master: if then I am a father, where is mine honour? and if I am a master, where is my fear? saith the Lord Almighty. Ye the priests are they that despise my name: yet ye said, Wherein have we despised thy name?	 Υἱὸς δοξάζει πατέρα καὶ δοῦλος τὸν κύριον αὐτοῦ. καὶ εἰ πατήρ εἰµι ἐγώ, ποῦ ἐστιν ἡ δόξα µου; καὶ εἰ κύριός εἰµι ἐγώ, ποῦ ἐστιν ὁ φόβος µου; λέγει κύριος παντοκράτωρ. ὑµεῖς οἱ ἱερεῖς οἱ φαυλίζοντες τὸ ὄνοµά µου· καὶ εἴπατε Ἐν τίνι ἐφαυλίσαµεν τὸ ὄνοµά σου;						
Malachi	1	7	 ⲉⲣⲉⲧⲉⲛⲓⲛⲓ ⲉ̀ϧⲟⲩⲛ ϩⲁ ⲡⲁⲙⲁⲛ̀ⲉⲣϣⲱⲟⲩϣⲓ ⲛ̀ϩⲁⲛⲱⲓⲕ ⲉⲩϭⲁϧⲉⲙ ⲟⲩⲟϩ ⲡⲉϫⲱⲧⲉⲛ ϫⲉ ⲉⲧⲁⲛϭⲁϧⲙⲟⲩ ϧⲉⲛ ⲟⲩ ϧⲉⲛ ⲡϫⲓⲛⲑⲣⲉⲧⲉⲛϫⲟⲥ ⲡⲉ ϫⲉ ⲉⲥϣⲟϣϥ ⲛ̀ϫⲉ ϯⲧⲣⲁⲡⲉⲍⲁ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲥⲉϣⲟϣϥ ⲛ̀ϫⲉ ⲛⲓϧⲣⲏⲟⲩⲓ ⲉⲧⲟⲩⲭⲱ ⲙ̀ⲙⲱⲟⲩ ϩⲓϫⲱⲥ		 In that ye bring to mine altar polluted bread; and ye said, Wherein have ye polluted it? In that ye say, The table of the Lord is polluted, and that which was set thereon ye have despised.	 προσάγοντες πρὸς τὸ θυσιαστήριόν µου ἄρτους ἠλισγηµένους. καὶ εἴπατε Ἐν τίνι ἠλισγήσαµεν αὐτούς; ἐν τῷ λέγειν ὑµᾶς Τράπεζα κυρίου ἐξουδενωµένη ἐστὶν καὶ τὰ ἐπιτιθέµενα βρώµατα ἐξουδενωµένα.						
Malachi	1	8	 ⲟⲩⲟϩ ⲉ̀ϣⲱⲡ ⲁⲣⲉⲧⲉⲛϣⲁⲛⲓⲛⲓ ⲉ̀ϧⲟⲩⲛ ⲛ̀ⲟⲩⲃⲉⲗⲗⲉ ⲉ̀ⲟⲩϣⲟⲩϣⲱⲟⲩϣⲓ ⲙⲏ ϥϩⲱⲟⲩ ⲁⲛ ⲟⲩⲟϩ ⲉ̀ϣⲱⲡ ⲁⲣⲉⲧⲉⲛϣⲁⲛⲓⲛⲓ ⲉ̀ϧⲟⲩⲛ ⲛ̀ⲟⲩϭⲁⲗⲉ ⲓⲉ ⲟⲩⲁⲓ ⲉϥϣⲱⲛⲓ ⲙⲏ ϥϩⲱⲟⲩ ⲁⲗⲓⲧϥ ⲇⲉ ⲉ̀ϧⲟⲩⲛ ⲙ̀ⲡⲉⲕϩⲩⲅⲟⲩⲙⲉⲛⲟⲥ ⲁⲛ ϥⲛⲁϭⲓⲧϥ ⲛ̀ⲧⲟⲧⲕ ⲁⲛ ϥⲛⲁϭⲓ ⲡⲉⲕϩⲟ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ		 For if ye bring a blind victim for sacrifices, is it not evil? and if ye bring the lame or the sick, is it not evil? offer it now to thy ruler, and see if he will receive thee, if he will accept thy person, saith the Lord Almighty.	 διότι ἐὰν προσαγάγητε τυφλὸν εἰς θυσίαν, οὐ κακόν; καὶ ἐὰν προσαγάγητε χωλὸν ἢ ἄρρωστον, οὐ κακόν; προσάγαγε δὴ αὐτὸ τῷ ἡγουµένῳ σου, εἰ προσδέξεται αὐτό, εἰ λήµψεται πρόσωπόν σου, λέγει κύριος παντοκράτωρ.						
Malachi	1	9	 ⲟⲩⲟϩ ϯⲛⲟⲩ ⲧⲱⲃϩ ⲙ̀ⲡϩⲟ ⲙ̀ⲡϭ̅ⲥ̅ ⲡⲉⲧⲉⲛⲛⲟⲩϯ ⲟⲩⲟϩ ⲙⲁϯϩⲟ ⲉ̀ⲣⲟϥ ϩⲓⲛⲁ ⲛ̀ⲧⲉϥⲛⲁⲓ ⲛⲱⲧⲉⲛ ⲁⲩϣⲱⲡⲓ ⲛ̀ϫⲉ ⲛⲁⲓ ϧⲉⲛ ⲛⲉⲧⲉⲛϫⲓϫ ⲓⲉ ⲁⲛ ϯⲛⲁϭⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲛ̀ⲛⲉⲧⲉⲛϩⲟ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ		 And now intreat the face of your God, and make supplication to him. These things have been done by your hands; shall I accept you? saith the Lord Almighty.	 καὶ νῦν ἐξιλάσκεσθε τὸ πρόσωπον τοῦ θεοῦ ὑµῶν καὶ δεήθητε αὐτοῦ· ἐν χερσὶν ὑµῶν γέγονεν ταῦτα· εἰ λήµψοµαι ἐξ ὑµῶν πρόσωπα ὑµῶν; λέγει κύριος παντοκράτωρ.						
