book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Numbers	1	1	 ⲟⲩⲟϩ ⲁ ⲡϭ̅ⲥ̅ ⲥⲁϫⲓ ⲛⲉⲙ ⲙⲱⲩ̀ⲥⲏⲥ ϩⲓ ⲡⲧⲱⲟⲩ ⲛ̀ⲥⲓⲛⲁ ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ϯⲥⲕⲩⲛⲏ ⲛ̀ⲧⲉ ϯⲙⲉⲧⲙⲉⲑⲣⲉ ϧⲉⲛ ⲥⲟⲩⲁⲓ ⲙ̀ⲡⲓⲁⲃⲟⲧ ⲙ̀ⲙⲁϩⲃ̅ ϧⲉⲛ ⲑⲙⲁϩ ⲣⲟⲙⲡⲓ ⲥⲛⲟⲩϯ ⲉⲧⲁⲩⲓ̀ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲕⲁϩⲓ ⲛ̀ⲭⲏⲙⲓ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ		 And the Lord spoke to Moses in the wilderness of Sina, in the tabernacle of witness, on the first day of the second month, in the second year of their departure from the land of Egypt, saying,	 Καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν ἐν τῇ ἐρήµῳ τῇ Σινα ἐν τῇ σκηνῇ τοῦ µαρτυρίου ἐν µιᾷ τοῦ µηνὸς τοῦ δευτέρου ἔτους δευτέρου ἐξελθόντων αὐτῶν ἐκ γῆς Αἰγύπτου λέγων						
Numbers	1	2	 ϫⲉ ϭⲓ ⲛ̀ϯⲁⲡⲁⲣⲭⲏ ⲛ̀ϯⲥⲩⲛⲁⲅⲱⲅⲏ ⲧⲏⲣⲥ ⲛ̀ⲧⲉ ⲛⲉⲛϣⲏⲣⲓ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ⲕⲁⲧⲁ ⲛⲟⲩⲥⲩⲅⲅⲉⲛⲓⲁ ⲕⲁⲧⲁ ⲛⲓⲏⲓ ⲛ̀ⲧⲉ ⲛⲟⲩⲓⲟϯ ⲕⲁⲧⲁ ⲧⲏⲡⲓ ⲛ̀ⲧⲉ ⲛⲟⲩⲣⲁⲛ ⲕⲁⲧⲁ ⲛⲟⲩⲁⲫⲉ ϩⲱⲟⲩⲧ ⲛⲓⲃⲉⲛ		 Take the sum of all the congregation of Israel according to their kindreds, according to the houses of their fathers’ families, according to their number by their names, according to their heads: every male	 Λάβετε ἀρχὴν πάσης συναγωγῆς υἱῶν Ισραηλ κατὰ συγγενείας αὐτῶν κατ’ οἴκους πατριῶν αὐτῶν κατὰ ἀριθµὸν ἐξ ὀνόµατος αὐτῶν κατὰ κεφαλὴν αὐτῶν, πᾶς ἄρσην						
Numbers	1	3	 ⲓⲥϫⲉⲛ ⲕ̅ ⲛ̀ⲣⲟⲙⲡⲓ ⲛⲉⲙ ⲥⲁⲡϣⲱⲓ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲑⲛⲏⲟⲩ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲧϫⲟⲙ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ϣⲓⲛⲓ ⲉ̀ⲣⲱⲟⲩ ⲛⲉⲙ ⲧⲟⲩϫⲟⲙ ⲛ̀ⲑⲟⲕ ⲛⲉⲙ ⲁⲁⲣⲱⲛ ϣⲓⲛⲓ ⲉ̀ⲣⲱⲟⲩ		 from twenty years old and upwards, every one that goes forth in the forces of Israel, take account of them with their strength; thou and Aaron take account of them.	 ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω, πᾶς ὁ ἐκπορευόµενος ἐν δυνάµει Ισραηλ, ἐπισκέψασθε αὐτοὺς σὺν δυνάµει αὐτῶν, σὺ καὶ Ααρων ἐπισκέψασθε αὐτούς.						
Numbers	1	4	 ⲟⲩⲟϩ ⲉϥⲉ̀ϣⲱⲡⲓ ⲛⲉⲙⲱⲧⲉⲛ ⲛ̀ϫⲉ ⲫⲟⲩⲁⲓ ⲫⲟⲩⲁⲓ ⲕⲁⲧⲁ ϯⲁⲫⲉ ⲛ̀ⲧⲉ ⲫⲟⲩⲁⲓ ⲛ̀ⲛⲓⲁⲣⲭⲱⲛ ⲉⲩⲉ̀ϣⲱⲡⲓ ⲕⲁⲧⲁ ⲛⲓⲏⲓ ⲛ̀ⲧⲉ ⲛⲟⲩⲓⲟϯ		 And with you there shall be each one of the rulers according to the tribe of each: they shall be according to the houses of their families.	 καὶ µεθ’ ὑµῶν ἔσονται ἕκαστος κατὰ φυλὴν ἑκάστου ἀρχόντων, κατ’ οἴκους πατριῶν ἔσονται.						
Numbers	1	5	 ⲟⲩⲟϩ ⲛⲁⲓ ⲛⲉ ⲛⲓⲣⲁⲛ ⲛ̀ⲧⲉ ⲛⲓⲣⲱⲙⲓ ⲛⲏ ⲉⲑⲛⲁⲟϩⲓ ⲉ̀ⲣⲁⲧⲟⲩ ⲛⲉⲙⲱⲧⲉⲛ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲧⲫⲩⲗⲏ ⲛ̀ⲣⲟⲩⲃⲏⲛ ⲉⲗⲓⲥⲟⲩⲣ ⲡϣⲏⲣⲓ ⲛ̀ⲥⲉⲙⲓⲟⲩⲇ		 And these are the names of the men who shall be present with you; of the tribe of Ruben, Elisur the son of Sediur.	 καὶ ταῦτα τὰ ὀνόµατα τῶν ἀνδρῶν, οἵτινες παραστήσονται µεθ’ ὑµῶν· τῶν Ρουβην Ελισουρ υἱὸς Σεδιουρ·						
Numbers	1	6	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲁ ⲥⲩⲙⲉⲱⲛ ⲥⲁⲗⲁⲙⲓⲏⲗ ⲡϣⲏⲣⲓ ⲛ̀ⲥⲟⲩⲣⲓⲥⲁⲇⲁ		 Of Symeon, Salamiel the son of Surisadai.	 τῶν Συµεων Σαλαµιηλ υἱὸς Σουρισαδαι·						
Numbers	1	7	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲁ ⲓⲟⲩⲇⲁ ⲛⲁⲥⲥⲱⲛ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲙⲓⲛⲁⲇⲁⲃ		 Of Juda, Naasson the son of Aminadab.	 τῶν Ιουδα Ναασσων υἱὸς Αµιναδαβ·						
Numbers	1	8	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲁ ⲓⲥⲁⲭⲁⲣ ⲛⲁⲑⲁⲛⲁⲏⲗ ⲡϣⲏⲣⲓ ⲛ̀ⲥⲱⲅⲁⲣ		 Of Issachar, Nathanael the son of Sogar.	 τῶν Ισσαχαρ Ναθαναηλ υἱὸς Σωγαρ·						
Numbers	1	9	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲁ ⲍⲁⲃⲟⲩⲗⲱⲛ ⲉⲗⲓⲁⲃ ⲡϣⲏⲣⲓ ⲛ̀ⲭⲉⲗⲗⲱⲛ		 Of Zabulon, Eliab the son of Chaelon.	 τῶν Ζαβουλων Ελιαβ υἱὸς Χαιλων·						
Numbers	1	10	 ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲓⲱⲥⲏⲫ ⲛⲁ ⲉⲫⲣⲉⲙ ⲉⲗⲓⲥⲉⲙⲁ ⲡϣⲏⲣⲓ ⲛ̀ⲥⲉⲙⲓⲱⲇ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲁ ⲙⲁⲛⲁⲥⲥⲏ ⲅⲁⲙⲁⲗⲓⲏⲗ ⲡϣⲏⲣⲓ ⲙ̀ⲫⲁⲇⲁⲥⲟⲩⲣ		 Of the sons of Joseph, of Ephraim, Elisama the son of Emiud: of Manasses, Gamaliel the son of Phadasur.	 τῶν υἱῶν Ιωσηφ, τῶν Εφραιµ Ελισαµα υἱὸς Εµιουδ, τῶν Μανασση Γαµαλιηλ υἱὸς Φαδασσουρ·						
