book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Obadiah	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲁⲃⲇⲓⲟⲩ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Obadiah	1	1	 ϯϩⲟⲣⲁⲥⲓⲥ ⲛ̀ⲧⲉ ⲁⲃⲇⲓⲟⲩ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲫϯ ⲛ̀ϯϩⲩⲇⲟⲩⲙⲉⲁ ⲁⲓⲥⲱⲧⲉⲙ ⲉ̀ⲟⲩϣⲓⲛⲓ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲁϥⲟⲩⲱⲣⲡ ⲛ̀ⲟⲩⲧⲁⲧϩⲟ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲛⲓⲉⲑⲛⲟⲥ ⲧⲉⲛ ⲑⲏⲛⲟⲩ ⲙⲁⲣⲉⲛⲧⲱⲟⲩⲛⲟⲩ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱⲥ ⲉⲡⲟⲗⲉⲙⲟⲥ		 The vision of Obdias. Thus saith the Lord God to Idumea; I have heard a report from the Lord, and he has sent forth a message to the nations. (2) Arise ye, and let us rise up against her to war.	 Ὅρασις Αβδιου. Τάδε λέγει κύριος ὁ θεὸς τῇ Ιδουµαίᾳ Ἀκοὴν ἤκουσα παρὰ κυρίου, καὶ περιοχὴν εἰς τὰ ἔθνη ἐξαπέστειλεν Ἀνάστητε καὶ ἐξαναστῶµεν ἐπ’ αὐτὴν εἰς πόλεµον.						
Obadiah	1	3	 ϩⲏⲡⲡⲉ ⲁⲓⲧⲏⲓⲕ ⲉⲕⲟⲓ ⲛ̀ⲕⲟⲩϫⲓ ϧⲉⲛ ⲛⲓⲉⲑⲛⲟⲥ ⲛ̀ⲑⲟⲕ ⲕϣⲏϣ ⲉ̀ⲙⲁϣⲱ		 Behold, I have made thee small among the Gentiles: thou art greatly dishonoured.	 ἰδοὺ ὀλιγοστὸν δέδωκά σε ἐν τοῖς ἔθνεσιν, ἠτιµωµένος σὺ εἶ σφόδρα.						
Obadiah	1		 ⲑⲙⲉⲧϭⲁⲥⲓϩⲏⲧ ⲛ̀ⲧⲉ ⲡⲉⲕϩⲏⲧ ⲁⲥϭⲁⲥⲕ ⲉⲕϣⲱⲡ ϧⲉⲛ ⲛⲓⲫⲱϫⲓ ⲛ̀ⲧⲉ ⲛⲓⲡⲉⲧⲣⲁ ⲉϥϭⲓⲥⲓ ⲙ̀ⲡⲉϥⲙⲁⲛ̀ϣⲱⲡⲓ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϧⲉⲛ ⲡⲉϥϩⲏⲧ ⲛⲓⲙ ⲉⲑⲛⲁϣⲣⲁϧⲧ ϩⲓϫⲉⲛ ⲡⲕⲁϩⲓ		The pride of thine heart has elated thee, dwelling as thou dost in the holes of the rocks, as one that exalts his habitation, saying in his heart, Who will bring me down to the ground?	 ὑπερηφανία τῆς καρδίας σου ἐπῆρέν σε κατασκηνοῦντα ἐν ταῖς ὀπαῖς τῶν πετρῶν, ὑψῶν κατοικίαν αὐτοῦ λέγων ἐν καρδίᾳ αὐτοῦ Τίς µε κατάξει ἐπὶ τὴν γῆν;						
Obadiah	1	4	 ⲉ̀ϣⲱⲡ ⲁⲕϣⲁⲛϭⲓⲥⲓ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲟⲩⲁϧⲱⲙ ⲟⲩⲟϩ ⲁⲕϣⲁⲛⲭⲱ ⲙ̀ⲡⲉⲕⲙⲟϩ ϧⲉⲛ ⲑⲙⲏϯ ⲛ̀ⲛⲓⲥⲓⲟⲩ ϯⲛⲁⲉⲛⲕ ⲉ̀ⲡⲉⲥⲏⲧ ϧⲉⲛ ⲡⲓⲙⲁ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅		 If thou shouldest mount up as the eagle, and if thou shouldest make thy nest among the stars, thence will I bring thee down, saith the Lord.	 ἐὰν µετεωρισθῇς ὡς ἀετὸς καὶ ἐὰν ἀνὰ µέσον τῶν ἄστρων θῇς νοσσιάν σου, ἐκεῖθεν κατάξω σε, λέγει κύριος.						
Obadiah	1	5	 ⲉⲛⲉ ϩⲁⲛⲣⲉϥϭⲓⲟⲩⲓ ⲁⲩⲓ ⲉ̀ϧⲟⲩⲛ ϩⲁⲣⲟⲕ ⲓⲉ ϩⲁⲛⲥⲟⲛⲓ ϧⲉⲛ ⲡⲓⲉϫⲱⲣϩ ⲛⲁⲩⲛⲁⲃⲉⲣⲃⲱⲣⲕ ⲉ̀ⲑⲱⲛ ⲙⲏ ⲛⲁⲩⲛⲁⲕⲱⲗⲡ ⲛ̀ⲛⲏ ⲉⲧⲣⲱϣⲓ ⲙ̀ⲙⲱⲟⲩ ⲁⲛ ⲡⲉ ⲟⲩⲟϩ ⲉⲛⲉ ϩⲁⲛⲣⲉϥϭⲱⲗ ⲁⲩⲓ̀ ⲉ̀ϧⲟⲩⲛ ϩⲁⲣⲟⲕ ⲛⲁⲩⲛⲁⲥⲱϫⲡ ⲁⲛ ⲡⲉ ⲛ̀ϩⲁⲛϫⲱⲃⲓ		 If thieves came in to thee, or robbers by night, where wouldest thou have been cast away? would they not have stolen just enough for themselves? and if grape-gatherers went in to thee, would they not leave a gleaning?	 εἰ κλέπται εἰσῆλθον πρὸς σὲ ἢ λῃσταὶ νυκτός, ποῦ ἂν ἀπερρίφης; οὐκ ἂν ἔκλεψαν τὰ ἱκανὰ ἑαυτοῖς; καὶ εἰ τρυγηταὶ εἰσῆλθον πρὸς σέ, οὐκ ἂν ὑπελίποντο ἐπιφυλλίδα;						
Obadiah	1	6	 ⲡⲱⲥ ⲁⲩϧⲟⲧϧⲉⲧ ⲛ̀ⲏⲥⲁⲩ ⲟⲩⲟϩ ⲁⲩⲧⲁϩⲟ ⲛⲛⲏ ⲉⲧϩⲏⲡ ⲛ̀ⲧⲁϥ		 How has Esau been searched out, and how have his hidden things been detected?	 πῶς ἐξηρευνήθη Ησαυ καὶ κατελήµφθη αὐτοῦ τὰ κεκρυµµένα.						
Obadiah	1	7	 ⲁⲩⲟⲩⲟⲣⲡⲕ ⲉ̀ⲃⲟⲗ ϣⲁ ⲛⲉⲕϭⲓⲏ ⲛⲓⲣⲱⲙⲓ ⲧⲏⲣⲟⲩ ⲛ̀ⲧⲉ ⲧⲉⲕⲇⲓⲁⲑⲏⲕⲏ ⲁⲩⲟϩⲓ ⲉ̀ⲣⲁⲧⲟⲩ ⲟⲩⲃⲏⲕ ⲛⲓⲣⲱⲙⲓ ⲛ̀ⲧⲉ ⲧⲉⲕϩⲓⲣⲏⲛⲏ ⲁⲩⲭⲱ ⲛ̀ⲟⲩϫⲟⲣϫⲥ ⲥⲁⲡⲉⲥⲏⲧ ⲙ̀ⲙⲟⲕ ⲙ̀ⲙⲟⲛ ⲕⲁϯ ϣⲟⲡ ⲛ̀ϧⲏⲧⲕ		 They sent thee to thy coasts: all the men of thy covenant have withstood thee; thine allies have prevailed against thee, they have set snares under thee: they have no understanding.	 ἕως τῶν ὁρίων σου ἐξαπέστειλάν σε πάντες οἱ ἄνδρες τῆς διαθήκης σου, ἀντέστησάν σοι ἠδυνάσθησαν πρὸς σὲ ἄνδρες εἰρηνικοί σου, ἔθηκαν ἔνεδρα ὑποκάτω σου, οὐκ ἔστιν σύνεσις αὐτοῖς.						
Obadiah	1	8	 ϧⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ϯⲛⲁⲧⲁⲕⲟ ⲛ̀ϩⲁⲛⲥⲁⲃⲉⲩ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ϯϩⲩⲇⲟⲩⲙⲉⲁ ⲛⲉⲙ ⲟⲩⲕⲁϯ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲧⲱⲟⲩ ⲛ̀ⲏⲥⲁⲩ		 In that day, saith the Lord, I will destroy the wise men out of Idumea, and understanding out of the mount of Esau.	 ἐν ἐκείνῃ τῇ ἡµέρᾳ, λέγει κύριος, ἀπολῶ σοφοὺς ἐκ τῆς Ιδουµαίας καὶ σύνεσιν ἐξ ὄρους Ησαυ·						
Obadiah	1	9	 ⲟⲩⲟϩ ⲉⲩⲉ̀ⲛⲟⲩϣⲡ ⲛ̀ϫⲉ ⲛⲉⲕⲣⲉϥϯϩⲁⲡ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲑⲏⲙⲁⲛ ϩⲟⲡⲱⲥ ⲛ̀ⲧⲟⲩϥⲱϯ ⲉ̀ⲃⲟⲗ ⲛ̀ⲟⲩⲣⲱⲙⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲧⲱⲟⲩ ⲛ̀ⲏⲥⲁⲩ		 And thy warriors from Thaeman shall be dismayed, to the end that man may be cut off from the mount of Esau.	 καὶ πτοηθήσονται οἱ µαχηταί σου οἱ ἐκ Θαιµαν, ὅπως ἐξαρθῇ ἄνθρωπος ἐξ ὄρους Ησαυ						
Obadiah	1	10	 ⲉⲑⲃⲉ ⲡϧⲟⲗϧⲉⲗ ⲛ̀ⲧⲉ ϯⲙⲉⲧⲁⲥⲉⲃⲏⲥ ⲉⲧⲁⲕⲁⲓⲥ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲛ̀ⲓⲁⲕⲱⲃ ⲟⲩⲟϩ ⲉϥⲉ̀ϩⲱⲃⲥ ⲉ̀ⲃⲟⲗ ⲉ̀ϫⲱⲕ ⲛ̀ϫⲉ ⲟⲩϣⲓⲡⲓ ⲟⲩⲟϩ ⲉⲩⲉ̀ϥⲟⲧⲕ ⲉ̀ⲃⲟⲗ ϣⲁ ⲉⲛⲉϩ		 Because of the slaughter and the sin committed against thy brother Jacob, shame shall cover thee, and thou shalt be cut off for ever.	 διὰ τὴν σφαγὴν καὶ τὴν ἀσέβειαν τὴν εἰς τὸν ἀδελφόν σου Ιακωβ, καὶ καλύψει σε αἰσχύνη καὶ ἐξαρθήσῃ εἰς τὸν αἰῶνα.						
Obadiah	1	11	 ⲓⲥϫⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲁⲕⲟϩⲓ ⲉ̀ⲣⲁⲧⲕ ⲟⲩⲃⲏϥ ϧⲉⲛ ⲟⲩⲙⲉⲧϫⲁϫⲓ ϧⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲁⲩⲉⲣⲉⲭⲙⲁⲗⲱⲧⲉⲩⲓⲛ ⲛ̀ⲧⲉϥϫⲟⲙ ⲛ̀ϫⲉ ⲛⲓⲁⲗⲗⲟⲅⲉⲛⲏⲥ ⲟⲩⲟϩ ϩⲁⲛϣⲉⲙⲙⲱⲟⲩ ⲁⲩϣⲉ ⲛⲱⲟⲩ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲛⲉϥⲡⲩⲗⲏ ⲟⲩⲟϩ ⲁⲩϩⲓ ⲕⲗⲏⲣⲟⲥ ⲉ̀ϫⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ⲟⲩⲟϩ ⲛ̀ⲑⲟⲕ ⲛⲁⲕⲟⲓ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲟⲩⲁⲓ ⲙ̀ⲙⲱⲟⲩ		 From the day that thou stoodest in opposition to him, in the days when foreigners were taking captive his forces, and strangers entered into his gates, and cast lots on Jerusalem, thou also wast as one of them.	 Ἀφ’ ἧς ἡµέρας ἀντέστης ἐξ ἐναντίας ἐν ἡµέρᾳ αἰχµαλωτευόντων ἀλλογενῶν δύναµιν αὐτοῦ καὶ ἀλλότριοι εἰσῆλθον εἰς πύλας αὐτοῦ καὶ ἐπὶ Ιερουσαληµ ἔβαλον κλήρους, καὶ σὺ ἦς ὡς εἷς ἐξ αὐτῶν.						
Obadiah	1	12	 ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣϫⲟⲩϣⲧ ⲉ̀ϫⲉⲛ ⲡⲉϩⲟⲟⲩ ⲙ̀ⲡⲉⲕⲥⲟⲛ ϧⲉⲛ ⲡⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲛⲓϣⲉⲙⲙⲱⲟⲩ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣⲣⲁϣⲓ ⲉ̀ϫⲉⲛ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲓⲟⲩⲇⲁ ϧⲉⲛ ⲡⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲡⲧⲁⲕⲟ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣϫⲉ ⲙⲉⲧϧⲉⲣⲟⲩⲱ ϧⲉⲛ ⲡⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲡϩⲟϫϩⲉϫ		 And thou shouldest not have looked on the day of thy brother in the day of strangers; nor shouldest thou have rejoiced against the children of Juda in the day of their destruction; neither shouldest thou have boasted in the day of their affliction.	 καὶ µὴ ἐπίδῃς ἡµέραν ἀδελφοῦ σου ἐν ἡµέρᾳ ἀλλοτρίων καὶ µὴ ἐπιχαρῇς ἐπὶ τοὺς υἱοὺς Ιουδα ἐν ἡµέρᾳ ἀπωλείας αὐτῶν καὶ µὴ µεγαλορρηµονήσῃς ἐν ἡµέρᾳ θλίψεως·						
