book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Proverbs	1	1	 ⲛⲓⲡⲁⲣⲟⲓⲙⲓⲁ ⲛ̀ⲧⲉ ⲥⲟⲗⲟⲙⲱⲛ ⲡϣⲏⲣⲓ ⲙ̀ⲡⲟⲩⲣⲟ ⲇⲁⲩⲓⲇ ⲫⲏ ⲉⲧⲁϥⲉⲣⲟⲩⲣⲟ ϧⲉⲛ ⲡⲓⲥ̅ⲗ̅	 ⲙ̅ⲡⲁⲣϩⲟⲓⲙⲓⲁ ⲛ̅ⲥⲟⲗⲟⲙⲱⲛ ⲡϣⲏⲣⲉ ⲛ̅ⲇⲁⲩⲉⲓⲇ ⲡⲉⲛⲧⲁϥⲣ̅ⲣⲟ ϩⲙ̅ ⲡⲓⲏ̅ⲗ̅.	 The Proverbs of Solomon son of David, who reigned in Israel;	 Παροιµίαι Σαλωµῶντος υἱοῦ Δαυιδ, ὃς ἐβασίλευσεν ἐν Ισραηλ,						
Proverbs	1	2	 ⲉ̀ⲉⲙⲓ ⲉ̀ⲟⲩⲥⲟⲫⲓⲁ ⲛⲉⲙ ⲟⲩⲥⲃⲱ ⲉ̀ⲉⲣⲛⲟⲓⲛ ⲛ̀ϩⲁⲛⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲟⲩⲙⲉⲧⲥⲁⲃⲉ	 ⲉⲉⲓⲙⲉ ⲉⲧⲥⲟⲫⲓⲁ ⲙⲛ̅ ⲧⲉⲥⲃⲱ ⲉⲛⲟⲓ ⲛ̅ⲛ̅ϣⲁϫⲉ ⲛ̅ⲧⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ.	 to know wisdom and instruction, and to perceive words of understanding;	 γνῶναι σοφίαν καὶ παιδείαν νοῆσαί τε λόγους φρονήσεως						
Proverbs	1	3	 ⲉ̀ϣⲱⲡ ⲉ̀ⲣⲱⲧⲉⲛ ⲛ̀ϩⲁⲛⲫⲱⲛϩ ⲛ̀ⲧⲉ ϩⲁⲛⲥⲁϫⲓ ⲉ̀ⲥⲁⲃⲉ ⲉ̀ⲟⲩⲇⲓⲕⲉⲟⲥⲩⲛⲏ ⲛ̀ⲧⲁⲫⲙⲏⲓ ⲛⲉⲙ ⲟⲩϩⲁⲡ ⲉϥⲥⲟⲩⲧⲱⲛ	 ⲉϫⲓ ⲙ̅ⲡⲉⲕⲧⲟ ⲛ̅ϩⲉⲛϣⲁϫⲉ ⲙⲛ̅ ⲛ̅ⲃⲱⲗ ⲛ̅ϩⲉⲛⲁⲓⲛⲓⲅⲙⲁ ⲉⲛⲟⲓ ⲛ̅ⲧⲟⲩⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ ⲙⲙⲉ ⲁⲩⲱ ⲉⲥⲟⲩⲧⲛ̅ ⲟⲩϩⲁⲡ.	 to receive also hard saying, and to understand true justice, and how to direct judgment;	 δέξασθαί τε στροφὰς λόγων νοῆσαί τε δικαιοσύνην ἀληθῆ καὶ κρίµα κατευθύνειν,						
Proverbs	1	4	 ϩⲓⲛⲁ ⲛ̀ⲧⲉⲥϯ ⲛ̀ⲟⲩⲙⲉⲧⲥⲁⲃⲉ ⲛ̀ⲛⲓⲁⲧⲡⲉⲧϩⲱⲟⲩ ⲟⲩⲟϩ ⲟⲩⲉⲥⲑⲉⲥⲓⲥ ⲛⲉⲙ ⲟⲩⲕⲁϯ ⲛ̀ⲟⲩⲁⲗⲟⲩ ⲙ̀ⲃⲉⲣⲓ	 ϫⲉ ⲉⲓⲉϯ ⲛⲟⲩⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ ⲛ̅ⲛ̅ⲃⲁⲗϩⲏⲧ ⲁⲩⲱ ⲟⲩⲁⲓⲥⲑⲏⲥⲓⲥ ⲙⲛ̅ ⲟⲩⲙⲉⲉⲩⲉ ⲛ̅ⲟⲩϣⲏⲣⲉ ϣⲏⲙ.	 that he might give subtlety to the simple, and to the young man discernment and understanding.	 ἵνα δῷ ἀκάκοις πανουργίαν, παιδὶ δὲ νέῳ αἴσθησίν τε καὶ ἔννοιαν·						
Proverbs	1	5	 ⲡⲓⲥⲁⲃⲉ ⲇⲉ ⲁϥϣⲁⲛⲥⲱⲧⲉⲙ ⲉ̀ⲛⲁⲓ ϥⲛⲁⲉⲣⲥⲁⲃⲉ ⲛ̀ϩⲟⲩⲟ ⲡⲓⲛⲉⲃϩⲏⲧ ⲇⲉ ⲉϥⲉ̀ϫⲫⲟ ⲛ̀ⲟⲩⲙⲉⲧⲣⲉϥⲉⲣϩⲉⲙⲓ	 ⲡⲥⲟⲫⲟⲥ ⲅⲁⲣ ⲉⲧⲛⲁⲥⲱⲧⲙ̅ ⲉⲛⲁⲓ̈ ϥⲛⲁⲣ̅ϩⲟⲩⲉⲥⲟⲫⲟⲥ ⲡⲣⲙ̅ⲛ̅ϩⲏⲧ ⲇⲉ ⲛⲁϫⲡⲟ ⲛⲁϥ ⲛ̅ⲟⲩⲣ̅ϩⲙ̅ⲙⲉ.	 For by the hearing of these a wise man will be wiser, and man of understanding will gain direction;	 τῶνδε γὰρ ἀκούσας σοφὸς σοφώτερος ἔσται, ὁ δὲ νοήµων κυβέρνησιν κτήσεται						
Proverbs	1	6	 ⲉϥⲉ̀ⲕⲁϯ ⲇⲉ ⲉ̀ⲟⲩⲡⲁⲣⲁⲃⲟⲗⲏ ⲛⲉⲙ ⲟⲩⲥⲁϫⲓ ⲛ̀ⲭⲁⲕⲓ ⲛⲉⲙ ϩⲁⲛⲥⲁϫⲓ ⲛ̀ⲧⲉ ϩⲁⲛⲥⲁⲃⲉⲩ ⲛⲉⲙ ϩⲁⲛⲥⲁϫⲓ ⲉⲩϩⲏⲡ	 ϥⲛⲁⲛⲟⲓ ⲛ̅ⲟⲩⲡⲁⲣⲁⲃⲟⲗⲏ ⲙⲛ̅ ⲟⲩϣⲁϫⲉ ⲉϥϩⲏⲡ ⲛ̅ϣⲁϫⲉ ⲛ̅ⲛ̅ⲥⲟⲫⲟⲥ ⲙⲛ̅ ⲛⲉⲩⲁⲓⲛⲓⲅⲙⲁ.	 and will understand a parable, and a dark speech; the saying of the wise also, and riddles.	 νοήσει τε παραβολὴν καὶ σκοτεινὸν λόγον ῥήσεις τε σοφῶν καὶ αἰνίγµατα.						
Proverbs	1	7	 ⲧⲁⲣⲭⲏ ⲛ̀ϯⲥⲟⲫⲓⲁ ϯϩⲟϯ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲧⲉ ⲡⲓⲕⲁϯ ⲇⲉ ⲛⲁⲛⲉϥ ⲛ̀ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧⲓⲣⲓ ⲙ̀ⲙⲟϥ ϯⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ ⲇⲉ ⲑⲁ ⲫϯ ⲧⲁⲣⲭⲏ ⲙ̀ⲡⲓⲕⲁϯ ⲡⲉ ϯⲥⲟⲫⲓⲁ ⲛⲉⲙ ϯⲥⲃⲱ ⲛⲓⲁⲥⲉⲃⲏⲥ ⲉⲩⲉ̀ϣⲱϣϥⲟⲩ	 ⲧⲁⲣⲭⲏ ⲛ̅ⲧⲥⲟⲫⲓⲁ ⲧⲉ ⲑⲟⲧⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲛⲁⲛⲟⲩ ⲧⲙⲛ̅ⲣⲙⲛ̅ϩⲏⲧ ⲇⲉ ⲛ̅ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲛⲁⲁⲥ ⲧⲁⲣⲭⲏ ⲛ̅ⲧⲁⲓⲥⲑⲏⲥⲓⲥ ⲧⲉ ⲧⲙⲛ̅ⲧⲙⲁⲓⲛⲟⲩⲧⲉ ⲛ̅ⲁⲥⲉⲃⲏⲥ ⲇⲉ ⲛⲁⲥⲱⲱϥ ⲛ̅ⲧⲥⲟⲫⲓⲁ ⲙⲛ̅ⲧⲉⲥⲃⲱ.	 The fear of the Lord is the beginning of wisdom; and there is good understanding to all that practise it: and piety toward God is the beginning of discernment; but the ungodly will set at nought wisdom and instruction.	 Ἀρχὴ σοφίας φόβος θεοῦ, σύνεσις δὲ ἀγαθὴ πᾶσι τοῖς ποιοῦσιν αὐτήν· εὐσέβεια δὲ εἰς θεὸν ἀρχὴ αἰσθήσεως, σοφίαν δὲ καὶ παιδείαν ἀσεβεῖς ἐξουθενήσουσιν.						
Proverbs	1	8	 ⲥⲱⲧⲉⲙ ⲡⲁϣⲏⲣⲓ ⲉ̀ϯⲥⲃⲱ ⲛ̀ⲧⲉ ⲡⲉⲕⲓⲱⲧ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣϩⲓⲡϩⲟ ⲛ̀ⲛⲓⲥⲟϭⲛⲓ ⲛ̀ⲧⲉ ⲧⲉⲕⲙⲁⲩ	 ⲥⲱⲧⲙ̅ ⲡⲁϣⲏⲣⲉ ⲉⲧⲉⲥⲃⲱ ⲙ̅ⲡⲉⲕⲉⲓⲱⲧ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ⲕⲱ ⲛ̅ⲥⲱⲕ ⲛ̅ⲛⲁⲛⲥⲙ̅ⲙⲉ ⲛ̅ⲧⲉⲕⲙⲁⲁⲩ.	 Hear, my son, the instruction of thy father, and reject not the rules of thy mother.	 ἄκουε, υἱέ, παιδείαν πατρός σου καὶ µὴ ἀπώσῃ θεσµοὺς µητρός σου·						
Proverbs	1	9	 ⲟⲩⲭⲗⲟⲙ ⲅⲁⲣ ⲛ̀ⲧⲉ ϩⲁⲛϩⲙⲟⲧ ⲉⲩⲉ̀ⲧⲏⲓϥ ϩⲓϫⲱⲕ ⲛⲉⲙ ⲟⲩⲭⲗⲁⲗ ⲛ̀ⲛⲟⲩⲃ ⲉ̀ⲡⲉⲕⲙⲟϯ	 ⲕⲛⲁϫⲓ ⲅⲁⲣ ⲛ̅ⲟⲩⲕⲗⲟⲙ ⲛ̅ϩⲙⲟⲧ ⲉϫⲛ̅ ⲧⲉⲕⲁⲡⲉ ⲁⲩⲱ ⲟⲩⲕⲗⲁⲗ ⲛ̅ⲛⲟⲩⲃ ⲉⲡⲉⲕⲙⲁⲕϩ̅.	 For thou shalt receive for thine head a crown of graces, and a chain of gold round thy neck.	 στέφανον γὰρ χαρίτων δέξῃ σῇ κορυφῇ καὶ κλοιὸν χρύσεον περὶ σῷ τραχήλῳ.						
Proverbs	1	10	 ⲡⲁϣⲏⲣⲓ ⲙ̀ⲡⲉⲛⲑⲣⲟⲩⲥⲟⲣⲙⲉⲕ ⲛ̀ϫⲉ ϩⲁⲛⲣⲱⲙⲓ ⲛ̀ⲁⲥⲉⲃⲏⲥ ⲟⲩⲇⲉ ⲙ̀ⲡⲉⲣⲟⲩⲱϣ ⲉ̀ϣⲱⲡ ⲁⲩϣⲁⲛϯϩⲟ ⲉ̀ⲣⲟⲕ ⲉⲩϫⲱ ⲙ̀ⲙⲟⲥ	 ⲡⲁϣⲏⲣⲉ ⲙ̅ⲡⲣ̅ⲧⲣⲉ ϩⲉⲛⲣⲱⲙⲉ ⲛ̅ⲣⲉϥⲣⲛⲟⲃⲉ ⲡⲗⲁⲛⲁ ⲙ̅ⲙⲟⲕ ⲟⲩⲇⲉ ⲙ̅ⲡⲣ̅ⲟⲩⲱϣ ⲉⲩϣⲁⲛⲥⲉⲡⲥⲱⲡⲕ̅ ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ.	 My son, let not ungodly men lead thee astray, neither consent thou to them.	 υἱέ, µή σε πλανήσωσιν ἄνδρες ἀσεβεῖς, µηδὲ βουληθῇς, ἐὰν παρακαλέσωσί σε λέγοντες						
