book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Psalms	1		ⲡⲓⲯⲁⲗⲙⲟⲥ ⲁ̅	ⲁ̅								
Psalms	1	1	 ⲟⲩⲙⲁⲕⲁⲣⲓⲟⲥ ⲡⲉ ⲡⲓⲣⲱⲙⲓ ⲉⲧⲉ ⲙ̀ⲡⲉϥϣⲉ ϧⲉⲛ ⲡⲥⲟϭⲛⲓ ⲛ̀ⲧⲉ ⲛⲓⲁⲥⲉⲃⲏⲥ ⲟⲩⲇⲉ ⲙ̀ⲡⲉϥⲟϩⲓ ⲉ̀ⲣⲁⲧϥ ϩⲓ ⲫⲙⲱⲓⲧ ⲛ̀ⲧⲉ ⲛⲓⲣⲉϥⲉⲣⲛⲟⲃⲓ. (2) ⲟⲩⲇⲉ ⲙ̀ⲡⲉϥϩⲉⲙⲥⲓ ϩⲓ ⲧⲕⲁⲑⲉⲇⲣⲁ ⲛ̀ⲧⲉ ⲛⲓⲗⲟⲓⲙⲟⲥ	 ⲛⲁⲓ̈ⲁⲧϥ̅ ⲙ̅ⲡⲣⲱⲙⲉ ⲉⲧⲉ ⲙ̅ⲡϥ̅ⲃⲱⲕ ϩⲙ̅ ⲡϣⲟϫⲛⲉ ⲛ̅ⲛ̅ⲁⲥⲉⲃⲏⲥ ⲉⲙⲡϥ̅ⲁϩⲉⲣⲁⲧϥ̅ ϩⲓ ⲧⲉϩⲓⲏ ⲛ̅ⲛ̅ⲣⲉϥⲣ̅ⲛⲟⲃⲉ. ⲉⲙⲡϥ̅ϩⲙⲟⲟⲥ ϩⲓ ⲧⲕⲁⲑⲉⲇⲣⲁ ⲛ̅ⲛ̅ⲗⲟⲓⲙⲟⲥ.	 Blessed is the man who has not walked in the counsel of the ungodly, and has not stood in the way of sinners, and has not sat in the seat of evil men.	 Μακάριος ἀνήρ, ὃς οὐκ ἐπορεύθη ἐν βουλῇ ἀσεβῶν καὶ ἐν ὁδῷ ἁµαρτωλῶν οὐκ ἔστη καὶ ἐπὶ καθέδραν λοιµῶν οὐκ ἐκάθισεν,						
Psalms	1	2	 ⲁⲗⲗⲁ ⲉⲣⲉ ⲡⲉϥⲟⲩⲱϣ ϣⲱⲡⲓ ϧⲉⲛ ⲫⲛⲟⲙⲟⲥ ⲙ̀ⲡϭ̅ⲥ̅. ⲉϥⲉ̀ⲉⲣⲙⲉⲗⲉⲧⲁⲛ ϧⲉⲛ ⲡⲉϥⲛⲟⲙⲟⲥ ⲙ̀ⲡⲓⲉϩⲟⲟⲩ ⲛⲉⲙ ⲡⲓⲉϫⲱⲣϩ.	 ⲁⲗⲗⲁ ⲉⲣⲉ ⲡⲉϥⲟⲩⲱϣ ϣⲟⲟⲡ ϩⲙ̅ ⲡⲛⲟⲙⲟⲥ ⲙ̅ⲡϫⲟⲉⲓⲥ: ⲁⲩⲱ ϥⲛⲁⲙⲉⲗⲉⲧⲁ ⲙ̅ⲡⲉϥⲛⲟⲙⲟⲥ ⲙ̅ⲡⲉϩⲟⲟⲩ ⲙⲛ̅ ⲧⲉⲩϣⲏ.	 But his pleasure is in the law of the Lord; and in his law will he meditate day and night.	 ἀλλ’ ἢ ἐν τῷ νόµῳ κυρίου τὸ θέληµα αὐτοῦ, καὶ ἐν τῷ νόµῳ αὐτοῦ µελετήσει ἡµέρας καὶ νυκτός.						
Psalms	1	3	 ⲟⲩⲟϩ ⲉϥⲉ̀ⲉⲣ ⲙ̀ⲫⲣⲏϯ ⲙ̀ⲡⲓϣϣⲏⲛ ⲉⲧⲣⲏⲧ ϧⲁⲧⲉⲛ ⲛⲓϥⲟⲓ ⲙ̀ⲙⲱⲟⲩ ⲫⲏ ⲉⲑⲛⲁϯ ⲙ̀ⲡⲉϥⲟⲩⲧⲁϩ ϧⲉⲛ ⲡⲥⲏⲟⲩ ⲛ̀ⲧⲏⲓϥ. (4) ⲟⲩⲟϩ ⲟⲩϫⲱⲃⲓ ⲛ̀ⲧⲁϥ ⲛ̀ⲛⲉⲥϥⲟⲣϥⲉⲣ. ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲉ̀ϣⲁϥⲁⲓⲧⲟⲩ ϣⲁϥϯⲙⲁϯ ⲛ̀ϧⲏⲧⲟⲩ.	 ϥⲛⲁⲣ̅ⲑⲉ ⲙ̅ⲡϣⲏⲛ ⲉⲧⲣⲏⲧ ϩⲓϫⲛ̅ ⲙ̅ⲙⲁⲛ̅ϩⲁⲧⲉ ⲙ̅ⲙⲟⲟⲩ. ⲡⲁⲓ ⲉⲧⲛⲁϯ ⲙ̅ⲡⲉϥⲕⲁⲣⲡⲟⲥ ϩⲙ̅ ⲡⲉϥⲟⲩⲟⲉⲓϣ. ⲉⲛⲛⲉϥϭⲱⲃⲉ ⲛⲁⲥⲣⲟϥⲣⲉϥ ⲁⲛ. ϩⲱⲃ ⲛⲓⲙ ⲉⲧϥ̅ⲛⲁⲁⲁⲩ ⲛⲁⲥⲟⲟⲩⲧⲛ̅.	 And he shall be as a tree planted by the brooks of waters, which shall yield its fruit in its season, and its leaf shall not fall off; and whatsoever he shall do shall be prospered.	 καὶ ἔσται ὡς τὸ ξύλον τὸ πεφυτευµένον παρὰ τὰς διεξόδους τῶν ὑδάτων, ὃ τὸν καρπὸν αὐτοῦ δώσει ἐν καιρῷ αὐτοῦ καὶ τὸ φύλλον αὐτοῦ οὐκ ἀπορρυήσεται· καὶ πάντα, ὅσα ἂν ποιῇ, κατευοδωθήσεται.						
Psalms	1	4	 (5) ⲡⲁⲓⲣⲏϯ ⲁⲛ ⲛⲓⲁⲥⲉⲃⲏⲥ ⲡⲁⲓⲣⲏϯ ⲁⲛ ⲁⲗⲗⲁ ⲙ̀ⲫⲣⲏϯ ⲙ̀ⲡⲓⲣⲏⲓⲥⲓ ⲉ̀ϣⲁⲣⲉ ⲡⲑⲏⲟⲩ ⲛⲉϩϥ ⲉ̀ⲃⲟⲗ ϩⲓϫⲉⲛ ⲡϩⲟ ⲙ̀ⲡⲕⲁϩⲓ.	 ⲛ̅ⲧⲁⲓ ⲁⲛ ⲧⲉ ⲑⲉ ⲛ̅ⲛ̅ⲁⲥⲉⲃⲏⲥ ⲛ̅ⲧⲁⲓ ⲁⲛ ⲧⲉ ⲑⲉ. ⲁⲗⲗⲁ ⲉⲩⲛⲁⲣ̅ⲑⲉ ⲙ̅ⲡϣⲟⲉⲓϣ ⲉϣⲁⲣⲉ ⲡⲧⲏⲩ ⲑⲗⲟϥ ⲉⲃⲟⲗ ϩⲓϫⲙ̅ ⲡϩⲟ ⲙ̅ⲡⲕⲁϩ.	 Not so the ungodly; —not so: but rather as the chaff which the wind scatters away from the face of the earth.	 οὐχ οὕτως οἱ ἀσεβεῖς, οὐχ οὕτως, ἀλλ’ ἢ ὡς ὁ χνοῦς, ὃν ἐκρίπτει ὁ ἄνεµος ἀπὸ προσώπου τῆς γῆς.						
Psalms	1	5	 (6) ⲉⲑⲃⲉ ⲫⲁⲓ ⲛ̀ⲛⲉ ⲛⲓⲁⲥⲉⲃⲏⲥ ⲧⲱⲟⲩⲛⲟⲩ ϧⲉⲛ ϯⲕⲣⲓⲥⲓⲥ. ⲟⲩⲇⲉ ⲛⲓⲣⲉϥⲉⲣⲛⲟⲃⲓ ϧⲉⲛ ⲡⲥⲟϭⲛⲓ ⲛ̀ⲧⲉ ⲛⲓⲑⲙⲏⲓ	 ⲉⲧⲃⲉ ⲡⲁⲓ ⲙⲛ̅ ⲁⲥⲉⲃⲏⲥ ⲛⲁⲧⲱⲟⲩⲛ ϩⲛ̅ ⲧⲉⲕⲣⲓⲥⲓⲥ. ⲟⲩⲇⲉ ⲣⲉϥⲣ̅ⲛⲟⲃⲉ ϩⲛ̅ ⲧⲥⲩⲛⲁⲅⲱⲅⲏ ⲛ̅ⲛ̅ⲇⲓⲕⲁⲓⲟⲥ	 Therefore the ungodly shall not rise in judgment, nor sinners in the counsel of the just.	 διὰ τοῦτο οὐκ ἀναστήσονται ἀσεβεῖς ἐν κρίσει οὐδὲ ἁµαρτωλοὶ ἐν βουλῇ δικαίων·						
Psalms	1	6	 (7) ϫⲉ ⲡϭ̅ⲥ̅ ⲥⲱⲟⲩⲛ ⲙ̀ⲫⲙⲱⲓⲧ ⲛ̀ⲧⲉ ⲛⲓⲑⲙⲏⲓ. ⲟⲩⲟϩ ⲫⲙⲱⲓⲧ ⲛ̀ⲧⲉ ⲛⲓⲁⲥⲉⲃⲏⲥ ϥⲛⲁⲧⲁⲕⲟ	 ϫⲉ ⲡϫⲟⲉⲓⲥ ⲥⲟⲟⲩⲛ ⲛ̅ⲧⲉϩⲓⲏ ⲛ̅ⲛ̅ⲇⲓⲕⲁⲓⲟⲥ ⲧⲉϩⲓ̈ⲏ ⲇⲉ ⲛ̅ⲛ̅ⲁⲥⲉⲃⲏⲥ ⲛⲁϩⲉ ⲉⲃⲟⲗ:	 For the Lord knows the way of the righteous; but the way of the ungodly shall perish.	 ὅτι γινώσκει κύριος ὁδὸν δικαίων, καὶ ὁδὸς ἀσεβῶν ἀπολεῖται.						
Psalms	2		ⲡⲓⲯⲁⲗⲙⲟⲥ ⲃ̅. ⲧⲱ ⲇⲁⲩⲓⲇ ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲉⲑⲃⲉ ⲛⲓⲙⲕⲁⲩϩ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅.	ⲃ̅. ⲧⲱⲇⲏ ⲛ̅ⲇⲁⲩⲉⲓⲇ:								
Psalms	2	1	 ⲉⲑⲃⲉ ⲟⲩ ϩⲁⲛⲉⲑⲛⲟⲥ ⲁⲩⲱϣ ⲉ̀ⲃⲟⲗ ⲟⲩⲟϩ ϩⲁⲛⲗⲁⲟⲥ ⲁⲩⲉⲣⲙⲉⲗⲉⲧⲁⲛ ϧⲉⲛ ϩⲁⲛⲡⲉⲧϣⲟⲩⲓⲧ.	 ⲁϩⲣⲟⲟⲩ ⲛ̅ϩⲉⲑⲛⲟⲥ ⲁⲩϫⲓⲥⲉ ⲛ̅ϩⲏⲧ. ⲁ ⲛ̅ⲗⲁⲟⲥ ⲙⲉⲗⲉⲧⲁ ⲛ̅ϩⲉⲛⲡⲉⲧϣⲟⲩⲉⲓⲧ.	 Wherefore did the heathen rage, and the nations imagine vain things?	 Ἵνα τί ἐφρύαξαν ἔθνη καὶ λαοὶ ἐµελέτησαν κενά;						
Psalms	2	2	 (1) ⲁⲩⲟϩⲓ ⲉ̀ⲣⲁⲧⲟⲩ ⲛ̀ϫⲉ ⲛⲓⲟⲩⲣⲱⲟⲩ ⲛ̀ⲧⲉ ⲡⲕⲁϩⲓ ⲟⲩⲟϩ ⲛⲓⲕⲉⲁⲣⲭⲱⲛ ⲁⲩⲑⲱⲟⲩϯ ⲉⲩⲙⲁ ⲉ̀ϯⲟⲩⲃⲉ ⲡϭ̅ⲥ̅ ⲛⲉⲙ ⲉ̀ϯⲟⲩⲃⲉ ⲡⲉϥⲭⲣ̅ⲥ̅.	 ⲁⲩⲁϩⲉⲣⲁⲧⲟⲩ ⲛ̅ϭⲓ ⲛ̅ⲉⲣⲣⲱⲟⲩ ⲙ̅ⲡⲕⲁϩ ⲁⲩⲱ ⲁ ⲛ̅ⲁⲣⲭⲱⲛ ⲥⲱⲟⲩϩ ⲉⲩⲙⲁ ⲛ̅ⲟⲩⲱⲧ. ⲉϯⲟⲩⲃⲉ ⲡϫⲟⲉⲓⲥ ⲙⲛ̅ ⲡⲉϥⲭⲣ̅ⲥ̅. ⲇⲓⲁⲯⲁⲗⲙⲁ.	 The kings of the earth stood up, and the rulers gathered themselves together, against the Lord, and against his Christ;	 παρέστησαν οἱ βασιλεῖς τῆς γῆς, καὶ οἱ ἄρχοντες συνήχθησαν ἐπὶ τὸ αὐτὸ κατὰ τοῦ κυρίου καὶ κατὰ τοῦ χριστοῦ αὐτοῦ. διάψαλµα.						
