book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Second Chronicles	3	1	 ⲟⲩⲟϩ ⲁϥⲉⲣϩⲏⲧⲥ ⲛ̀ϫⲉ ⲥⲟⲗⲟⲙⲱⲛ ⲉ̀ⲕⲱⲧ ⲙ̀ⲡⲏⲓ ⲙ̀ⲡϭ̅ⲥ̅ ϧⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ϧⲉⲛ ⲡⲓⲧⲱⲟⲩ ⲛ̀ⲧⲉ ⲛⲓⲁⲙⲟⲣⲣⲉⲟⲥ ⲡⲓⲙⲁ ⲉⲧⲁ ⲡϭ̅ⲥ̅ ⲟⲩⲟⲛϩϥ ⲉ̀ⲇⲁⲩⲓⲇ ⲡⲉϥⲓⲱⲧ ⲙ̀ⲙⲁⲩ ⲡⲓⲙⲁ ⲉⲧⲁϥⲥⲉⲃⲧⲱⲧϥ ϧⲉⲛ ⲡⲓϭⲛⲱⲟⲩ ̀ ⲟⲣⲛⲁⲛ ⲡⲓⲓⲉⲃⲟⲩⲥⲉⲟⲥ		 And Solomon began to build the house of the Lord in Jerusalem in the mount of Amoria, where the Lord appeared to his father David, in the place which David had prepared in the threshing-floor of Orna the Jebusite.	 Καὶ ἤρξατο Σαλωµων τοῦ οἰκοδοµεῖν τὸν οἶκον κυρίου ἐν Ιερουσαληµ ἐν ὄρει τοῦ Αµορια, οὗ ὤφθη κύριος τῷ Δαυιδ πατρὶ αὐτοῦ, ἐν τῷ τόπῳ, ᾧ ἡτοίµασεν Δαυιδ ἐν ἅλῳ Ορνα τοῦ Ιεβουσαίου.						
Second Chronicles	3	2	 ⲟⲩⲟϩ ⲁϥⲉⲣϩⲏⲧⲥ ⲛ̀ⲕⲱⲧ ϧⲉⲛ ⲡⲓⲁⲃⲟⲧ ⲙ̀ⲙⲁϩⲃ̅ ϧⲉⲛ ϯⲙⲁϩⲇ̅ ⲛ̀ⲣⲟⲙⲡⲓ ⲛ̀ⲧⲉ ⲧⲉϥⲙⲉⲧⲟⲩⲣⲟ		 And he began to build in the second month, in the fourth year of his reign.	 καὶ ἤρξατο οἰκοδοµῆσαι ἐν τῷ µηνὶ τῷ δευτέρῳ ἐν τῷ ἔτει τῷ τετάρτῳ τῆς βασιλείας αὐτοῦ.						
Second Chronicles	3	3	 ⲟⲩⲟϩ ϧⲉⲛ ⲛⲁⲓ ⲁϥⲉⲣϩⲏⲧⲥ ⲛ̀ϫⲉ ⲥⲟⲗⲟⲙⲱⲛ ⲉ̀ⲕⲱⲧ ⲙ̀ⲡⲏⲓ ⲙ̀ⲫϯ ⲧⲉϥϣⲓⲏ ⲇⲉ ⲉⲥⲓⲣⲓ ⲛ̀ⲥⲉ ⲙ̀ⲙⲁϩⲓ ⲟⲩⲟϩ ⲡⲉϥⲟⲩⲟⲥⲑⲉⲛ ϫⲱⲧ ⲙ̀ⲙⲁϩⲓ		 And thus Solomon began to build the house of God: the length in cubits—even the first measurement from end to end, was sixty cubits, and the breadth twenty cubits.	 καὶ ταῦτα ἤρξατο Σαλωµων τοῦ οἰκοδοµῆσαι τὸν οἶκον τοῦ θεοῦ· µῆκος πήχεων ἡ διαµέτρησις ἡ πρώτη πήχεων ἑξήκοντα καὶ εὖρος πήχεων εἴκοσι.						
Second Chronicles	3	4	 ⲛⲉⲙ ⲡⲓⲉⲗⲁⲙ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡⲓⲏⲓ ⲉϥⲟⲓ ⲛ̀ϫⲱⲧ ⲙ̀ⲙⲁϩⲓ ⲟⲩⲟϩ ⲡⲉϥϭⲓⲥⲓ ⲉϥⲓⲣⲓ ⲛ̀ϣⲉ ϫⲱⲧ ⲙ̀ⲙⲁϩⲓ ⲟⲩⲟϩ ⲁϥⲗⲁⲗⲱϥ ⲛ̀ⲛⲟⲩⲃ ⲉϥⲧⲟⲩⲃⲏⲟⲩⲧ ⲥⲁϧⲟⲩⲛ ⲛⲉⲙ ⲥⲁⲃⲟⲗ		 And the portico in front of the house, its length in front of the breadth of the house was twenty cubits, and its height a hundred and twenty cubits: and he gilded it within with pure gold.	 καὶ αιλαµ κατὰ πρόσωπον τοῦ οἴκου, µῆκος ἐπὶ πρόσωπον πλάτους τοῦ οἴκου πήχεων εἴκοσι καὶ ὕψος πήχεων ἑκατὸν εἴκοσι· καὶ κατεχρύσωσεν αὐτὸν ἔσωθεν χρυσίῳ καθαρῷ.						
Second Chronicles	3	5	 ⲟⲩⲟϩ ⲡⲓⲛⲓϣϯ ⲛⲏⲓ ⲁϥⲧⲁϫⲣⲟϥ ϧⲉⲛ ϩⲁⲛϣⲉⲛⲥⲓϥⲓ ⲟⲩⲟϩ ⲁϥⲗⲁⲗⲱϥ ⲛ̀ⲛⲟⲩⲃ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲟⲩⲛⲟⲩⲃ ⲛ̀ⲕⲁⲑⲁⲣⲟⲥ ⲁϥⲫⲱⲧϩ ⲛ̀ϧⲏⲧϥ ⲛ̀ϩⲁⲛⲃⲉⲛⲓ ⲛⲉⲙ ⲛⲏ ⲉⲧⲁϣⲓ ⲉ̀ϩⲣⲏⲓ		 And he lined the great house with cedar wood, and gilded it with pure gold, and carved upon it palm-trees and chains.	 καὶ τὸν οἶκον τὸν µέγαν ἐξύλωσεν ξύλοις κεδρίνοις καὶ κατεχρύσωσεν χρυσίῳ καθαρῷ καὶ ἔγλυψεν ἐπ’ αὐτοῦ φοίνικας καὶ χαλαστά.						
Second Chronicles	3	6	 ⲁϥⲥⲟⲗⲥⲉⲗ ⲙ̀ⲡⲓⲏⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ϩⲁⲛⲱⲛⲓ ⲉⲩⲧⲁⲓⲏⲟⲩⲧ ⲉ̀ⲛⲁϣⲉⲛⲥⲟⲩⲉⲛⲟⲩ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲓⲛⲟⲩⲃ ⲉⲧⲧⲟⲩⲃⲏⲟⲩⲧ ⲛ̀ⲧⲉ ⲫⲁⲣⲟⲩⲓⲙ		 And he garnished the house with precious stones for beauty; and he gilded it with gold of the gold from Pharuim.	 καὶ ἐκόσµησεν τὸν οἶκον λίθοις τιµίοις εἰς δόξαν καὶ χρυσίῳ χρυσίου τοῦ ἐκ Φαρουαιµ						
Second Chronicles	3	7	 ⲟⲩⲟϩ ⲉϥⲗⲁⲗⲉ ⲡⲓⲏⲓ ⲛ̀ⲛⲟⲩⲃ ⲛⲉⲙ ⲛⲓϫⲟⲓ ⲛ̀ⲧⲉ ⲡⲓⲏⲓ ⲛⲉⲙ ⲛⲉϥⲡⲩⲗⲱⲛ ⲛⲉⲙ ⲛⲉϥⲙⲁⲛ̀ϫⲟⲩϣⲧ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲁϥ ⲛⲉⲙ ⲛⲉϥⲟⲩⲉϫⲣⲱⲟⲩⲓ ⲁϥⲟϣϫⲟⲩ ⲛ̀ⲛⲟⲩⲃ ⲟⲩⲟϩ ⲁϥⲫⲉⲧϩ ⲛ̀ϩⲁⲛⲭⲉⲣⲟⲩⲃⲓⲙ ϩⲓϫⲱⲟⲩ ⲛⲉⲙ ϩⲓ ⲛⲓϫⲟⲓ		 And he gilded the house, and its inner walls, and the door-posts, and the roofs, and the doors with gold; and he carved cherubs on the walls.	 καὶ ἐχρύσωσεν τὸν οἶκον καὶ τοὺς τοίχους καὶ τοὺς πυλῶνας καὶ τὰ ὀροφώµατα καὶ τὰ θυρώµατα χρυσίῳ καὶ ἔγλυψεν χερουβιν ἐπὶ τῶν τοίχων.—						
Second Chronicles	3	8	 ⲁϥⲑⲁⲙⲓⲟ ⲙ̀ⲡⲓⲙⲁ ⲉⲑⲟⲩⲁⲃ ⲛ̀ⲧⲉ ⲛⲏ ⲉⲑⲟⲩⲁⲃ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡⲓⲏⲓ ⲧⲉϥϣⲓⲏ ⲉⲥⲟⲓ ⲛ̀ϫⲱⲧ ⲙ̀ⲙⲁϩⲓ ⲛⲉⲙ ⲡⲉϥⲟⲩⲟⲥⲑⲉⲛ ⲁϥⲟⲩⲟϣϫϥ ⲛ̀ⲛⲟⲩⲃ ⲉϥⲧⲟⲩⲃⲏⲟⲩⲧ ⲁϥⲫⲱⲧϩ ⲛ̀ⲭⲉⲣⲟⲩⲃⲓⲙ ⲥⲟⲟⲩ ϣⲉ ⲛ̀ϫⲓⲛϭⲱⲣ ⲛ̀ⲛⲟⲩⲃ		 And he built the holy of holies, its length was according to the front of the other house, the breadth of the house was twenty cubits, and the length twenty cubits: and he gilded it with pure gold for cherubs, to the amount of six hundred talents.	 καὶ ἐποίησεν τὸν οἶκον τοῦ ἁγίου τῶν ἁγίων, µῆκος αὐτοῦ ἐπὶ πρόσωπον πλάτους πήχεων εἴκοσι καὶ τὸ εὖρος πήχεων εἴκοσι, καὶ κατεχρύσωσεν αὐτὸν χρυσίῳ καθαρῷ εἰς χερουβιν εἰς τάλαντα ἑξακόσια.						
Second Chronicles	3	9	 ⲟⲩⲟϩ ⲛⲓⲓϥⲧ ⲡϣⲓ ⲙ̀ⲡⲓⲟⲩⲁⲓ ⲡⲓⲟⲩⲁⲓ ⲡⲉ ⲧⲁⲓⲟⲩ ⲛ̀ⲥⲓⲕⲗⲟⲥ ⲛ̀ⲛⲟⲩⲃ ⲟⲩⲟϩ ⲁϥⲗⲁⲗⲉ ⲥⲁⲡϣⲱⲓ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ⲛⲟⲩⲃ		 And the weight of the nails, even the weight of each was fifty shekels of gold: and he gilded the upper chamber with gold.	 καὶ ὁλκὴ τῶν ἥλων, ὁλκὴ τοῦ ἑνὸς πεντήκοντα σίκλοι χρυσίου. καὶ τὸ ὑπερῷον ἐχρύσωσεν χρυσίῳ.						
Second Chronicles	3	10	 ⲟⲩⲟϩ ⲁϥⲑⲁⲙⲓⲟ ⲛ̀ϩⲁⲛⲭⲉⲣⲟⲩⲃⲓⲙ ϧⲉⲛ ⲡⲓⲙⲁ ⲉⲑⲟⲩⲁⲃ ⲛ̀ⲧⲉ ⲛⲏ ⲉⲑⲟⲩⲁⲃ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ϩⲁⲛϣⲉ ⲟⲩⲟϩ ⲁϥⲗⲁⲗⲱⲟⲩ ⲛ̀ⲛⲟⲩⲃ		 And he made two cherubs in the most holy house, wood-work, and he gilded them with gold.	 καὶ ἐποίησεν ἐν τῷ οἴκῳ τῷ ἁγίῳ τῶν ἁγίων χερουβιν δύο ἔργον ἐκ ξύλων καὶ ἐχρύσωσεν αὐτὰ χρυσίῳ.						
