book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Second Epistle to the Corinthians	1		ⲡⲣⲟⲥ ⲕⲟⲣⲓⲛⲑⲓⲟⲩⲥ ⲃ ⲅ ⲁ									
Second Epistle to the Corinthians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫⲟⲩⲱϣ ⲙ̀ⲫϯ ⲛⲉⲙ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲓⲥⲟⲛ ⲛ̀ϯⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲫϯ ⲑⲏ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲕⲟⲣⲓⲛⲑⲟⲥ ⲛⲉⲙ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲑⲟⲩⲁⲃ ⲉⲧϣⲟⲡ ϧⲉⲛ ϯⲁⲭⲁⲓⲁ ⲧⲏⲣⲥ	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ϩⲓⲧⲙ̅ ⲡⲟⲩⲱϣ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲙⲛ̅ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲥⲟⲛ ⲉⲩⲥϩⲁⲓ ⲛ̅ⲧⲉⲕⲕⲗⲏⲥⲓⲁ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲧⲁⲓ ⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲕⲟⲣⲓⲛⲑⲟⲥ. ⲙⲛ̅ ⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ ⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲧⲁⲭⲁⲓⲁ ⲧⲏⲣⲥ̅.	 Paul (the) apostle of Christ Jesus, through (the) wish of God, and Timotheos the brother, to the church of God, which is in Korinthos, with all the saints who are in all [the] Achaia:	 Παῦλος ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος θεοῦ καὶ Τιμόθεος ὁ ἀδελφὸς τῇ ἐκκλησίᾳ τοῦ θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ, σὺν τοῖς ἁγίοις πᾶσιν τοῖς οὖσιν ἐν ὅλῃ τῇ Ἀχαΐᾳ·						
Second Epistle to the Corinthians	1	2	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ. ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡϫⲟⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:	 (the) grace to you and (the) peace from God our Father and our Lord Jesus Christ.	 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.						
Second Epistle to the Corinthians	1	3	 ϥⲉⲛϩⲟⲧ ⲛ̀ϫⲉ ⲫϯ ⲫⲓⲱⲧ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲫⲓⲱⲧ ⲛ̀ⲧⲉ ⲛⲓⲙⲉⲧϣⲉⲛϩⲏⲧ ⲟⲩⲟϩ ⲫϯ ⲛ̀ⲧⲉ ⲛⲟⲙϯ ⲛⲓⲃⲉⲛ	 ϥⲥⲙⲁⲙⲁⲁⲧ ⲛ̅ϭⲓ ⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡⲉⲓⲱⲧ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅. ⲡⲉⲓⲱⲧ ⲛⲙ̅ⲙⲛ̅ⲧϣⲁⲛϩⲧⲏϥ ⲁⲩⲱ ⲡⲛⲟⲩⲧⲉ ⲛ̅ⲥⲟⲡⲥ̅ ⲛⲓⲙ.	 God is faithful, the Father of our Lord Jesus Christ, the Father of the compassions, and God of all comfort;	 Εὐλογητὸς ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ πατὴρ τῶν οἰκτιρμῶν καὶ θεὸς πάσης παρακλήσεως,						
Second Epistle to the Corinthians	1	4	 ⲫⲁⲓ ⲉⲧⲁϥϯⲛⲟⲙϯ ⲛⲁⲛ ϧⲉⲛ ⲡⲉⲛϩⲟϫϩⲉϫ ⲧⲏⲣϥ ⲉⲑⲣⲉⲛϫⲉⲙϫⲟⲙ ϩⲱⲛ ⲉ̀ϯⲛⲟⲙϯ ⲛ̀ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧⲭⲏ ϧⲉⲛ ϩⲟϫϩⲉϫ ⲛⲓⲃⲉⲛ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ϯⲛⲟⲙϯ ⲑⲏ ⲉⲧⲁ ⲫϯ ϯⲛⲟⲙϯ ⲛⲁⲛ ⲛ̀ϧⲏⲧⲥ	 ⲡⲉⲧⲥⲟⲡⲥ̅ ⲙ̅ⲙⲟⲛ ϩⲛ̅ ⲛⲉⲛⲑⲗⲓⲯⲓⲥ ⲧⲏⲣⲟⲩ. ϫⲉ ⲉⲛⲉϣϭⲙ̅ϭⲟⲙ ϩⲱⲱⲛ ⲉⲥⲉⲡⲥ̅ ⲛⲉⲧϩⲛ̅ ⲑⲗⲓⲯⲓⲥ ⲛⲓⲙ. ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲥⲟⲡⲥ̅ ⲉⲧⲟⲩⲥⲟⲡⲥ̅ ⲙ̅ⲙⲟⲛ ⲙ̅ⲙⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ.	 he (lit. this) who comforted us in all our tribulation, to cause us also to be able to comfort all who are in any (lit. all) tribulation, through the comfort in which God comforted us.	 ὁ παρακαλῶν ἡμᾶς ἐπὶ πάσῃ τῇ θλίψει ἡμῶν, εἰς τὸ δύνασθαι ἡμᾶς παρακαλεῖν τοὺς ἐν πάσῃ θλίψει διὰ τῆς παρακλήσεως ἧς παρακαλούμεθα αὐτοὶ ὑπὸ τοῦ θεοῦ.						
Second Epistle to the Corinthians	1	5	 ϫⲉ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲉ ⲛⲓⲙⲕⲁⲩϩ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲟⲓ ⲛ̀ϩⲟⲩⲟ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲣⲟⲛ ⲡⲁⲓⲣⲏϯ ⲟⲛ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲭ̅ⲥ̅ ⲥⲟⲓ ⲛ̀ϩⲟⲩⲟ ⲛ̀ϫⲉ ⲧⲉⲛⲕⲉⲛⲟⲙϯ	 ϫⲉ ⲛ̅ⲑⲉ ⲉⲧⲉⲣⲉ ⲙ̅ⲙⲟⲕϩⲥ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲟϣ ⲉϩⲟⲩⲛ ⲉⲣⲟⲛ. ⲧⲁⲓ ⲟⲛ ⲧⲉ ⲑⲉ ϩⲓⲧⲙ̅ ⲡⲉⲭ̅ⲥ̅ ϥⲣ̅ϩⲟⲩⲟ ⲛ̅ϭⲓ ⲡⲉⲛⲕⲉⲥⲟⲡⲥ̅.	 Because according as the pains of Christ abound into us, thus also through Christ aboundeth our comfort also.	 ὅτι καθὼς περισσεύει τὰ παθήματα τοῦ Χριστοῦ εἰς ἡμᾶς, οὕτως διὰ τοῦ Χριστοῦ περισσεύει καὶ ἡ παράκλησις ἡμῶν.						
Second Epistle to the Corinthians	1	6	 ⲓⲧⲉ ⲇⲉ ⲥⲉϩⲟϫϩⲉϫ ⲙ̀ⲙⲟⲛ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲧⲉⲧⲉⲛⲛⲟⲙϯ ⲛⲉⲙ ⲡⲉⲧⲉⲛⲟⲩϫⲁⲓ ⲓⲧⲉ ⲥⲉⲑⲱⲧ ⲙ̀ⲡⲉⲛϩⲏⲧ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲧⲉⲧⲉⲛⲛⲟⲙϯ ⲑⲏ ⲉⲧⲉⲣϩⲱⲃ ϧⲉⲛ ⲟⲩⲁⲙⲟⲛⲓ ⲛ̀ⲧⲟⲧϥ ⲛ̀ⲧⲉ ⲛⲁⲓⲙⲕⲁⲩϩ ⲛ̀ⲟⲩⲱⲧ ⲛⲁⲓ ⲉⲧⲉⲛⲙⲟⲕϩ ⲛ̀ϧⲏⲧⲟⲩ ϩⲱⲛ	 ⲉⲓⲧⲉ ⲇⲉ ⲥⲉⲑⲗⲓⲃⲉ ⲙ̅ⲙⲟⲛ ⲉⲩⲑⲗⲓⲃⲉ ⲙ̅ⲙⲟⲛ ϩⲁ ⲡⲉⲧⲛ̅ⲥⲟⲡⲥ̅ ⲙⲛ̅ ⲡⲉⲧⲛ̅ⲟⲩϫⲁⲓ. ⲉⲓⲧⲉ ⲥⲉⲥⲟⲡⲥ ⲙ̅ⲙⲟⲛ ⲉⲩⲥⲟⲡⲥ̅ ⲙ̅ⲙⲟⲛ ϩⲁ ⲡⲉⲧⲛⲥⲟⲡⲥ̅. ⲡⲁⲓ ⲉⲧⲉⲛⲉⲣⲅⲓ ϩⲛ̅ ⲑⲩⲡⲟⲙⲟⲛⲏ ⲛ̅ⲛⲓϩⲓⲥⲉ ⲛ̅ⲟⲩⲱⲧ. ⲛⲁⲓ ϩⲱⲱⲛ ⲉⲧⲛ̅ϣⲱⲡ ⲙ̅ⲙⲟⲟⲩ. ⲁⲩⲱ ⲧⲉⲛϩⲉⲗⲡⲓⲥ ⲧⲁϫⲣⲏⲩ ϩⲁⲣⲱⲧⲛ̅.	 And whether we be afflicted, it is for your consolation and salvation, which nis effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation.	 εἴτε δὲ θλιβόμεθα, ὑπὲρ τῆς ὑμῶν παρακλήσεως καὶ σωτηρίας· εἴτε παρακαλούμεθα, ὑπὲρ τῆς ὑμῶν παρακλήσεως τῆς ἐνεργουμένης ἐν ὑπομονῇ τῶν αὐτῶν παθημάτων ὧν καὶ ἡμεῖς πάσχομεν,						
Second Epistle to the Corinthians	1	7	 ⲟⲩⲟϩ ⲧⲉⲛϩⲉⲗⲡⲓⲥ ⲧⲁϫⲣⲏⲟⲩⲧ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲉⲛⲉⲙⲓ ϫⲉ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲉⲧⲉⲛⲟⲓ ⲛ̀ϣⲫⲏⲣ ⲉ̀ⲛⲓⲙⲕⲁⲩϩ ⲡⲁⲓⲣⲏϯ ⲟⲛ ⲉ̀ϯⲕⲉⲛⲟⲙϯ	 ⲉⲛⲥⲟⲟⲩⲛ ϫⲉ ⲛ̅ⲑⲉ ⲛ̅ⲧⲉⲧⲛ̅ϩⲉⲛⲕⲟⲓⲛⲱⲛⲟⲥ ⲉⲛⲉⲙⲕⲟⲟϩ. ⲧⲁⲓ ⲟⲛ ⲧⲉ ⲑⲉ ⲙ̅ⲡⲕⲉⲥⲟⲡⲥ̅:	 and our hope (is) firm for you; knowing that according as ye are sharers of the pains, thus also of the comfort.	 καὶ ἡ ἐλπὶς ἡμῶν βεβαία ὑπὲρ ὑμῶν· εἰδότες ὅτι ὡς κοινωνοί ἐστε τῶν παθημάτων, οὕτως καὶ τῆς παρακλήσεως.						
Second Epistle to the Corinthians	1	8	 ⲛ̀ϯⲟⲩⲉϣ ⲑⲏⲛⲟⲩ ⲇⲉ ⲁⲛ ⲉⲣⲉⲧⲉⲛⲟⲓ ⲛ̀ⲁⲧⲉⲙⲓ ⲛⲁⲥⲛⲏⲟⲩ ⲉⲑⲃⲉ ⲡⲓϩⲟϫϩⲉϫ ⲉⲧⲁϥϣⲱⲡⲓ ⲙ̀ⲙⲟⲛ ϧⲉⲛ ϯⲁⲥⲓⲁ ϫⲉ ϧⲉⲛ ⲟⲩⲙⲉⲧϩⲟⲩⲟ ⲁⲩϩⲣⲟϣ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱⲛ ⲛ̀ϩⲟⲩⲟ ⲉ̀ⲧⲉⲛϫⲟⲙ ϩⲱⲥⲧⲉ ⲛ̀ⲧⲉⲛϣ̀ⲧⲉⲙϫⲉⲙϩⲏⲟⲩ ⲙ̀ⲡⲓⲕⲉⲱⲛϧ	 ⲛ̅ⲧⲛ̅ⲟⲩⲱϣ ⲅⲁⲣ ⲁⲛ ⲉⲧⲣⲉⲧⲛ̅ⲣ̅ⲁⲧⲥⲟⲟⲩⲛ ⲛⲉⲥⲛⲏⲩ ⲛ̅ⲧⲉⲛⲑⲗⲓⲯⲓⲥ ⲧⲁⲓ ⲉⲛⲧⲁⲥϣⲱⲡⲉ ⲙ̅ⲙⲟⲛ ϩⲛ̅ ⲧⲁⲥⲓⲁ. ϫⲉ ⲁⲩⲃⲁⲣⲓ ⲙ̅ⲙⲟⲛ ⲛ̅ϩⲟⲩⲟ ⲡⲁⲣⲁⲧⲉⲛϭⲟⲙ. ϩⲱⲥⲧⲉ ⲉⲧⲣⲉ ⲛⲟⲩⲉ ⲉⲡⲕⲉⲱⲛϩ̅.	 But I wish you not to be (lit. being) ignorant, my brethren, concerning the tribulation which happened to us in [the] Asia, that we were weighed down excessively, more than our power, so that we gained not the life even:	 Οὐ γὰρ θέλομεν ὑμᾶς ἀγνοεῖν, ἀδελφοί, ὑπὲρ τῆς θλίψεως ἡμῶν τῆς γενομένης ἐν τῇ Ἀσίᾳ, ὅτι καθʼ ὑπερβολὴν ὑπὲρ δύναμιν ἐβαρήθημεν, ὥστε ἐξαπορηθῆναι ἡμᾶς καὶ τοῦ ζῆν·						
Second Epistle to the Corinthians	1	9	 ⲁⲗⲗⲁ ⲛ̀ϧⲣⲏⲓ ⲛ̀ϧⲏⲧⲉⲛ ⲁⲛϭⲓ ⲙ̀ⲡⲓⲉⲣⲟⲩⲱ ⲛ̀ⲧⲉ ⲫⲙⲟⲩ ϩⲓⲛⲁ ⲛ̀ⲧⲉⲛϣ̀ⲧⲉⲙϣⲱⲡⲓ ⲉⲣⲉϩⲑⲏⲛ ⲭⲏ ⲙ̀ⲙⲁⲩⲁⲧⲉⲛ ⲁⲗⲗⲁ ⲉ̀ⲫϯ ⲫⲏ ⲉⲧⲧⲟⲩⲛⲟⲥ ⲛ̀ⲛⲓⲣⲉϥⲙⲱⲟⲩⲧ	 ⲁⲗⲗⲁ ⲁⲛⲟⲛ ϩⲣⲁⲓ ⲛ̅ϩⲏⲧⲛ̅ ⲁⲛⲕⲁ ⲡⲙⲟⲩ ϩⲁ ⲉⲓⲁⲧⲛ̅. ϫⲉⲕⲁⲁⲥ ⲉⲛⲛⲉⲛϣⲱⲡⲉ ⲉⲣⲉϩⲧⲏⲛ ⲕⲏ ⲉⲣⲟⲛ. ⲁⲗⲗⲁ ⲉⲡⲛⲟⲩⲧⲉ ⲡⲁⲓ ⲉⲧⲧⲟⲩⲛⲟⲥ ⲛ̅ⲛ̅ⲣⲉϥⲙⲟⲟⲩⲧ	 but in ourselves we received the answer of (the) death, that we might not trust in ourselves only, but in God who raiseth the dead:	 ἀλλὰ αὐτοὶ ἐν ἑαυτοῖς τὸ ἀπόκριμα τοῦ θανάτου ἐσχήκαμεν, ἵνα μὴ πεποιθότες ὦμεν ἐφʼ ἑαυτοῖς ἀλλʼ ἐπὶ τῷ θεῷ τῷ ἐγείροντι τοὺς νεκρούς·						
