book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Tobit	1	1		 ⲡϫⲱⲱⲙⲉ ⲛ̅ⲛ̅ⲥⲁϫⲉ ⲛ̅ⲧⲱⲃⲓⲧ. ⲡϣⲏⲣⲉ ⲛ̅ⲇⲱⲃⲓⲏⲗ. ⲡϣⲏⲣⲉ ⲛ̅ⲁⲛⲁⲏⲗ. ⲡϣⲏⲣⲉ ⲛ̅ⲁⲇⲟⲩⲏⲗ. ⲡϣⲏⲣⲉ ⲛ̅ⲅⲁⲃⲣⲓⲏⲗ. ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲉⲥⲡⲉⲣⲙⲁ ⲛ̅ⲁⲥⲁⲏⲗ. ⲡⲉⲃⲟⲗ ϩⲛ̅ ⲧⲉⲫⲩⲗⲏ ⲛ̅ⲉⲫⲑⲁⲗⲉⲓⲙ.	 The book of the words of Tobit, son of Tobiel, the son of Ananiel, the son of Aduel, the son of Gabael, of the seed of Asael, of the tribe of Nephthali;	 Βίβλος λόγων Τωβιτ τοῦ Τωβιηλ τοῦ Ανανιηλ τοῦ Αδουηλ τοῦ Γαβαηλ ἐκ τοῦ σπέρµατος Ασιηλ ἐκ τῆς φυλῆς Νεφθαλιµ,						
Tobit	1	2		 ⲡⲁⲓ ⲛ̅ⲧⲁⲩⲁⲓⲭⲙⲁⲗⲱⲧⲓⲍⲉ ⲙ̅ⲙⲟϥ. ϩⲛ̅ ⲛⲉϩⲟⲟⲩ ⲛ̅ⲁⲙⲉⲥⲥⲁⲣⲟⲥ ⲡⲣ̅ⲣⲟ ⲛ̅ⲛ̅ⲁⲥⲥⲩⲣⲓⲟⲥ. ⲉⲃⲟⲗ ϩⲛ̅ ⲑⲓⲥⲓⲥ. ⲉⲧⲥⲁⲟⲩⲛⲁⲙ ⲛ̅ⲕⲩⲇⲓⲟⲥ ⲙ̅ⲡⲕⲁϩ ⲛ̅ⲉⲫⲑⲁⲗⲉⲓⲙ. ϩⲛ̅ ⲧⲅⲁⲗⲓⲗⲁⲓ̈ⲁ. ⲙ̅ⲡⲉⲧⲡⲉ ⲛ̅ⲛ̅ⲧⲟϣ ⲛ̅ⲁⲥⲏⲣ.	 Who in the time of Enemessar king of the Assyrians was led captive out of Thisbe, which is at the right hand of that city, which is called properly Nephthali in Galilee above Aser.	 ὃς ᾐχµαλωτεύθη ἐν ἡµέραις Ενεµεσσαρου τοῦ βασιλέως Ἀσσυρίων ἐκ Θισβης, ἥ ἐστιν ἐκ δεξιῶν Κυδιως τῆς Νεφθαλιµ ἐν τῇ Γαλιλαίᾳ ὑπεράνω Ασηρ.						
Tobit	1	3		 ⲁⲛⲟⲕ ⲇⲱⲃⲓ̈ⲧ. ⲛⲉⲓⲙⲟⲟϣⲉ ϩⲛ̅ ⲛⲉϩⲓⲟⲟⲩⲉ ⲛ̅ⲧⲙⲉ. ⲉⲣⲉ ⲧⲇⲓⲕⲁⲓ̈ⲟⲥⲩⲛⲏ ϩⲛ̅ ⲛⲁϭⲓϫ ⲛ̅ⲛⲉϩⲟⲟⲩ ⲧⲏⲣⲟⲩ ⲙ̅ⲡⲁⲱⲛϩ̅. ⲁⲩⲱ ⲛⲁϣⲟ ⲙ̅ⲙⲛ̅ⲧⲛⲁ ⲛ̅ⲧⲁⲓⲁⲁⲩ ⲛ̅ⲛⲁⲥⲛⲏⲩ. ⲙⲛ̅ ⲛ̅ϩⲉⲑⲛⲟⲥ. ⲛⲉⲛⲧⲁⲩⲉⲓ ⲛⲙ̅ⲙⲁⲓ ⲉϩⲣⲁⲓ ⲉⲧⲉⲭⲱⲣⲁ ⲛ̅ⲛ̅ⲁⲥⲥⲩⲣⲓⲟⲥ ⲉⲛⲓⲛⲉⲩⲏ.	 I Tobit have walked all the days of my life in the ways of truth and justice, and I did many almsdeeds to my brethren, and my nation, who came with me to Nineve, into the land of the Assyrians.	 Ἐγὼ Τωβιτ ὁδοῖς ἀληθείας ἐπορευόµην καὶ δικαιοσύνης πάσας τὰς ἡµέρας τῆς ζωῆς µου καὶ ἐλεηµοσύνας πολλὰς ἐποίησα τοῖς ἀδελφοῖς µου καὶ τῷ ἔθνει τοῖς συµπορευθεῖσιν µετ’ ἐµοῦ εἰς χώραν Ἀσσυρίων εἰς Νινευη.						
Tobit	1	4		 ⲁⲩⲱ ϩⲙ̅ ⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲓ ϩⲛ̅ ⲧⲁⲭⲱⲣⲁ ⲉⲓ ϩⲙ̅ ⲡⲕⲁϩ ⲙ̅ⲡⲓⲏ̅ⲗ̅ ⲉⲓⲟ ⲛ̅ϣⲏⲣⲉ ϣⲏⲙ ⲧⲉⲫⲩⲗⲏ ⲧⲏⲣⲥ̅ ⲛ̅ⲛⲉⲫⲑⲁⲗⲉⲓⲙ ⲧⲁⲡⲁⲉⲓⲱⲧ. ⲁⲥⲥⲁϩⲱⲱⲥ ⲉⲃⲟⲗ ⲙ̅ⲡⲏⲓⲓ̈ ⲉⲧϩⲛ̅ ⲑⲓⲉⲣⲟⲩⲥⲟⲗⲩⲙⲁ ⲉⲃⲟⲗ. ϫⲉ ⲧⲉⲫⲩⲗⲏ ⲧⲉ ⲛ̅ⲧⲁⲩⲥⲟⲧⲡⲥ̅. ⲟⲩⲧⲉ ⲛⲉⲫⲩⲗⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲙ̅ⲡⲓⲏ̅ⲗ̅. ⲁⲩⲱ ⲁⲩⲧⲃ̅ⲃⲟⲓ̈ ⲙ̅ⲡⲣ̅ⲡⲉ ⲙ̅ⲡⲙⲁⲛ̅ϣⲱⲡⲉ ⲙ̅ⲡⲉⲧϫⲟⲥⲉ. ⲉⲁⲩⲕⲟⲧϥ̅ ϩⲣⲁⲓ̈ ⲛ̅ϩⲏⲧⲥ̅ ⲛ̅ⲛⲉϩⲟⲟⲩ ⲛ̅ⲛ̅ⲅⲉⲛⲉⲁ ⲧⲏⲣⲟⲩ ⲙ̅ⲡⲁⲓⲱⲛ.	 And when I was in mine own country, in the land of Israel being but young, all the tribe of Nephthali my father fell from the house of Jerusalem, which was chosen out of all the tribes of Israel, that all the tribes should sacrifice there, where the temple of the habitation of the most High was consecrated and built for all ages.	 καὶ ὅτε ἤµην ἐν τῇ χώρᾳ µου ἐν τῇ γῇ Ισραηλ, νεωτέρου µου ὄντος, πᾶσα φυλὴ τοῦ Νεφθαλιµ τοῦ πατρός µου ἀπέστη ἀπὸ τοῦ οἴκου Ιεροσολύµων τῆς ἐκλεγείσης ἀπὸ πασῶν τῶν φυλῶν Ισραηλ εἰς τὸ θυσιάζειν πάσας τὰς φυλάς· καὶ ἡγιάσθη ὁ ναὸς τῆς κατασκηνώσεως τοῦ ὑψίστου καὶ ᾠκοδοµήθη εἰς πάσας τὰς γενεὰς τοῦ αἰῶνος.						
Tobit	1	5		 ⲁⲩⲱ ⲛⲉⲫⲩⲗⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲛ̅ⲧⲁⲩⲥⲁϩⲱⲟⲩ ⲉⲃⲟⲗ ⲛⲙ̅ⲙⲁⲥ. ⲧⲉⲫⲩⲗⲏ ⲛ̅ⲛⲉⲫⲑⲁⲗⲉⲓⲙ ⲉⲧⲉ ⲧⲁⲡⲁⲉⲓⲱⲧ ⲧⲉ. ⲁⲩⲧⲁⲗⲉ ⲑⲩⲥⲓ̈ⲁ. ⲉϩⲣⲁⲓ̈ ⲛ̅ⲧⲃⲁϩⲁⲗ ⲧⲃⲁϩⲥⲉ	 Now all the tribes which together revolted, and the house of my father Nephthali, sacrificed unto the heifer Baal.	 καὶ πᾶσαι αἱ φυλαὶ αἱ συναποστᾶσαι ἔθυον τῇ Βααλ τῇ δαµάλει καὶ ὁ οἶκος Νεφθαλιµ τοῦ πατρός µου.						
Tobit	1	6		 ⲁⲛⲟⲕ ⲇⲉ ⲙⲁⲩⲁⲁⲧ ⲛⲉϣⲁⲓⲃⲱⲕ. ⲛ̅ϩⲁϩ ⲛ̅ⲥⲟⲡ ⲉϩⲣⲁⲓ ⲉⲑⲓⲉⲣⲟⲩⲥⲟⲗⲩⲙⲁ ϩⲛ̅ ⲛⲉϩⲟⲟⲩ ⲛ̅ϣⲁ. ⲕⲁⲧⲁ ⲡⲉⲧⲥⲏⲧ  ϩⲙ̅ ⲡⲓⲏ̅ⲗ̅ ⲧⲏⲣϥ̅ ϩⲛ̅ ⲟⲩⲟⲩⲉϩⲥⲁϩⲛⲉ ⲛ̅ϣⲁ ⲉⲛⲉϩ. ⲛⲉⲩⲛ̅ⲧⲟⲟⲧ ⲛ̅ϭⲓ ⲛ̅ⲁⲡⲁⲣxⲏ. ⲙⲛ̅ ⲛ̅ⲣⲉⲙⲏⲧ ⲉⲛⲉϣⲁⲓⲟⲗⲟⲩ ⲉϩⲟⲩⲛ. ⲙⲛ̅ ⲛ̅ϩⲟⲟⲕⲉⲥ ⲛ̅ϣⲟⲣⲡ ⲛ̅ⲛⲁⲉⲥⲟⲟⲩ. ⲁⲩⲱ ⲛⲉϣⲁⲓⲧⲁⲁⲩ ⲛ̅ⲛ̅ϣⲏⲣⲉ ⲛ̅ⲁⲁⲣⲱⲛ ⲛ̅ⲟⲩⲏⲏⲃ ⲉⲧϩⲁϩⲧⲙ̅ ⲡⲉⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ.	 But I alone went often to Jerusalem at the feasts, as it was ordained unto all the people of Israel by an everlasting decree, having the firstfruits and tenths of increase, with that which was first shorn; and them gave I at the altar to the priests the children of Aaron.	 κἀγὼ µόνος ἐπορευόµην πλεονάκις εἰς Ιεροσόλυµα ἐν ταῖς ἑορταῖς, καθὼς γέγραπται παντὶ τῷ Ισραηλ ἐν προστάγµατι αἰωνίῳ, τὰς ἀπαρχὰς καὶ τὰς δεκάτας τῶν γενηµάτων καὶ τὰς πρωτοκουρίας ἔχων·						
Tobit	1	7		 ⲁⲩⲱ ⲡⲣⲉⲙⲏⲧ ⲛ̅ⲅⲉⲛⲏⲙⲁ ⲧⲏⲣⲟⲩ. ⲛⲉϣⲁⲓⲧⲁⲁϥ ⲛ̅ⲛ̅ϣⲏⲣⲉ ⲛ̅ⲗⲉⲩⲉⲓ. ⲛⲉⲧϣⲙ̅ϣⲉ ϩⲛ̅ ⲑⲓⲗ̅ⲏ̅ⲙ̅. ⲁⲩⲱ ⲡⲙⲉϩⲥⲛⲁⲩ ⲛ̅ⲣⲉⲙⲏⲧ. ⲛⲉϣⲁⲓⲧⲁⲁϥ ⲉⲃⲟⲗ ⲧⲁⲃⲱⲕ ⲧⲁϫⲓⲧϥ ⲉⲃⲟⲗ ϩⲛ̅ ⲑⲓⲗ̅ⲏ̅ⲙ̅ ⲧⲉⲣⲟⲙⲡⲉ.	 The first tenth part of all increase I gave to the sons of Aaron, who ministered at Jerusalem: another tenth part I sold away, and went, and spent it every year at Jerusalem:	 καὶ ἐδίδουν αὐτὰς τοῖς ἱερεῦσιν τοῖς υἱοῖς Ααρων πρὸς τὸ θυσιαστήριον πάντων τῶν γενηµάτων· τὴν δεκάτην ἐδίδουν τοῖς υἱοῖς Λευι τοῖς θεραπεύουσιν ἐν Ιερουσαληµ. καὶ τὴν δευτέραν δεκάτην ἀπεπρατιζόµην καὶ ἐπορευόµην καὶ ἐδαπάνων αὐτὰ ἐν Ιεροσολύµοις καθ’ ἕκαστον ἐνιαυτόν.						
Tobit	1	8		 ⲁⲩⲱ ⲡⲙⲉϩϣⲟⲙⲛ̅ⲧ ⲛ̅ⲣⲉⲙⲏⲧ. ⲛⲉϣⲁⲓⲧⲁⲁϥ ⲛ̅ⲛⲉⲧϣⲙ̅ϣⲉ. ⲕⲁⲧⲁ ⲑⲉ ⲛ̅ⲧⲁⲥϩⲱⲛ ⲉⲧⲟⲟⲧ ⲛ̅ϭⲓ ⲧⲙⲁⲁⲩ ⲙ̅ⲡⲁⲉⲓⲱⲧ. ⲇⲉⲃⲃⲱⲃⲱⲣⲁ(sic) ⲉⲃⲟⲗ ϫⲉ ⲁ ⲡⲁⲉⲓⲱⲧ ⲕⲁⲁⲧ. ⲉⲓⲟ ⲛ̅ⲟⲣⲫⲁⲛⲟⲥ	 And the third I gave unto them to whom it was meet, as Debora my father’s mother had commanded me, because I was left an orphan by my father.	 καὶ τὴν τρίτην ἐδίδουν οἷς καθήκει, καθὼς ἐνετείλατο Δεββωρα ἡ µήτηρ τοῦ πατρός µου, διότι ὀρφανὸς κατελείφθην ὑπὸ τοῦ πατρός µου.						
Tobit	1	9		 ⲛ̅ⲧⲉⲣⲓⲉⲣⲛⲟϭ ⲇⲉ. ⲁⲓϫⲓ ⲛⲁⲓ̈ ⲛ̅ⲟⲩⲥϩⲓ̈ⲙⲉ ⲉⲡⲉⲥⲣⲁⲛ ⲡⲉ. ⲁⲛⲛⲁ ⲉⲩⲉⲃⲟⲗ ⲧⲉ ϩⲙ̅ ⲡⲉⲥⲡⲉⲣⲙⲁ ⲛ̅ⲧⲉ ⲡⲁⲉⲓⲱⲧ. ⲁⲩⲱ ⲁⲓϫⲡⲟ ⲉⲃⲟⲗ ⲛ̅ϩⲏⲧⲥ̅ ⲛ̅ⲧⲱⲃⲓ̈ⲁⲥ	 Furthermore, when I was come to the age of a man, I married Anna of mine own kindred, and of her I begat Tobias.	 καὶ ὅτε ἐγενόµην ἀνήρ, ἔλαβον Ανναν γυναῖκα ἐκ τοῦ σπέρµατος τῆς πατριᾶς ἡµῶν καὶ ἐγέννησα ἐξ αὐτῆς Τωβιαν.						
Tobit	1	10		 ⲁⲩⲱ ⲛ̅ⲧⲉⲣⲟⲩⲁⲓ̈ⲱⲙ ⲙ̅ⲡⲟⲉⲓⲕ ⲙⲛ̅ ⲛ̅ϩⲉⲑⲛⲟⲥ	 And when we were carried away captives to Nineve, all my brethren and those that were of my kindred did eat of the bread of the Gentiles.	 καὶ ὅτε ᾐχµαλωτίσθην εἰς Νινευη, πάντες οἱ ἀδελφοί µου καὶ οἱ ἐκ τοῦ γένους µου ἤσθιον ἐκ τῶν ἄρτων τῶν ἐθνῶν·						
