book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Solomon	1			ⲧⲥⲟⲫⲓⲁ ⲛ̅ⲥⲟⲗⲟⲙⲱⲛ								
Wisdom of Solomon	1	1	 ⲙⲉⲛⲣⲉ ϯⲙⲉⲑⲙⲏⲓ ⲛⲏ ⲉⲧϯϩⲁⲡ ⲉ̀ⲡⲕⲁϩⲓ ⲁⲣⲓⲫⲙⲉⲩⲓ ⲡϭ̅ⲥ̅ ϧⲉⲛ ⲟⲩⲙⲉⲧⲁⲅⲁⲑⲟⲥ ⲉⲣⲉⲧⲉⲛⲕⲱϯ ⲛ̀ⲥⲱϥ ϧⲉⲛ ϯⲙⲉⲧⲁⲡⲗⲟⲩⲥ ⲛ̀ⲧⲉ ⲡⲉⲧⲉⲛϩⲏⲧ	 ⲙⲉⲣⲉ ⲧⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ ⲛⲉⲧⲕⲣⲓⲛⲉ ⲙ̅ⲡⲕⲁϩ ⲁⲣⲓⲡⲙⲉⲉⲩⲉ ⲙ̅ⲡϫⲟⲉⲓⲥ ϩⲛ̅ ⲟⲩⲙⲛ̅ⲧⲁⲅⲁⲑⲟⲥ ⲛ̅ⲧⲉⲧⲛ̅ϣⲓⲛⲉ ⲛ̅ⲥⲱϥ ϩⲛ̅ ⲟⲩⲙⲛ̅ⲧϩⲁⲡⲗⲟⲩⲥ ⲛ̅ⲧⲉ ⲡⲉⲧⲛ̅ϩⲏⲧ.	 Love righteousness, ye that be judges of the earth: think of the Lord with a good (heart,) and in simplicity of heart seek him.	 Ἀγαπήσατε δικαιοσύνην, οἱ κρίνοντες τὴν γῆν, φρονήσατε περὶ τοῦ κυρίου ἐν ἀγαθότητι καὶ ἐν ἁπλότητι καρδίας ζητήσατε αὐτόν.						
Wisdom of Solomon	1	2	 ϫⲉ ϣⲁⲩϫⲓⲙⲓ ⲙ̀ⲙⲟϥ ⲛ̀ϫⲉ ⲛⲏ ⲉⲧⲉ ⲛ̀ⲥⲉⲉⲣⲡⲓⲣⲁⲍⲓⲛ ⲙ̀ⲙⲟϥ ⲁⲛ ϣⲁϥⲟⲩⲱⲛϩ ⲉ̀ⲃⲟⲗ ⲛ̀ⲛⲏ ⲉⲧⲉ ⲛ̀ⲥⲉⲟⲓ ⲛ̀ⲁⲑⲛⲁϩϯ ⲉ̀ⲣⲟϥ ⲁⲛ	 ϫⲉ ϣⲁⲩϩⲉ ⲉⲣⲟϥ ⲛ̅ϭⲓ ⲛⲉⲧⲉ ⲛ̅ⲥⲉⲡⲉⲓⲣⲁⲍⲉ ⲙ̅ⲙⲟϥ ⲁⲛ ϣⲁϥⲟⲩⲱⲛϩ̅ ⲇⲉ ⲉⲃⲟⲗ ⲛ̅ⲛⲉⲧⲉ ⲛ̅ⲥⲉⲟ ⲛ̅ⲁⲧⲛⲁϩⲧⲉ ⲉⲣⲟϥ ⲁⲛ.	 For he will be found of them that tempt him not; and sheweth himself unto such as do not distrust him.	 ὅτι εὑρίσκεται τοῖς µὴ πειράζουσιν αὐτόν, ἐµφανίζεται δὲ τοῖς µὴ ἀπιστοῦσιν αὐτῷ.						
Wisdom of Solomon	1	3	 ϣⲁⲣⲉ ⲡⲓⲙⲉⲩⲓ ⲅⲁⲣ ⲉⲧϩⲱⲟⲩ ⲫⲟⲣϫⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲁ ⲫϯ ⲟⲩⲟϩ ⲧⲉϥϫⲟⲙ ⲉⲑⲟⲩⲱⲛϩ ⲉ̀ⲃⲟⲗ ϣⲁⲥⲥⲟϩⲓ ⲛ̀ⲛⲓⲁⲧϩⲏⲧ	 ϣⲁⲣⲉ ⲡⲙⲉⲉⲩⲉ ⲅⲁⲣ ⲉⲑⲟⲟⲩ ⲡⲟⲣϫⲟⲩ ⲉⲡⲛⲟⲩⲧⲉ. ⲁⲩⲱ ⲧⲉϥϭⲟⲙ ⲉⲧⲟⲩⲟⲛϩ̅ ⲉⲃⲟⲗ ϣⲁⲥϫⲡⲉⲓⲉ ⲛ̅ⲁⲑⲏⲧ:	 For froward thoughts separate from God: and his power, when it is tried, reproveth the unwise.	 σκολιοὶ γὰρ λογισµοὶ χωρίζουσιν ἀπὸ θεοῦ, δοκιµαζοµένη τε ἡ δύναµις ἐλέγχει τοὺς ἄφρονας.						
Wisdom of Solomon	1	4	 ϫⲉ ⲙ̀ⲡⲁⲣⲉ ϯⲥⲟⲫⲓⲁ ϣⲉ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲟⲩⲯⲩⲭⲏ ⲉ̀ⲥϩⲱⲟⲩ ⲟⲩⲇⲉ ⲙ̀ⲡⲁⲥⲟⲩⲱⲛϩ ϧⲉⲛ ⲟⲩⲥⲱⲙⲁ ⲛ̀ⲣⲉϥⲉⲣⲛⲟⲃⲓ	 ϫⲉ ⲙⲉⲣⲉ ⲧⲥⲟⲫⲓⲁ ⲅⲁⲣ ⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲩⲯⲩⲭⲏ ⲉⲥϩⲟⲟⲩ ⲟⲩⲇⲉ ⲙⲉⲥⲟⲩⲱϩ ϩⲛ̅ ⲥⲱⲙⲁ ⲣ̅ⲣⲉϥⲣ̅ⲛⲟⲃⲉ.	 For into a malicious soul wisdom shall not enter; nor dwell in the body that is subject unto sin.	 ὅτι εἰς κακότεχνον ψυχὴν οὐκ εἰσελεύσεται σοφία οὐδὲ κατοικήσει ἐν σώµατι κατάχρεῳ ἁµαρτίας.						
Wisdom of Solomon	1	5	 ⲡⲓⲡⲛⲁ ⲅⲁⲣ ⲉⲑⲟⲩⲁⲃ ⲛ̀ⲧⲉ ϯⲥⲟⲫⲓⲁ ϣⲁϥⲫⲱⲧ ⲉ̀ⲃⲟⲗ ⲛ̀ⲭⲣⲟϥ ⲛⲓⲃⲉⲛ ⲟⲩⲟϩ ϣⲁϥⲟⲩⲉⲓ ⲉ̀ⲃⲟⲗ ⲛ̀ⲛⲓⲙⲟⲕⲙⲉⲕ ⲛ̀ⲧⲉ ⲛⲓⲁⲧϩⲏⲧ ⲟⲩⲟϩ ϣⲁϥⲥⲟϩⲓ ⲙ̀ⲡⲓϭⲓⲛϫⲟⲛⲥ ⲁϥϣⲁⲛⲓ̀	 ⲡⲉⲡⲛⲉⲩⲙⲁ ⲅⲁⲣ ⲉⲧⲟⲩⲁⲁⲃ ⲛ̅ⲧⲥⲟⲫⲓⲁ ϣⲁϥⲡⲱⲧ ⲉⲃⲟⲗ ⲛ̅ⲕⲣⲟϥ ⲁⲩⲱ ϣⲁϥⲟⲩⲉ ⲛ̅ⲙ̅ⲙⲟⲕⲙⲉⲕ ⲛ̅ⲛ̅ⲁⲑⲏⲧ ⲁⲩⲱ ϣⲁϥϫⲡⲓⲉ ⲡϫⲓⲛ̅ϭⲟⲛⲥ̅ ⲉϥϣⲁⲛⲉⲓ	 For the holy spirit of discipline will flee deceit, and remove from thoughts that are without understanding, and will not abide when unrighteousness cometh in.	 ἅγιον γὰρ πνεῦµα παιδείας φεύξεται δόλον καὶ ἀπαναστήσεται ἀπὸ λογισµῶν ἀσυνέτων καὶ ἐλεγχθήσεται ἐπελθούσης ἀδικίας.						
Wisdom of Solomon	1	6	 ⲟⲩⲙⲁⲓⲣⲱⲙⲓ ⲅⲁⲣ ⲡⲉ ⲡⲓⲡⲛ̅ⲁ̅ ⲛ̀ⲧⲉ ϯⲥⲟⲫⲓⲁ ⲟⲩⲟϩ ϥⲉⲣⲑⲙⲁⲓⲟ ⲁⲛ ⲙ̀ⲫⲏ ⲉⲧϫⲉⲟⲩⲁ ϧⲉⲛ ⲛⲉϥⲥⲫⲟⲧⲟⲩ ϫⲉ ⲫϯ ⲡⲉ ⲡⲓⲙⲉⲑⲣⲉ ⲛ̀ⲛⲉϥϭⲗⲱⲧ ⲟⲩⲟϩ ⲡⲉⲧϧⲟⲧϧⲉⲧ ⲙ̀ⲙⲏⲓ ⲛⲧⲉ ⲡⲉϥϩⲏⲧ ⲟⲩⲟϩ ⲉⲧⲥⲱⲧⲉⲙ ⲉ̀ⲡⲉϥⲗⲁⲥ	 ⲟⲩⲙⲁⲉⲓ ⲣⲱⲙⲉ ⲅⲁⲣ ⲡⲉ ⲡⲉⲡⲛⲉⲩⲙⲁ ⲛ̅ⲧⲥⲟⲫⲓⲁ ⲁⲩⲱ ⲛϥ̅ⲛⲁⲧⲙⲁⲓ̈ⲉ ⲡϫⲓⲟⲩⲁ ⲁⲛ ϩⲛ̅ ⲛⲉϥⲥⲡⲟⲧⲟⲩ: ϫⲉ ⲡⲛⲟⲩⲧⲉ ⲡⲉ ⲡⲙⲛ̅ⲧⲣⲉ ⲛ̅ⲛⲉϥϭⲗⲟⲧⲉ ⲁⲩⲱ ⲡⲉⲧⲙⲟⲩϣⲧ̅ ⲛⲁⲙⲉ ⲙ̅ⲡⲉϥϩⲏⲧ ⲁⲩⲱ ⲡⲉⲧⲥⲱⲧⲙ̅ ⲉⲡⲉϥⲗⲁⲥ.	 For wisdom is a loving spirit; and will not acquit a blasphemer of his words: for God is witness of his reins, and a true beholder of his heart, and a hearer of his tongue.	 φιλάνθρωπον γὰρ πνεῦµα σοφία καὶ οὐκ ἀθῳώσει βλάσφηµον ἀπὸ χειλέων αὐτοῦ· ὅτι τῶν νεφρῶν αὐτοῦ µάρτυς ὁ θεὸς καὶ τῆς καρδίας αὐτοῦ ἐπίσκοπος ἀληθὴς καὶ τῆς γλώσσης ἀκουστής.						
Wisdom of Solomon	1	7	 ϫⲉ ⲡⲓⲡⲛ̅ⲁ̅ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ⲁϥⲙⲟϩ ⲛ̀ϯⲟⲓⲕⲟⲩⲙⲉⲛⲏ ⲟⲩⲟϩ ⲫⲏ ⲉⲧⲥⲱϫⲡ ⲙ̀ⲡⲧⲏⲣϥ ϥⲥⲱⲟⲩⲛ ⲉ̀ⲡⲟⲩϧⲣⲱⲟⲩ	 ϫⲉ ⲡⲉⲡⲛⲉⲩⲙⲁ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲁϥⲙⲉϩ ⲧⲟⲓⲕⲟⲩⲙⲉⲛⲏ ⲁⲩⲱ ⲡⲉⲧϣⲱⲡ ⲙ̅ⲡⲧⲏⲣϥ̅ ⲉϥⲥⲟⲟⲩⲛ ⲙ̅ⲡⲉⲩϩⲣⲟⲟⲩ.	 For the Spirit of the Lord filleth the world: and that which containeth all things hath knowledge of the voice.	 ὅτι πνεῦµα κυρίου πεπλήρωκεν τὴν οἰκουµένην, καὶ τὸ συνέχον τὰ πάντα γνῶσιν ἔχει φωνῆς.						
Wisdom of Solomon	1	8	 ⲉⲑⲃⲉ ⲫⲁⲓ ⲙ̀ⲙⲟⲛ ϩⲗⲓ ⲛⲁϣϩⲱⲡ ⲉⲡⲉϥⲥⲁϫⲓ ϧⲉⲛ ⲟⲩϭⲓⲛ̀ϫⲟⲛⲥ ⲟⲩⲇⲉ ⲛ̀ⲛⲉϥⲉⲣⲉⲃⲟⲗ ⲉ̀ϯⲕⲣⲏⲥⲓⲥ ⲉⲑⲛⲏⲟⲩ	 ⲉⲧⲃⲉ ⲡⲁⲓ̈ ⲙⲛ̅ ⲗⲁⲁⲩ ⲛⲁϩⲱⲡ ⲉϥϣⲁϫⲉ ϩⲛ̅ ⲟⲩϫⲓⲛ̅ϭⲟⲛⲥ̅ ⲟⲩⲇⲉ ⲛϥ̅ⲛⲁⲣ̅ⲃⲟⲗ ⲁⲛ ⲉⲧⲉⲕⲣⲓⲥⲓⲥ ⲉⲧⲛ̅ⲛⲏⲩ	 Therefore he that speaketh unrighteous things cannot be hid: neither shall vengeance, when it punisheth, pass by him.	 διὰ τοῦτο φθεγγόµενος ἄδικα οὐδεὶς µὴ λάθῃ, οὐδὲ µὴ παροδεύσῃ αὐτὸν ἐλέγχουσα ἡ δίκη.						
Wisdom of Solomon	1	9	 ⲉⲩⲉ̀ϫⲉⲙⲡϣⲓⲛⲓ ⲅⲁⲣ ⲙ̀ⲡⲓⲁⲥⲉⲃⲏⲥ ϧⲉⲛ ⲡⲉϥⲥⲟϭⲛⲓ ⲟⲩⲟϩ ⲡϭ̅ⲥ̅ ⲛⲁⲥⲱⲧⲉⲙ ⲁⲛ ⲉ̀ⲛⲉϥⲥⲁϫⲓ ⲉ̀ⲫⲟⲩⲱⲛϩ ⲉ̀ⲃⲟⲗ ⲛ̀ⲛⲉϥⲁⲛⲟⲙⲓⲁ	 ⲥⲉⲛⲁϭⲙ̅ⲡϣⲓⲛⲉ ⲅⲁⲣ ⲙ̅ⲡϣⲟϫⲛⲉ ⲙ̅ⲡⲁⲥⲉⲃⲏⲥ ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲛⲁⲥⲱⲧⲙ̅ ⲉⲛⲉϥϣⲁϫⲉ ⲉⲡⲟⲩⲱⲛϩ̅ ⲉⲃⲟⲗ ⲛ̅ⲛⲉϥⲁⲛⲟⲙⲓⲁ.	 For inquisition shall be made into the counsels of the ungodly: and the sound of his words shall come unto the Lord for the manifestation of his wicked deeds.	 ἐν γὰρ διαβουλίοις ἀσεβοῦς ἐξέτασις ἔσται, λόγων δὲ αὐτοῦ ἀκοὴ πρὸς κύριον ἥξει εἰς ἔλεγχον ἀνοµηµάτων αὐτοῦ·						
