book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Zechariah	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲍⲁⲭⲁⲣⲓⲁⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Zechariah	1	1	 ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲡⲓⲁⲃⲟⲧ ⲙ̀ⲙⲁϩⲏ̅ ⲛ̀ⲧⲉ ϯⲣⲟⲙⲡⲓ ⲙ̀ⲙⲁϩⲃ̅ϯ ϩⲓ ⲇⲁⲣⲓⲟⲥ ⲁ ⲟⲩⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ϣⲱⲡⲓ ϩⲁ ⲍⲁⲭⲁⲣⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲃⲁⲣⲁⲭⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲇⲇⲱ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ		 In the eighth month, in the second year of the reign of Darius, the word of the Lord came to Zacharias, the son of Barachias, the son of Addo, the prophet, saying,	 Ἐν τῷ ὀγδόῳ µηνὶ ἔτους δευτέρου ἐπὶ Δαρείου ἐγένετο λόγος κυρίου πρὸς Ζαχαριαν τὸν τοῦ Βαραχιου υἱὸν Αδδω τὸν προφήτην λέγων						
Zechariah	1	2	 ϫⲉ ⲁϥϫⲱⲛⲧ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲉ̀ϫⲉⲛ ⲛⲉⲧⲉⲛⲓⲟϯ ϧⲉⲛ ⲟⲩⲛⲓϣϯ ⲛ̀ϫⲱⲛⲧ		 The Lord has been very angry with your fathers.	 Ὠργίσθη κύριος ἐπὶ τοὺς πατέρας ὑµῶν ὀργὴν µεγάλην.						
Zechariah	1	3	 ⲟⲩⲟϩ ⲉⲕⲉ̀ϫⲟⲥ ⲛⲱⲟⲩ ϫⲉ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ϫⲉ ⲕⲉⲧ ⲑⲏⲛⲟⲩ ϩⲁⲣⲟⲓ ⲟⲩⲟϩ ϯⲛⲁⲕⲟⲧⲧ ϩⲁⲣⲱⲧⲉⲛ ϩⲱ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ		 And thou shalt say to them, Thus saith the Lord Almighty: Turn to me, saith the Lord of hosts, and I will turn to you, saith the Lord of hosts.	 καὶ ἐρεῖς πρὸς αὐτούς Τάδε λέγει κύριος παντοκράτωρ Ἐπιστρέψατε πρός µε, καὶ ἐπιστραφήσοµαι πρὸς ὑµᾶς, λέγει κύριος.						
Zechariah	1	4	 ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣϣⲱⲡⲓ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲛⲉⲧⲉⲛⲓⲟϯ ⲉⲧⲁⲩⲉⲣⲉⲛⲕⲁⲗⲓⲛ ⲛⲱⲟⲩ ⲛ̀ϫⲉ ⲛⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲓⲥϫⲉⲛ ϣⲟⲣⲡ ⲉⲩϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲛⲁⲓ ⲛⲉ ⲛⲏ ⲉⲧⲉϥϫⲱ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ϫⲉ ⲙⲁⲧⲁⲥⲑⲉ ⲑⲏⲛⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲁ ⲛⲉⲧⲉⲛⲙⲱⲓⲧ ⲉⲧϩⲱⲟⲩ ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϩⲁ ⲛⲉⲧⲉⲛϩⲃⲏⲟⲩⲓ ⲉⲧϩⲱⲟⲩ ⲟⲩⲟϩ ⲙ̀ⲡⲟⲩϯϩⲑⲏⲟⲩ ⲉ̀ⲥⲱⲧⲉⲙ ⲛ̀ⲥⲱⲓ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅		 And be ye not as your fathers, whom the prophets before charged, saying, Thus saith the Lord Almighty: Turn ye from your evil ways, and from your evil practices: but they hearkened not, and attended not to hearken to me, saith the Lord.	 καὶ µὴ γίνεσθε καθὼς οἱ πατέρες ὑµῶν, οἷς ἐνεκάλεσαν αὐτοῖς οἱ προφῆται οἱ ἔµπροσθεν λέγοντες Τάδε λέγει κύριος παντοκράτωρ Ἀποστρέψατε ἀπὸ τῶν ὁδῶν ὑµῶν τῶν πονηρῶν καὶ ἀπὸ τῶν ἐπιτηδευµάτων ὑµῶν τῶν πονηρῶν, καὶ οὐ προσέσχον τοῦ εἰσακοῦσαί µου, λέγει κύριος.						
Zechariah	1	5	 ⲁⲩⲑⲱⲛ ⲛⲉⲧⲉⲛⲓⲟϯ ⲛⲉⲙ ⲛⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲙⲏ ⲁⲩⲛⲁⲱⲛϧ ϣⲁ ⲉⲛⲉϩ		 Where are your fathers, and the prophets? Will they live for ever?	 οἱ πατέρες ὑµῶν ποῦ εἰσιν; καὶ οἱ προφῆται µὴ τὸν αἰῶνα ζήσονται;						
Zechariah	1	6	 ⲡⲗⲏⲛ ⲛⲁⲥⲁϫⲓ ⲛⲉⲙ ⲛⲁⲛⲟⲙⲟⲥ ϣⲟⲡⲟⲩ ⲉ̀ⲣⲱⲧⲉⲛ ⲛⲏ ⲁ̀ⲛⲟⲕ ⲉ̀ϯϩⲟⲛϩⲉⲛ ⲙ̀ⲙⲱⲟⲩ ϧⲉⲛ ⲟⲩⲡⲛ̅ⲁ̅ ⲛ̀ⲧⲉ ⲛⲁⲉⲃⲓⲁⲓⲕ ⲛⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲛⲏ ⲉⲧⲁⲩⲧⲁϩⲉ ⲛⲉⲧⲉⲛⲓⲟϯ ⲟⲩⲟϩ ⲁⲩⲉⲣⲟⲩⲱ ⲡⲉϫⲱⲟⲩ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁϥⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲡⲓⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ ⲉ̀ⲓⲣⲓ ⲕⲁⲧⲁ ⲛⲉⲧⲉⲛⲙⲱⲓⲧ ⲛⲉⲙ ⲕⲁⲧⲁ ⲛⲉⲧⲉⲛϩⲃⲏⲟⲩⲓ ⲡⲁⲓⲣⲏϯ ⲁϥⲓⲣⲓ ⲛⲱⲧⲉⲛ		 But do ye receive my words and mine ordinances, all that I command by my Spirit to my servants the prophets, who lived in the days of your fathers; and they answered and said, As the Lord Almighty determined to do to us, according to our ways, and according to our practices, so has he done to us.	 πλὴν τοὺς λόγους µου καὶ τὰ νόµιµά µου δέχεσθε, ὅσα ἐγὼ ἐντέλλοµαι ἐν πνεύµατί µου τοῖς δούλοις µου τοῖς προφήταις, οἳ κατελάβοσαν τοὺς πατέρας ὑµῶν. καὶ ἀπεκρίθησαν καὶ εἶπαν Καθὼς παρατέτακται κύριος παντοκράτωρ τοῦ ποιῆσαι κατὰ τὰς ὁδοὺς ὑµῶν καὶ κατὰ τὰ ἐπιτηδεύµατα ὑµῶν, οὕτως ἐποίησεν ὑµῖν.						
Zechariah	1	7	 ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲥⲟⲩⲕ̅ⲇ̅ ⲙ̀ⲡⲓⲁⲃⲟⲧ ⲙ̀ⲙⲁϩⲓⲁ ⲫⲁⲓ ⲡⲉ ⲡⲓⲁⲃⲟⲧ ⲥⲁⲃⲁⲧ ϧⲉⲛ ϯⲣⲟⲙⲡⲓ ⲙ̀ⲙⲁϩⲃ̅ϯ ϩⲓ ⲇⲁⲣⲓⲟⲥ ⲁ ⲟⲩⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡϭ̅ⲥ̅ ϣⲱⲡⲓ ϩⲁ ⲍⲁⲭⲁⲣⲓⲁⲥ ⲡϣⲏⲣⲓ ⲙ̀ⲃⲁⲣⲁⲭⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲇⲇⲱ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ		 On the twenty-fourth day in the eleventh month, this is the month Sabat, in the second year of the reign of Darius, the word of the Lord came to Zacharias, the son of Barachias, the son of Addo, the prophet, saying,	 Τῇ τετράδι καὶ εἰκάδι τῷ ἑνδεκάτῳ µηνί — οὗτός ἐστιν ὁ µὴν Σαβατ — ἐν τῷ δευτέρῳ ἔτει ἐπὶ Δαρείου ἐγένετο λόγος κυρίου πρὸς Ζαχαριαν τὸν τοῦ Βαραχιου υἱὸν Αδδω τὸν προφήτην λέγων						
Zechariah	1	8	 ⲁⲓⲛⲁⲩ ϧⲉⲛ ⲡⲓⲉϫⲱⲣϩ ⲟⲩⲟϩ ϩⲏⲡⲡⲉ ⲓⲥ ⲟⲩⲣⲱⲙⲓ ⲉϥⲧⲁⲗⲏⲟⲩⲧ ⲉ̀ϫⲉⲛ ⲟⲩϩⲑⲟ ⲛ̀ⲁⲟⲩⲁⲛ ⲛ̀ⲭⲣⲱⲙ ⲟⲩⲟϩ ⲫⲁⲓ ⲛⲁϥⲟϩⲓ ⲉ̀ⲣⲁⲧϥ ϧⲉⲛ ⲑⲙⲏϯ ⲙ̀ⲡⲓⲧⲱⲟⲩ ⲃ̅ ⲉⲧⲟⲓ ⲛ̀ϧⲏⲓⲃⲓ ⲟⲩⲟϩ ϩⲓⲫⲁϩⲟⲩ ⲙ̀ⲙⲟϥ ϩⲁⲛϩⲑⲱⲣ ⲛ̀ⲁⲟⲩⲁⲛ ⲛ̀ⲭⲣⲱⲙ ⲛⲉⲙ ϩⲁⲛⲁⲟⲩⲁⲛ ⲙ̀ⲫⲓⲛ ⲛⲉⲙ ϩⲁⲛⲁⲟⲩⲓ ⲁⲟⲩⲁⲛ ⲛⲉⲙ ϩⲁⲛⲁⲟⲩⲁⲛ ⲛ̀ⲟⲩⲱⲃϣ		 I saw by night, and behold a man mounted on a red horse, and he stood between the shady mountains; and behind him were red horses, and grey, and piebald, and white.	 Ἑώρακα τὴν νύκτα καὶ ἰδοὺ ἀνὴρ ἐπιβεβηκὼς ἐπὶ ἵππον πυρρόν, καὶ οὗτος εἱστήκει ἀνὰ µέσον τῶν δύο ὀρέων τῶν κατασκίων, καὶ ὀπίσω αὐτοῦ ἵπποι πυρροὶ καὶ ψαροὶ καὶ ποικίλοι καὶ λευκοί.						
Zechariah	1	9	 ⲟⲩⲟϩ ⲡⲉϫⲏⲓ ϫⲉ ⲟⲩ ⲛⲉ ⲛⲁⲓ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲡⲉϫⲁϥ ⲛⲏⲓ ⲛ̀ϫⲉ ⲡⲓⲁⲅⲅⲉⲗⲟⲥ ⲉⲧⲥⲁϫⲓ ⲛ̀ϧⲣⲏⲓ ⲛ̀ϧⲏⲧ ϫⲉ ⲁ̀ⲛⲟⲕ ϯⲛⲁⲧⲁⲙⲟⲕ ϫⲉ ⲟⲩ ⲛⲉ ⲛⲁⲓ		 And I said, What are these, my lord? And the angel spoke with me said to me, I will shew thee what these things are.	 καὶ εἶπα Τί οὗτοι, κύριε; καὶ εἶπεν πρός µε ὁ ἄγγελος ὁ λαλῶν ἐν ἐµοί Ἐγὼ δείξω σοι τί ἐστιν ταῦτα.						
