book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Zephaniah	1		ϯⲡⲣⲟⲫⲏⲧⲓⲁ ⲛ̀ⲧⲉ ⲥⲟⲫⲟⲛⲓⲁⲥ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Zephaniah	1	1	 ⲡⲥⲁϫⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲉⲧⲁϥϣⲱⲡⲓ ϩⲁ ⲥⲟⲫⲟⲛⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲭⲟⲩⲥⲓ ⲡϣⲏⲣⲓ ⲛ̀ⲅⲟⲇⲟⲗⲓⲟⲩ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲙⲁⲣⲓⲟⲩ ⲡϣⲏⲣⲓ ⲛ̀ⲉⲍⲉⲕⲓⲁⲥ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲓⲱⲥⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲙⲱⲥ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ		 The word of the Lord which came to Sophonias the son of Chusi, the son of Godolias, the son of Amorias, the son of Ezekias, in the days of Josias son of Amon, king of Juda.	 Λόγος κυρίου, ὃς ἐγενήθη πρὸς Σοφονιαν τὸν τοῦ Χουσι υἱὸν Γοδολιου τοῦ Αµαριου τοῦ Εζεκιου ἐν ἡµέραις Ιωσιου υἱοῦ Αµων βασιλέως Ιουδα.						
Zephaniah	1	2	 ϧⲉⲛ ⲟⲩⲙⲟⲩⲛⲕ ⲙⲁⲣⲉϥⲙⲟⲩⲛⲕ ⲉ̀ⲃⲟⲗ ϩⲓϫⲉⲛ ⲡϩⲟ ⲙ̀ⲡⲕⲁϩⲓ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅		 Let there be an utter cutting off from the face of the land, saith the Lord.	 Ἐκλείψει ἐκλιπέτω πάντα ἀπὸ προσώπου τῆς γῆς, λέγει κύριος,						
Zephaniah	1	3	 ⲙⲁⲣⲉϥⲙⲟⲩⲛⲕ ⲛ̀ϫⲉ ⲟⲩⲣⲱⲙⲓ ⲛⲉⲙ ⲛⲓⲧⲉⲃⲛⲱⲟⲩⲓ ⲙⲁⲣⲟⲩⲙⲟⲩⲛⲕ ⲛ̀ϫⲉ ⲛⲓϩⲁⲗⲁϯ ⲛ̀ⲧⲉ ⲧⲫⲉ ⲛⲉⲙ ⲛⲓⲧⲉⲃⲧ ⲛ̀ⲧⲉ ⲫⲓⲟⲙ ⲟⲩⲟϩ ⲉⲩⲉ̀ϣⲱⲛⲓ ⲛ̀ϫⲉ ⲛⲓⲁⲥⲉⲃⲏⲥ ⲟⲩⲟϩ ϯⲛⲁⲱⲗⲓ ⲛ̀ⲛⲓⲁⲛⲟⲙⲟⲥ ⲉ̀ⲃⲟⲗ ϩⲓϫⲉⲛ ⲡϩⲟ ⲙ̀ⲡⲕⲁϩⲓ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅		 Let man and cattle be cut off; let the birds of the air and the fishes of the sea be cut off; and the ungodly shall fail, and I will take away the transgressors from the face of the land, saith the Lord.	 ἐκλιπέτω ἄνθρωπος καὶ κτήνη, ἐκλιπέτω τὰ πετεινὰ τοῦ οὐρανοῦ καὶ οἱ ἰχθύες τῆς θαλάσσης, καὶ ἐξαρῶ τοὺς ἀνθρώπους ἀπὸ προσώπου τῆς γῆς, λέγει κύριος.						
Zephaniah	1	4	 ⲟⲩⲟϩ ϯⲛⲁⲥⲟⲩⲧⲉⲛ ⲧⲁϫⲓϫ ⲉ̀ⲃⲟⲗ ⲉ̀ϫⲉⲛ ⲓⲟⲩⲇⲁ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ⲟⲩⲟϩ ϯⲛⲁⲱⲗⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲁⲓⲙⲁ ⲛ̀ⲛⲓⲣⲁⲛ ⲛ̀ⲧⲉ ϯⲃⲁⲁⲗ ⲛⲉⲙ ⲛⲓⲣⲁⲛ ⲛ̀ⲧⲉ ⲛⲓⲟⲩⲏⲃ		 And I will stretch out mine hand upon Juda, and upon all the inhabitants of Jerusalem; and I will remove the names of Baal out of this place, and the names of the priests;	 καὶ ἐκτενῶ τὴν χεῖρά µου ἐπὶ Ιουδαν καὶ ἐπὶ πάντας τοὺς κατοικοῦντας Ιερουσαληµ καὶ ἐξαρῶ ἐκ τοῦ τόπου τούτου τὰ ὀνόµατα τῆς Βααλ καὶ τὰ ὀνόµατα τῶν ἱερέων						
Zephaniah	1	5	 ⲛⲉⲙ ⲛⲏ ⲉⲑⲟⲩⲱϣⲧ ϩⲓϫⲉⲛ ⲛⲓϫⲉⲛⲉⲫⲱⲣ ⲛ̀ϯⲥⲧⲣⲁⲧⲓⲁ ⲛ̀ⲧⲉ ⲧⲫⲉ ⲛⲉⲙ ⲛⲏ ⲉⲧⲱⲣⲕ ⲉ̀ϩⲣⲉⲛ ⲙⲟⲗⲟⲭ ⲡⲟⲩⲣⲟ		 and them that worship the host of heaven upon the house-tops; and them that worship and swear by the Lord, and them that swear by their king;	 καὶ τοὺς προσκυνοῦντας ἐπὶ τὰ δώµατα τῇ στρατιᾷ τοῦ οὐρανοῦ καὶ τοὺς ὀµνύοντας κατὰ τοῦ κυρίου καὶ τοὺς ὀµνύοντας κατὰ τοῦ βασιλέως αὐτῶν						
Zephaniah	1	6	 ⲛⲉⲙ ⲛⲏ ⲉⲧⲣⲓⲕⲓ ⲙ̀ⲙⲱⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲁ ⲡϭ̅ⲥ̅ ⲛⲉⲙ ⲛⲏ ⲉⲧⲉⲛ̀ⲥⲉϣⲱⲡ ⲙ̀ⲡϭ̅ⲥ̅ ⲉ̀ⲣⲱⲟⲩ ⲁⲛ		 and them that turn aside from the Lord, and them that seek not the Lord, and them that cleave not to the Lord.	 καὶ τοὺς ἐκκλίνοντας ἀπὸ τοῦ κυρίου καὶ τοὺς µὴ ζητήσαντας τὸν κύριον καὶ τοὺς µὴ ἀντεχοµένους τοῦ κυρίου.						
Zephaniah	1	7	 ⲁⲣⲓϩⲟϯ ϧⲁⲧϩⲏ ⲙ̀ⲡϭ̅ⲥ̅ ⲫϯ ϫⲉ ⲟⲩⲏⲓ ϥϧⲉⲛⲧ ⲛ̀ϫⲉ ⲡⲉϩⲟⲟⲩ ⲙ̀ⲡϭ̅ⲥ̅ ϫⲉ ⲁϥⲥⲟⲃϯ ⲛ̀ϫⲉ ⲡϭ̅ⲥ̅ ⲙ̀ⲡⲉϥϣⲟⲩϣⲱⲟⲩϣⲓ ⲁϥⲧⲟⲩⲃⲟ ⲛ̀ⲛⲏ ⲉⲧⲑⲁϩⲉⲙ ⲛ̀ⲧⲁϥ		 Fear ye before the Lord God; for the day of the Lord is near; for the Lord has prepared his sacrifice, and has sanctified his guests.	 Εὐλαβεῖσθε ἀπὸ προσώπου κυρίου τοῦ θεοῦ, διότι ἐγγὺς ἡ ἡµέρα τοῦ κυρίου, ὅτι ἡτοίµακεν κύριος τὴν θυσίαν αὐτοῦ, ἡγίακεν τοὺς κλητοὺς αὐτοῦ.						
Zephaniah	1	8	 ⲟⲩⲟϩ ⲉⲥⲉ̀ϣⲱⲡⲓ ϧⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲡϣⲟⲩϣⲱⲟⲩϣⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲉⲓⲉ̀ϭⲓⲙ̀ⲡϣⲓϣ ⲉ̀ϫⲉⲛ ⲛⲓⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ⲡⲏⲓ ⲙ̀ⲡⲟⲩⲣⲟ ⲛⲉⲙ ⲉ̀ϫⲉⲛ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧⲉ ⲛⲓϩⲃⲱⲥ ⲛ̀ϣⲉⲙⲙⲟ ⲧⲟⲓ ϩⲓⲱⲧⲟⲩ		 And it shall come to pass in the day of the Lord’s sacrifice, that I will take vengeance on the princes, and on the king’s house, and upon all that wear strange apparel.	 καὶ ἔσται ἐν ἡµέρᾳ θυσίας κυρίου καὶ ἐκδικήσω ἐπὶ τοὺς ἄρχοντας καὶ ἐπὶ τὸν οἶκον τοῦ βασιλέως καὶ ἐπὶ πάντας τοὺς ἐνδεδυµένους ἐνδύµατα ἀλλότρια·						
Zephaniah	1	9	 ⲟⲩⲟϩ ϯⲛⲁϭⲓⲙ̀ⲡϣⲓϣ ⲉ̀ϫⲉⲛ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ϧⲉⲛ ⲟⲩⲱⲛϩ ⲉ̀ⲃⲟⲗ ϩⲓϫⲉⲛ ⲛⲓⲡⲩⲗⲏ ⲉⲧⲥⲁⲃⲟⲗ ϧⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲛⲏ ⲉⲧⲙⲟϩ ⲙ̀ⲡⲏⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲡⲟⲩⲛⲟⲩϯ ⲙ̀ⲙⲉⲧⲁⲥⲉⲃⲏⲥ ⲛⲉⲙ ⲭⲣⲟϥ		 And I will openly take vengeance on the porches in that day, on the men that fill the house of the Lord their God with ungodliness and deceit.	 καὶ ἐκδικήσω ἐπὶ πάντας ἐµφανῶς ἐπὶ τὰ πρόπυλα ἐν ἐκείνῃ τῇ ἡµέρᾳ, τοὺς πληροῦντας τὸν οἶκον κυρίου τοῦ θεοῦ αὐτῶν ἀσεβείας καὶ δόλου.						
