book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	41	41		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲏⲧⲥ̅ ⲛ̅ⲧⲙⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲙⲛ̅ ⲧⲇⲓⲁⲑⲏⲕⲏ .... ⲟϫⲕ̅ ϩⲛ̅ ⲟⲩⲙⲁ ⲛ̅ⲥⲱ	and in regard of the truth of God and his covenant; and to lean with thine elbow upon the meat;							
Wisdom of Jesus son of Sirach	41	41		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		...... ϩⲏⲧϥ̅ ϩⲛ̅ ⲟⲩⲙⲛ̅ⲧⲙⲁⲓ̈ϣⲓⲃⲉ ϩⲛ̅ ⲟⲩϫⲓ ⲙⲛ̅ ⲟⲩϯ ⲁⲩⲱ ϩⲏⲧⲟⲩ ⲛ̅ⲛⲉⲧⲁⲥⲡⲁⲍⲉ ⲙ̅ⲙⲟⲕ ⲛⲅ̅ⲕⲁ ⲣⲱⲕ	and of scorning to give and take; (20) And of silence before them that salute thee;							
Wisdom of Jesus son of Sirach	41	41		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ⲛⲁⲩ ⲉⲩⲥϩⲓⲙⲉ ⲛ̅ϩⲉⲧⲉⲣⲁ ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ⲕⲧⲉ ⲡⲉⲕϩⲟ ⲉⲃⲟⲗ ⲛ̅ⲟⲩⲥⲩⲅⲅⲉⲛⲏⲥ	and to look upon an harlot; (21) And to turn away thy face from thy kinsman;							
Wisdom of Jesus son of Sirach	41	41		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ⲟⲩϣⲱⲡ ⲙⲛ̅ ⲟⲩϯ ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ⲛⲁⲩ ⲉⲩⲥϩⲓⲙⲉ ⲉⲩⲛ̅ⲧⲥ̅ ϩⲁⲓ̈	or to take away a portion or a gift; or to gaze upon another man’s wife.							
Wisdom of Jesus son of Sirach	41	41	22	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲏⲧϥ̅ ⲙ̅ⲙⲉϣⲧ ⲧⲉϥϩⲙ̅ϩⲁⲗ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ⲁϩⲉ ⲣⲁⲧⲕ̅ ϩⲓϫⲛ̅ ⲡⲉⲥⲙⲁ ⲛ̅ⲛ̅ⲕⲟⲧⲕ̅	Or to be overbusy with his maid, and come not near her bed;							
Wisdom of Jesus son of Sirach	41	41		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ϩⲛ̅ϣⲃⲉⲉⲣ ⲉⲧⲃⲉ ⲟⲩϣⲁϫⲉ ⲛ̅ⲛⲟϭⲛⲉϭ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ⲛⲉϭⲛⲟⲩϭⲟⲩ ⲙⲛ̅ⲛ̅ⲥⲁ ⲧⲣⲉⲕϯⲛⲁⲩ	or of upbraiding speeches before friends; and after thou hast given, upbraid not;							
Wisdom of Jesus son of Sirach	41	41	42:1	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ⲟⲩϣⲁϫⲉ ⲉⲁⲕⲥⲟⲧⲙⲉϥ ⲁⲩⲱ ϩⲏⲧϥ̅ ⲛ̅ϭⲗ̅ⲡ ϩⲛ̅ϣⲁϫⲉ ⲉⲃⲟⲗ ⲉⲩϩⲏⲡ:	Or of iterating and speaking again that which thou hast heard; and of revealing of secrets.							
Wisdom of Jesus son of Sirach	41	41		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲧⲁⲣⲉⲕϣⲱⲡⲉ ⲛⲁⲙⲉ ⲛ̅ϣⲡⲓⲏⲧ ⲁⲩⲱ ⲉⲕϭⲓⲛⲉ ⲛ̅ⲟⲩⲭⲁⲣⲓⲥ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲛ̅ⲣⲱⲙⲉ ⲛⲓⲙ.	So shalt thou be truly shamefaced and find favour before all men.							
Wisdom of Jesus son of Sirach	42	42		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙ̅ⲡⲣ̅ϣⲓⲡⲉ ⲛ̅ⲧⲟϥ ϩⲏⲧⲟⲩ ⲛ̅ⲛⲁⲓ̈ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ϫⲓϩⲟ ⲉⲧⲣⲉⲕⲣ̅ⲛⲟⲃⲉ:	Of these things be not thou ashamed, and accept no person to sin thereby:							
Wisdom of Jesus son of Sirach	42	42	2	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲧⲃⲉ ⲡⲛⲟⲙⲟⲥ ⲙ̅ⲡⲉⲧϫⲟⲥⲉ ⲙⲛ̅ ⲧⲇⲓⲁⲑⲏⲕⲏ ⲁⲩⲱ ϩⲛ̅ ⲟⲩϩⲁⲡ ⲉⲧⲙⲁⲓ̈ⲉ ⲡⲁⲥⲉⲃⲏⲥ:	Of the law of the most High, and his covenant; and of judgment to justify the ungodly;							
Wisdom of Jesus son of Sirach	42	42	3	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲧⲃⲉ ⲡϣⲁϫⲉ ⲛ̅ⲟⲩⲕⲟⲓⲛⲱⲛ ..... ⲉⲧⲃⲉ ⲡϯ ⲛ̅ⲧⲉⲕⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲛ̅ⲛ̅ϣⲃⲏⲣ	Of reckoning with thy partners and travellers; or of the gift of the heritage of friends;							
Wisdom of Jesus son of Sirach	42	42	4	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲧⲃⲉ ⲟⲩⲁⲕⲣⲓⲃⲓⲁ ⲙ̅ⲙⲁϣⲉ ⲙⲛ̅ ϩⲛ̅ϣⲓ ⲉⲧⲃⲉ ϫⲡⲉ ϩⲁϩ ϩⲓ ⲕⲟⲩⲓ̈	Of exactness of balance and weights; or of getting much or little;							
Wisdom of Jesus son of Sirach	42	42	5	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲧⲃⲉ ⲟⲩⲙⲛ̅ⲧⲙⲁⲓ̈ϣⲓⲃⲉ ⲛ̅ϯ ⲉⲃⲟⲗ ϩⲓ ⲉϣⲱⲧ ⲉⲧⲃⲉ ϯ ⲟⲩⲥⲃⲱ ⲉⲛⲁϣⲱⲥ ⲛ̅ϩⲉⲛϣⲏⲣⲉ ⲉⲧⲃⲉ ⲧϩⲓ ⲉⲥⲛⲟϥ ⲛ̅ⲛ̅ⲥⲡⲓⲣⲟⲟⲩⲉ ⲛ̅ⲟⲩϩⲙ̅ϩⲁⲗ ⲉϥϩⲟⲟⲩ.	And of merchants’ indifferent selling; of much correction of children; and to make the side of an evil servant to bleed.							
Wisdom of Jesus son of Sirach	42	42	6	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛⲁⲛⲟⲩ ⲟⲩⲥⲫⲣⲁⲅⲓⲥ ⲉϫⲛ̅ ⲟⲩⲥϩⲓⲙⲉ ⲉⲥϩⲟⲟⲩ ⲁⲩⲱ ϣⲧⲙ̅ⲧⲟⲟⲧⲕ̅ ϩⲙ̅ ⲡⲙⲁ ⲛ̅ϩⲁϩ ⲛ̅ϭⲓϫ.	Sure keeping is good, where an evil wife is; and shut up, where many hands are.							
Wisdom of Jesus son of Sirach	42	42	7	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲛⲅ̅ϯ ⲡⲉⲧⲕ̅ⲛⲁⲧⲁⲁϥ ϩⲛ̅ ⲟⲩⲏⲡⲉ ⲙⲛ̅ ⲟⲩϣⲓ ⲁⲩⲱ ⲡϫⲓ ⲙⲛ̅ ⲡϯ ϩⲛ̅ ⲟⲩⲥϩⲁⲓ̈ ⲧⲏⲣⲟⲩ.	Deliver all things in number and weight; and put all in writing that thou givest out, or receivest in.							
Wisdom of Jesus son of Sirach	42	42	8	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲧⲃⲉ ϯⲥⲃⲱ ⲛ̅ⲟⲩⲁⲑⲏⲧ ⲙⲛ̅ ⲟⲩⲥⲟϭ ⲁⲩⲱ ⲟⲩϩⲗ̅ⲗⲟ ⲉϥϫⲓϩⲁⲡ ⲉⲧⲃⲉ ⲟⲩⲡⲟⲣⲛⲓⲁ	Be not ashamed to inform the unwise and foolish, and the extreme aged that contendeth with those that are young:							
Wisdom of Jesus son of Sirach	42	42		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲧⲁⲣⲉⲕϣⲱⲡⲉ ⲛⲁⲙⲉ ⲉⲕⲧⲥⲁⲃⲏⲩ ⲁⲩⲱ ⲉⲕⲥⲟⲧⲡ̅ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲛ̅ⲣⲱⲙⲉ ⲛⲓⲙ ⲉⲧⲟⲛϩ̅.	thus shalt thou be truly learned, and approved of all men living.							
Wisdom of Jesus son of Sirach	42	42	9	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲟⲩⲟⲩϣⲏ ⲛ̅ⲣⲟⲉⲓⲥ ⲉⲥϩⲏⲡ ⲛ̅ⲟⲩⲉⲓⲱⲧ ⲡⲉ ⲟⲩϣⲉⲉⲣⲉ ⲁⲩⲱ ϣⲁⲣⲉ ⲡⲉⲥⲣⲟⲟⲩϣ ⲥⲁϩⲉ ⲫⲓⲛⲏⲃ ⲉⲃⲟⲗ ⲙ̅ⲙⲟϥ	A daughter is a wakeful care to a father; and the care for her taketh away sleep:							
Wisdom of Jesus son of Sirach	42	42		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲥϩⲛ̅ ⲧⲉⲥⲙⲛ̅ⲧⲕⲟⲩⲓ̈ ϫⲉ ⲙⲏⲡⲟⲧⲉ ⲛⲥ̅ⲣ̅ⲛⲟϭ ⲁⲩⲱ ⲉⲁⲥϫⲓϩⲁⲓ̈ ⲙⲏⲡⲟⲧⲉ ⲛϥ̅ⲙⲉⲥⲧⲱⲥ.	when she is young, lest she pass away the flower of her age; and being married, lest she should be hated:							
