book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Acts of the Apostles	5	05	29	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲁϥⲉⲣⲟⲩⲱ ⲛ̀ϫⲉ ⲡⲉⲧⲣⲟⲥ ⲛⲉⲙ ⲛⲓⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲡⲉϫⲱⲟⲩ ϫⲉ ⲥⲉⲙⲡϣⲁ ⲛ̀ⲥⲱⲧⲉⲙ ⲛ̀ⲥⲁ ⲫϯ ⲉϩⲟⲧⲉ ⲛⲓⲣⲱⲙⲓ	ⲁϥⲟⲩⲱϣⲃ̅ ⲛ̅ϭⲓ ⲡⲉⲧⲣⲟⲥ ⲁⲩⲱ ⲛ̅ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ ϫⲉ ϣ̅ϣⲉ ⲉⲥⲱⲧⲙ̅ ⲛ̅ⲥⲁ ⲡⲛⲟⲩⲧⲉ ⲉϩⲟⲩⲉ ⲛ̅ⲣⲱⲙⲉ.	Petros answered and the apostles, they said: We ought to hearken to God rather than [the] men.	ἀποκριθεὶς δὲ Πέτρος καὶ οἱ ἀπόστολοι εἶπαν· Πειθαρχεῖν δεῖ θεῷ μᾶλλον ἢ ἀνθρώποις.						
Acts of the Apostles	5	05	30	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲫϯ ⲛ̀ⲧⲉ ⲛⲉⲛⲓⲟϯ ⲁϥⲧⲟⲩⲛⲟⲥ ⲓⲏ̅ⲥ̅ ⲫⲁⲓ ⲛ̀ⲑⲱⲧⲉⲛ ⲉⲧⲁⲣⲉⲧⲉⲛⲉⲛ ⲛⲉⲧⲉⲛϫⲓϫ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱϥ ⲉ̀ⲁⲣⲉⲧⲉⲛⲁϣϥ ⲉ̀ϫⲉⲛ ⲟⲩϣⲉ	ⲡⲛⲟⲩⲧⲉ ⲛ̅ⲛⲉⲛⲉⲓⲟⲧⲉ ⲁϥⲧⲟⲩⲛⲉⲥ ⲓ̅ⲥ̅. ⲡⲁⲓ ⲛ̅ⲧⲱⲧⲛ̅ ⲛ̅ⲧⲁⲧⲉⲧⲛ̅ⲙⲟⲩⲟⲩⲧ ⲙ̅ⲙⲟϥ. ⲉⲁⲧⲉⲧⲛ̅ⲁϣⲧϥ̅ ⲉⲩϣⲉ.	God of our fathers raised Jesus. This (one) upon whom ye (pron.) put forth your hands, having hanged him on a tree:	ὁ θεὸς τῶν πατέρων ἡμῶν ἤγειρεν Ἰησοῦν, ὃν ὑμεῖς διεχειρίσασθε κρεμάσαντες ἐπὶ ξύλου·						
Acts of the Apostles	5	05	31	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲫⲁⲓ ⲁϥϭⲁⲥϥ ⲛ̀ϫⲉ ⲫϯ ⲛ̀ϩⲟⲩⲓⲧ ⲛ̀ⲥⲱⲧⲏⲣ ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲧⲉϥⲟⲩⲓⲛⲁⲙ ⲉ̀ⲑⲣⲉϥϯ ⲛ̀ⲟⲩⲙⲉⲧⲁⲛⲟⲓⲁ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ⲛⲉⲙ ⲡⲭⲱ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ϩⲁⲛⲛⲟⲃⲓ	ⲡⲁⲓ ⲁ ⲡⲛⲟⲩⲧⲉ ϫⲁⲥⲧϥ̅ ⲛ̅ⲁⲣⲭⲓⲅⲟⲥ. ⲁⲩⲱ ⲛ̅ⲥⲱⲧⲏⲣ ϩⲙ ⲡⲉϥⲉⲟⲟⲩ. ⲉⲧⲣⲉϥϯ ⲛ̅ⲟⲩⲙⲉⲧⲁⲛⲟⲓⲁ ⲙ̅ⲡⲓⲏ̅ⲗ̅. ⲁⲩⲱ ⲟⲩⲕⲁ ⲛⲟⲃⲉ ⲉⲃⲟⲗ ϩⲣⲁⲓ ⲛ̅ϩⲏⲧϥ̅.	this (one) God exalted as prince, as saviour with his right hand, to give [a] repentance to Israel, and (the) forgiveness of sins.	τοῦτον ὁ θεὸς ἀρχηγὸν καὶ σωτῆρα ὕψωσεν τῇ δεξιᾷ αὐτοῦ, τοῦ δοῦναι μετάνοιαν τῷ Ἰσραὴλ καὶ ἄφεσιν ἁμαρτιῶν·						
Acts of the Apostles	5	05	32	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲟⲩⲟϩ ⲁ̀ⲛⲟⲛ ⲛ̀ϧⲣⲏⲓ ⲛ̀ϧⲏⲧϥ ⲧⲉⲛⲟⲓ ⲙ̀ⲙⲉⲑⲣⲉ ⲛ̀ⲧⲉ ⲛⲁⲓⲥⲁϫⲓ ⲛⲁⲓ ⲫϯ ⲇⲉ ⲁϥϯ ⲙ̀ⲡⲓⲡⲛ̅ⲁ̅ ⲉⲑⲟⲩⲁⲃ ⲛ̀ⲛⲏ ⲉⲧⲥⲱⲧⲉⲙ ⲛ̀ⲥⲱϥ	ⲁⲩⲱ ⲁⲛⲟⲛ ⲛⲉ ⲙ̅ⲙⲛ̅ⲧⲣⲉ ⲛ̅ⲛⲉⲓϣⲁϫⲉ. ⲁⲩⲱ ⲡⲉⲡⲛ̅ⲁ̅ ⲉⲧⲟⲩⲁⲁⲃ ⲁ ⲡⲛⲟⲩⲧⲉ ⲧⲁⲁϥ ⲛ̅ⲛⲉⲧⲥⲱⲧⲙ̅ ⲛ̅ⲥⲱϥ.	And we (pron.) in him are witness of these very words: but God gave the holy spirit to them who hearken to him.'	καὶ ἡμεῖς ἐσμεν μάρτυρες τῶν ῥημάτων τούτων, καὶ τὸ πνεῦμα τὸ ἅγιον ὃ ἔδωκεν ὁ θεὸς τοῖς πειθαρχοῦσιν αὐτῷ.						
Acts of the Apostles	5	05	33	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲉⲧⲁϥⲥⲱⲧⲉⲙ ⲇⲉ ⲉ̀ⲛⲁⲓ ⲁⲩϧⲣⲁϫⲣⲉϫ ⲛ̀ⲛⲟⲩⲛⲁϫϩⲓ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱⲟⲩ ⲟⲩⲟϩ ⲛⲁⲩⲟⲩⲱϣ ⲉ̀ϧⲟⲑⲃⲟⲩ ⲡⲉ	ⲛ̅ⲧⲉⲣⲟⲩⲥⲱⲧⲙ̅ ⲇⲉ ⲁⲩϭⲱⲛⲧ̅ ⲁⲩⲱ ⲁⲩⲟⲩⲉϣ ⲙⲟⲟⲩⲧⲟⲩ.	But having heard these (things) they gnashed their teeth at them, and they were wishing to kill them.	Οἱ δὲ ἀκούσαντες διεπρίοντο καὶ ἐβούλοντο ἀνελεῖν αὐτούς.						
Acts of the Apostles	5	05	34	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲁϥⲧⲱⲛϥ ⲛ̀ϫⲉ ⲟⲩⲁⲓ ϧⲉⲛ ⲡⲓⲙⲁ ⲛ̀ϯϩⲁⲡ ⲟⲩⲫⲁⲣⲓⲥⲉⲟⲥ ⲡⲉ ⲡⲉϥⲣⲁⲛ ⲡⲉ ⲅⲁⲙⲁⲗⲓⲏⲗ ⲟⲩⲣⲉϥϯⲥⲃⲱ ⲡⲉ ⲛ̀ⲧⲉ ⲡⲓⲛⲟⲙⲟⲥ ⲉϥⲧⲁⲓⲏⲟⲩⲧ ⲛ̀ⲧⲉⲛ ⲡⲓⲗⲁⲟⲥ ⲧⲏⲣϥ ⲁϥⲟⲩⲁϩⲥⲁϩⲛⲓ ⲉ̀ϩⲓ ⲛⲓⲣⲱⲙⲓ ⲉ̀ⲃⲟⲗ ⲛ̀ⲟⲩⲕⲟⲩϫⲓ	ⲁϥⲧⲱⲟⲩⲛ ⲇⲉ ϩⲙ̅ ⲡⲥⲩⲛϩⲉⲇⲣⲓⲟⲛ ⲛ̅ϭⲓ ⲟⲩⲫⲁⲣⲓⲥⲁⲓⲟⲥ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲅⲁⲙⲁⲗⲓⲏⲗ. ⲟⲩⲛⲟⲙⲟⲇⲓⲇⲁⲥⲕⲁⲗⲟⲥ ⲉϥⲧⲁⲓⲏⲩ ⲛ̅ⲛⲁϩⲣⲙ̅ ⲡⲗⲁⲟⲥ ⲧⲏⲣϥ̅. ⲁϥⲟⲩⲉϩⲥⲁϩⲛⲉ ⲉⲧⲣⲉ ⲛ̅ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲣ̅ⲡⲃⲟⲗ ⲙ̅ⲡⲙⲁ ⲛ̅ⲟⲩⲕⲟⲩⲓ.	One rose (up) in the council, he was a Pharisee whose name was Gamaliēl, he was a teacher of the law honoured by all the people. He commanded to put (lit. throw) the men forth for a little.	ἀναστὰς δέ τις ἐν τῷ συνεδρίῳ Φαρισαῖος ὀνόματι Γαμαλιήλ, νομοδιδάσκαλος τίμιος παντὶ τῷ λαῷ, ἐκέλευσεν ἔξω βραχὺ τοὺς ἀνθρώπους ποιῆσαι,						
Acts of the Apostles	5	05	35	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲡⲉϫⲁϥ ⲛⲱⲟⲩ ϫⲉ ⲛⲓⲣⲱⲙⲓ ⲛⲓⲥⲣⲁⲏⲗⲓⲧⲏⲥ ⲙⲁϩⲑⲏⲧⲉⲛ ⲉ̀ⲣⲱⲧⲉⲛ ⲉⲑⲃⲉ ⲛⲁⲓⲣⲱⲙⲓ ϫⲉ ⲟⲩ ⲡⲉ ⲉⲧⲉⲧⲉⲛⲛⲁⲁⲓϥ	ⲁⲩⲱ ⲡⲉϫⲁϥ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲛ̅ⲁⲣⲭⲱⲛ ⲙⲛ̅ ⲛⲉⲧⲥⲟⲟⲩϩ ϫⲉ ⲛ̅ⲣⲱⲙⲉ ⲛ̅ⲧⲉ ⲡⲓⲏ̅ⲗ̅. ϯϩⲧⲏⲧⲛ̅ ⲉⲣⲱⲧⲛ̅. ϫⲉ ⲟⲩ ⲡⲉⲧⲛ̅ⲛⲁⲁⲁϥ ⲉⲧⲃⲉ ⲛⲉⲓⲣⲱⲙⲉ.	He said to them: [The] men, [the] Israelites, give heed to yourselves concerning these men, as to what it is which ye do.	εἶπέν τε πρὸς αὐτούς· Ἄνδρες Ἰσραηλῖται, προσέχετε ἑαυτοῖς ἐπὶ τοῖς ἀνθρώποις τούτοις τί μέλλετε πράσσειν.						
Acts of the Apostles	5	05	36	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ϧⲁϫⲱⲟⲩ ⲅⲁⲣ ⲛ̀ⲛⲁⲓⲉϩⲟⲟⲩ ⲁϥⲧⲱⲛϥ ⲛ̀ϫⲉ ⲟⲩⲁⲓ ϫⲉ ⲑⲉⲩⲧⲏⲥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲁ̀ⲛⲟⲕ ⲡⲉ ⲁⲩⲟⲩⲁϩⲟⲩ ⲛ̀ⲥⲱϥ ⲛ̀ϫⲉ ⲩ̅ ⲛ̀ⲏⲡⲓ ⲛ̀ⲣⲱⲙⲓ ⲟⲩⲟϩ ⲉⲧⲁⲩϧⲟⲑⲃⲉϥ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉ̀ⲛⲁⲣⲉ ⲡⲟⲩϩⲏⲧ ⲑⲏⲧ ⲛⲉⲙⲁϥ ⲁⲩⲃⲱⲗ ⲉ̀ⲃⲟⲗ ⲉ̀ⲁⲩϣⲱⲡⲓ ⲉ̀ϩⲁⲛϩⲗⲓ	ϩⲁⲑⲏ ⲅⲁⲣ ⲛ̅ⲛⲉⲓϩⲟⲟⲩ ⲁϥⲧⲱⲟⲩⲛ ⲛ̅ϭⲓ ⲑⲉⲩⲧⲁⲥ ⲉϥϫⲱ ⲙ̅ⲙⲟⲥ ⲉⲣⲟϥ ϫⲉ ⲁⲛⲟⲕ ⲡⲉ. ⲡⲁⲓ ⲛ̅ⲧⲁⲩⲟⲩⲁϩⲟⲩ ⲛ̅ⲥⲱϥ ⲛ̅ϭⲓ ⲁϥⲧⲟⲩϣⲉ ⲛ̅ⲣⲱⲙⲉ. ⲡⲁⲓ ⲇⲉ ⲁⲩϩⲟⲧⲃⲉϥ. ⲁⲩⲱ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲥⲱⲧⲙ̅ ⲛ̅ⲥⲱϥ ⲁⲩⲃⲱⲗ ⲉⲃⲟⲗ ⲁⲩϣⲱⲡⲉ ⲉⲩⲗⲁⲁⲩ.	For before these days rose one called Theutēs, saying that I am (he). Four hundred of men in number followed him, and he having been killed, all who were obeying him were overthrown, having become nothing.	πρὸ γὰρ τούτων τῶν ἡμερῶν ἀνέστη Θευδᾶς, λέγων εἶναί τινα ἑαυτόν, ᾧ προσεκλίθη ἀνδρῶν ἀριθμὸς ὡς τετρακοσίων· ὃς ἀνῃρέθη, καὶ πάντες ὅσοι ἐπείθοντο αὐτῷ διελύθησαν καὶ ἐγένοντο εἰς οὐδέν.						
Acts of the Apostles	5	05	37	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲙⲉⲛⲉⲛⲥⲁ ⲫⲁⲓ ⲁϥⲧⲱⲛϥ ⲛ̀ϫⲉ ⲓⲟⲩⲇⲁⲥ ⲡⲓⲅⲁⲗⲓⲗⲉⲟⲥ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ϯⲉⲡⲓⲅⲣⲁⲫⲏ ⲟⲩⲟϩ ⲁϥⲥⲉⲕ ⲟⲩⲙⲏϣ ⲥⲁⲫⲁϩⲟⲩ ⲙ̀ⲙⲟϥ ⲟⲩⲟϩ ⲡⲓⲭⲉⲧ ⲁϥⲧⲁⲕⲟ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉ̀ⲛⲁⲣⲉ ⲡⲟⲩϩⲏⲧ ⲑⲏⲧ ⲛⲉⲙⲁϥ ⲁⲩⲃⲱⲗ ⲉ̀ⲃⲟⲗ	ⲙⲛ̅ⲛ̅ⲥⲁ ⲡⲁⲓ ⲁϥⲧⲱⲟⲩⲛ ⲛ̅ϭⲓ ⲓⲟⲩⲇⲁⲥ ⲡⲅⲁⲗⲓⲗⲁⲓⲟⲥ ϩⲛ̅ ⲛⲉϩⲟⲟⲩ ⲛ̅ⲧⲁⲡⲟⲅⲣⲁⲫⲏ. ⲁⲩⲱ ⲁϥⲡⲉϣⲥ̅ ⲟⲩⲗⲁⲟⲥ ⲉⲛⲁϣⲱϥ ϩⲓ ⲡⲁϩⲟⲩ ⲙ̅ⲙⲟϥ. ⲛ̅ⲧⲟϥ ⲇⲉ ϩⲱⲱϥ ⲟⲛ ⲁⲩⲧⲁⲕⲟϥ. ⲁⲩⲱ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲥⲱⲧⲙ̅ ⲛ̅ⲥⲱϥ ⲁⲩϫⲱⲱⲣⲉ ⲉⲃⲟⲗ.	After this rose Ioudas the Galilean in the days of the enrolment, and he drew many after (lit. behind) him, and he also perished; all who were obeying him were overthrown.	μετὰ τοῦτον ἀνέστη Ἰούδας ὁ Γαλιλαῖος ἐν ταῖς ἡμέραις τῆς ἀπογραφῆς καὶ ἀπέστησε λαὸν ὀπίσω αὐτοῦ· κἀκεῖνος ἀπώλετο καὶ πάντες ὅσοι ἐπείθοντο αὐτῷ διεσκορπίσθησαν.						
Acts of the Apostles	5	05	38	NT	2. NT	Acts of the Apostles	2. Acts of the Apostles	07. Acts of the Apostles	01. Acts of the Apostles	ⲟⲩⲟϩ ϯⲛⲟⲩ ϯϫⲱ ⲙ̀ⲙⲟⲥ ⲛⲱⲧⲉⲛ ϫⲉ ϩⲉⲛ ⲑⲏⲛⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲁ ⲛⲁⲓⲣⲱⲙⲓ ⲟⲩⲟϩ ⲭⲁⲩ ⲉ̀ⲃⲟⲗ ϫⲉ ⲉ̀ϣⲱⲡ ⲡⲁⲓⲥⲟϭⲛⲓ ⲓⲉ ⲡⲁⲓϩⲱⲃ ⲟⲩⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲛⲓⲣⲱⲙⲓ ⲡⲉ ⲓⲉ ϥⲛⲁⲃⲱⲗ ⲉ̀ⲃⲟⲗ	ⲧⲉⲛⲟⲩ ϭⲉ ϯϫⲱ ⲙ̅ⲙⲟⲥ ⲛⲏⲧⲛ̅ ϫⲉ ⲥⲁϩⲉ ⲧⲏⲩⲧⲛ̅ ⲉⲃⲟⲗ ⲛ̅ⲛⲉⲓⲣⲱⲙⲉ ⲁⲩⲱ ⲛ̅ⲧⲉⲧⲛ̅ⲕⲁⲁⲩ. ϫⲉ ⲉϣⲱⲡⲉ ⲡⲉⲓϣⲟϫⲛⲉ ⲏ ⲡⲉⲓϩⲱⲃ ⲟⲩⲉⲃⲟⲗ ϩⲛ̅ ⲛ̅ⲣⲱⲙⲉ ⲡⲉ ⲉⲓⲉ ϥⲛⲁⲃⲱⲗ ⲉⲃⲟⲗ.	And now, I say to you, withdraw from these men, and release them: because if this counsel or this work is from [the] men, then it will be overthrown,	καὶ τὰ νῦν λέγω ὑμῖν, ἀπόστητε ἀπὸ τῶν ἀνθρώπων τούτων καὶ ἄφετε αὐτούς· (ὅτι ἐὰν ᾖ ἐξ ἀνθρώπων ἡ βουλὴ αὕτη ἢ τὸ ἔργον τοῦτο, καταλυθήσεται,						
