للبحث عن كلمة في القاموس تكتب الكلمة بأحرف لاتينية أو يونانية فمثلا ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ουαι = ouai,αιγυπτια = aijuptia,,λεϣϫ = leshg,ξυλον = xulon,χα = qa,σουην = souyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ϧωνϫ = khwng,Ϭηου = tschyou,Ϯϩηου = tihyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α = a,β = b,γ = j,δ = d,ε = e,ζ = z,η = y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
θ = th,ι = i,κ = k,λ = l,μ = m,ν = n,ξ = x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ο = o,π = p,ρ = r,ς = s,τ = t ,υ = u,φ = ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
χ = q,ψ = ps,ω = w,ϣ = sh,ϥ = f,ϧ = kh,ϩ = h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ϫ = g,ϭ = tsch,ϯ = ti,ẁ = `w,ὰ = `a,ὲ = `e,ὸ = `o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ὶ = i,ὴ = `y,ὺ = `u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الكتابة الصوتية للكلمات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e = e = went,i: = ee = need,ɑ = a = car,ɑʊ = au = cow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ʃ = sh = shirt,tʃ = tsch = church,ʒ = j = judge,kʰ =خ =kh = ϧ = χ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tʰ = ث = th =θ = theory,oː = go,pʰ = ph = phone,g = g = great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"α , α (αλφα)",/,"ɑ , ɑ (ɑlpʰɑ)",/,→,"a , a (alpha)","a , a (alpha)",حرف,/,,,/,الحرف الأول من الأبجدية القبطية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ουαι,/,owɑi,/,→,ouai,ouai,رقم,/,,,/,واحد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α ,/,ɑ ,/,→,a ,a ,رقم,/,,,/,واحد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α ,/,ɑ ,/,→,a ,a ,prefix بادئة,/,,,/,علامة زمن الماضي توضع قبل الضمير أو الاسم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α ,/,ɑ ,/,→,a ,a ,prefix بادئة,/,,,/,بادئة تعطي معنى الأمر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αναυ,/,ɑnɑʊ / anav,/,→,anau,anau,فعل,/,أمر,,/,أنظر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α ,/,ɑ ,/,→,a ,a ,prefix بادئة,/,,,/,بادئة زائدة ببعض الكلمات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αουων,/,ɑoːoːn,/,→,aouwn,aouwn,فعل,/,,,/,يفتح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α ,/,ɑ ,/,→,a ,a ,prefix بادئة,/,,,/,بادئة تفيد عكس المعنى أو النفي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αθανατος,/,ɑtʰɑnɑtos,/,→,athanatos,athanatos,صفة,/,,يوناني,/,غير مائت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ααυτης,/,ɑ-ɑʊtiːs,/,→,aautys,aautys,اسم,/,مذكر,,/,النيل,نهر النيل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αβαθρα,/,ɑbɑtʰrɑ,/,→,abathra,abathra,اسم,/,مؤنث,يوناني,/,جسر,كوبري,قنطرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αουαν,/,ɑwɑn,/,→,aouan,aouan,اسم,/,مذكر,,/,لون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αβαν,/,ɑbɑn,/,→,aban,aban,اسم,/,مذكر,,/,لون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αβατος,/,ɑbɑtos,/,→,abatos,abatos,صفة,/,,يوناني,/,عديم الخضرة,غير مسلوك,متعذر اجتيازه,غير مسموح بالدوس عليه أو بركوبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αβαϩ,/,ɑbɑh,/,→,abah,abah,أداة  ,/,,,/,لفظ يدل على الدهشة أو الاستغراب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αβαϫηινι,/,ɑbɑʒiːini,/,→,abagyini,abagyini,اسم,/,"مذكر ، مؤنث ",,/,زجاج,بلور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αβαϫινι,/,ɑbɑʒini,/,→,abagini,abagini,اسم,/,"مذكر ، مؤنث ",,/,زجاج,بلور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
απα,/,ɑpɑ,/,→,apa,apa,اسم,/,,"يوناني ، عبري",/,أبا,أنبا,لقب للقديسن والأساقفة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αββα ,/,ɑbbɑ ,/,→,abba ,abba ,اسم,/,,"يوناني ، عبري",/,أبا,أنبا,لقب للقديسن والأساقفة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
