Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ϩⲱⲧⲡ	ϩωτπ	hoːtp	hwtp	hōtp	اسم	مذكر	"مصالحة
توفيق
وفاق
جمع
اندماج
انسجام
رضي
اتصال
اقتران
اتحاد
مفصل"		ϩⲱⲧⲡ (ⲡ)	(ⲡ)
ϩⲱⲧⲡ	ϩωτπ	hoːtp	hwtp	hōtp	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يختفي
يغرب
يأفل
يغيب"		ϩⲱⲧⲡ	
ⲱⲧⲡ	ωτπ	oːtp	wtp	ōtp	اسم	مذكر	"حجز
سجن"		ⲱⲧⲡ (ⲡ)	(ⲡ)
ϩⲱⲧⲡ	ϩωτπ	hoːtp	hwtp	hōtp	اسم	مذكر	"حجز
سجن"		ϩⲱⲧⲡ (ⲡ)	(ⲡ)
ϩⲱⲧⲡ ὲ	ϩωτπ ὲ	hoːtp è	hwtp `e	hōtp è	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	يسالم		ϩⲱⲧⲡ ὲ	
ϩⲱⲧⲡ ὲϧⲟⲩⲛ	ϩωτπ ὲϧουν	hoːtp èkʰoːn	hwtp `ekhoun	hōtp èkhün	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يخفي
يواري
يخبيء"		ϩⲱⲧⲡ ὲϧⲟⲩⲛ	
ϩⲟϣ	ϩοϣ	hοsh	hosh	hosh	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يتورط
يجازف
يخاطر
يكرب
يقتحم أخطار
يتضايق
يتكدر
ينغم
يتأثر
يضايق
يكدر
يألم
يقلق
يعذب
يوجع
يحزن
يغم
يورط
يغبن
يهوش"		ϩⲟϣ	
ϩⲉϣ	ϩεϣ	hesh	hesh	hesh	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يتورط
يجازف
يخاطر
يكرب
يقتحم أخطار
يتضايق
يتكدر
ينغم
يتأثر
يضايق
يكدر
يألم
يقلق
يعذب
يوجع
يحزن
يغم
يورط
يغبن
يهوش"		ϩⲉϣ	
ϩⲱϣ	ϩωϣ	hoːsh	hwsh	hōsh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتورط
يجازف
يخاطر
يكرب
يقتحم أخطار
يتضايق
يتكدر
ينغم
يتأثر
يضايق
يكدر
يألم
يقلق
يعذب
يوجع
يحزن
يغم
يورط
يغبن
يهوش"		ϩⲱϣ	
ϩⲱϣ	ϩωϣ	hoːsh	hwsh	hōsh	اسم	مذكر	"خطر
مأزق
ضيق
كرب
مرارة نفس
غم
شدة
قلق
تكدر
اكتئاب"		ϩⲱϣ (ⲡ)	(ⲡ)
ϩⲱϥ	ϩωϥ	hoːf	hwf	hōf	توكيد		"هو أيضا
هو نفسه
هو ذاته"		ϩⲱϥ	
