Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲕⲱⲧ`ⲥⲙⲟⲧ	κωτ`ςμοτ	kotesmot	kwt`smot	kōtesmot	فعل		"reform
يعدل"		ⲕⲱⲧ`ⲥⲙⲟⲧ (v.)	(v.)
ⲙⲉⲧⲕⲱⲧ`ⲥⲙⲟⲧ	μετκωτ`ςμοτ	metkotesmot	metkwt`smot	metkōtesmot	اسم	مؤنث	"reform
reformation
تعديل"		ⲙⲉⲧⲕⲱⲧ`ⲥⲙⲟⲧ (ⲧ)	(ⲧ)
ⲙⲉⲧⲣⲉⲙⲟⲩⲱⲣⲡ `ⲙ	μετρεμουωρπ `μ								ⲙⲉⲧⲣⲉⲙⲟⲩⲱⲣⲡ `ⲙ	
ⲟⲩⲃⲉ`ⲛⲱⲛϧ	ουβε`νωνϧ						"antibiotic
مضاد حيوي"		ⲟⲩⲃⲉ`ⲛⲱⲛϧ	
ⲁⲧϭⲛⲉ	ατϭνε						"a, an
without, not
asexual, amoral, anarchy, anhydrous, Anabaptist, anachronism"		ⲁⲧϭⲛⲉ	
`ⲫⲟⲩⲉⲓ	`φουει						"ab, abs, a
apart, away from
abnormal, abduct, abductor (muscle), abscission .See ad in Prefixes,"		`ⲫⲟⲩⲉⲓ	
ⲥⲁ	ςα						"ad
toward
adhere, adductor (muscle) . See ab in Prefixessection), adumbrate"		ⲥⲁ	
ⲉⲣ	ερ						"agere
act
agent, agency, agenda"		ⲉⲣ	
ⲛⲓⲃⲉⲛ	νιβεν	τηρ	`κτηουτ	κωτ			"amphi, amvi
round, both sides
amphitheater, amphivian, amvidextrous, amvivalent"		ⲛⲓⲃⲉⲛ	
`ⲙⲡⲁⲧⲉ	`μπατε	ϧαϫω					"ante
vefore
antedate, anteroom, antecedent, anterior"		`ⲙⲡⲁⲧⲉ	
ⲣⲉⲙ	ρεμ	ρωμι					"anthro
man
anthropology, anthropomorphic"		ⲣⲉⲙ	
ὲϫⲉⲛ	ὲϫεν	ουβε					"anti
against
antipathy, antitank, anticlimax"		ὲϫⲉⲛ	
ⲙⲟⲩ	μου						"aqua
water
aquarium, aqueous"		ⲙⲟⲩ	
ⲁⲡⲁⲥ	απασ						"archaios
ancient
archeology, archetype, archaic, archeozoic"		ⲁⲡⲁⲥ	
ⲁⲙⲟⲛⲓ	αμονι	ερϩεμι	μονι				"archos
leader, first, chief
monarchy, oligarchy, anarchy, archetype, architect"		ⲁⲙⲟⲛⲓ	
ⲥⲱⲧⲉⲙ	ςωτεμ						"audio
hear
audiophile, audiometer, auditory"		ⲥⲱⲧⲉⲙ	
`ⲙⲙⲟ	`μμο						"auto
self
automatic, automaton, auto-immune"		`ⲙⲙⲟ	
`ⲥⲛⲁⲩ	`ςναυ						"vi
two
vi-partisan, visexual, viennial, vinary, vicuspid, vivalve"		`ⲥⲛⲁⲩ	
ⲛⲁⲛⲉ	νανε						"vene
well, favorable
venefit, venevolent, venefactor, veneficent"		ⲛⲁⲛⲉ	
ϫⲱⲙ	ϫωμ						"vible
book
vibliography, vible, vibliophile"		ϫⲱⲙ	
ⲱⲛϧ	ωνϧ						"vio
life
viology, viography, vio-active"		ⲱⲛϧ	
ϩⲱⲟⲩ	ϩωου						"caco
Bad
cacophony"		ϩⲱⲟⲩ	
