Noϥri ,nofri ,nofri ,nofri ,اسم,,,hello,أهلا,,,,,,,
ουωϣ,O-oʃ,Ouosh,O-osh,فعل,,,want,يريد,,,,,,,
τωμτ,tomt,twmt,tomt,فعل,,,meet,يقابل,,,,,,,
ρεμ`νϫινερϩεμι ,rem en ʒin erhemi,rem `n ginerhemi,rem en gin erhemi,اسم,مذكر ، مؤنث,,economist,رجل تدبير,اقتصادي ,,,,,,
μετϣωτ,metʃot,metshwt,metshot,اسم,مؤنث,,commerce,تجارة,,,,,,,
`νουτε`ϣλολ ,En ote eʃlol,`n oute `shlol,En ote eshlol,صفة,,,international,دولي,,,,,,,
ιοϩι,iohi,iohi,iohi,اسم,مذكر,,field,مجال,حقل,,,,,,
ϩωβ,hop,hwp,hop,فعل,,,work,يعمل,,,,,,,
ϩανϩοτπ `ν`ϣλολ,hanhotp en eshlol,hanhotp `n `shlol,hanhotp en eshlol,اسم,مذكر,,united nations,أمم المتحدة,,,,,,,
ϫινςοβϯ `ν ϩανϩοτπ `ν`ϣλολ,Ginsobti en hanhotp en eshlol,Ginsobti `n hanhotp `n `shlol,Ginsobti en hanhotp en eshlol,اسم,مذكر,,united nations organization,,,منظمة الأمم المتحدة,,,,,
`ςϧηουτενϣορπ,eskhyotenshorp,`skhyotenshorp,eskhyotenshorp,اسم,مذكر,,program,برنامج,,,,,,,
μεταιαι,metaiai,metaiai,metaiai,اسم,مؤنث,,development,تنمية,,,,,,,
ϧεν ου ϫωνϥ,khen o gonf,khen ou gwnf,khen o gonf,اسم,,,By chance,بالصدفة,صدفة,,,,,,
μοκμεκ ὲβολ,Mokmek evol,Mokmek ebol,Mokmek evol,فعل,,,guess,يخمن,,,,,,,
ι εϩρεν,I ehren,I ehren,I ehren,فعل,,,meet,يقابل,,,,,,,
ι ϩιϫεν,I hiʒen,I higen,I higen,فعل,,,meet,يقابل,,,,,,,
ταϩο ε,taho e,taho e,taho e,فعل,,,meet,يقابل,,,,,,,
ταϩο εϩουν,taho ehon,taho ehoun,taho ehoun,فعل,,,meet,يقابل,,,,,,,
τωμτ ε,tomt e,twmt e,twmt e,فعل,,,meet,يقابل,,,,,,,
Εβολϧεν πεκ`ϩμοτ  ,evolkʰen pek ehmot,ebolkhen pek `hmot,ebolkhen pek ehmot,اسم,مذكر,,please,من فضلك,,,,,,,
Εβολϧεν πε`ϩμοτ  ,evolkʰen pe ehmot,ebolkhen pe `hmot,ebolkhen pe ehmot,اسم,مؤنث,,please,من فضلك,,,,,,,
Εβολϧεν πετεν`ϩμοτ  ,evolkʰen peten ehmot,ebolkhen peten `hmot,ebolkhen peten ehmot,اسم,جمع,,please,من فضلكم,,,,,,,
ιεβναϣϯ,iebnaʃti,iebnashti,iebnashti,اسم,مذكر,,technical support,دعم فني,,,,,,,
νανεϥ`ντοουὶ,nanef entoowi ,nanef `ntoowi ,nanef entoowi ,,,,good morning,,صباح الخير,,,,,,
Νανε τοουὶ,nane toowi ,nane toowi ,nane toowi ,,,,good morning,,صباح الخير,,,,,,
Νανεϥ `νρουϩι,nanef enrohi,nanef `nrohi,nanef enrohi,,,,good evening,,مساء الخير,,,,,,
Νανε ρουϩι,nane rohi,nane rohi,nane rohi,,,,good evening,,مساء الخير,,,,,,
Νανεϥ `νϫωρϩ,nanef engorh,nanef `ngorh,nanef engorh,,,,good night,,تصبح على خير,,,,,,
Νανε ϫωρϩ,nane gorh,nane gorh,nane gorh,,,,good night,,تصبح على خير,,,,,,
Νοϥρι,nofri  ,nofri  ,nofri  ,,,,hello,,أهلا,نهارك سعيد,,,,,
ουϫαι,ogai,ogai,ogai,,,,"be safe, bye bye",,كن معاف ، مع السلامة,,,,,,
