id	super_id	orthstring	pos_string	de	en	fr	etym_string	ascii_orth	search_string	oref_string	greek_id	ents	entry_xml_id	lemma_form_id
1	1	"Zahlzeichen erster Buchstabe des Alphabeths ⲁⲗⲫⲁ
ⲁ~S^^CF2
"	NUM	1@CS1|~~~Eins;;;CD 1a; CED 1; KoptHWb 1	1@CS1|~~~one;;;CD 1a; CED 1; KoptHWb 1	1@CS1|~~~un;;;CD 1a; CED 1; KoptHWb 1		A	"
ⲁ~S^^CF2
"	ⲁ			C1	CF1
2	1	"Verbalpräfix Status nominalis
ⲁ-~S^^CF4
|||Verbalpräfix Status nominalis
ⲁ-~A^^CF6
|||Verbalpräfix Status nominalis
ⲁ-~B^^CF5
|||Verbalpräfix Status nominalis
ⲁ-~F^^CF8
|||Verbalpräfix Status nominalis
ⲁ-~K^^CF9
|||Verbalpräfix Status nominalis
ⲁ-~L^^CF7
|||Verbalpräfix Status pronominalis
ⲁ⸗~S^^CF10
|||Verbalpräfix Status pronominalis
ⲁ⸗~A^^CF12
|||Verbalpräfix Status pronominalis
ⲁ⸗~B^^CF11
|||Verbalpräfix Status pronominalis
ⲁ⸗~F^^CF14
|||Verbalpräfix Status pronominalis
ⲁ⸗~K^^CF15
|||Verbalpräfix Status pronominalis
ⲁ⸗~L^^CF13
"	A	1@CS2|~~~Präfix Perfekt I;;;CD 1a; CED 1; KoptHWb 1; DELC 1-2	1@CS2|~~~verbal prefix perfect I;;;CD 1a; CED 1; KoptHWb 1; DELC 1-2	1@CS2|~~~préfixe verbal parfait I;;;CD 1a; CED 1; KoptHWb 1; DELC 1-2	syn. #ⲁϩⲁ# Verbalpräfix Perfekt I syn. #ϩⲁ# Verbalpräfix Perfekt I 	A	"
ⲁ~S^^CF4
ⲁ~A^^CF6
ⲁ~B^^CF5
ⲁ~F^^CF8
ⲁ~K^^CF9
ⲁ~L^^CF7
ⲁ~S^^CF10
ⲁ~A^^CF12
ⲁ~B^^CF11
ⲁ~F^^CF14
ⲁ~K^^CF15
ⲁ~L^^CF13
"	ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ			C2	CF3
3	1	"Verbalpräfix Imperativpräfix ⲁ-
ⲁ-~S^^CF17
|||Verbalpräfix Imperativpräfix ⲁ-
ⲁ-~A^^CF19
|||Verbalpräfix Imperativpräfix ⲁ-
ⲁ-~B^^CF18
|||Verbalpräfix Imperativpräfix ⲁ-
ⲁ-~F^^CF21
|||Verbalpräfix Imperativpräfix ⲁ-
ⲁ-~K^^CF22
|||Verbalpräfix Imperativpräfix ⲁ-
ⲁ-~L^^CF20
|||Verbalpräfix Imperativpräfix ⲁ-
ⲉ-~A^^CF23
|||Verbalpräfix Imperativpräfix ⲁ-
ⲉ-~K^^CF25
|||Verbalpräfix Imperativpräfix ⲁ-
ⲉ-~L^^CF24
"	NEG	1@CS3|~~~Präformativ des Imperativs;;;CD 1a; CED 1; KoptHWb 1; DELC 2-3	1@CS3|~~~prefix of imperative;;;CD 1a; CED 1; KoptHWb 1; DELC 2-3	1@CS3|~~~préfixe de l'impératif;;;CD 1a; CED 1; KoptHWb 1; DELC 2-3		A	"
ⲁ~S^^CF17
ⲁ~A^^CF19
ⲁ~B^^CF18
ⲁ~F^^CF21
ⲁ~K^^CF22
ⲁ~L^^CF20
ⲉ~A^^CF23
ⲉ~K^^CF25
ⲉ~L^^CF24
"	ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲉ|||ⲉ|||ⲉ			C3	CF16
4	1	"Partikel
ⲁ-~S^^CF27
|||Partikel
ⲁ-~A^^CF29
|||Partikel
ⲁ-~B^^CF28
|||Partikel
ⲁ-~F^^CF31
|||Partikel
ⲁ-~L^^CF30
|||Partikel
ⲁⲩ-~B^^CF32
"	PTC	1@CS4|~~~ungefähr; unbestimme Angabe;;;CD 1ab; CED 1; KoptHWb 1; DELC 3; ChLCS 3a	1@CS4|~~~about; marking indefinitness;;;CD 1ab; CED 1; KoptHWb 1; DELC 3; ChLCS 3a	1@CS4|~~~approximativement, environ; indiquant une approximation;;;CD 1ab; CED 1; KoptHWb 1; DELC 3; ChLCS 3a	cf. #ⲛⲁ# ungefähr 	A	"
ⲁ~S^^CF27
ⲁ~A^^CF29
ⲁ~B^^CF28
ⲁ~F^^CF31
ⲁ~L^^CF30
ⲁⲩ~B^^CF32
"	ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁ|||ⲁⲩ			C4	CF26
5	1	"Nominalpräfix m. zur Bildung von Ortsangaben
ⲁ-~S^^CF34
|||Nominalpräfix m. zur Bildung von Ortsangaben
ⲁ-~B^^CF35
|||Nominalpräfix m. zur Bildung von Ortsangaben
ⲁ-~F^^CF37
|||Nominalpräfix m. zur Bildung von Ortsangaben
ⲁ-~L^^CF36
"	N	1@CS5|~~~Haus, Gebiet, Umgebung;;;KoptHWb 1	1@CS5|~~~house, region, environment;;;KoptHWb 1	1@CS5|~~~domaine, région, environnement;;;KoptHWb 1	cf. #ⲁⲛⲍⲏⲃⲉ# Schule cf. #ⲁⲛⲁϩⲱⲣ# Schatzhaus, Speicher 	A	"
ⲁ~S^^CF34
ⲁ~B^^CF35
ⲁ~F^^CF37
ⲁ~L^^CF36
"	ⲁ|||ⲁ|||ⲁ|||ⲁ			C5	CF33
6	2	"Subst. f.
ⲁⲃⲉ~S^^CF39
"	N	1@CS6|~~~Band, Fessel;;;CD 2a; DELC 3; ChLCS 3a	1@CS6|~~~strap, chain;;;CD 2a; DELC 3; ChLCS 3a	1@CS6|~~~lien, entrave;;;CD 2a; DELC 3; ChLCS 3a		ABE	"
ⲁⲃⲉ~S^^CF39
"	ⲁⲃⲉ			C6	CF38
7	3	"Subst. f.
ⲁⲃⲱ~S^^CF41
|||pl.
ⲁⲃⲟⲟⲩⲉ~A^^CF43
|||Subst. f.
ⲁⲃⲟⲩ~A^^CF42
"	N	1@CS7|~~~Netz; für Fische oder Vögel;;;CD 2a; CED 2; KoptHWb 1, 482; DELC 3; ChLCS 3a	1@CS7|~~~dragnet; for fishes or birds;;;CD 2a; CED 2; KoptHWb 1, 482; DELC 3; ChLCS 3a	1@CS7|~~~seine, filet; de pêcheur, oiseleur;;;CD 2a; CED 2; KoptHWb 1, 482; DELC 3; ChLCS 3a		ABX	"
ⲁⲃⲱ~S^^CF41
ⲁⲃⲟⲟⲩⲉ~A^^CF43
ⲁⲃⲟⲩ~A^^CF42
"	ⲁⲃⲱ|||ⲁⲃⲟⲟⲩⲉ|||ⲁⲃⲟⲩ			C7	CF40
8	3	"Subst.
ⲁⲃⲱ~S^^CF45
|||pl.
ⲁⲃⲁⲧⲉ~S^^CF46
"	N	1@CS8|~~~Festung [?];;;CD 2b; KoptHWb 483; ChLCS 3a	1@CS8|~~~fortress [?];;;CD 2b; KoptHWb 483; ChLCS 3a	1@CS8|~~~forteresse [?];;;CD 2b; KoptHWb 483; ChLCS 3a		ABX	"
ⲁⲃⲱ~S^^CF45
ⲁⲃⲁⲧⲉ~S^^CF46
"	ⲁⲃⲱ|||ⲁⲃⲁⲧⲉ			C8	CF44
9	4	"Subst. m.
ⲁⲃⲱⲕ~S^^CF48
|||Subst. m.
ⲁϥⲟⲕ~S^^CF51
|||pl.
ⲁⲃⲁⲁⲕⲓ~F^^CF55
|||pl.
ⲁⲃⲁⲕⲉ~A^^CF53
|||Subst. m.
ⲁⲃⲟⲕ~S^^CF49
|||Subst. m.
ⲁⲃⲟⲕ~B^^CF50
|||pl.
ⲁⲃⲟⲕⲓ~B^^CF54
|||pl.
ⲁⲃⲟⲟⲕⲉ~S^^CF52
"	N	1@CS9|ref: κόραξ, κορώνη ~~~Rabe, Krähe;;;CD 2b; CED 2; KoptHWb 2; DELC 4; ChLCS 3a	1@CS9|ref: κόραξ, κορώνη ~~~raven, crow;;;CD 2b; CED 2; KoptHWb 2; DELC 4; ChLCS 3a	1@CS9|ref: κόραξ, κορώνη ~~~corbeau, corneille;;;CD 2b; CED 2; KoptHWb 2; DELC 4; ChLCS 3a		ABXJ	"
ⲁⲃⲱⲕ~S^^CF48
ⲁϥⲟⲕ~S^^CF51
ⲁⲃⲁⲁⲕⲓ~F^^CF55
ⲁⲃⲁⲕⲉ~A^^CF53
ⲁⲃⲟⲕ~S^^CF49
ⲁⲃⲟⲕ~B^^CF50
ⲁⲃⲟⲕⲓ~B^^CF54
ⲁⲃⲟⲟⲕⲉ~S^^CF52
"	ⲁⲃⲱⲕ|||ⲁϥⲟⲕ|||ⲁⲃⲁⲁⲕⲓ|||ⲁⲃⲁⲕⲉ|||ⲁⲃⲟⲕ|||ⲁⲃⲟⲕ|||ⲁⲃⲟⲕⲓ|||ⲁⲃⲟⲟⲕⲉ			C9	CF47
10	4	"Subst. f.
ⲁⲃⲟⲕⲉ~S^^CF57
|||Subst. f.
ⲁⲃⲟⲕⲓ~B^^CF58
|||pl.
ⲁⲃⲟⲟⲕⲉ~S^^CF59
"	N	1@CS10|ref: κόραξ, κορώνη ~~~Rabe, Krähe;;;CD 2b; KoptHWb 2; DELC 4; ChLCS 3a	1@CS10|ref: κόραξ, κορώνη ~~~raven, crow;;;CD 2b; KoptHWb 2; DELC 4; ChLCS 3a	1@CS10|ref: κόραξ, κορώνη ~~~corbeau, corneille;;;CD 2b; KoptHWb 2; DELC 4; ChLCS 3a		ABOJE	"
ⲁⲃⲟⲕⲉ~S^^CF57
ⲁⲃⲟⲕⲓ~B^^CF58
ⲁⲃⲟⲟⲕⲉ~S^^CF59
"	ⲁⲃⲟⲕⲉ|||ⲁⲃⲟⲕⲓ|||ⲁⲃⲟⲟⲕⲉ			C10	CF56
