id	super_id	orthstring	pos_string	de	en	fr	etym_string	ascii_orth	search_string	oref_string	greek_id	ents	entry_xml_id	lemma_form_id
8056	3370	"Subst.
ⲁⲃⲁⲥⲓⲗⲉⲩⲧⲟⲥ~S^^CF18152
"	N	1@CS8946|ref: 4562 DDGLC	1@CS8946|ref: 4562 ~~~unruled;;;DDGLC	1@CS8946|ref: 4562 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 3742)</span> ἀβασίλευτος <i>kingless, unruled</i>. <span style=""color:grey"">adjective</span> <span style=""color:grey"">(LSJ 2a)</span>"	ABARIKETSOR	"
ⲁⲃⲁⲥⲓⲗⲉⲩⲧⲟⲥ~S^^CF18152
"	ⲁⲃⲁⲥⲓⲗⲉⲩⲧⲟⲥ	3742		C8043	CF18151
8057	3371	"Subst.
ⲁⲃⲃⲁ~S^^CF18154
|||Subst.
ⲁⲃⲃⲁ~B^^CF18155
"	N	1@CS8947|ref: 2204 DDGLC |||2@CS8948|ref: 3128 DDGLC	1@CS8947|ref: 2204 ~~~Abba (monastic title, like Apa also used of saints);;;DDGLC |||2@CS8948|ref: 3128 ~~~Abba (title for archbishops and bishops);;;DDGLC	1@CS8947|ref: 2204 DDGLC |||2@CS8948|ref: 3128 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 4748)</span> ἀββᾶς <i>father (here as title), abbot</i>. <span style=""color:grey"">noun</span> <span style=""color:grey"">(Sophocles 58b; Preisigke 1:1)</span>"	ABBA	"
ⲁⲃⲃⲁ~S^^CF18154
ⲁⲃⲃⲁ~B^^CF18155
"	ⲁⲃⲃⲁ|||ⲁⲃⲃⲁ	4748		C8044	CF18153
8058	3372	"Subst.
ⲁⲃⲉⲗⲧⲓⲟⲛ~S^^CF18157
"	N	1@CS8949|ref: 3688 DDGLC	1@CS8949|ref: 3688 ~~~small sack, pouch;;;DDGLC	1@CS8949|ref: 3688 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 6366)</span> ἀβέρτιον <i>small sack, pouch</i>. <span style=""color:grey"">noun</span> <span style=""color:grey"">(cf. Sophocles 59a, s.v. αβερτή)</span>"	ABEKSIOM	"
ⲁⲃⲉⲗⲧⲓⲟⲛ~S^^CF18157
"	ⲁⲃⲉⲗⲧⲓⲟⲛ	6366		C8045	CF18156
8059	3373	"Subst.
ⲁⲃⲉⲥⲧⲟⲛ~S^^CF18159
"	N	1@CS8950|ref: 9238 DDGLC	1@CS8950|ref: 9238 ~~~unslaked lime;;;DDGLC	1@CS8950|ref: 9238 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 6702)</span> ἄσβεστος <i>unslaked lime; a mineral or gem</i>. <span style=""color:grey"">noun</span> <span style=""color:grey"">(LSJ 255a)</span>"	ABERSOM	"
ⲁⲃⲉⲥⲧⲟⲛ~S^^CF18159
"	ⲁⲃⲉⲥⲧⲟⲛ	6702		C8046	CF18158
8060	3374	"Subst.
ⲁⲅⲁⲑⲟⲛ~S^^CF18171
|||Subst.
ⲁⲅⲁⲑⲟⲛ~A^^CF18166
|||Subst.
ⲁⲅⲁⲑⲟⲛ~B^^CF18167
|||Subst.
ⲁⲅⲁⲑⲟⲛ~F^^CF18168
|||Subst.
ⲁⲅⲁⲑⲟⲛ~L^^CF18169
|||Subst.
ⲁⲅⲁⲑⲟⲛ~M^^CF18170
|||Subst.
ⲁⲅⲁⲑⲟⲛ~V^^CF18172
|||Subst.
ⲁⲅⲁⲑ~S^^CF18161
|||Subst.
ⲁⲅⲁⲑⲟϩⲛ~S^^CF18165
|||Subst.
ⲁⲅⲁⲑⲟ⳯~S^^CF18162
|||Subst.
ⲁⲅⲁⲑⲟ⳯~A^^CF18163
|||Subst.
ⲁⲅⲁⲑⲟ⳯~F^^CF18164
|||Subst.
ⲁⲅⲁⲑⲱⲛ~S^^CF18175
|||Subst.
ⲁⲕⲁⲑⲟⲛ~S^^CF18177
|||Subst.
ⲁⲕⲁⲑⲟⲛ~F^^CF18176
|||Subst.
ⲁⲕⲁⲑⲱⲛ~S^^CF18178
"	N	1@CS8951|ref: 11732 DDGLC |||2@CS8952|ref: 195 DDGLC |||3@CS8953|ref: 11733 DDGLC |||4@CS8954|ref: 2 DDGLC |||5@CS8955|ref: 7348 DDGLC |||6@CS8956|ref: 2557 DDGLC |||7@CS8957|ref: 9229 DDGLC |||8@CS8958|ref: 1095 DDGLC |||9@CS8959|ref: 3675 DDGLC |||10@CS8960|ref: 6908 DDGLC |||11@CS8961|ref: 8920 DDGLC	1@CS8951|ref: 11732 ~~~good (substantive; general, or specific sense unclear);;;DDGLC |||2@CS8952|ref: 195 ~~~good (attributive; general, or specific sense unclear);;;DDGLC |||3@CS8953|ref: 11733 ~~~good (inverted attributive, nominal referent; general, or specific sense unclear);;;DDGLC |||4@CS8954|ref: 2 ~~~good thing, one (abstract); goodness (substantive; referent: abstract concept);;;DDGLC |||5@CS8955|ref: 7348 ~~~The Good (substantive; referent: the Transcendent First Principle);;;DDGLC |||6@CS8956|ref: 2557 ~~~act of good(ness); good deed (substantive);;;DDGLC |||7@CS8957|ref: 9229 ~~~goods, possessions (substantive; singular or specified determination; context: belongings);;;DDGLC |||8@CS8958|ref: 1095 ~~~goods, possessions (substantive; plural determination; context: belongings);;;DDGLC |||9@CS8959|ref: 3675 ~~~goods (substantive; context: consumption);;;DDGLC |||10@CS8960|ref: 6908 ~~~good (thing); i.e., blessing, sacrament (substantive);;;DDGLC |||11@CS8961|ref: 8920 ~~~good things, blessings (enjoyed by a saved soul in heaven) (plurale tantum) (substantive);;;DDGLC	1@CS8951|ref: 11732 DDGLC |||2@CS8952|ref: 195 DDGLC |||3@CS8953|ref: 11733 DDGLC |||4@CS8954|ref: 2 DDGLC |||5@CS8955|ref: 7348 DDGLC |||6@CS8956|ref: 2557 DDGLC |||7@CS8957|ref: 9229 DDGLC |||8@CS8958|ref: 1095 DDGLC |||9@CS8959|ref: 3675 DDGLC |||10@CS8960|ref: 6908 DDGLC |||11@CS8961|ref: 8920 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 3)</span> ἀγαθός <i>good</i>. <span style=""color:grey"">adjective</span> <span style=""color:grey"">(LSJ 4b; Preisigke 1:3)</span>"	ACAHOM	"
ⲁⲅⲁⲑⲟⲛ~S^^CF18171
ⲁⲅⲁⲑⲟⲛ~A^^CF18166
ⲁⲅⲁⲑⲟⲛ~B^^CF18167
ⲁⲅⲁⲑⲟⲛ~F^^CF18168
ⲁⲅⲁⲑⲟⲛ~L^^CF18169
ⲁⲅⲁⲑⲟⲛ~M^^CF18170
ⲁⲅⲁⲑⲟⲛ~V^^CF18172
ⲁⲅⲁⲑ~S^^CF18161
ⲁⲅⲁⲑⲟϩⲛ~S^^CF18165
ⲁⲅⲁⲑⲟ~S^^CF18162
ⲁⲅⲁⲑⲟ~A^^CF18163
ⲁⲅⲁⲑⲟ~F^^CF18164
ⲁⲅⲁⲑⲱⲛ~S^^CF18175
ⲁⲕⲁⲑⲟⲛ~S^^CF18177
ⲁⲕⲁⲑⲟⲛ~F^^CF18176
ⲁⲕⲁⲑⲱⲛ~S^^CF18178
"	ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑⲟⲛ|||ⲁⲅⲁⲑ|||ⲁⲅⲁⲑⲟϩⲛ|||ⲁⲅⲁⲑⲟ|||ⲁⲅⲁⲑⲟ|||ⲁⲅⲁⲑⲟ|||ⲁⲅⲁⲑⲱⲛ|||ⲁⲕⲁⲑⲟⲛ|||ⲁⲕⲁⲑⲟⲛ|||ⲁⲕⲁⲑⲱⲛ	3		C8047	CF18160
8061	3375	"Subst.
ⲁⲅⲁⲑⲟⲥ~S^^CF18182
|||Subst.
ⲁⲅⲁⲑⲟⲥ~A^^CF18187
|||Subst.
ⲁⲅⲁⲑⲟⲥ~B^^CF18184
|||Subst.
ⲁⲅⲁⲑⲟⲥ~F^^CF18185
|||Subst.
ⲁⲅⲁⲑⲟⲥ~L^^CF18183
|||Subst.
ⲁⲅⲁⲑⲟⲥ~M^^CF18186
|||Subst.
ⲁⲅⲁⲑⲟⲥ~V^^CF18188
|||Subst.
ⲁⲅⲁⲑ~S^^CF18180
|||Subst.
ⲁⲅⲁⲑⲱⲥ~S^^CF18189
|||Subst.
ⲁⲕⲁⲑⲟⲥ~S^^CF18190
|||Subst.
ⲁⲕⲁⲑⲟⲥ~F^^CF18191
|||Subst.
ⲁⲕⲁⲑⲱⲥ~S^^CF18193
|||Subst.
ⲁⲕⲁⲑⲱⲥ~F^^CF18192
"	N	1@CS8962|ref: 4680 DDGLC |||2@CS8963|ref: 1 DDGLC |||3@CS8964|ref: 7356 DDGLC |||4@CS8965|ref: 3852 DDGLC |||5@CS8966|ref: 10544 DDGLC |||6@CS8967|ref: 11353 DDGLC	1@CS8962|ref: 4680 ~~~good one, person (substantive; general, or specific sense unclear);;;DDGLC |||2@CS8963|ref: 1 ~~~good (attributive; general, or specific sense unclear);;;DDGLC |||3@CS8964|ref: 7356 ~~~good (inverted attributive, attributive referent);;;DDGLC |||4@CS8965|ref: 3852 ~~~the good (abstract); goodness;;;DDGLC |||5@CS8966|ref: 10544 ~~~good one (epithet of divine being);;;DDGLC |||6@CS8967|ref: 11353 ~~~good one (epithet of God the Father);;;DDGLC	1@CS8962|ref: 4680 DDGLC |||2@CS8963|ref: 1 DDGLC |||3@CS8964|ref: 7356 DDGLC |||4@CS8965|ref: 3852 DDGLC |||5@CS8966|ref: 10544 DDGLC |||6@CS8967|ref: 11353 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 3)</span> ἀγαθός <i>good</i>. <span style=""color:grey"">adjective</span> <span style=""color:grey"">(LSJ 4b; Preisigke 1:3)</span>"	ACAHOR	"
ⲁⲅⲁⲑⲟⲥ~S^^CF18182
ⲁⲅⲁⲑⲟⲥ~A^^CF18187
ⲁⲅⲁⲑⲟⲥ~B^^CF18184
ⲁⲅⲁⲑⲟⲥ~F^^CF18185
ⲁⲅⲁⲑⲟⲥ~L^^CF18183
ⲁⲅⲁⲑⲟⲥ~M^^CF18186
ⲁⲅⲁⲑⲟⲥ~V^^CF18188
ⲁⲅⲁⲑ~S^^CF18180
ⲁⲅⲁⲑⲱⲥ~S^^CF18189
ⲁⲕⲁⲑⲟⲥ~S^^CF18190
ⲁⲕⲁⲑⲟⲥ~F^^CF18191
ⲁⲕⲁⲑⲱⲥ~S^^CF18193
ⲁⲕⲁⲑⲱⲥ~F^^CF18192
"	ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑⲟⲥ|||ⲁⲅⲁⲑ|||ⲁⲅⲁⲑⲱⲥ|||ⲁⲕⲁⲑⲟⲥ|||ⲁⲕⲁⲑⲟⲥ|||ⲁⲕⲁⲑⲱⲥ|||ⲁⲕⲁⲑⲱⲥ	3		C8048	CF18179
8062	3376	"Subst.
ⲁⲅⲁⲗⲗⲓⲱⲛ~S^^CF18195
"	N	1@CS8968|ref: 2962 DDGLC	1@CS8968|ref: 2962 ~~~rejoicing (attributive);;;DDGLC	1@CS8968|ref: 2962 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 3509)</span> ἀγαλλιάω <i>to rejoice exceedingly</i>. <span style=""color:grey"">verb</span> <span style=""color:grey"">(LSJ 5a; Preisigke 1:4)</span>"	ACAKKIXM	"
ⲁⲅⲁⲗⲗⲓⲱⲛ~S^^CF18195
"	ⲁⲅⲁⲗⲗⲓⲱⲛ	3509		C8049	CF18194
8063	3377	"Vb.
ⲁⲅⲁⲛⲁⲕⲧⲉⲓ~S^^CF18198
|||Vb.
ⲁⲅⲁⲛⲁⲕⲧⲉⲓ~M^^CF18197
|||Vb.
ⲁⲅⲁⲛⲁⲕⲧⲓ~M^^CF18199
|||Vb.
ⲁⲕⲁⲛⲁⲕⲧⲉⲓ~S^^CF18200
|||Vb.
ⲁⲕⲁⲛⲁⲕⲧⲓ~F^^CF18201
"	V	1@CS8969|ref: 541 DDGLC |||2@CS8970|ref: 10790 DDGLC |||3@CS8971|ref: 10791 DDGLC	1@CS8969|ref: 541 ~~~to be aroused, indignant, angry (object: none);;;DDGLC |||2@CS8970|ref: 10790 ~~~to be aroused, indignant, angry with s.o.;;;DDGLC |||3@CS8971|ref: 10791 ~~~to be aroused, indignant, angry because of s.o.;;;DDGLC	1@CS8969|ref: 541 DDGLC |||2@CS8970|ref: 10790 DDGLC |||3@CS8971|ref: 10791 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 2609)</span> ἀγανακτέω <i>to be displeased, be vexed</i>. <span style=""color:grey"">verb</span> <span style=""color:grey"">(LSJ 5b; Preisigke 1:5)</span>"	ACAMAJSEI	"
ⲁⲅⲁⲛⲁⲕⲧⲉⲓ~S^^CF18198
ⲁⲅⲁⲛⲁⲕⲧⲉⲓ~M^^CF18197
ⲁⲅⲁⲛⲁⲕⲧⲓ~M^^CF18199
ⲁⲕⲁⲛⲁⲕⲧⲉⲓ~S^^CF18200
ⲁⲕⲁⲛⲁⲕⲧⲓ~F^^CF18201
"	ⲁⲅⲁⲛⲁⲕⲧⲉⲓ|||ⲁⲅⲁⲛⲁⲕⲧⲉⲓ|||ⲁⲅⲁⲛⲁⲕⲧⲓ|||ⲁⲕⲁⲛⲁⲕⲧⲉⲓ|||ⲁⲕⲁⲛⲁⲕⲧⲓ	2609		C8050	CF18196
8064	3378	"Vb.
ⲁⲅⲁⲡⲁⲛ~S^^CF18203
|||Vb.
ⲁⲅⲁⲡⲁⲛ~B^^CF18205
|||Vb.
ⲁⲅⲁⲡⲁⲛ~F^^CF18206
|||Vb.
ⲁⲅⲁⲡⲁⲛ~V^^CF18204
"	V	1@CS8972|ref: 10961 DDGLC |||2@CS8973|ref: 10086 DDGLC |||3@CS8974|ref: 2963 DDGLC	1@CS8972|ref: 10961 ~~~to love (no object);;;DDGLC |||2@CS8973|ref: 10086 ~~~to love s.o.;;;DDGLC |||3@CS8974|ref: 2963 ~~~to care for s.o.;;;DDGLC	1@CS8972|ref: 10961 DDGLC |||2@CS8973|ref: 10086 DDGLC |||3@CS8974|ref: 2963 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 2441)</span> ἀγαπάω <i>to be fond of, prize, desire</i>. <span style=""color:grey"">verb</span> <span style=""color:grey"">(LSJ 6b; Preisigke 1:5)</span>"	ACAPAM	"
ⲁⲅⲁⲡⲁⲛ~S^^CF18203
ⲁⲅⲁⲡⲁⲛ~B^^CF18205
ⲁⲅⲁⲡⲁⲛ~F^^CF18206
ⲁⲅⲁⲡⲁⲛ~V^^CF18204
"	ⲁⲅⲁⲡⲁⲛ|||ⲁⲅⲁⲡⲁⲛ|||ⲁⲅⲁⲡⲁⲛ|||ⲁⲅⲁⲡⲁⲛ	2441		C8051	CF18202
8065	3379	"Vb.
ⲁⲅⲁⲡⲁ~S^^CF18210
|||Vb.
ⲁⲅⲁⲡⲁ~F^^CF18208
|||Vb.
ⲁⲅⲁⲡⲁ~M^^CF18209
|||Vb.
ⲁⲕⲁⲡⲁ~S^^CF18211
"	V	1@CS8975|ref: 5538 DDGLC |||2@CS8976|ref: 5539 DDGLC	1@CS8975|ref: 5538 ~~~to love s.o.;;;DDGLC |||2@CS8976|ref: 5539 ~~~to love s.th.;;;DDGLC	1@CS8975|ref: 5538 DDGLC |||2@CS8976|ref: 5539 DDGLC	"<span style=""color:darkred"">cf. Gr. (DDGLC lemma ID 2441)</span> ἀγαπάω <i>to be fond of, prize, desire</i>. <span style=""color:grey"">verb</span> <span style=""color:grey"">(LSJ 6b; Preisigke 1:5)</span>"	ACAPA	"
ⲁⲅⲁⲡⲁ~S^^CF18210
ⲁⲅⲁⲡⲁ~F^^CF18208
ⲁⲅⲁⲡⲁ~M^^CF18209
ⲁⲕⲁⲡⲁ~S^^CF18211
"	ⲁⲅⲁⲡⲁ|||ⲁⲅⲁⲡⲁ|||ⲁⲅⲁⲡⲁ|||ⲁⲕⲁⲡⲁ	2441		C8052	CF18207
