id	super_id	orthstring	pos_string	de	de-pishoy	en	en-pishoy	fr	fr-pishoy	merged-pishoy	etym_string	etym_string-processed	ascii_orth	search_string	oref_string	greek_id	ents	orthstring-pishoy	lemma_form_id	entry_xml_id	cdo
12064	6973	"Subst. m.
ⲥⲁⲩⲏⲣⲡ~S^^CF2922
|||Subst. m.
ⲥⲁⲩⲏⲣⲡ~B^^CF2923
"	N	1@CS946|ref: οἰνοποτής ~~~Weintrinker;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS946--><tr><td id=""meaning""><span id=""quote"">Weintrinker</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"	1@CS946|ref: οἰνοποτής ~~~wine-drinker;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS946--><tr><td id=""meaning""><span id=""quote"">wine-drinker</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"	1@CS946|ref: οἰνοποτής ~~~buveur du vin;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS946--><tr><td id=""meaning""><span id=""quote"">buveur du vin</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS946--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>wine-drinker</span>
<span id=""quote""><span id=""lang"">(De.) </span>Weintrinker</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>buveur du vin</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"			RATGQP	"
ⲥⲁⲩⲏⲣⲡ~S^^CF2922
ⲥⲁⲩⲏⲣⲡ~B^^CF2923
"	ⲥⲁⲩⲏⲣⲡ|||ⲥⲁⲩⲏⲣⲡ			"<table id=""orths""><tr><td id=""orth"">ⲥⲁⲩⲏⲣⲡ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. m.</td></tr><tr><td id=""orth"">ⲥⲁⲩⲏⲣⲡ</td><td id=""geo"">B</td><td id=""gram_grp"">Subst. m.</td></tr></table>"	CF2921	C796	https://coptic-dictionary.org/entry.cgi?tla=C796
12065	6973	"Subst. m.
ⲣⲉϥⲥⲉⲏⲣⲡ~S^^CF2925
"	N	1@CS947|ref: οἰνοποτής ~~~Weintrinker;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS947--><tr><td id=""meaning""><span id=""quote"">Weintrinker</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"	1@CS947|ref: οἰνοποτής ~~~wine-drinker;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS947--><tr><td id=""meaning""><span id=""quote"">wine-drinker</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"	1@CS947|ref: οἰνοποτής ~~~buveur du vin;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS947--><tr><td id=""meaning""><span id=""quote"">buveur du vin</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS947--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>wine-drinker</span>
<span id=""quote""><span id=""lang"">(De.) </span>Weintrinker</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>buveur du vin</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">οἰνοποτής</span></td></tr></table>"			QEZREGQP	"
ⲣⲉϥⲥⲉⲏⲣⲡ~S^^CF2925
"	ⲣⲉϥⲥⲉⲏⲣⲡ			"<table id=""orths""><tr><td id=""orth"">ⲣⲉϥⲥⲉⲏⲣⲡ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. m.</td></tr></table>"	CF2924	C797	https://coptic-dictionary.org/entry.cgi?tla=C797
12066	6973	"Subst. m.
ⲥⲁ ⲛⲏⲣⲡ~S^^CF2927
|||Subst. m.
ⲥⲁ ⲛⲏⲣⲡ~F^^CF2928
"	N	1@CS948|~~~Weinhändler;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS948--><tr><td id=""meaning""><span id=""quote"">Weinhändler</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr></table>"	1@CS948|~~~wine-dealer;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS948--><tr><td id=""meaning""><span id=""quote"">wine-dealer</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr></table>"	1@CS948|~~~viticulteur, marchand de vin;;;CD 67b; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS948--><tr><td id=""meaning""><span id=""quote"">viticulteur, marchand de vin</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS948--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>wine-dealer</span>
<span id=""quote""><span id=""lang"">(De.) </span>Weinhändler</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>viticulteur, marchand de vin</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
ChLCS 12b</td></tr></table>"			RA MGQP	"
ⲥⲁ ⲛⲏⲣⲡ~S^^CF2927
ⲥⲁ ⲛⲏⲣⲡ~F^^CF2928
"	ⲥⲁ ⲛⲏⲣⲡ|||ⲥⲁ ⲛⲏⲣⲡ			"<table id=""orths""><tr><td id=""orth"">ⲥⲁ ⲛⲏⲣⲡ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. m.</td></tr><tr><td id=""orth"">ⲥⲁ ⲛⲏⲣⲡ</td><td id=""geo"">F</td><td id=""gram_grp"">Subst. m.</td></tr></table>"	CF2926	C798	https://coptic-dictionary.org/entry.cgi?tla=C798
12067	6974	"Subst. Göttername f.
ⲏⲥⲉ~S^^CF2930
"	N	1@CS949|~~~die Göttin Isis;;;KoptHWb 46; DELC 55	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS949--><tr><td id=""meaning""><span id=""quote"">die Göttin Isis</span></td><td id=""bibl"">KoptHWb 46
DELC 55</td></tr></table>"	1@CS949|~~~the goddess Isis;;;KoptHWb 46; DELC 55	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS949--><tr><td id=""meaning""><span id=""quote"">the goddess Isis</span></td><td id=""bibl"">KoptHWb 46
DELC 55</td></tr></table>"	1@CS949|~~~la déesse Isis;;;KoptHWb 46; DELC 55	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS949--><tr><td id=""meaning""><span id=""quote"">la déesse Isis</span></td><td id=""bibl"">KoptHWb 46
DELC 55</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS949--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>the goddess Isis</span>
<span id=""quote""><span id=""lang"">(De.) </span>die Göttin Isis</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>la déesse Isis</span></td><td id=""bibl"">KoptHWb 46
DELC 55</td></tr></table>"			GRE	"
ⲏⲥⲉ~S^^CF2930
"	ⲏⲥⲉ			"<table id=""orths""><tr><td id=""orth"">ⲏⲥⲉ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. Göttername f.</td></tr></table>"	CF2929	C799	https://coptic-dictionary.org/entry.cgi?tla=C799
12068	6975	"Subst. pl.
ⲏⲟⲩ~K^^CF2932
"	N	1@CS950|~~~Glieder;;;CD 67b; KoptHWb 46	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS950--><tr><td id=""meaning""><span id=""quote"">Glieder</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46</td></tr></table>"	1@CS950|~~~limbs;;;CD 67b; KoptHWb 46	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS950--><tr><td id=""meaning""><span id=""quote"">limbs</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46</td></tr></table>"	1@CS950|~~~membres;;;CD 67b; KoptHWb 46	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS950--><tr><td id=""meaning""><span id=""quote"">membres</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS950--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>limbs</span>
<span id=""quote""><span id=""lang"">(De.) </span>Glieder</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>membres</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46</td></tr></table>"			GOT	"
ⲏⲟⲩ~K^^CF2932
"	ⲏⲟⲩ			"<table id=""orths""><tr><td id=""orth"">ⲏⲟⲩ</td><td id=""geo"">K</td><td id=""gram_grp"">Subst. pl.</td></tr></table>"	CF2931	C800	https://coptic-dictionary.org/entry.cgi?tla=C800
12069	6976	"Subst. m.
ⲏϭⲉ~S^^CF2934
"	N	1@CS951|ref: πράσον ~~~Lauch;;;CD 67b; KoptHWb 46; DELC 56; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS951--><tr><td id=""meaning""><span id=""quote"">Lauch</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46
DELC 56
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">πράσον</span></td></tr></table>"	1@CS951|ref: πράσον ~~~leek;;;CD 67b; KoptHWb 46; DELC 56; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS951--><tr><td id=""meaning""><span id=""quote"">leek</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46
DELC 56
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">πράσον</span></td></tr></table>"	1@CS951|ref: πράσον ~~~poireau;;;CD 67b; KoptHWb 46; DELC 56; ChLCS 12b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS951--><tr><td id=""meaning""><span id=""quote"">poireau</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46
DELC 56
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">πράσον</span></td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS951--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>leek</span>
<span id=""quote""><span id=""lang"">(De.) </span>Lauch</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>poireau</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=67b"">CD 67b</a>
KoptHWb 46
DELC 56
ChLCS 12b</td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">πράσον</span></td></tr></table>"			GeE	"
ⲏϭⲉ~S^^CF2934
"	ⲏϭⲉ			"<table id=""orths""><tr><td id=""orth"">ⲏϭⲉ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. m.</td></tr></table>"	CF2933	C801	https://coptic-dictionary.org/entry.cgi?tla=C801
12070	6977	"Zahlzeichen selten achter Buchstabe des Alphabeths ⲑⲏⲧⲁ
ⲑ̄~S^^CF2938
|||Zahlzeichen achter Buchstabe des Alphabeths ⲑⲏⲧⲁ
ⲑ̄~B^^CF2936
|||Zahlzeichen achter Buchstabe des Alphabeths ⲑⲏⲧⲁ
ⲑ̄~F^^CF2937
"	NUM	1@CS952|~~~neun;;;CD 68a; KoptHWb 47; DELC 56	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS952--><tr><td id=""meaning""><span id=""quote"">neun</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a>
KoptHWb 47
DELC 56</td></tr></table>"	1@CS952|~~~nine;;;CD 68a; KoptHWb 47; DELC 56	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS952--><tr><td id=""meaning""><span id=""quote"">nine</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a>
KoptHWb 47
DELC 56</td></tr></table>"	1@CS952|~~~neuf;;;CD 68a; KoptHWb 47; DELC 56	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS952--><tr><td id=""meaning""><span id=""quote"">neuf</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a>
KoptHWb 47
DELC 56</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS952--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>nine</span>
<span id=""quote""><span id=""lang"">(De.) </span>neun</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>neuf</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a>
KoptHWb 47
DELC 56</td></tr></table>"			H	"
ⲑ~S^^CF2938
ⲑ~B^^CF2936
ⲑ~F^^CF2937
"	ⲑ|||ⲑ|||ⲑ			"<table id=""orths""><tr><td id=""orth"">ⲑ̄</td><td id=""geo"">S</td><td id=""gram_grp"">Zahlzeichen selten achter Buchstabe des Alphabeths ⲑⲏⲧⲁ</td></tr><tr><td id=""orth"">ⲑ̄</td><td id=""geo"">B</td><td id=""gram_grp"">Zahlzeichen achter Buchstabe des Alphabeths ⲑⲏⲧⲁ</td></tr><tr><td id=""orth"">ⲑ̄</td><td id=""geo"">F</td><td id=""gram_grp"">Zahlzeichen achter Buchstabe des Alphabeths ⲑⲏⲧⲁ</td></tr></table>"	CF2935	C802	https://coptic-dictionary.org/entry.cgi?tla=C802
12071	6978	"Subst.?
ⲑⲱⲃⲓ~B^^CF2940
"	N	1@CS953|~~~Bedeutung unbekannt;;;CD 68a	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS953--><tr><td id=""meaning""><span id=""quote"">Bedeutung unbekannt</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a></td></tr></table>"	1@CS953|~~~meaning unknown;;;CD 68a	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS953--><tr><td id=""meaning""><span id=""quote"">meaning unknown</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a></td></tr></table>"	1@CS953|~~~sens inconnu;;;CD 68a	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS953--><tr><td id=""meaning""><span id=""quote"">sens inconnu</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a></td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS953--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>meaning unknown</span>
<span id=""quote""><span id=""lang"">(De.) </span>Bedeutung unbekannt</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>sens inconnu</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68a"">CD 68a</a></td></tr></table>"			HXBI	"
ⲑⲱⲃⲓ~B^^CF2940
"	ⲑⲱⲃⲓ			"<table id=""orths""><tr><td id=""orth"">ⲑⲱⲃⲓ</td><td id=""geo"">B</td><td id=""gram_grp"">Subst.?</td></tr></table>"	CF2939	C803	https://coptic-dictionary.org/entry.cgi?tla=C803
12072	6979	"Vb. Infinitiv
ⲑⲱⲃϣ (ⲉⲃⲟⲗ)~B^^CF2942
|||Vb. Infinitiv
ⲑⲱϣⲡ~B^^CF2943
"	V	1@CS954|~~~erstaunt sein, verblüfft sein;;;CD 68b; DELC 57	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS954--><tr><td id=""meaning""><span id=""quote"">erstaunt sein, verblüfft sein</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a>
DELC 57</td></tr></table>"	1@CS954|~~~be asthonished, stare with astonishment;;;CD 68b; DELC 57	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS954--><tr><td id=""meaning""><span id=""quote"">be asthonished, stare with astonishment</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a>
DELC 57</td></tr></table>"	1@CS954|~~~être impressioné, s'étonner, regarder fixement;;;CD 68b; DELC 57	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS954--><tr><td id=""meaning""><span id=""quote"">être impressioné, s'étonner, regarder fixement</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a>
DELC 57</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS954--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>be asthonished, stare with astonishment</span>
<span id=""quote""><span id=""lang"">(De.) </span>erstaunt sein, verblüfft sein</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>être impressioné, s'étonner, regarder fixement</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a>
DELC 57</td></tr></table>"			HXBY EBOK	"
ⲑⲱⲃϣ ⲉⲃⲟⲗ~B^^CF2942
ⲑⲱϣⲡ~B^^CF2943
"	ⲑⲱⲃϣ ⲉⲃⲟⲗ|||ⲑⲱϣⲡ			"<table id=""orths""><tr><td id=""orth"">ⲑⲱⲃϣ (ⲉⲃⲟⲗ)</td><td id=""geo"">B</td><td id=""gram_grp"">Vb. Infinitiv</td></tr><tr><td id=""orth"">ⲑⲱϣⲡ</td><td id=""geo"">B</td><td id=""gram_grp"">Vb. Infinitiv</td></tr></table>"	CF2941	C804	https://coptic-dictionary.org/entry.cgi?tla=C804
12073	6980	"Subst. m.
ⲑⲱⲃϣ~B^^CF2945
"	N	1@CS955|ref: στερέωμα ~~~Einfluß (astrologisch);;;CD 68b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS955--><tr><td id=""meaning""><span id=""quote"">Einfluß (astrologisch)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a></td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">στερέωμα</span></td></tr></table>"	1@CS955|ref: στερέωμα ~~~influence (astrological);;;CD 68b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS955--><tr><td id=""meaning""><span id=""quote"">influence (astrological)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a></td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">στερέωμα</span></td></tr></table>"	1@CS955|ref: στερέωμα ~~~influence (astrologique);;;CD 68b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS955--><tr><td id=""meaning""><span id=""quote"">influence (astrologique)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a></td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">στερέωμα</span></td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS955--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>influence (astrological)</span>
<span id=""quote""><span id=""lang"">(De.) </span>Einfluß (astrologisch)</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>influence (astrologique)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=68b"">CD 68b</a></td></tr><tr><td id=""ref_xr"" colspan=""2""><span id=""ref"">στερέωμα</span></td></tr></table>"			HXBY	"
ⲑⲱⲃϣ~B^^CF2945
"	ⲑⲱⲃϣ			"<table id=""orths""><tr><td id=""orth"">ⲑⲱⲃϣ</td><td id=""geo"">B</td><td id=""gram_grp"">Subst. m.</td></tr></table>"	CF2944	C805	https://coptic-dictionary.org/entry.cgi?tla=C805
