id	super_id	orthstring	pos_string	de	de-pishoy	en	en-pishoy	fr	fr-pishoy	merged-pishoy	etym_string	etym_string-processed	ascii_orth	search_string	oref_string	greek_id	ents	orthstring-pishoy	lemma_form_id	entry_xml_id	cdo
2801	1197	"Partikel
ⲡⲉ-~S^^CF7414
"	PTC	1@CS3190|~~~ob, vielleicht, wenn;;;CD 260a; KoptHWb 144; DELC 157; ChLCS 36b; LCG § 285	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3190--><tr><td id=""meaning""><span id=""quote"">ob, vielleicht, wenn</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
KoptHWb 144
DELC 157
ChLCS 36b
LCG § 285</td></tr></table>"	1@CS3190|~~~perhaps, if;;;CD 260a; KoptHWb 144; DELC 157; ChLCS 36b; LCG § 285	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3190--><tr><td id=""meaning""><span id=""quote"">perhaps, if</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
KoptHWb 144
DELC 157
ChLCS 36b
LCG § 285</td></tr></table>"	1@CS3190|~~~s'il est vrai que, attendu que, peut-être que;;;CD 260a; KoptHWb 144; DELC 157; ChLCS 36b; LCG § 285	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3190--><tr><td id=""meaning""><span id=""quote"">s'il est vrai que, attendu que, peut-être que</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
KoptHWb 144
DELC 157
ChLCS 36b
LCG § 285</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3190--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>perhaps, if</span>
<span id=""quote""><span id=""lang"">(De.) </span>ob, vielleicht, wenn</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>s'il est vrai que, attendu que, peut-être que</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
KoptHWb 144
DELC 157
ChLCS 36b
LCG § 285</td></tr></table>"			PE	"
ⲡⲉ~S^^CF7414
"	ⲡⲉ			"<table id=""orths""><tr><td id=""orth"">ⲡⲉ-</td><td id=""geo"">S</td><td id=""gram_grp"">Partikel</td></tr></table>"	CF7413	C2789	https://coptic-dictionary.org/entry.cgi?tla=C2789
2802	1198	"Subst. f.
ⲡⲉ~S^^CF7416
"	N	1@CS3191|~~~Himmel;;;CD 259a; CED 124; KoptHWb 144; DELC 157; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3191--><tr><td id=""meaning""><span id=""quote"">Himmel</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=259a"">CD 259a</a>
CED 124
KoptHWb 144
DELC 157
ChLCS 36b</td></tr></table>"	1@CS3191|~~~heaven, sky;;;CD 259a; CED 124; KoptHWb 144; DELC 157; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3191--><tr><td id=""meaning""><span id=""quote"">heaven, sky</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=259a"">CD 259a</a>
CED 124
KoptHWb 144
DELC 157
ChLCS 36b</td></tr></table>"	1@CS3191|~~~ciel;;;CD 259a; CED 124; KoptHWb 144; DELC 157; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3191--><tr><td id=""meaning""><span id=""quote"">ciel</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=259a"">CD 259a</a>
CED 124
KoptHWb 144
DELC 157
ChLCS 36b</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3191--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>heaven, sky</span>
<span id=""quote""><span id=""lang"">(De.) </span>Himmel</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>ciel</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=259a"">CD 259a</a>
CED 124
KoptHWb 144
DELC 157
ChLCS 36b</td></tr></table>"			PE	"
ⲡⲉ~S^^CF7416
"	ⲡⲉ			"<table id=""orths""><tr><td id=""orth"">ⲡⲉ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. f.</td></tr></table>"	CF7415	C2790	https://coptic-dictionary.org/entry.cgi?tla=C2790
2803	1199	"Vb.
ⲡⲉ~S^^CF7418
"	V	1@CS3192|~~~springen;;;KoptHWb 530; DELC 157; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3192--><tr><td id=""meaning""><span id=""quote"">springen</span></td><td id=""bibl"">KoptHWb 530
DELC 157
ChLCS 36b</td></tr></table>"	1@CS3192|~~~leap, jump;;;KoptHWb 530; DELC 157; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3192--><tr><td id=""meaning""><span id=""quote"">leap, jump</span></td><td id=""bibl"">KoptHWb 530
DELC 157
ChLCS 36b</td></tr></table>"	1@CS3192|~~~sauter;;;KoptHWb 530; DELC 157; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3192--><tr><td id=""meaning""><span id=""quote"">sauter</span></td><td id=""bibl"">KoptHWb 530
DELC 157
ChLCS 36b</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3192--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>leap, jump</span>
<span id=""quote""><span id=""lang"">(De.) </span>springen</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>sauter</span></td><td id=""bibl"">KoptHWb 530
DELC 157
ChLCS 36b</td></tr></table>"			PE	"
ⲡⲉ~S^^CF7418
"	ⲡⲉ			"<table id=""orths""><tr><td id=""orth"">ⲡⲉ</td><td id=""geo"">S</td><td id=""gram_grp"">Vb.</td></tr></table>"	CF7417	C2791	https://coptic-dictionary.org/entry.cgi?tla=C2791
2804	1199	"Subst. m.
ⲡⲏⲓ~S^^CF7420
"	N	"1@CS3193|~~~Sprung;;;CD 260b; CED 124; KoptHWb 145, 530; DELC 158; ChLCS 36b |||2@CS3194|~~~Floh (""Springer"");;;CD 260b; CED 124; KoptHWb 145, 530; DELC 158; ChLCS 36b"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3193--><tr><td id=""meaning""><span id=""quote"">Sprung</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr><!--sense_number:2, sense_id:CS3194--><tr><td id=""meaning""><span id=""quote"">Floh (""Springer"")</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr></table>"	"1@CS3193|~~~leap;;;CD 260b; CED 124; KoptHWb 145, 530; DELC 158; ChLCS 36b |||2@CS3194|~~~flea (""leaper"");;;CD 260b; CED 124; KoptHWb 145, 530; DELC 158; ChLCS 36b"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3193--><tr><td id=""meaning""><span id=""quote"">leap</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr><!--sense_number:2, sense_id:CS3194--><tr><td id=""meaning""><span id=""quote"">flea (""leaper"")</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr></table>"	"1@CS3193|~~~saut, bond;;;CD 260b; CED 124; KoptHWb 145, 530; DELC 158; ChLCS 36b |||2@CS3194|~~~puce (""sauteur"");;;CD 260b; CED 124; KoptHWb 145, 530; DELC 158; ChLCS 36b"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3193--><tr><td id=""meaning""><span id=""quote"">saut, bond</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr><!--sense_number:2, sense_id:CS3194--><tr><td id=""meaning""><span id=""quote"">puce (""sauteur"")</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3193--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>leap</span>
<span id=""quote""><span id=""lang"">(De.) </span>Sprung</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>saut, bond</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr><!--sense_number:2, sense_id:CS3194--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>flea (""leaper"")</span>
<span id=""quote""><span id=""lang"">(De.) </span>Floh (""Springer"")</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>puce (""sauteur"")</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145, 530
DELC 158
ChLCS
              36b</td></tr></table>"			PGI	"
ⲡⲏⲓ~S^^CF7420
"	ⲡⲏⲓ			"<table id=""orths""><tr><td id=""orth"">ⲡⲏⲓ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. m.</td></tr></table>"	CF7419	C2792	https://coptic-dictionary.org/entry.cgi?tla=C2792
2805	1199	"Vb. Kompositverb
ϭⲓⲫⲉⲓ~B^^CF7422
"	V	"1@CS3195|~~~einen Sprung machen (""nehmen""), springen;;;CD 260b; CED 124; KoptHWb 145; DELC 158"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3195--><tr><td id=""meaning""><span id=""quote"">einen Sprung machen (""nehmen""), springen</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145
DELC 158</td></tr></table>"	1@CS3195|~~~take a leap;;;CD 260b; CED 124; KoptHWb 145; DELC 158	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3195--><tr><td id=""meaning""><span id=""quote"">take a leap</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145
DELC 158</td></tr></table>"	1@CS3195|~~~prendre un saut, sauter;;;CD 260b; CED 124; KoptHWb 145; DELC 158	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3195--><tr><td id=""meaning""><span id=""quote"">prendre un saut, sauter</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145
DELC 158</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3195--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>take a leap</span>
<span id=""quote""><span id=""lang"">(De.) </span>einen Sprung machen (""nehmen""), springen</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>prendre un saut, sauter</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 145
DELC 158</td></tr></table>"	cf. #ϫⲓ# nehmen, erhalten 	"<span id=""etym"" class=""etym"">
	cf. <a href=""https://coptic-dictionary.org/results.cgi?coptic=ϫⲓ"">ϫⲓ</a> nehmen, erhalten
</span>"	eIUEI	"
ϭⲓⲫⲉⲓ~B^^CF7422
"	ϭⲓⲫⲉⲓ			"<table id=""orths""><tr><td id=""orth"">ϭⲓⲫⲉⲓ</td><td id=""geo"">B</td><td id=""gram_grp"">Vb. Kompositverb</td></tr></table>"	CF7421	C2793	https://coptic-dictionary.org/entry.cgi?tla=C2793
2806	1200	"Dem. Pron. m. sg.
ⲡⲏ~S^^CF7424
"	PDEM	1@CS3196|~~~jener;;;CD 260b; CED 124; KoptHWb 144; DELC 157-158; ChLCS 36b; LCG § 58	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3196--><tr><td id=""meaning""><span id=""quote"">jener</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 144
DELC 157-158
ChLCS 36b
LCG §
            58</td></tr></table>"	1@CS3196|~~~that (one);;;CD 260b; CED 124; KoptHWb 144; DELC 157-158; ChLCS 36b; LCG § 58	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3196--><tr><td id=""meaning""><span id=""quote"">that (one)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 144
DELC 157-158
ChLCS 36b
LCG §
            58</td></tr></table>"	1@CS3196|~~~celui-là, cela;;;CD 260b; CED 124; KoptHWb 144; DELC 157-158; ChLCS 36b; LCG § 58	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3196--><tr><td id=""meaning""><span id=""quote"">celui-là, cela</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 144
DELC 157-158
ChLCS 36b
LCG §
            58</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3196--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>that (one)</span>
<span id=""quote""><span id=""lang"">(De.) </span>jener</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>celui-là, cela</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 124
KoptHWb 144
DELC 157-158
ChLCS 36b
LCG §
            58</td></tr></table>"	cf. #ⲛⲏ# Dem. Pron. pl. cf. #ⲧⲏ# Dem. Pron. sg. f. 	"<span id=""etym"" class=""etym"">
	cf. <a href=""https://coptic-dictionary.org/results.cgi?coptic=ⲛⲏ"">ⲛⲏ</a> Dem. Pron. pl. cf. <a href=""https://coptic-dictionary.org/results.cgi?coptic=ⲧⲏ"">ⲧⲏ</a> Dem. Pron. sg. f.
</span>"	PG	"
ⲡⲏ~S^^CF7424
"	ⲡⲏ			"<table id=""orths""><tr><td id=""orth"">ⲡⲏ</td><td id=""geo"">S</td><td id=""gram_grp"">Dem. Pron. m. sg.</td></tr></table>"	CF7423	C2794	https://coptic-dictionary.org/entry.cgi?tla=C2794
2807	1201	"Subst. pl.
ⲡⲏ~K^^CF7426
"	N	1@CS3197|~~~Menschen;;;CED 124; KoptHWb 144; DELC 158	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3197--><tr><td id=""meaning""><span id=""quote"">Menschen</span></td><td id=""bibl"">CED 124
KoptHWb 144
DELC 158</td></tr></table>"	1@CS3197|~~~patricians (sic CED);;;CED 124; KoptHWb 144; DELC 158	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3197--><tr><td id=""meaning""><span id=""quote"">patricians (sic CED)</span></td><td id=""bibl"">CED 124
KoptHWb 144
DELC 158</td></tr></table>"	1@CS3197|~~~hommes;;;CED 124; KoptHWb 144; DELC 158	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3197--><tr><td id=""meaning""><span id=""quote"">hommes</span></td><td id=""bibl"">CED 124
KoptHWb 144
DELC 158</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3197--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>patricians (sic CED)</span>
<span id=""quote""><span id=""lang"">(De.) </span>Menschen</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>hommes</span></td><td id=""bibl"">CED 124
KoptHWb 144
DELC 158</td></tr></table>"			PG	"
ⲡⲏ~K^^CF7426
"	ⲡⲏ			"<table id=""orths""><tr><td id=""orth"">ⲡⲏ</td><td id=""geo"">K</td><td id=""gram_grp"">Subst. pl.</td></tr></table>"	CF7425	C2795	https://coptic-dictionary.org/entry.cgi?tla=C2795
2808	1202	"Subst. f.
ⲡⲓ~S^^CF7428
"	N	1@CS3198|~~~Kuß;;;CD 260a; CED 124; KoptHWb 144, 530; DELC 158; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3198--><tr><td id=""meaning""><span id=""quote"">Kuß</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
CED 124
KoptHWb 144, 530
DELC 158
ChLCS
              36b</td></tr></table>"	1@CS3198|~~~kiss;;;CD 260a; CED 124; KoptHWb 144, 530; DELC 158; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3198--><tr><td id=""meaning""><span id=""quote"">kiss</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
CED 124
KoptHWb 144, 530
DELC 158
ChLCS
              36b</td></tr></table>"	1@CS3198|~~~baiser;;;CD 260a; CED 124; KoptHWb 144, 530; DELC 158; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3198--><tr><td id=""meaning""><span id=""quote"">baiser</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
CED 124
KoptHWb 144, 530
DELC 158
ChLCS
              36b</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3198--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>kiss</span>
<span id=""quote""><span id=""lang"">(De.) </span>Kuß</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>baiser</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260a</a>
CED 124
KoptHWb 144, 530
DELC 158
ChLCS
              36b</td></tr></table>"			PI	"
ⲡⲓ~S^^CF7428
"	ⲡⲓ			"<table id=""orths""><tr><td id=""orth"">ⲡⲓ</td><td id=""geo"">S</td><td id=""gram_grp"">Subst. f.</td></tr></table>"	CF7427	C2796	https://coptic-dictionary.org/entry.cgi?tla=C2796
2809	1202	"Vb. Kompositverb
ϯⲡⲓ~S^^CF7430
"	V	"1@CS3199|~~~küssen (""einen Kuß geben"");;;CD 260ab; KoptHWb 144; DELC 158; ChLCS 36b"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3199--><tr><td id=""meaning""><span id=""quote"">küssen (""einen Kuß geben"")</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260ab</a>
KoptHWb 144
DELC 158
ChLCS 36b</td></tr></table>"	1@CS3199|~~~give kiss;;;CD 260ab; KoptHWb 144; DELC 158; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3199--><tr><td id=""meaning""><span id=""quote"">give kiss</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260ab</a>
KoptHWb 144
DELC 158
ChLCS 36b</td></tr></table>"	1@CS3199|~~~donner un baiser, embrasser;;;CD 260ab; KoptHWb 144; DELC 158; ChLCS 36b	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3199--><tr><td id=""meaning""><span id=""quote"">donner un baiser, embrasser</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260ab</a>
KoptHWb 144
DELC 158
ChLCS 36b</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3199--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>give kiss</span>
<span id=""quote""><span id=""lang"">(De.) </span>küssen (""einen Kuß geben"")</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>donner un baiser, embrasser</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260a"">CD 260ab</a>
KoptHWb 144
DELC 158
ChLCS 36b</td></tr></table>"	cf. #ϯ# geben, zahlen, verkaufen 	"<span id=""etym"" class=""etym"">
	cf. <a href=""https://coptic-dictionary.org/results.cgi?coptic=ϯ"">ϯ</a> geben, zahlen, verkaufen
</span>"	SIPI	"
ϯⲡⲓ~S^^CF7430
"	ϯⲡⲓ			"<table id=""orths""><tr><td id=""orth"">ϯⲡⲓ</td><td id=""geo"">S</td><td id=""gram_grp"">Vb. Kompositverb</td></tr></table>"	CF7429	C2797	https://coptic-dictionary.org/entry.cgi?tla=C2797
2810	1203	"Poss. Pron. m. sg.
ⲡⲱ⸗~S^^CF7432
|||Poss. Pron. m. sg.
ⲡⲱ⸗~A^^CF7433
|||Poss. Pron. m. sg.
ⲡⲱ⸗~F^^CF7435
|||Poss. Pron. m. sg.
ⲡⲱ⸗~L^^CF7434
|||Poss. Pron. m. sg.
ⲡⲟ⸗~M^^CF7437
|||Poss. Pron. m. sg.
ⲫⲱ⸗~B^^CF7436
"	PPERO	1@CS3200|~~~der zu . . . Gehörige (der meinige etc.);;;CD 260b; CED 125; KoptHWb 144, 530; DELC 158; LCG § 54	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3200--><tr><td id=""meaning""><span id=""quote"">der zu . . . Gehörige (der meinige etc.)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 125
KoptHWb 144, 530
DELC 158
LCG § 54</td></tr></table>"	1@CS3200|~~~this of . . . (mine, his etc.);;;CD 260b; CED 125; KoptHWb 144, 530; DELC 158; LCG § 54	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3200--><tr><td id=""meaning""><span id=""quote"">this of . . . (mine, his etc.)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 125
KoptHWb 144, 530
DELC 158
LCG § 54</td></tr></table>"	1@CS3200|~~~celui de . . . (le mien, tien etc.);;;CD 260b; CED 125; KoptHWb 144, 530; DELC 158; LCG § 54	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3200--><tr><td id=""meaning""><span id=""quote"">celui de . . . (le mien, tien etc.)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 125
KoptHWb 144, 530
DELC 158
LCG § 54</td></tr></table>"	"<table id=""senses""><colgroup><col><col></colgroup><!--sense_number:1, sense_id:CS3200--><tr><td id=""meaning""><span id=""quote""><span id=""lang"">(En.) </span>this of . . . (mine, his etc.)</span>
<span id=""quote""><span id=""lang"">(De.) </span>der zu . . . Gehörige (der meinige etc.)</span>
<span id=""quote""><span id=""lang"">(Fr.) </span>celui de . . . (le mien, tien etc.)</span></td><td id=""bibl""><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary/?docID=800000&pageID=260b"">CD 260b</a>
CED 125
KoptHWb 144, 530
DELC 158
LCG § 54</td></tr></table>"	cf. #ⲛⲟⲩ# Poss. Pron. pl. cf. #ⲧⲱ# Poss. Pron. sg. f. 	"<span id=""etym"" class=""etym"">
	cf. <a href=""https://coptic-dictionary.org/results.cgi?coptic=ⲛⲟⲩ"">ⲛⲟⲩ</a> Poss. Pron. pl. cf. <a href=""https://coptic-dictionary.org/results.cgi?coptic=ⲧⲱ"">ⲧⲱ</a> Poss. Pron. sg. f.
</span>"	PX	"
ⲡⲱ~S^^CF7432
ⲡⲱ~A^^CF7433
ⲡⲱ~F^^CF7435
ⲡⲱ~L^^CF7434
ⲡⲟ~M^^CF7437
ⲫⲱ~B^^CF7436
"	ⲡⲱ|||ⲡⲱ|||ⲡⲱ|||ⲡⲱ|||ⲡⲟ|||ⲫⲱ			"<table id=""orths""><tr><td id=""orth"">ⲡⲱ⸗</td><td id=""geo"">S</td><td id=""gram_grp"">Poss. Pron. m. sg.</td></tr><tr><td id=""orth"">ⲡⲱ⸗</td><td id=""geo"">A</td><td id=""gram_grp"">Poss. Pron. m. sg.</td></tr><tr><td id=""orth"">ⲡⲱ⸗</td><td id=""geo"">F</td><td id=""gram_grp"">Poss. Pron. m. sg.</td></tr><tr><td id=""orth"">ⲡⲱ⸗</td><td id=""geo"">L</td><td id=""gram_grp"">Poss. Pron. m. sg.</td></tr><tr><td id=""orth"">ⲡⲟ⸗</td><td id=""geo"">M</td><td id=""gram_grp"">Poss. Pron. m. sg.</td></tr><tr><td id=""orth"">ⲫⲱ⸗</td><td id=""geo"">B</td><td id=""gram_grp"">Poss. Pron. m. sg.</td></tr></table>"	CF7431	C2798	https://coptic-dictionary.org/entry.cgi?tla=C2798
