key	key-link	dawoud-pages	notes	senses	override-type
1	https://metremnqymi.com/crum/1.html	266b-267a			
2	https://metremnqymi.com/crum/2.html	834a-837b,162a			
3	https://metremnqymi.com/crum/3.html	192a-193a,191b-192a			
4	https://metremnqymi.com/crum/4.html	422b-423a			
5	https://metremnqymi.com/crum/5.html	75a-77b			
6	https://metremnqymi.com/crum/6.html	768b-770a,767b			
7	https://metremnqymi.com/crum/7.html	16b,7b			
8	https://metremnqymi.com/crum/8.html	269a-270a,9a			
9	https://metremnqymi.com/crum/9.html	603b,603b-604b			
10	https://metremnqymi.com/crum/10.html	542a-542b			
11	https://metremnqymi.com/crum/11.html	4a-4b			
12	https://metremnqymi.com/crum/12.html	473b-474a			
13	https://metremnqymi.com/crum/13.html	605a-606a,606a-606b,606b			
14	https://metremnqymi.com/crum/14.html	607a,587a,587a-588a			
15	https://metremnqymi.com/crum/15.html	310b-311a,317b			
16	https://metremnqymi.com/crum/16.html	805b-807a,750b			
17	https://metremnqymi.com/crum/17.html	813b-814a,755b			
18	https://metremnqymi.com/crum/18.html	263a			
19	https://metremnqymi.com/crum/19.html	672a-673a,669a-671b			
20	https://metremnqymi.com/crum/20.html	569a-569b,566a,559a			
21	https://metremnqymi.com/crum/21.html	329a-330a			
22	https://metremnqymi.com/crum/22.html	150a-150b,142a-142b			
23	https://metremnqymi.com/crum/23.html	84a-85a,308a,39b-40a,2a,230a,11a-11b			
24	https://metremnqymi.com/crum/24.html	433a-433b			
25	https://metremnqymi.com/crum/25.html	37b			
26	https://metremnqymi.com/crum/26.html	155a-155b,138b,145b,165b,152a-152b,60b			
27	https://metremnqymi.com/crum/27.html	829b-830b			
28	https://metremnqymi.com/crum/28.html	19a			
29	https://metremnqymi.com/crum/29.html	140a-140b			
30	https://metremnqymi.com/crum/30.html	194b-195a			
31	https://metremnqymi.com/crum/31.html	219b-220b			
32	https://metremnqymi.com/crum/32.html	53a			
33	https://metremnqymi.com/crum/33.html	256a-257a			
34	https://metremnqymi.com/crum/34.html	280b-281b,281b-282a,242a-243a,243a,244b			
35	https://metremnqymi.com/crum/35.html	530a-530b			
36	https://metremnqymi.com/crum/36.html	347b-350b			
37	https://metremnqymi.com/crum/37.html	721b-722a,696a			
38	https://metremnqymi.com/crum/38.html	529b-530a			
39	https://metremnqymi.com/crum/39.html	770b-771b,736a-736b,755b,17a			
40	https://metremnqymi.com/crum/40.html	423b-425b,343a,343b-344a,344a			
41	https://metremnqymi.com/crum/41.html	658a-659b			
