key	dawoud-pages	notes	senses	override-type	crum-last-page	sisters	antonyms	homonyms	TLA-sisters	categories	TODO
1	266b-267a		{"1": "light", "2": "dawn", "3": "light (of eyes)"}			709; 239; 1041; 458 #drv406; 3086; 257	168; 2157; 271; 846; 633; 2626			physics	
2	834a-837b,162a		{"1": "give", "2": "pay", "3": "fight", "4": "sell", "5": "smite"}			3358; 2407; 1034; 1056; 1135; 610; 2319 #drv5309; 2379	131; 9				
3	192a-193a,191b-192a		{"1": "have pity, mercy"}			19 #drv3641					
4	422b-423a		{"1": "redeem, rescue"}			400; 116	199		C10677;C10676		
5	75a-77b		{"1": "come", "2": "go", "3": "be about to"}			1171; 442; 535; 1148; 138	123; 224				
6	768b-770a,767b		{"1": "beget", "2": "acquire"}			26; 13					
7	16b,7b		{"1": "treasure", "2": "treasury, store house"}			1531					
8	269a-270a,9a		{"1": "open"}			1738; 1669; 1780	1989; 204				
9	603b,603b-604b		{"1": "accept", "2": "buy", "3": "receive", "4": "contain", "5": "take", "6": "suffer"}			131	2	1860; 1948; 1949; 1950			
10	542a-542b		{"1": "be able to"}			151 #drv3992					
11	4a-4b		{"1": "prevail, rule", "2": "possess", "3": "be valid", "4": "lay hold on", "5": "embrace", "6": "restrict", "7": "detain"}			2671; 902; 529; 2181; 2199; 1061; 2545; 1811					
12	473b-474a		{"1": "entreat"}			75; 313; 308; 71 #drv3326; 393; 2227					
13	605a-606a,606a-606b,606b,46b		{"1": "become", "2": "befall", "3": "exist"}			34; 2523; 681; 665; 674; 1063 #drv800; 6		1953			
14	607a,587a,587a-588a		{"1": "be early"}			210; 68; 227; 2325	1824; 67; 59				
15	310b-311a,317b		{"1": "name", "2": "fame, renown"}			260; 113				concept	
16	805b-807a,750b		{"1": "be high", "2": "raise, exalt", "3": "mount"}			17; 2175; 917; 2649	2122	2457			
17	813b-814a,755b		{"1": "lord (of God)", "2": "lord (of man, master, owner)", "3": "lord (of saint)"}			1172; 18; 16	568; 905; 367; 2642			person	
18	263a		{"1": "king", "2": "queen", "3": "royal"}			17	568; 905; 367; 2642			person	
19	672a-673a,669a-671b		{"1": "heart", "2": "mind"}			3; 116; 155; 2239; 71 #drv3323; 93 #drv313; 1349 #drv1643		2290		anatomy	
20	569a-569b,566a,559a		{"1": "son", "2": "child", "3": "daughter"}			57; 220; 174; 1905; 1919; 1965		1848; 1850; 1847; 224; 451; 1844; 1849		person	
21	329a-330a,310a-310b		{"1": "man"}			143; 166; 31				species, person	
22	150a-150b,142a-142b		{"1": "truth", "2": "justice", "3": "true person"}			901; 1065; 1710	1230			concept	
23	84a-85a,308a,39b-40a,2a,230a,11a-11b		{"1": "act", "2": "become", "3": "befall", "4": "make, do", "5": "make, bear (fruit)", "6": "pass (time)", "7": "make (total), amount to", "8": "make (price, value) at", "9": "(as verb of direction)"}			1623; 120			C9036		
24	433a-433b		{"1": "heal", "2": "cease"}			1026; 234; 501					
25	37b		{"1": "eternity", "2": "age, period of time"}			492				time	
26	155a-155b,138b,138b,138b,145b,145b,145b-146a,146a,146a,165b,152a,152a-152b,356b,60b		{"1": "bear, bring forth"}			6; 375; 1278; 607; 682; 2742; 1548; 880; 712; 2303; 693; 678; 1898					
27	829b-830b		{"1": "reveal"}			73; 614; 1780	37; 832	2615			
28	19a		{"1": "eye"}			93; 30; 458; 223; 1427; 424; 29				anatomy	
29	140a-140b		{"1": "ear", "2": "(as handle of basket)"}			28				anatomy	
30	194b-195a		{"1": "look"}			458; 223; 1427; 28; 1154		210; 629			
31	219b-220b		{"1": "god", "2": "divine"}			21			C9201	person	
32	53a		{"1": "house", "2": "household, family"}			1339		686		construction	
33	256a-257a		{"1": "be"}				1063				
34	280b-281b,281b-282a,242a-243a,243a		{"1": "put, set, be"}			13; 1672; 2096; 1331; 1105 #drv880; 891 pole		1765			
35	530a-530b		{"1": "glory"}			247				concept	
36	347b-350b		{"1": "speak"}			39; 42; 113; 60; 2045; 1924; 2031; 239 #drv1416					
37	721b-722a,696a,669a		{"1": "hide"}			832; 301; 79; 1027	27; 73	120; 2230; 2120; 312			
38	529b-530a		{"1": "live"}			395; 544	1130; 118				
39	770b-771b,736a-736b,755b,17a		{"1": "say, speak, tell", "2": "sing"}			42; 36; 113; 60; 365; 2280; 2590					
40	423b-425b,343a,343b-344a,344a		{"1": "write", "2": "register", "3": "draw, paint"}			1912					
41	658a-659b		{"1": "fall", "2": "light upon, find"}			2058; 2127; 1191; 1679					
42	293a-293b		{"1": "say"}			39; 36; 113; 60					
43	125b-126b		{"1": "cease", "2": "heal"}								
44	597a-597b		{"1": "wonder, amazement"}			285; 2267; 1158				concept	
45	571a-571b,594b-595a		{"1": "disturb"}			1504; 213; 982					
46	575a-575b,575b-576a		{"1": "ask", "2": "seek", "3": "greet"}			60; 329					
47	748a-748b,738a,804a		{"1": "find"}								
48	452a-452b		{"1": "all"}			1183					
49	403b-407a,407a,354a-355a,355a		{"1": "flow as water", "2": "flow as hair", "3": "blow as wind, smoke", "4": "glide", "5": "draw", "6": "beguile", "7": "gather", "8": "impel", "9": "protract the fast", "10": "draw aside", "11": "induce"}			1833; 1396; 982; 407; 315; 1671; 361; 2520					
50	491a		{"1": "sky", "2": "heaven"}				108; 267			astronomy	
51	649b		{"1": "bird", "2": "flying creature"}			2142; 2758				species	
52	446a		{"1": "fish"}			84				species	
53	642b		{"1": "inward part"}			372; 2103				direction	
54	26a-27b		{"1": "loosen, untie", "2": "melt", "3": "unstring", "4": "interpret, explain", "5": "be softened, persuaded", "6": "weaken, make faint", "7": "nullify", "8": "dissolve", "9": "destroy"}			614; 328 #drv2538; 139 #drv4236; 1208; 1889; 650 interpret; 856; 1802; 1124 vomit					
55	410b-411b		{"1": "know", "2": "know sexually"}		371a	56; 2875					
56	35b-36a		{"1": "know"}			55; 2875; 1594					
57	87b		{"1": "father", "2": "(title of abbot, head of congregation)"}			220; 20; 174; 1905; 1919		744		person	
58	684b,693a		{"1": "be hungry"}			175	307				
59	810b,753a,796a-796b		{"1": "delay"}			1824; 322	14	1941; 191			
60	811b-812a,754a-754b		{"1": "ask, question", "2": "require", "3": "tell, say"}			39; 42; 36; 113; 46					
61	106a-107a		{"1": "small", "2": "few", "3": "young"}			62; 2373	88; 1853				
62	567b-568a		{"1": "small", "2": "few", "3": "young", "4": "humble", "5": "(iterated) little by little"}			61; 2122; 2373; 226					
63	632b		{"1": "old person"}				1965			person	
