key	dawoud-pages	dawoud-pages-redone
627	1a	1a
628	1a	1a
629	1a,13b,196a	1a,13b,196a
438		
500	1a	1a,11b
97	1a	1a,20a
626		
94	1a	1a
539	1a-1b	1a-1b
96		
95	1b	1b
639	1b	1b,33a
2660	1b	1b
86	1b	1b
625	1b	1b
624	1b	1b
92	2a,230a	2a,230a
98	2a-2b	1b,2a-2b
2813		
99		
417	2b	2b
2661	2b,90a	2b,90a
2662	2b	2b
416		
418	2b	2b
415	2b	2b
420	2b	2b
419	2b	2b
421	2b 	
2666		
435	3a	3a
423		
422	3a	3a
2663	3a	3a
428		
630	3a	3a
2667	3a	3a
427	3a	3a
2664	3a	3a
431	3b	3b
424	3b	3b,4a
2665	3b	3b
426	3b	3b
198	3b,122b-123a	3b
432	3b	3b
171	3b	3b
430	3b	3b
437	3b-4a	3b-4a
425	4a	4a,35a
429		
436	4a	4a
433	4a	4a
2668	4a	4a
529	4a	4a
11	4a-4b	4a-4b
656	4b	4b
439	4b	4b
267	4b-5a	4b-5a,336a
440	5a	5a
660	5a	5a,35b
2199	5a	5a,650a-650b
662	5a	5a,36a
2669	5a	5a
661	5a	5a,36b
2670	5a	5a
2189	5a-5b	5a-5b,650b
2671	5a-6a	5a-6a
442	6b	6a
508	6b	6b
2809	6b	
664	7a	7a
2674	6b-7a	6b-7a
2672	7a	7a
2673	7a	7a
510	7a	7a
1149	7a	7a
2810		
2811	7a	7a
515	7a-7b	7a-7b
516		
519		
513	7b	7b,8a
2681	7b	7b,8a
2675	7b	7b,651a
512	7b	7b
2676	7b	7b,37b
2678	7b	7b
511	7b	7b
2677	7b	7b
514	8a	8a
2679	8a	8a
2680	8a	8a
517	8a	8a
2682	8a	8a
537	8a-8b	1a,8a-8b
538	8b	1b,8b
521	9a	1a,9a
499	9a	9a
523	9a	9a
2683	9a	9a
524	9b	9b
2684	9b	9b
527		
528	9b	9b
2251	9b	9b,663b,707b
444	9b	9b
445	9b	9b
674	9b-10a	9a-10a,42b
116	10a-10b	10a-10b,652b
447	10b	10b
460	10b	10b
448	11a	11a
459	9b,11a	9b,11a
446		
494		
495	11b	11b
2686	11b	11b
2690	11b	11b
532	11b	11b
501	11b-12a	11b-12a
502		
503		
453	12a-12b	12a-12b,379b-380a
533	12b	12b
2688	12b	12b
2687	12b	12b
2691	12b	12b
505	12b	12b
2689	12b	12b
534		
2692	12b-13a	12b-13a
289	13a	13a
551	13b	13b,17b
535	13b	13b
2693	13a-14b	
498	14a	14a
2331	14a	14a,654a
522	14a-14b	14a-14b
526	14b	14b
2695	14b	14b
2135	14b	14b,648b-649a
370	14b-15a	14b-15a
540	15a	15a
541		
278	15a	15a
2696	15a	15a
2699	15a	15a
2697	15b	15b
542	15b	15b,1a
543	15b	15b,1a
2337	15b	15b,654a,648a
2700	15b	15b
548	16a	16a,14b
549	16a	16a
547	16a	16a
2702	16a	16a
683	16a	16a
2815		
544	16b	16b
545		
7	16b	16b,7b
2705	16b	16b,243b
546	17a	17a
550	17a	17a
822	17a	17a
2706	17a	17a
553	13a	13a
2354	17b	17b,15a,654b
2707	17b	17b
2361	17b	17b
554	17b	17b,17a
555		
557		
556	13b,17b	17b,13b
559		
2708		
566	18a	
586	18a	
580	18a	
611		
558	18a-18b	
560	18b	
2715	18b	
2712	18b	
28	19a	
2719	19a	
2554	3b,19a	
576	19a	
3384		
2724		
583		
584		
2731	19b	
594		
597	19b	
593	19b	
596	19b	
598	19b	
2819	19b	
601	19b	
604	19b	
2733	19b	
2820	19b	
615	19b	
616	19b	
617	20a	
305		
2742	20a	
1771	20a	
567	20a	
573		
2718	20a	
177	20a-20b	
620	20b	
578	20b	
406	20b	
353	20b-21a	
1270	21a	
2726	21a	
129	21a	
590	21a-21b	
600	21b	
591	21b	
2729	21b	
592	21b	
