key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
2718	34	2713	(S) ouaHF	1	(liturgical functionary, acolyte /*?*/)	(liturgical functionary, acolyte /*?*/)		508b	38	2010-03-04	1900-01-01	vagrant		https://pishoyg.github.io/crum/2718.html	(S) ⲟⲩⲁϩϥ	(S) ⲟⲩⲁϩϥ	(S) ⲟⲩⲁϩϥ	(S) ⲟⲩⲁϩϥ	(S) ⲟⲩⲁϩϥ (ⲡ)	noun male		<i>liturgical functionary, acolyte (?)</i>	liturgical functionary, acolyte (?)	<i>liturgical functionary, acolyte (?)</i>	<i>liturgical functionary, acolyte (?)</i>	<i>liturgical functionary, acolyte (?)</i>	liturgical functionary, acolyte (?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=508b	508	b	ⲟⲩⲁϩϥ (ⲡ)	ⲟⲩⲁϩϥ																			1
286	35	0	(S,F) Hae.	0	honourable, glorious /$gk: [[endojos]]$/	honourable, glorious /$gk: [[endojos]]$/	endojos	62a	1	2010-01-26	2013-04-08	vagrant	vagrant	https://pishoyg.github.io/crum/286.html	(S, F) ϩⲁⲉ.	(S, F) ϩⲁⲉ.	(S, F) ϩⲁⲉ.	(S, F) ϩⲁⲉ.	(S, F) ϩⲁⲉ.	-	ενδοξοσ	honourable, glorious [ενδοξοσ]	honourable, glorious [ενδοξοσ]	honourable, glorious	"honourable, glorious <span style=""opacity:0.7"">[ενδοξοσ]</span>"	"honourable, glorious <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B5%CE%BD%CE%B4%CE%BF%CE%BE%CE%BF%CF%83"">ενδοξοσ</a>]</span>"	honourable, glorious	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=62a	62	a	ϩⲁⲉ.	ϩⲁⲉ.											ϩⲁⲉ.	ϩⲁⲉ.							0
287	35	0	(S) T eoou (B) T wou	0	give glory, glorigy /$gk: [[dojazein]]$/ | (as nn) /$gk: [[doja]]$/	give glory, glorigy /$gk: [[dojazein]]$/ | (as nn) /$gk: [[doja]]$/	dojazein, doja	62a	2	2010-01-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/287.html	"(S) ϯ ⲉⲟⲟⲩ
(B) ϯ ⲱⲟⲩ"	"(S) ϯ ⲉⲟⲟⲩ
(B) ϯ ⲱⲟⲩ"	"(S) ϯ ⲉⲟⲟⲩ
(B) ϯ ⲱⲟⲩ"	"(S) ϯ ⲉⲟⲟⲩ
(B) ϯ ⲱⲟⲩ"	"(S) ϯ ⲉⲟⲟⲩ
(B) ϯ ⲱⲟⲩ"	-	δοξαζειν, δοξα	"give glory, glorigy [δοξαζειν]
<i>as nn</i> [δοξα]"	"give glory, glorigy [δοξαζειν]
as nn [δοξα]"	"give glory, glorigy 
<i>as nn</i>"	"give glory, glorigy <span style=""opacity:0.7"">[δοξαζειν]</span>
<i>as nn</i> <span style=""opacity:0.7"">[δοξα]</span>"	"give glory, glorigy <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%BF%CE%BE%CE%B1%CE%B6%CE%B5%CE%B9%CE%BD"">δοξαζειν</a>]</span>
<i>as nn</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%BF%CE%BE%CE%B1"">δοξα</a>]</span>"	"give glory, glorigy 
as nn"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=62a	62	a	ϯ ⲉⲟⲟⲩ	ϯ ⲉⲟⲟⲩ									ϯ ⲱⲟⲩ	ϯ ⲱⲟⲩ									0
288	35	0	(S) mntreFT e. (B) metreFT w.	4	glorification /$gk: [[eudojia]]$/	glorification /$gk: [[eudojia]]$/	eudojia	62a	3	2010-01-26	2010-01-30	vagrant	vagrant	https://pishoyg.github.io/crum/288.html	"(S) ⲙⲛⲧⲣⲉϥϯ ⲉ.
(B) ⲙⲉⲧⲣⲉϥϯ ⲱ."	"(S) ⲙⲛⲧⲣⲉϥϯ ⲉ.
(B) ⲙⲉⲧⲣⲉϥϯ ⲱ."	"(S) ⲙⲛⲧⲣⲉϥϯ ⲉ.
(B) ⲙⲉⲧⲣⲉϥϯ ⲱ."	"(S) ⲙⲛⲧⲣⲉϥϯ ⲉ.
(B) ⲙⲉⲧⲣⲉϥϯ ⲱ."	"(S) ⲙⲛⲧⲣⲉϥϯ ⲉ. (ⲧ)
(B) ⲙⲉⲧⲣⲉϥϯ ⲱ. (ⲧ)"	noun female	ευδοξια	glorification [ευδοξια]	glorification [ευδοξια]	glorification	"glorification <span style=""opacity:0.7"">[ευδοξια]</span>"	"glorification <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B5%CF%85%CE%B4%CE%BF%CE%BE%CE%B9%CE%B1"">ευδοξια</a>]</span>"	glorification	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=62a	62	a	ⲙⲛⲧⲣⲉϥϯ ⲉ. (ⲧ)	ⲙⲛⲧⲣⲉϥϯ ⲉ.									ⲙⲉⲧⲣⲉϥϯ ⲱ. (ⲧ)	ⲙⲉⲧⲣⲉϥϯ ⲱ.									0
289	35	0	(B) JinT w.	1	act of glorifying	act of glorifying		62a	4	2010-01-26	2010-01-30	vagrant	vagrant	https://pishoyg.github.io/crum/289.html	(B) ϫⲓⲛϯ ⲱ.	(B) ϫⲓⲛϯ ⲱ.	(B) ϫⲓⲛϯ ⲱ.	(B) ϫⲓⲛϯ ⲱ.	(B) ϫⲓⲛϯ ⲱ. (ⲡ)	noun male		act of glorifying	act of glorifying	act of glorifying	act of glorifying	act of glorifying	act of glorifying	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=62a	62	a											ϫⲓⲛϯ ⲱ. (ⲡ)	ϫⲓⲛϯ ⲱ.									0
290	35	0	(S,F) Ji e. (B) Gi w.	0	be glorified /$gk: [[dojazesqai]]$/	be glorified /$gk: [[dojazesqai]]$/	dojazesqai	62a	5	2010-01-26	2010-01-30	vagrant	vagrant	https://pishoyg.github.io/crum/290.html	"(S, F) ϫⲓ ⲉ.
(B) ϭⲓ ⲱ."	"(S, F) ϫⲓ ⲉ.
(B) ϭⲓ ⲱ."	"(S, F) ϫⲓ ⲉ.
(B) ϭⲓ ⲱ."	"(S, F) ϫⲓ ⲉ.
(B) ϭⲓ ⲱ."	"(S, F) ϫⲓ ⲉ.
(B) ϭⲓ ⲱ."	-	δοξαζεσθαι	be glorified [δοξαζεσθαι]	be glorified [δοξαζεσθαι]	be glorified	"be glorified <span style=""opacity:0.7"">[δοξαζεσθαι]</span>"	"be glorified <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%BF%CE%BE%CE%B1%CE%B6%CE%B5%CF%83%CE%B8%CE%B1%CE%B9"">δοξαζεσθαι</a>]</span>"	be glorified	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=62a	62	a	ϫⲓ ⲉ.	ϫⲓ ⲉ.									ϭⲓ ⲱ.	ϭⲓ ⲱ.	ϫⲓ ⲉ.	ϫⲓ ⲉ.							0
5159	36	0		99	With following preposition:	With following preposition:		613a	1	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5159.html						HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a																					0
5160	36	5159	(S,A,B,F) ^^ e-	0	to, into | concerning, about | against	to, into | concerning, about | against		613a	2	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5160.html	(S, A, B, F) ― ⲉ-	(S, A, B, F) ― ⲉ-	(S, A, B, F) ― ⲉ-	(S, A, B, F) ― ⲉ-	(S, A, B, F) ― ⲉ-	-		"to, into
concerning, about
against"	"to, into
concerning, about
against"	"to, into
concerning, about
against"	"to, into
concerning, about
against"	"to, into
concerning, about
against"	"to, into
concerning, about
against"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a	― ⲉ-	― ⲉ-					― ⲉ-	― ⲉ-			― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-							1
7557	36	5159	(S,A,B,F) ^^^ eHoun e-	0	to	to		613a	3	2010-08-11	2010-08-11	vagrant	vagrant	https://pishoyg.github.io/crum/7557.html	(S, A, B, F) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S, A, B, F) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S, A, B, F) c ⲉϩⲟⲩⲛ ⲉ-	(S, A, B, F) c ⲉϩⲟⲩⲛ ⲉ-	(S, A, B, F) ⲉϩⲟⲩⲛ ⲉ- (c)	-		to	to	to	to	to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-					ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-			ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-							1
7558	36	5159	(S,A,B,F) ^^^ eHrai e-,^^^ eKrai e-	0	to, about	to, about		613a	4	2010-08-11	2010-08-11	vagrant	vagrant	https://pishoyg.github.io/crum/7558.html	(S, A, B, F) <i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉ-, <i><b>c</b></i> ⲉϧⲣⲁⲓ ⲉ-	(S, A, B, F) <i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉ-, <i><b>c</b></i> ⲉϧⲣⲁⲓ ⲉ-	(S, A, B, F) c ⲉϩⲣⲁⲓ ⲉ-, c ⲉϧⲣⲁⲓ ⲉ-	(S, A, B, F) c ⲉϩⲣⲁⲓ ⲉ-, c ⲉϧⲣⲁⲓ ⲉ-	(S, A, B, F) ⲉϩⲣⲁⲓ ⲉ-, ⲉϧⲣⲁⲓ ⲉ- (c)	-		to, about	to, about	to, about	to, about	to, about	to, about	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a	ⲉϩⲣⲁⲓ ⲉ-, ⲉϧⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ ⲉ-					ⲉϩⲣⲁⲓ ⲉ-, ⲉϧⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ ⲉ-			ⲉϩⲣⲁⲓ ⲉ-, ⲉϧⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ ⲉ-	ⲉϩⲣⲁⲓ ⲉ-, ⲉϧⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ ⲉ-							1
