key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
5641	87	5638	^^^ ebol Hn-	0				208b	5	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5641.html	<i><b>c</b></i> ⲉⲃⲟⲗ ϩⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲃⲟⲗ ϩⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲉⲃⲟⲗ ϩⲛ-	"<span class=""word""><span class=""spelling"">ⲉⲃⲟⲗ ϩⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=208b	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)	2
5642	87	4442		99	pay	pay		208b	6	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5642.html					HEADER		pay	pay	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=208b											1
5643	87	5642	(F) ^^^ e-	0	(of things) for which (payed)	(of things) for which (payed)		209a	7	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5643.html	(F) <i><b>c</b></i> ⲉ-	"<span class=""word F"">(<span class=""dialect F"">F</span>) <span class=""spelling F""><i><b>c</b></i> ⲉ-</span> <span class=""nag-hammadi""></span></span>"	ⲉ-	"<span class=""word F"">(<span class=""dialect F"">F</span>) <span class=""spelling F"">ⲉ-</span> (c)</span>"	-		<i>of things</i> for which <i>payed</i>	<i>of things</i> for which <i>payed</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a							ⲉ- (c)				2
1074	87	4442	(S,B) meH rw=,maH rw=	0	fill mouth | seize, bite /$gk: [[analambanein, kaqaptein]]$/ | (as nn S)	fill mouth | seize, bite /$gk: [[analambanein, kaqaptein]]$/ | (as nn S)	analambanein, kaqaptein	209a	8	2010-02-05	2010-06-20	vagrant	vagrant	https://pishoyg.github.io/crum/1074.html	(S, B) ⲙⲉϩ ⲣⲱ=, ⲙⲁϩ ⲣⲱ=	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ⲙⲉϩ ⲣⲱ=</span>, <span class=""spelling S B"">ⲙⲁϩ ⲣⲱ=</span> <span class=""nag-hammadi""></span></span>"	ⲙⲉϩ ⲣⲱ=, ⲙⲁϩ ⲣⲱ=	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ⲙⲉϩ ⲣⲱ=</span>, <span class=""spelling S B"">ⲙⲁϩ ⲣⲱ=</span></span>"	-	αναλαμβανειν, καθαπτειν	"fill mouth
seize, bite [αναλαμβανειν, καθαπτειν]
<i>as nn S</i>"	"fill mouth
seize, bite 
<i>as nn S</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ⲙⲉϩ ⲣⲱ=, ⲙⲁϩ ⲣⲱ=					ⲙⲉϩ ⲣⲱ=, ⲙⲁϩ ⲣⲱ=					1
5644	87	1074		99	seize, bite	seize, bite		209a	9	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5644.html					HEADER		seize, bite	seize, bite	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a											2
5645	87	5644	^^^ n-	0	(of thing seized) /$gk: [[analambanein, kaqaptein]]$/	(of thing seized) /$gk: [[analambanein, kaqaptein]]$/	analambanein, kaqaptein	209a	10	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5645.html	<i><b>c</b></i> ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲛ-	"<span class=""word""><span class=""spelling"">ⲛ-</span> (c)</span>"	-	αναλαμβανειν, καθαπτειν	<i>of thing seized</i> [αναλαμβανειν, καθαπτειν]	<i>of thing seized</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	3
5646	87	5644	*^or^* ^^^ Hn-,Ken-	0				209a	11	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5646.html	{or} <i><b>c</b></i> ϩⲛ-, ϧⲉⲛ-	"<span class=""word""><span class=""spelling"">{or} <i><b>c</b></i> ϩⲛ-</span>, <span class=""spelling"">ϧⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	{or} ϩⲛ-, ϧⲉⲛ-	"<span class=""word""><span class=""spelling"">{or} ϩⲛ-</span>, <span class=""spelling"">ϧⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	{or} ϩⲛ-, ϧⲉⲛ- (c)	3
5647	87	5644	*^or^* ^^^ e-	0				209a	12	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5647.html	{or} <i><b>c</b></i> ⲉ-	"<span class=""word""><span class=""spelling"">{or} <i><b>c</b></i> ⲉ-</span> <span class=""nag-hammadi""></span></span>"	{or} ⲉ-	"<span class=""word""><span class=""spelling"">{or} ⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	{or} ⲉ- (c)	3
5648	87	5644	(S) *^or^* ^^^ eJn-	0				209a	13	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5648.html	(S) {or} <i><b>c</b></i> ⲉϫⲛ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">{or} <i><b>c</b></i> ⲉϫⲛ-</span> <span class=""nag-hammadi""></span></span>"	{or} ⲉϫⲛ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">{or} ⲉϫⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	{or} ⲉϫⲛ- (c)										3
1075	87	4442	(S,F) meH toot=,meH tat= (B) maHtot=	0	find hand, lay hold on /$gk: [[plhroun]]$/	find hand, lay hold on /$gk: [[plhroun]]$/	plhroun	209a	14	2010-02-05	2010-04-07	vagrant	vagrant	https://pishoyg.github.io/crum/1075.html	"(S, F) ⲙⲉϩ ⲧⲟⲟⲧ=, ⲙⲉϩ ⲧⲁⲧ=
(B) ⲙⲁϩⲧⲟⲧ="	"<span class=""word S F"">(<span class=""dialect S"">S</span>, <span class=""dialect F"">F</span>) <span class=""spelling S F"">ⲙⲉϩ ⲧⲟⲟⲧ=</span>, <span class=""spelling S F"">ⲙⲉϩ ⲧⲁⲧ=</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲙⲁϩⲧⲟⲧ=</span> <span class=""nag-hammadi""></span></span>"	ⲙⲉϩ ⲧⲟⲟⲧ=, ⲙⲉϩ ⲧⲁⲧ=, ⲙⲁϩⲧⲟⲧ=	"<span class=""word S F"">(<span class=""dialect S"">S</span>, <span class=""dialect F"">F</span>) <span class=""spelling S F"">ⲙⲉϩ ⲧⲟⲟⲧ=</span>, <span class=""spelling S F"">ⲙⲉϩ ⲧⲁⲧ=</span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲙⲁϩⲧⲟⲧ=</span></span>"	-	πληρουν	find hand, lay hold on [πληρουν]	find hand, lay hold on	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ⲙⲉϩ ⲧⲟⲟⲧ=, ⲙⲉϩ ⲧⲁⲧ=					ⲙⲁϩⲧⲟⲧ=	ⲙⲉϩ ⲧⲟⲟⲧ=, ⲙⲉϩ ⲧⲁⲧ=				1
