key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
7069	362	7067	^^^ n- *^gen^*	0				518a	3	2010-08-07	1900-01-01	vagrant		<i><b>c</b></i> ⲛ- {gen}	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛ- {gen}</span></span>"	ⲛ- {gen}	"<span class=""word""><span class=""spelling"">ⲛ- {gen}</span> <span class=""type"">(c)</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518a	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	ⲛ- {gen} (c)	1
7070	362	7067	^^^ n-	0	for, by	for, by		518a	4	2010-08-07	1900-01-01	vagrant		<i><b>c</b></i> ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛ-</span></span>"	ⲛ-	"<span class=""word""><span class=""spelling"">ⲛ-</span> <span class=""type"">(c)</span></span>"	-		for, by	for, by	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518a	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	1
7071	362	7067	^^^ Hn-	0	by	by		518a	5	2010-08-07	1900-01-01	vagrant		<i><b>c</b></i> ϩⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲛ-</span></span>"	ϩⲛ-	"<span class=""word""><span class=""spelling"">ϩⲛ-</span> <span class=""type"">(c)</span></span>"	-		by	by	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518a	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	1
7072	362	7067	^^^ Hitn-	0	(sim)	(sim)		518a	6	2010-08-07	1900-01-01	vagrant		<i><b>c</b></i> ϩⲓⲧⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲓⲧⲛ-</span></span>"	ϩⲓⲧⲛ-	"<span class=""word""><span class=""spelling"">ϩⲓⲧⲛ-</span> <span class=""type"">(c)</span></span>"	-		<i>sim</i>	<i>sim</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518a	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	1
2752	362	0	(S,A) ^^	1	conception /$gk: [[sullhcis]]$/	conception /$gk: [[sullhcis]]$/	sullhcis	518a	7	2010-03-04	1900-01-01	vagrant		(S, A) ―	"<span class=""word S A""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A"">―</span></span>"	―	"<span class=""word S A""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A"">―</span> <span class=""type S A"">(ⲡ)</span></span>"	noun male	συλληξισ	conception [συλληξισ]	conception	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518a	― (ⲡ)			― (ⲡ)							0
2753	362	0	(S) T ww	0	be pregnant /$gk: [[wdinein]]$/	be pregnant /$gk: [[wdinein]]$/	wdinein	518a	8	2010-03-04	1900-01-01	vagrant		(S) ϯ ⲱⲱ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϯ ⲱⲱ</span></span>"	ϯ ⲱⲱ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϯ ⲱⲱ</span></span>"	-	ωδινειν	be pregnant [ωδινειν]	be pregnant	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518a	ϯ ⲱⲱ										0
2754	362	0	(O) mentw	0	pregnancy	pregnancy		518b	9	2010-03-04	1900-01-01	vagrant		(O) ⲙⲉⲛⲧⲱ	"<span class=""word O""><span class=""dialect-parenthesis"">(</span><span class=""dialect O"">O</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling O"">ⲙⲉⲛⲧⲱ</span></span>"	ⲙⲉⲛⲧⲱ	"<span class=""word O""><span class=""dialect-parenthesis"">(</span><span class=""dialect O"">O</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling O"">ⲙⲉⲛⲧⲱ</span></span>"	-		pregnancy	pregnancy	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518b									ⲙⲉⲛⲧⲱ		0
2755	362	0	(S) Ginww,Ginw	0	conception	conception		518b	10	2010-03-04	1900-01-01	vagrant		(S) ϭⲓⲛⲱⲱ, ϭⲓⲛⲱ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϭⲓⲛⲱⲱ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ϭⲓⲛⲱ</span></span>"	ϭⲓⲛⲱⲱ, ϭⲓⲛⲱ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϭⲓⲛⲱⲱ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ϭⲓⲛⲱ</span></span>"	-		conception	conception	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=518b	ϭⲓⲛⲱⲱ, ϭⲓⲛⲱ										0
2267	364	0	et.,ato,eq.	0	whither? /$gk: [[pou;]]$/ | (but also) whence?	whither? /$gk: [[pou;]]$/ | (but also) whence?	pou;	417b	1	2010-02-22	1900-01-01	vagrant		ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	"<span class=""word""><span class=""spelling"">ⲉⲧ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲁⲧⲟ</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲉⲑ.</span></span>"	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	"<span class=""word""><span class=""spelling"">ⲉⲧ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲁⲧⲟ</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲉⲑ.</span></span>"	-	που;	"whither? [που;]
<i>but also</i> whence?"	"whither? 
<i>but also</i> whence?"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=417b	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	ⲉⲧ., ⲁⲧⲟ, ⲉⲑ.	0
2268	364	0	nt.,nq.	0	where? /$gk: [[pou;]]$/ | whence?, how?	where? /$gk: [[pou;]]$/ | whence?, how?	pou;	417b	2	2010-02-22	1900-01-01	vagrant		ⲛⲧ., ⲛⲑ.	"<span class=""word""><span class=""spelling"">ⲛⲧ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲛⲑ.</span></span>"	ⲛⲧ., ⲛⲑ.	"<span class=""word""><span class=""spelling"">ⲛⲧ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲛⲑ.</span></span>"	-	που;	"where? [που;]
whence?, how?"	"where? 
whence?, how?"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=417b	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	ⲛⲧ., ⲛⲑ.	0
