key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
378	422	0	(B) ^^ eKrhi eJen-	0	sestoupit na	descend upon		4b	9	2010-01-29	2010-10-27	vagrant	vagrant	https://pishoyg.github.io/crum/378.html	(B) ― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	(B) ― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	(B) ― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	(B) ― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	(B) ― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	-		descend upon	descend upon	descend upon	descend upon	descend upon	descend upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=4b	4	b											― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-	― ⲉϧⲣⲏⲓ ⲉϫⲉⲛ-									0
10	422	0	(S,B,F) reFa.	3	jezdec /$gk: [[anabaths]]$/	mounted man, rider /$gk: [[anabaths]]$/	anabaths	4b	10	2010-01-22	2010-10-27	vagrant	vagrant	https://pishoyg.github.io/crum/10.html	(S, B, F) ⲣⲉϥⲁ.	(S, B, F) ⲣⲉϥⲁ.	(S, B, F) ⲣⲉϥⲁ.	(S, B, F) ⲣⲉϥⲁ.	ⲣⲉϥⲁ.	(S, B, F) ⲣⲉϥⲁ. (noun)	noun	αναβατησ	mounted man, rider [αναβατησ]	mounted man, rider [αναβατησ]	mounted man, rider	"mounted man, rider <span style=""opacity:0.7"">[αναβατησ]</span>"	"mounted man, rider <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B1%CE%B2%CE%B1%CF%84%CE%B7%CF%83"">αναβατησ</a>]</span>"	mounted man, rider	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=4b	4	b	ⲣⲉϥⲁ. (noun)	ⲣⲉϥⲁ.									ⲣⲉϥⲁ. (noun)	ⲣⲉϥⲁ.	ⲣⲉϥⲁ. (noun)	ⲣⲉϥⲁ.							0
11	422	0	(S) Gina.	4	vzestup, vstoupení	ascent, mounting up		4b	11	2010-01-22	2010-10-27	vagrant	vagrant	https://pishoyg.github.io/crum/11.html	(S) ϭⲓⲛⲁ.	(S) ϭⲓⲛⲁ.	(S) ϭⲓⲛⲁ.	(S) ϭⲓⲛⲁ.	ϭⲓⲛⲁ.	(S) ϭⲓⲛⲁ. (ⲧ)	noun female		ascent, mounting up	ascent, mounting up	ascent, mounting up	ascent, mounting up	ascent, mounting up	ascent, mounting up	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=4b	4	b	ϭⲓⲛⲁ. (ⲧ)	ϭⲓⲛⲁ.																			0
12	422	0	(B) ma na.	3	sedlo	sitting place (when mounted)		4b	12	2010-01-22	2010-10-27	vagrant	vagrant	https://pishoyg.github.io/crum/12.html	(B) ⲙⲁ ⲛⲁ.	(B) ⲙⲁ ⲛⲁ.	(B) ⲙⲁ ⲛⲁ.	(B) ⲙⲁ ⲛⲁ.	ⲙⲁ ⲛⲁ.	(B) ⲙⲁ ⲛⲁ. (noun)	noun		sitting place <i>when mounted</i>	sitting place when mounted	sitting place <i>when mounted</i>	sitting place <i>when mounted</i>	sitting place <i>when mounted</i>	sitting place when mounted	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=4b	4	b											ⲙⲁ ⲛⲁ. (noun)	ⲙⲁ ⲛⲁ.									0
6064	441	0		99	intr :	intr :		309a	1	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6064.html							HEADER		intr :	intr :	intr :	intr :	intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309a	309	a																					0
6065	441	6064		99	With following preposition:	With following preposition:		309a	2	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6065.html							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309a	309	a																					1
6066	441	6065	^^^ e-	0	suffice for, be fit to, responsible for /$gk: [[autarkein, ikanousqai]]$/	suffice for, be fit to, responsible for /$gk: [[autarkein, ikanousqai]]$/	autarkein, ikanousqai	309a	3	2010-07-08	2014-08-05	vagrant	vagrant	https://pishoyg.github.io/crum/6066.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-	αυταρκειν, ικανουσθαι	suffice for, be fit to, responsible for [αυταρκειν, ικανουσθαι]	suffice for, be fit to, responsible for [αυταρκειν, ικανουσθαι]	suffice for, be fit to, responsible for	"suffice for, be fit to, responsible for <span style=""opacity:0.7"">[αυταρκειν, ικανουσθαι]</span>"	"suffice for, be fit to, responsible for <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%85%CF%84%CE%B1%CF%81%CE%BA%CE%B5%CE%B9%CE%BD"">αυταρκειν</a>, <a href=""https://logeion.uchicago.edu/%CE%B9%CE%BA%CE%B1%CE%BD%CE%BF%CF%85%CF%83%CE%B8%CE%B1%CE%B9"">ικανουσθαι</a>]</span>"	suffice for, be fit to, responsible for	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309a	309	a	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	2
6067	441	6065	(B) ^^^ eJen-	0	(meaning same ?)	(meaning same ?)		309b	4	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6067.html	(B) <i><b>c</b></i> ⲉϫⲉⲛ-	(B) <i><b>c</b></i> ⲉϫⲉⲛ-	(B) c ⲉϫⲉⲛ-	(B) c ⲉϫⲉⲛ-	ⲉϫⲉⲛ- (c)	(B) ⲉϫⲉⲛ- (c)	-		<i>meaning same ?</i>	meaning same ?	<i>meaning same ?</i>	<i>meaning same ?</i>	<i>meaning same ?</i>	meaning same ?	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309b	309	b											ⲉϫⲉⲛ- (c)	ⲉϫⲉⲛ-									2
6068	441	6065	(S) ^^^ mn-	0	be concerned with, deal with	be concerned with, deal with		309b	5	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6068.html	(S) <i><b>c</b></i> ⲙⲛ-	(S) <i><b>c</b></i> ⲙⲛ-	(S) c ⲙⲛ-	(S) c ⲙⲛ-	ⲙⲛ- (c)	(S) ⲙⲛ- (c)	-		be concerned with, deal with	be concerned with, deal with	be concerned with, deal with	be concerned with, deal with	be concerned with, deal with	be concerned with, deal with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309b	309	b	ⲙⲛ- (c)	ⲙⲛ-																			2
6069	441	6065	^^^ n- *^dat^*	0	suffice for | (temporal)	suffice for | (temporal)		309b	6	2010-07-08	2014-08-05	vagrant	vagrant	https://pishoyg.github.io/crum/6069.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	c ⲛ- {dat}	c ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat} (c)	-		"suffice for
<i>temporal</i>"	"suffice for
temporal"	"suffice for
<i>temporal</i>"	"suffice for
<i>temporal</i>"	"suffice for
<i>temporal</i>"	"suffice for
temporal"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309b	309	b	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	2
