key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
7177	467	7176	(S) ^^^ eHoun e-	0	to	to		533a	3	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7177.html	(S) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S) c ⲉϩⲟⲩⲛ ⲉ-	(S) c ⲉϩⲟⲩⲛ ⲉ-	(S) ⲉϩⲟⲩⲛ ⲉ- (c)	-		to	to	to	to	to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533a	533	a	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-																			2
7178	467	7176	(sA) ^^^ aJn-	0				533a	4	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7178.html	(sA) <i><b>c</b></i> ⲁϫⲛ-	(sA) <i><b>c</b></i> ⲁϫⲛ-	(sA) c ⲁϫⲛ-	(sA) c ⲁϫⲛ-	(sA) ⲁϫⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533a	533	a									ⲁϫⲛ- (c)	ⲁϫⲛ-											2
7179	467	7176	(A) ^^^ nse-	0	call after	call after		533a	5	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7179.html	(A) <i><b>c</b></i> ⲛⲥⲉ-	(A) <i><b>c</b></i> ⲛⲥⲉ-	(A) c ⲛⲥⲉ-	(A) c ⲛⲥⲉ-	(A) ⲛⲥⲉ- (c)	-		call after	call after	call after	call after	call after	call after	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533a	533	a							ⲛⲥⲉ- (c)	ⲛⲥⲉ-													2
7180	467	7176	(S,sA,B,F) ^^^ oube-	0	to, across to	to, across to		533a	6	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7180.html	(S, sA, B, F) <i><b>c</b></i> ⲟⲩⲃⲉ-	(S, sA, B, F) <i><b>c</b></i> ⲟⲩⲃⲉ-	(S, sA, B, F) c ⲟⲩⲃⲉ-	(S, sA, B, F) c ⲟⲩⲃⲉ-	(S, sA, B, F) ⲟⲩⲃⲉ- (c)	-		to, across to	to, across to	to, across to	to, across to	to, across to	to, across to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533a	533	a	ⲟⲩⲃⲉ- (c)	ⲟⲩⲃⲉ-							ⲟⲩⲃⲉ- (c)	ⲟⲩⲃⲉ-	ⲟⲩⲃⲉ- (c)	ⲟⲩⲃⲉ-	ⲟⲩⲃⲉ- (c)	ⲟⲩⲃⲉ-							2
7181	467	7176	(B) ^^^ Sa-	0	to	to		533b	7	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7181.html	(B) <i><b>c</b></i> ϣⲁ-	(B) <i><b>c</b></i> ϣⲁ-	(B) c ϣⲁ-	(B) c ϣⲁ-	(B) ϣⲁ- (c)	-		to	to	to	to	to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533b	533	b											ϣⲁ- (c)	ϣⲁ-									2
7182	467	7176	(B) ^^^ Ha-	0	to	to		533b	8	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7182.html	(B) <i><b>c</b></i> ϩⲁ-	(B) <i><b>c</b></i> ϩⲁ-	(B) c ϩⲁ-	(B) c ϩⲁ-	(B) ϩⲁ- (c)	-		to	to	to	to	to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533b	533	b											ϩⲁ- (c)	ϩⲁ-									2
5064	467	2840		99	With following adverb:	With following adverb:		533b	9	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5064.html						HEADER		With following adverb:	With following adverb:	With following adverb:	With following adverb:	With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533b	533	b																					1
5065	467	5064	(S,A,sA,B,F) ^^ ebol	0	cry out |$ {intr:} /$gk: [[boan, anaboan, krazein, anakrazein, kraugazein, hxein, fwnein, anafwnein]]$/ |$ {tr:} /$gk: [[krazein, fwnein]]$/ | (as nn m) /$gk: [[kraugh, boh]]$/	cry out |$ {intr:} /$gk: [[boan, anaboan, krazein, anakrazein, kraugazein, hxein, fwnein, anafwnein]]$/ |$ {tr:} /$gk: [[krazein, fwnein]]$/ | (as nn m) /$gk: [[kraugh, boh]]$/	kraugh, boh, boan, anaboan, krazein, anakrazein, kraugazein, hxein, fwnein, anafwnein	533b	10	2010-04-29	2012-10-19	vagrant	vagrant	https://pishoyg.github.io/crum/5065.html	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	-	κραυγη, βοη, βοαν, αναβοαν, κραζειν, ανακραζειν, κραυγαζειν, ηχειν, φωνειν, αναφωνειν	"cry out
― <b>intr:</b> [βοαν, αναβοαν, κραζειν, ανακραζειν, κραυγαζειν, ηχειν, φωνειν, αναφωνειν]
― <b>tr:</b> [κραζειν, φωνειν]
<i>as nn m</i> [κραυγη, βοη]"	"cry out
― intr: [βοαν, αναβοαν, κραζειν, ανακραζειν, κραυγαζειν, ηχειν, φωνειν, αναφωνειν]
― tr: [κραζειν, φωνειν]
as nn m [κραυγη, βοη]"	"cry out
― <b>intr:</b> 
― <b>tr:</b> 
<i>as nn m</i>"	"cry out
― <b>intr:</b> <span style=""opacity:0.7"">[βοαν, αναβοαν, κραζειν, ανακραζειν, κραυγαζειν, ηχειν, φωνειν, αναφωνειν]</span>
― <b>tr:</b> <span style=""opacity:0.7"">[κραζειν, φωνειν]</span>
<i>as nn m</i> <span style=""opacity:0.7"">[κραυγη, βοη]</span>"	"cry out
― <b>intr:</b> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B2%CE%BF%CE%B1%CE%BD"">βοαν</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B1%CE%B2%CE%BF%CE%B1%CE%BD"">αναβοαν</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CF%81%CE%B1%CE%B6%CE%B5%CE%B9%CE%BD"">κραζειν</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B1%CE%BA%CF%81%CE%B1%CE%B6%CE%B5%CE%B9%CE%BD"">ανακραζειν</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CF%81%CE%B1%CF%85%CE%B3%CE%B1%CE%B6%CE%B5%CE%B9%CE%BD"">κραυγαζειν</a>, <a href=""https://logeion.uchicago.edu/%CE%B7%CF%87%CE%B5%CE%B9%CE%BD"">ηχειν</a>, <a href=""https://logeion.uchicago.edu/%CF%86%CF%89%CE%BD%CE%B5%CE%B9%CE%BD"">φωνειν</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B1%CF%86%CF%89%CE%BD%CE%B5%CE%B9%CE%BD"">αναφωνειν</a>]</span>
― <b>tr:</b> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CF%81%CE%B1%CE%B6%CE%B5%CE%B9%CE%BD"">κραζειν</a>, <a href=""https://logeion.uchicago.edu/%CF%86%CF%89%CE%BD%CE%B5%CE%B9%CE%BD"">φωνειν</a>]</span>
<i>as nn m</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CF%81%CE%B1%CF%85%CE%B3%CE%B7"">κραυγη</a>, <a href=""https://logeion.uchicago.edu/%CE%B2%CE%BF%CE%B7"">βοη</a>]</span>"	"cry out
― intr: 
― tr: 
as nn m"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533b	533	b	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ					― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ							2
7187	467	5065		99	tr :	tr :		533b	11	2010-08-09	2010-08-17	vagrant	vagrant	https://pishoyg.github.io/crum/7187.html						HEADER		tr :	tr :	tr :	tr :	tr :	tr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533b	533	b																					3
7183	467	7187	^^^ *^[ebol]^* e-	0	to, for	to, for		533b	12	2010-08-09	2010-08-09	vagrant	vagrant	https://pishoyg.github.io/crum/7183.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	c {ⲉⲃⲟⲗ} ⲉ-	c {ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	-		to, for	to, for	to, for	to, for	to, for	to, for	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=533b	533	b	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ-	4
