key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
7724	2137	7723	(B) ^^^ e- *^obj^*	0				663a	3	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7724.html	(B) <i><b>c</b></i> ⲉ- {obj}	(B) <i><b>c</b></i> ⲉ- {obj}	(B) c ⲉ- {obj}	(B) c ⲉ- {obj}	ⲉ- {obj} (c)	(B) ⲉ- {obj} (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663a	663	a											ⲉ- {obj} (c)	ⲉ- {obj}									2
7725	2137	7723	(B) ^^^ nsa-	0				663a	4	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7725.html	(B) <i><b>c</b></i> ⲛⲥⲁ-	(B) <i><b>c</b></i> ⲛⲥⲁ-	(B) c ⲛⲥⲁ-	(B) c ⲛⲥⲁ-	ⲛⲥⲁ- (c)	(B) ⲛⲥⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663a	663	a											ⲛⲥⲁ- (c)	ⲛⲥⲁ-									2
7726	2137	7723	(S,sA) ^^^ ebol	0	 /$gk: [[apojuein]]$/	 /$gk: [[apojuein]]$/	apojuein	663a	5	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7726.html	(S, sA) <i><b>c</b></i> ⲉⲃⲟⲗ	(S, sA) <i><b>c</b></i> ⲉⲃⲟⲗ	(S, sA) c ⲉⲃⲟⲗ	(S, sA) c ⲉⲃⲟⲗ	ⲉⲃⲟⲗ (c)	(S, sA) ⲉⲃⲟⲗ (c)	-	αποξυειν	[αποξυειν]	[αποξυειν]		"<span style=""opacity:0.7"">[αποξυειν]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%80%CE%BF%CE%BE%CF%85%CE%B5%CE%B9%CE%BD"">αποξυειν</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663a	663	a	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ							ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ											2
7727	2137	7723	Se nH.	0				663a	6	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7727.html	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663a	663	a	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	ϣⲉ ⲛϩ.	2
3372	2137	3371	(B) Hoks	3	scraper	scraper		663a	7	2010-03-21	1900-01-01	vagrant		https://pishoyg.github.io/crum/3372.html	(B) ϩⲟⲕⲥ	(B) ϩⲟⲕⲥ	(B) ϩⲟⲕⲥ	(B) ϩⲟⲕⲥ	ϩⲟⲕⲥ	(B) ϩⲟⲕⲥ (noun)	noun		scraper	scraper	scraper	scraper	scraper	scraper	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663a	663	a											ϩⲟⲕⲥ (noun)	ϩⲟⲕⲥ									1
3373	2137	0		99	shave, shear	shave, shear		663a	8	2010-03-21	1900-01-01	vagrant		https://pishoyg.github.io/crum/3373.html							HEADER		shave, shear	shave, shear	shave, shear	shave, shear	shave, shear	shave, shear	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663a	663	a																					0
7728	2137	3373		99	intr :	intr :		663b	9	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7728.html							HEADER		intr :	intr :	intr :	intr :	intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663b	663	b																					1
7729	2137	7728	(S) ^^^ ebol	0				663b	10	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7729.html	(S) <i><b>c</b></i> ⲉⲃⲟⲗ	(S) <i><b>c</b></i> ⲉⲃⲟⲗ	(S) c ⲉⲃⲟⲗ	(S) c ⲉⲃⲟⲗ	ⲉⲃⲟⲗ (c)	(S) ⲉⲃⲟⲗ (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663b	663	b	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ																			2
3374	2137	3373	(F) Hake	0	shearer	shearer		663b	11	2010-03-21	2010-03-21	vagrant	vagrant	https://pishoyg.github.io/crum/3374.html	(F) ϩⲁⲕⲉ	(F) ϩⲁⲕⲉ	(F) ϩⲁⲕⲉ	(F) ϩⲁⲕⲉ	ϩⲁⲕⲉ	(F) ϩⲁⲕⲉ	-		shearer	shearer	shearer	shearer	shearer	shearer	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663b	663	b													ϩⲁⲕⲉ	ϩⲁⲕⲉ							1
3375	2137	3373	(S) Hwwke (B) Kwk	0	fleece /$gk: [[koura]]$/	fleece /$gk: [[koura]]$/	koura	663b	12	2010-03-21	1900-01-01	vagrant		https://pishoyg.github.io/crum/3375.html	"(S) ϩⲱⲱⲕⲉ
(B) ϧⲱⲕ"	"(S) ϩⲱⲱⲕⲉ
(B) ϧⲱⲕ"	"(S) ϩⲱⲱⲕⲉ
(B) ϧⲱⲕ"	"(S) ϩⲱⲱⲕⲉ
(B) ϧⲱⲕ"	ϩⲱⲱⲕⲉ, ϧⲱⲕ	"(S) ϩⲱⲱⲕⲉ
(B) ϧⲱⲕ"	-	κουρα	fleece [κουρα]	fleece [κουρα]	fleece	"fleece <span style=""opacity:0.7"">[κουρα]</span>"	"fleece <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CE%BF%CF%85%CF%81%CE%B1"">κουρα</a>]</span>"	fleece	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=663b	663	b	ϩⲱⲱⲕⲉ	ϩⲱⲱⲕⲉ									ϧⲱⲕ	ϧⲱⲕ									1
7734	2142	0		99	With following preposition:	With following preposition:		665b	1	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7734.html							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b																					0
7735	2142	7734	^^^ e-	0				665b	2	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7735.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
7736	2142	7734	(B) ^^^ eKrhi e-	0				665b	3	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7736.html	(B) <i><b>c</b></i> ⲉϧⲣⲏⲓ ⲉ-	(B) <i><b>c</b></i> ⲉϧⲣⲏⲓ ⲉ-	(B) c ⲉϧⲣⲏⲓ ⲉ-	(B) c ⲉϧⲣⲏⲓ ⲉ-	ⲉϧⲣⲏⲓ ⲉ- (c)	(B) ⲉϧⲣⲏⲓ ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b											ⲉϧⲣⲏⲓ ⲉ- (c)	ⲉϧⲣⲏⲓ ⲉ-									1
