key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	inflections-B	depth
8337	2417	8335	(sA) ^^^ aJn-	0				773a	6	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8337.html	(sA) <i><b>c</b></i> ⲁϫⲛ-	(sA) <i><b>c</b></i> ⲁϫⲛ-	(sA) c ⲁϫⲛ-	(sA) c ⲁϫⲛ-	(sA) ⲁϫⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773a	773	a									ⲁϫⲛ- (c)	ⲁϫⲛ-												1
8338	2417	8335	^^^ Sa-	0				773a	7	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8338.html	<i><b>c</b></i> ϣⲁ-	<i><b>c</b></i> ϣⲁ-	c ϣⲁ-	c ϣⲁ-	ϣⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773a	773	a	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ- (c)	ϣⲁ-	ϣⲁ	1
8339	2417	0		99	preceded by other prep	preceded by other prep		773a	8	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8339.html						HEADER		preceded by other prep	preceded by other prep	preceded by other prep	preceded by other prep	preceded by other prep	preceded by other prep	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773a	773	a																						0
8340	2417	8339	(S,F) e^^	0				773a	9	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8340.html	(S, F) ⲉ―	(S, F) ⲉ―	(S, F) ⲉ―	(S, F) ⲉ―	(S, F) ⲉ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773a	773	a	ⲉ―	ⲉ―											ⲉ―	ⲉ―								1
8341	2417	8339	(S,Sf,F,O) n^^	0				773a	10	2010-08-14	2010-08-14	vagrant	vagrant	https://pishoyg.github.io/crum/8341.html	(S, Sf, F, O) ⲛ―	(S, Sf, F, O) ⲛ―	(S, Sf, F, O) ⲛ―	(S, Sf, F, O) ⲛ―	(S, Sf, F, O) ⲛ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773a	773	a	ⲛ―	ⲛ―			ⲛ―	ⲛ―							ⲛ―	ⲛ―			ⲛ―	ⲛ―				1
8342	2417	8339	(S) Ha^^	0				773a	11	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8342.html	(S) ϩⲁ―	(S) ϩⲁ―	(S) ϩⲁ―	(S) ϩⲁ―	(S) ϩⲁ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773a	773	a	ϩⲁ―	ϩⲁ―																				1
8343	2417	8339	(S) Hi^^	0				773b	12	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8343.html	(S) ϩⲓ―	(S) ϩⲓ―	(S) ϩⲓ―	(S) ϩⲓ―	(S) ϩⲓ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=773b	773	b	ϩⲓ―	ϩⲓ―																				1
8344	2423	0		99	tr :	tr :		774a	1	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8344.html						HEADER		tr :	tr :	tr :	tr :	tr :	tr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774a	774	a																						0
8345	2423	8344	^^^ e-	0				774a	2	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8345.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774a	774	a	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ	1
8346	2423	8344	^^^ n-	0				774a	3	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8346.html	<i><b>c</b></i> ⲛ-	<i><b>c</b></i> ⲛ-	c ⲛ-	c ⲛ-	ⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774a	774	a	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ	1
