key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	word-dawoud-sort-key	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list	derivations-txt
517	(S) anSeule	3	(an animal, whose blood used in recipe for binding /*impeding [mour]*/ bridegroom)	(an animal, whose blood used in recipe for binding /*impeding [mour]*/ bridegroom)		12b	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/517.html	(S) ⲁⲛϣⲉⲩⲗⲉ	(S) ⲁⲛϣⲉⲩⲗⲉ	(S) ⲁⲛϣⲉⲩⲗⲉ	(S) ⲁⲛϣⲉⲩⲗⲉ	ⲁⲛϣⲉⲩⲗⲉ	(S) ⲁⲛϣⲉⲩⲗⲉ (noun)	ⲁⲛϣⲉⲩⲗⲉ (S)			complete	noun		<i>an animal, whose blood used in recipe for binding (impeding ⲙⲟⲩⲣ) bridegroom</i>	an animal, whose blood used in recipe for binding (impeding ⲙⲟⲩⲣ) bridegroom	<i>an animal, whose blood used in recipe for binding (impeding ⲙⲟⲩⲣ) bridegroom</i>	<i>an animal, whose blood used in recipe for binding (impeding ⲙⲟⲩⲣ) bridegroom</i>	<i>an animal, whose blood used in recipe for binding (impeding ⲙⲟⲩⲣ) bridegroom</i>	an animal, whose blood used in recipe for binding (impeding ⲙⲟⲩⲣ) bridegroom	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=12b	12	b	ⲁⲛϣⲉⲩⲗⲉ (noun)	ⲁⲛϣⲉⲩⲗⲉ																			518	516	12			
518	(S,A,sA,F) Sws (S) Swws,Soos (F) Sos,Sas- (S,A) *Soos,Swws (S) *Swos (A) *Sas (F) *Saas	1	herd, shepherd /$gk: [[poimhn]]$/	herd, shepherd /$gk: [[poimhn]]$/	poimhn	589b	6	0	2009-09-14	2010-03-15	vagrant	vagrant	https://pishoyg.github.io/crum/518.html	"(S, A, sA, F) ϣⲱⲥ
(S) ϣⲱⲱⲥ, ϣⲟⲟⲥ
(F) ϣⲟⲥ, ϣⲁⲥ-
(S, A) <i>plural: </i>ϣⲟⲟⲥ, ϣⲱⲱⲥ
(S) <i>plural: </i>ϣⲱⲟⲥ
(A) <i>plural: </i>ϣⲁⲥ
(F) <i>plural: </i>ϣⲁⲁⲥ"	"(S, A, sA, F) ϣⲱⲥ
(S) ϣⲱⲱⲥ, ϣⲟⲟⲥ
(F) ϣⲟⲥ, ϣⲁⲥ-
(S, A) <i>plural: </i>ϣⲟⲟⲥ, ϣⲱⲱⲥ
(S) <i>plural: </i>ϣⲱⲟⲥ
(A) <i>plural: </i>ϣⲁⲥ
(F) <i>plural: </i>ϣⲁⲁⲥ"	"(S, A, sA, F) ϣⲱⲥ
(S) ϣⲱⲱⲥ, ϣⲟⲟⲥ
(F) ϣⲟⲥ, ϣⲁⲥ-
(S, A) plural: ϣⲟⲟⲥ, ϣⲱⲱⲥ
(S) plural: ϣⲱⲟⲥ
(A) plural: ϣⲁⲥ
(F) plural: ϣⲁⲁⲥ"	"(S, A, sA, F) ϣⲱⲥ
(S) ϣⲱⲱⲥ, ϣⲟⲟⲥ
(F) ϣⲟⲥ, ϣⲁⲥ-
(S, A) plural: ϣⲟⲟⲥ, ϣⲱⲱⲥ
(S) plural: ϣⲱⲟⲥ
(A) plural: ϣⲁⲥ
(F) plural: ϣⲁⲁⲥ"	ϣⲱⲥ, ϣⲱⲱⲥ, ϣⲟⲟⲥ, ϣⲟⲥ, ϣⲁⲥ-, ϣⲟⲟⲥ, ϣⲱⲱⲥ (ⲛ), ϣⲱⲟⲥ (ⲛ), ϣⲁⲥ (ⲛ), ϣⲁⲁⲥ (ⲛ)	"(S, A, sA, F) ϣⲱⲥ (ⲡ)
(S) ϣⲱⲱⲥ, ϣⲟⲟⲥ (ⲡ)
(F) ϣⲟⲥ, ϣⲁⲥ- (ⲡ)
(S, A) ϣⲟⲟⲥ, ϣⲱⲱⲥ (ⲛ)
(S) ϣⲱⲟⲥ (ⲛ)
(A) ϣⲁⲥ (ⲛ)
(F) ϣⲁⲁⲥ (ⲛ)"	ϣⲱⲥ (S)			complete	noun male	ποιμην	herd, shepherd [ποιμην]	herd, shepherd [ποιμην]	herd, shepherd	"herd, shepherd <span style=""opacity:0.7"">[ποιμην]</span>"	"herd, shepherd <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CE%B9%CE%BC%CE%B7%CE%BD"">ποιμην</a>]</span>"	herd, shepherd	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=589b	589	b	"ϣⲱⲥ (ⲡ)
ϣⲱⲱⲥ, ϣⲟⲟⲥ (ⲡ)
ϣⲟⲟⲥ, ϣⲱⲱⲥ (ⲛ)
ϣⲱⲟⲥ (ⲛ)"	ϣⲱⲥ					"ϣⲱⲥ (ⲡ)
ϣⲟⲟⲥ, ϣⲱⲱⲥ (ⲛ)
ϣⲁⲥ (ⲛ)"	ϣⲱⲥ	ϣⲱⲥ (ⲡ)	ϣⲱⲥ			"ϣⲱⲥ (ⲡ)
ϣⲟⲥ, ϣⲁⲥ- (ⲡ)
ϣⲁⲁⲥ (ⲛ)"	ϣⲱⲥ							519	517	589	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 3094-->  <td colspan=""5"" class=""bordered"">(S) ⲙⲛⲧϣ.</td> <td colspan=""4"" class=""bordered"">  function of shepherd </td> <td rowspan=""1"" class=""bordered""><b>Crum: </b><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=589b"">589b</a></td> </tr> </table>"	<ul> <li> (S) ⲙⲛⲧϣ.<br/>function of shepherd </li> </ul>	(S) ⲙⲛⲧϣ. function of shepherd
519	(S) anaH	3	(an ornament /*?*/ woven upon clothes &c, the) crux ansata	(an ornament /*?*/ woven upon clothes &c, the) crux ansata		13a	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/519.html	(S) ⲁⲛⲁϩ	(S) ⲁⲛⲁϩ	(S) ⲁⲛⲁϩ	(S) ⲁⲛⲁϩ	ⲁⲛⲁϩ	(S) ⲁⲛⲁϩ (noun)	ⲁⲛⲁϩ (S)			complete	noun		<i>an ornament (?) woven upon clothes &c, the</i> crux ansata	an ornament (?) woven upon clothes &c, the crux ansata	<i>an ornament (?) woven upon clothes &c, the</i> crux ansata	<i>an ornament (?) woven upon clothes &c, the</i> crux ansata	<i>an ornament (?) woven upon clothes &c, the</i> crux ansata	an ornament (?) woven upon clothes &c, the crux ansata	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=13a	13	a	ⲁⲛⲁϩ (noun)	ⲁⲛⲁϩ																			520	518	13			
520	(S) anH (S,B) onH	1	yard, count /$gk: [[aulh]]$/	yard, count /$gk: [[aulh]]$/	aulh	13a	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/520.html	"(S) ⲁⲛϩ
(S, B) ⲟⲛϩ"	"(S) ⲁⲛϩ
(S, B) ⲟⲛϩ"	"(S) ⲁⲛϩ
(S, B) ⲟⲛϩ"	"(S) ⲁⲛϩ
(S, B) ⲟⲛϩ"	ⲁⲛϩ, ⲟⲛϩ	"(S) ⲁⲛϩ (ⲡ)
(S, B) ⲟⲛϩ (ⲡ)"	ⲟⲛϩ (B)			complete	noun male	αυλη	yard, count [αυλη]	yard, count [αυλη]	yard, count	"yard, count <span style=""opacity:0.7"">[αυλη]</span>"	"yard, count <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%85%CE%BB%CE%B7"">αυλη</a>]</span>"	yard, count	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=13a	13	a	"ⲁⲛϩ (ⲡ)
ⲟⲛϩ (ⲡ)"	ⲁⲛϩ									ⲟⲛϩ (ⲡ)	ⲟⲛϩ									521	519	13			
521	(S,B,F) apa	1	(title of reverence, corresponding to [[abbas]])	(title of reverence, corresponding to [[abbas]])		13a	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/521.html	(S, B, F) ⲁⲡⲁ	(S, B, F) ⲁⲡⲁ	(S, B, F) ⲁⲡⲁ	(S, B, F) ⲁⲡⲁ	ⲁⲡⲁ	(S, B, F) ⲁⲡⲁ (ⲡ)	ⲁⲡⲁ (B)			complete	noun male		<i>title of reverence, corresponding to αββασ </i>	title of reverence, corresponding to αββασ	<i>title of reverence, corresponding to αββασ </i>	<i>title of reverence, corresponding to αββασ </i>	"<i>title of reverence, corresponding to <a href=""https://logeion.uchicago.edu/%CE%B1%CE%B2%CE%B2%CE%B1%CF%83"">αββασ</a> </i>"	title of reverence, corresponding to αββασ	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=13a	13	a	ⲁⲡⲁ (ⲡ)	ⲁⲡⲁ									ⲁⲡⲁ (ⲡ)	ⲁⲡⲁ	ⲁⲡⲁ (ⲡ)	ⲁⲡⲁ							522	520	13	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 56-->  <td colspan=""5"" class=""bordered"">ⲡⲁⲡⲁ</td> <td colspan=""4"" class=""bordered"">  <i>often in colophons & late documents, with art ⲡⲡⲁⲡⲁ , is <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CF%80%CE%B1%CF%83"">παπασ</a> </i>, priest </td> <td rowspan=""1"" class=""bordered""><b>Crum: </b><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=13b"">13b</a></td> </tr> </table>"	<ul> <li> ⲡⲁⲡⲁ<br/><i>often in colophons & late documents, with art ⲡⲡⲁⲡⲁ , is παπασ </i>, priest </li> </ul>	ⲡⲁⲡⲁ often in colophons & late documents, with art ⲡⲡⲁⲡⲁ , is παπασ , priest
522	(S,A,sA) ape (B) afe (F) aph (S,A) *aphue (B) *afhoui (F) *aphou	4	head |$ (of a living being) /$gk: [[kefalh, korufh]]$/ |$ (metaphor) |$ (as title), magistrate, chief |$ capital (of money)	head |$ (of a living being) /$gk: [[kefalh, korufh]]$/ |$ (metaphor) |$ (as title), magistrate, chief |$ capital (of money)	kefalh, korufh	13b	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/522.html	"(S, A, sA) ⲁⲡⲉ
(B) ⲁⲫⲉ
(F) ⲁⲡⲏ
(S, A) <i>plural: </i>ⲁⲡⲏⲩⲉ
(B) <i>plural: </i>ⲁⲫⲏⲟⲩⲓ
(F) <i>plural: </i>ⲁⲡⲏⲟⲩ"	"(S, A, sA) ⲁⲡⲉ
(B) ⲁⲫⲉ
(F) ⲁⲡⲏ
(S, A) <i>plural: </i>ⲁⲡⲏⲩⲉ
(B) <i>plural: </i>ⲁⲫⲏⲟⲩⲓ
(F) <i>plural: </i>ⲁⲡⲏⲟⲩ"	"(S, A, sA) ⲁⲡⲉ
(B) ⲁⲫⲉ
(F) ⲁⲡⲏ
(S, A) plural: ⲁⲡⲏⲩⲉ
(B) plural: ⲁⲫⲏⲟⲩⲓ
(F) plural: ⲁⲡⲏⲟⲩ"	"(S, A, sA) ⲁⲡⲉ
(B) ⲁⲫⲉ
(F) ⲁⲡⲏ
(S, A) plural: ⲁⲡⲏⲩⲉ
(B) plural: ⲁⲫⲏⲟⲩⲓ
(F) plural: ⲁⲡⲏⲟⲩ"	ⲁⲡⲉ, ⲁⲫⲉ, ⲁⲡⲏ, ⲁⲡⲏⲩⲉ (ⲛ), ⲁⲫⲏⲟⲩⲓ (ⲛ), ⲁⲡⲏⲟⲩ (ⲛ)	"(S, A, sA) ⲁⲡⲉ (ⲧ)
(B) ⲁⲫⲉ (ⲧ)
(F) ⲁⲡⲏ (ⲧ)
(S, A) ⲁⲡⲏⲩⲉ (ⲛ)
(B) ⲁⲫⲏⲟⲩⲓ (ⲛ)
(F) ⲁⲡⲏⲟⲩ (ⲛ)"	ⲁⲫⲉ (B)			complete	noun female	κεφαλη, κορυφη	"head
― <i>of a living being</i> [κεφαλη, κορυφη]
― <i>metaphor</i>
― <i>as title</i>, magistrate, chief
― capital <i>of money</i>"	"head
― of a living being [κεφαλη, κορυφη]
― metaphor
― as title, magistrate, chief
― capital of money"	"head
― <i>of a living being</i> 
― <i>metaphor</i>
― <i>as title</i>, magistrate, chief
― capital <i>of money</i>"	"head
― <i>of a living being</i> <span style=""opacity:0.7"">[κεφαλη, κορυφη]</span>
― <i>metaphor</i>
― <i>as title</i>, magistrate, chief
― capital <i>of money</i>"	"head
― <i>of a living being</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CE%B5%CF%86%CE%B1%CE%BB%CE%B7"">κεφαλη</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CE%BF%CF%81%CF%85%CF%86%CE%B7"">κορυφη</a>]</span>
― <i>metaphor</i>
― <i>as title</i>, magistrate, chief
― capital <i>of money</i>"	"head
― of a living being 
― metaphor
― as title, magistrate, chief
― capital of money"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=13b	13	b	"ⲁⲡⲉ (ⲧ)
ⲁⲡⲏⲩⲉ (ⲛ)"	ⲁⲡⲉ					"ⲁⲡⲉ (ⲧ)
ⲁⲡⲏⲩⲉ (ⲛ)"	ⲁⲡⲉ	ⲁⲡⲉ (ⲧ)	ⲁⲡⲉ	"ⲁⲫⲉ (ⲧ)
ⲁⲫⲏⲟⲩⲓ (ⲛ)"	ⲁⲫⲉ	"ⲁⲡⲏ (ⲧ)
ⲁⲡⲏⲟⲩ (ⲛ)"	ⲁⲡⲏ							523	521	13,14	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 57-->  <td colspan=""5"" class=""bordered"">(S) ⲙⲛⲧⲁ. (ⲧ)</td> <td colspan=""4"" class=""bordered""> <b>(noun female)</b><br/> headship </td> <td rowspan=""4"" class=""bordered""><b>Crum: </b><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=14a"">14a</a></td> </tr> <tr> <!--Key: 58-->  <td colspan=""5"" class=""bordered"">(S, B) ⲁⲧⲁ. (adj.)</td> <td colspan=""4"" class=""bordered""> <b>(adjective)</b><br/> headless </td>  </tr> <tr> <!--Key: 59-->  <td colspan=""5"" class=""bordered"">(B) ⲙⲉⲧⲁⲧⲁ. (ⲧ)</td> <td colspan=""4"" class=""bordered""> <b>(noun female)</b><br/> headlessness </td>  </tr> <tr> <!--Key: 60-->  <td colspan=""5"" class=""bordered"">(S, B) ⲣ ⲁ.</td> <td colspan=""4"" class=""bordered"">  be at head of, lead <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B7%CE%B3%CE%BF%CF%85%CE%BC%CE%B5%CE%BD%CE%BF%CF%83"">ηγουμενοσ</a> <a href=""https://logeion.uchicago.edu/%CE%B5%CE%B9%CE%BD%CE%B1%CE%B9"">ειναι</a>]</span> </td>  </tr> </table>"	"<ul> <li> (S) ⲙⲛⲧⲁ. (ⲧ)<br/>(noun female) headship </li> <li> (S, B) ⲁⲧⲁ. (adj.)<br/>(adjective) headless </li> <li> (B) ⲙⲉⲧⲁⲧⲁ. (ⲧ)<br/>(noun female) headlessness </li> <li> (S, B) ⲣ ⲁ.<br/>be at head of, lead <span style=""opacity:0.7"">[ηγουμενοσ ειναι]</span> </li> </ul>"	"(S) ⲙⲛⲧⲁ. (ⲧ) (noun female) headship
(S, B) ⲁⲧⲁ. (adj.) (adjective) headless
(B) ⲙⲉⲧⲁⲧⲁ. (ⲧ) (noun female) headlessness
(S, B) ⲣ ⲁ. be at head of, lead [ηγουμενοσ ειναι]"
523	(S) apei	1	(a purple) dye-stuff	(a purple) dye-stuff		14a	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/523.html	(S) ⲁⲡⲉⲓ	(S) ⲁⲡⲉⲓ	(S) ⲁⲡⲉⲓ	(S) ⲁⲡⲉⲓ	ⲁⲡⲉⲓ	(S) ⲁⲡⲉⲓ (ⲡ)	ⲁⲡⲉⲓ (S)			complete	noun male		<i>a purple</i> dye-stuff	a purple dye-stuff	<i>a purple</i> dye-stuff	<i>a purple</i> dye-stuff	<i>a purple</i> dye-stuff	a purple dye-stuff	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=14a	14	a	ⲁⲡⲉⲓ (ⲡ)	ⲁⲡⲉⲓ																			524	522	14			
524	(S,A) aprhte	4	space of time, (long or short)	space of time, (long or short)		14a	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/524.html	(S, A) ⲁⲡⲣⲏⲧⲉ	(S, A) ⲁⲡⲣⲏⲧⲉ	(S, A) ⲁⲡⲣⲏⲧⲉ	(S, A) ⲁⲡⲣⲏⲧⲉ	ⲁⲡⲣⲏⲧⲉ	(S, A) ⲁⲡⲣⲏⲧⲉ (ⲧ)	ⲁⲡⲣⲏⲧⲉ (S)			complete	noun female		space of time, <i>long or short</i>	space of time, long or short	space of time, <i>long or short</i>	space of time, <i>long or short</i>	space of time, <i>long or short</i>	space of time, long or short	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=14a	14	a	ⲁⲡⲣⲏⲧⲉ (ⲧ)	ⲁⲡⲣⲏⲧⲉ					ⲁⲡⲣⲏⲧⲉ (ⲧ)	ⲁⲡⲣⲏⲧⲉ													525	523	14			
525	(S) aps (S,B) hps,eps	4	number /$gk: [[ariqmos]]$/	number /$gk: [[ariqmos]]$/	ariqmos	14b	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/525.html	"(S) ⲁⲡⲥ
(S, B) ⲏⲡⲥ, ⲉⲡⲥ"	"(S) ⲁⲡⲥ
(S, B) ⲏⲡⲥ, ⲉⲡⲥ"	"(S) ⲁⲡⲥ
(S, B) ⲏⲡⲥ, ⲉⲡⲥ"	"(S) ⲁⲡⲥ
(S, B) ⲏⲡⲥ, ⲉⲡⲥ"	ⲁⲡⲥ, ⲏⲡⲥ, ⲉⲡⲥ	"(S) ⲁⲡⲥ (ⲧ)
(S, B) ⲏⲡⲥ, ⲉⲡⲥ (ⲧ)"	ⲏⲡⲥ (B)			complete	noun female	αριθμοσ	number [αριθμοσ]	number [αριθμοσ]	number	"number <span style=""opacity:0.7"">[αριθμοσ]</span>"	"number <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%81%CE%B9%CE%B8%CE%BC%CE%BF%CF%83"">αριθμοσ</a>]</span>"	number	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=14b	14	b	"ⲁⲡⲥ (ⲧ)
ⲏⲡⲥ, ⲉⲡⲥ (ⲧ)"	ⲁⲡⲥ									ⲏⲡⲥ, ⲉⲡⲥ (ⲧ)	ⲏⲡⲥ									526	524	14			
526	(S) apot (B) afot (F) apat (S) *apht (B) *afht	1	cup /$gk: [[pothrion]]$/	cup /$gk: [[pothrion]]$/	pothrion	14b	6	0	2009-09-14	2010-01-23	vagrant	vagrant	https://pishoyg.github.io/crum/526.html	"(S) ⲁⲡⲟⲧ
(B) ⲁⲫⲟⲧ
(F) ⲁⲡⲁⲧ
(S) <i>plural: </i>ⲁⲡⲏⲧ
(B) <i>plural: </i>ⲁⲫⲏⲧ"	"(S) ⲁⲡⲟⲧ
(B) ⲁⲫⲟⲧ
(F) ⲁⲡⲁⲧ
(S) <i>plural: </i>ⲁⲡⲏⲧ
(B) <i>plural: </i>ⲁⲫⲏⲧ"	"(S) ⲁⲡⲟⲧ
(B) ⲁⲫⲟⲧ
(F) ⲁⲡⲁⲧ
(S) plural: ⲁⲡⲏⲧ
(B) plural: ⲁⲫⲏⲧ"	"(S) ⲁⲡⲟⲧ
(B) ⲁⲫⲟⲧ
(F) ⲁⲡⲁⲧ
(S) plural: ⲁⲡⲏⲧ
(B) plural: ⲁⲫⲏⲧ"	ⲁⲡⲟⲧ, ⲁⲫⲟⲧ, ⲁⲡⲁⲧ, ⲁⲡⲏⲧ (ⲛ), ⲁⲫⲏⲧ (ⲛ)	"(S) ⲁⲡⲟⲧ (ⲡ)
(B) ⲁⲫⲟⲧ (ⲡ)
(F) ⲁⲡⲁⲧ (ⲡ)
(S) ⲁⲡⲏⲧ (ⲛ)
(B) ⲁⲫⲏⲧ (ⲛ)"	ⲁⲫⲟⲧ (B)			complete	noun male	ποτηριον	cup [ποτηριον]	cup [ποτηριον]	cup	"cup <span style=""opacity:0.7"">[ποτηριον]</span>"	"cup <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CF%84%CE%B7%CF%81%CE%B9%CE%BF%CE%BD"">ποτηριον</a>]</span>"	cup	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=14b	14	b	"ⲁⲡⲟⲧ (ⲡ)
ⲁⲡⲏⲧ (ⲛ)"	ⲁⲡⲟⲧ									"ⲁⲫⲟⲧ (ⲡ)
ⲁⲫⲏⲧ (ⲛ)"	ⲁⲫⲟⲧ	ⲁⲡⲁⲧ (ⲡ)	ⲁⲡⲁⲧ							527	525	14	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 61-->  <td colspan=""5"" class=""bordered"">(S) ⲥⲁⲛⲁⲡⲟⲧ (ⲡ)</td> <td colspan=""4"" class=""bordered""> <b>(noun male)</b><br/> cup-maker <i>or</i> seller </td> <td rowspan=""1"" class=""bordered""><b>Crum: </b><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=14b"">14b</a></td> </tr> </table>"	<ul> <li> (S) ⲥⲁⲛⲁⲡⲟⲧ (ⲡ)<br/>(noun male) cup-maker <i>or</i> seller </li> </ul>	(S) ⲥⲁⲛⲁⲡⲟⲧ (ⲡ) (noun male) cup-maker or seller
