key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
3029	(S) pere	1	scurf	scurf		267a	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3029.html	(S) ⲡⲉⲣⲉ	(S) ⲡⲉⲣⲉ	ⲡⲉⲣⲉ	(S) ⲡⲉⲣⲉ (ⲡ)			complete	noun male		scurf	scurf	scurf	scurf	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=267a	ⲡⲉⲣⲉ (ⲡ)										3030	3028	267		
3030	(S) poro	3	(vessel holding oil)	(vessel holding oil)		268a	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3030.html	(S) ⲡⲟⲣⲟ	(S) ⲡⲟⲣⲟ	ⲡⲟⲣⲟ	(S) ⲡⲟⲣⲟ (noun)			complete	noun		<i>vessel holding oil</i>	<i>vessel holding oil</i>	<i>vessel holding oil</i>	<i>vessel holding oil</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=268a	ⲡⲟⲣⲟ (noun)										3031	3029	268		
3031	(Sa) prilir	2	{intr:} (meaning unknown)	{intr:} (meaning unknown)		269a	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3031.html	(Sa) ⲡⲣⲓⲗⲓⲣ	(Sa) ⲡⲣⲓⲗⲓⲣ	ⲡⲣⲓⲗⲓⲣ	(Sa) ⲡⲣⲓⲗⲓⲣ			complete	verb		<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=269a		ⲡⲣⲓⲗⲓⲣ									3032	3030	269		
3032	(S) pernouFe	3	(a plant ?)	(a plant ?)		269a	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3032.html	(S) ⲡⲉⲣⲛⲟⲩϥⲉ	(S) ⲡⲉⲣⲛⲟⲩϥⲉ	ⲡⲉⲣⲛⲟⲩϥⲉ	(S) ⲡⲉⲣⲛⲟⲩϥⲉ (noun)			complete	noun		<i>a plant ?</i>	<i>a plant ?</i>	<i>a plant ?</i>	<i>a plant ?</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=269a	ⲡⲉⲣⲛⲟⲩϥⲉ (noun)										3033	3031	269		
3033	(S) prape	4	(meaning unknown, an object of wax /*?*/)	(meaning unknown, an object of wax /*?*/)		269a	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3033.html	(S) ⲡⲣⲁⲡⲉ	(S) ⲡⲣⲁⲡⲉ	ⲡⲣⲁⲡⲉ	(S) ⲡⲣⲁⲡⲉ (ⲧ)			complete	noun female		<i>meaning unknown, an object of wax (?)</i>	<i>meaning unknown, an object of wax (?)</i>	<i>meaning unknown, an object of wax (?)</i>	<i>meaning unknown, an object of wax (?)</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=269a	ⲡⲣⲁⲡⲉ (ⲧ)										3034	3032	269		
3034	(S) praS	1	(meaning unknown, relates to irrigation)	(meaning unknown, relates to irrigation)		269b	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3034.html	(S) ⲡⲣⲁϣ	(S) ⲡⲣⲁϣ	ⲡⲣⲁϣ	(S) ⲡⲣⲁϣ (ⲡ)			complete	noun male		<i>meaning unknown, relates to irrigation</i>	<i>meaning unknown, relates to irrigation</i>	<i>meaning unknown, relates to irrigation</i>	<i>meaning unknown, relates to irrigation</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=269b	ⲡⲣⲁϣ (ⲡ)										3035	3033	269		
3035	(S,F) parHs	4	covering (for jar)	covering (for jar)		271b	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3035.html	(S, F) ⲡⲁⲣϩⲥ	(S, F) ⲡⲁⲣϩⲥ	ⲡⲁⲣϩⲥ	(S, F) ⲡⲁⲣϩⲥ (ⲧ)			complete	noun female		covering <i>for jar</i>	covering <i>for jar</i>	covering <i>for jar</i>	covering <i>for jar</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=271b	ⲡⲁⲣϩⲥ (ⲧ)						ⲡⲁⲣϩⲥ (ⲧ)				3036	3034	271		
3036	(F) pees	3	(meaning unknown)	(meaning unknown)		273a	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3036.html	(F) ⲡⲉⲉⲥ	(F) ⲡⲉⲉⲥ	ⲡⲉⲉⲥ	(F) ⲡⲉⲉⲥ (noun)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=273a							ⲡⲉⲉⲥ (noun)				3037	3035	273		
3037	(S) *cermoou,crmoou	3				273b	6	0	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/3037.html	(S) <i>plural: </i>ⲯⲉⲣⲙⲟⲟⲩ, ⲯⲣⲙⲟⲟⲩ	(S) <i>plural: </i>ⲯⲉⲣⲙⲟⲟⲩ, ⲯⲣⲙⲟⲟⲩ	ⲯⲉⲣⲙⲟⲟⲩ, ⲯⲣⲙⲟⲟⲩ (ⲛ)	(S) ⲯⲉⲣⲙⲟⲟⲩ, ⲯⲣⲙⲟⲟⲩ (ⲛ)			complete	noun						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=273b	ⲯⲉⲣⲙⲟⲟⲩ, ⲯⲣⲙⲟⲟⲩ (ⲛ)										3038	3036	273		
3038	(S,B) patalas (B) padalos,patalos	3	(meaning unknown, ? ethnic)	(meaning unknown, ? ethnic)		276a	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3038.html	"(S, B) ⲡⲁⲧⲁⲗⲁⲥ
(B) ⲡⲁⲇⲁⲗⲟⲥ, ⲡⲁⲧⲁⲗⲟⲥ"	"(S, B) ⲡⲁⲧⲁⲗⲁⲥ
(B) ⲡⲁⲇⲁⲗⲟⲥ, ⲡⲁⲧⲁⲗⲟⲥ"	ⲡⲁⲧⲁⲗⲁⲥ, ⲡⲁⲇⲁⲗⲟⲥ, ⲡⲁⲧⲁⲗⲟⲥ	"(S, B) ⲡⲁⲧⲁⲗⲁⲥ (noun)
(B) ⲡⲁⲇⲁⲗⲟⲥ, ⲡⲁⲧⲁⲗⲟⲥ (noun)"			complete	noun		<i>meaning unknown, ? ethnic</i>	<i>meaning unknown, ? ethnic</i>	<i>meaning unknown, ? ethnic</i>	<i>meaning unknown, ? ethnic</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=276a	ⲡⲁⲧⲁⲗⲁⲥ (noun)					"ⲡⲁⲧⲁⲗⲁⲥ (noun)
ⲡⲁⲇⲁⲗⲟⲥ, ⲡⲁⲧⲁⲗⲟⲥ (noun)"					3039	3037	276		
